5b2/6k1/6p1/8/rpN1K1P1/5R2/8/8 w - -,e4d5
5rk1/pQ3np1/2p3p1/2Pp1q2/P2P4/3b1NBP/5PP1/2R1r1K1 w - -,c1e1
5k2/5pp1/1p5p/p7/P1P2r2/8/4RnPP/6K1 w - -,e2f2
r2qkb1r/pp1bnppp/4p3/3pP3/8/3BBN2/PP3PPP/2RQ1RK1 b kq -,e7c6
8/pp2N3/2p2nk1/6pp/1PP2b2/5P1P/P5K1/4R3 b - -,g6f7
R7/1p6/5k2/5p2/2P1bp2/P7/5K2/8 w - -,a8d8
2r3k1/2q2ppp/3p4/4pP2/r5P1/pPn1B2P/P1P5/K1R1Q2R b - -,a4e4
1k1r1b1r/ppq4p/2P1b3/4n1p1/P4p2/2N1N1P1/2Q1PPBP/R1R3K1 b - -,e5c6
3q1rk1/p1pn1pbp/2Q3p1/2p1p3/3rP3/2N1B3/PP3PPP/2KR3R w - -,e3d4
r1q3k1/1p1b1n2/pB1p2pb/P2Prp1p/8/5NPP/1PP2QBK/R2R4 b - -,e5e8
r2q1rk1/1ppb1ppp/1p1p4/3P4/1PPpP1n1/P2B4/1BQ2PPP/R4RK1 b - -,d8h4
r1bq1rk1/3pnpbp/p2p2p1/n7/Pp2P3/5N2/1PB2PPP/RNBQ1RK1 w - -,d1d6
1r1q1rk1/p1p1bppp/b3p3/3n4/PnNPQ3/4P1P1/1P1N1PBP/R1BR2K1 b - -,d8c8
r2nk2r/pppqp1bp/1n4p1/3pPp2/3P1P2/1PP2NN1/P1Q3PP/R1B2RK1 b kq -,d8e6
r1b2rk1/p1q1ppbp/1p3np1/n7/4P3/1PP2N2/2QN1PPP/R1B1RBK1 w - -,c1b2
r1b2rk1/5pbp/p2qP1p1/np5n/4Q3/2N2N1P/PP3PP1/R1B1RBK1 b - -,c8e6
r3r1k1/pp2qp1p/4p1p1/3N4/3R4/1P4P1/P2QPPKP/3R4 b - -,e6d5
r1bq1rk1/bp3ppp/p1pp1nn1/P3p1B1/1PB1P3/2PP1N2/2Q2PPP/RN3RK1 w - -,f3h4
rr4k1/4ppbp/b2p2p1/q1pPn3/4PPnN/1PN1B1PP/P1Q3B1/1R1R2K1 w - -,h3g4
4r1k1/5pp1/5b1p/3R1Q2/8/6PP/q4P2/3R2K1 b - -,a2b3
r7/3kPR2/6p1/6P1/4KP2/8/8/8 b - -,a8e8
2r2rk1/p2n1pb1/2n1p1p1/qp1pP2p/3P4/4B1P1/PPN2PBP/2RQR1K1 w - -,a2a3
8/5pkp/6p1/6r1/P5P1/7P/3R1PK1/8 b - -,h7h5
5Q1Q/8/4p3/1p2P3/p5K1/P1r5/1k6/7R b - -,c3c4
r1r3k1/4ppb1/6pp/1p1pP3/2nP1BqP/3Q4/1P3PP1/1RN2RK1 w - -,f4g3
6k1/1p1r1p1p/p5p1/3p4/5B2/2P5/PP1R1PPP/1b4K1 w - -,b2b3
2kr3r/1bq2ppp/ppn1p1n1/8/2P2b1P/2NBBN2/PP2QPP1/1K2R2R b - -,c6b4
6k1/Qpq2p1p/4b1p1/3p4/1P1N4/4P2P/P4PP1/6K1 b - b3,c7c1
7k/p5bp/8/8/8/4P3/PP3PPP/3r1QK1 b - -,d1f1
8/4kp2/R5p1/2pP3p/2r5/5KPP/P4P2/8 w - -,a2a4
1r6/3B2k1/1p1n2p1/3Pb1Np/7P/4B3/6P1/6K1 w - -,d7c6
8/4q1k1/5np1/8/5Pp1/7P/1Q5K/8 w - -,h3g4
r3k1nr/ppq3bp/1np1bpp1/2B1p3/P3P3/2N2N2/1PPQBPPP/1K1R3R w kq -,c5d6
8/8/1p1r1kp1/pP3p2/P7/2R2K1P/8/8 b - -,g6g5
3R4/8/5p2/2k1p1p1/Pp2Pn2/1N6/1P3P1r/4K3 b - -,c5c6
1rb1r1k1/2q2ppp/pp1N4/2pn4/P2p1PP1/1P1P3P/1BPQN1K1/R4R2 b - -,c7d6
4k2r/pp2bpp1/4p3/q2N4/3P4/PQ3NPP/1P4P1/2r2RK1 w k -,f1c1
6k1/1R5p/p7/5q2/3pp1p1/4P1P1/P1R4P/6K1 w - -,c2c7
r1b2rk1/pp3p1p/2n2qp1/8/3N4/2b1PB2/P4PPP/2RQ1K1R w - -,c1c3
6k1/1p2r2p/p2pN1p1/2pP4/2n1P3/P4rPP/1b1BR3/1R1K4 b - -,c4d2
r6k/6p1/4qpnp/P2p4/3P4/1pR2P1P/1P3BP1/5QK1 w - -,f1b5
r7/5pk1/p1pp2p1/4b3/P3Pp1q/1P1R3P/2P1NPQ1/7K w - -,h1g1
8/1n6/2k2N2/7p/1K3P2/8/7P/8 b - -,h5h4
8/4r3/8/5bk1/1R6/6K1/6P1/8 b - -,e7e5
8/p5pk/6Pp/1P6/8/2P3r1/P2r2N1/5RK1 b - -,h7g6
r1b3nr/pp2bkpp/3p2q1/8/3pP3/5N1P/P1Q2PP1/RNB2RK1 w - -,f3d4
2r1r3/1pp2nkp/p3q1p1/3n4/P3N3/5P2/1PQ1B1PP/R2R2K1 w - -,a4a5
rnbqkb1r/pp2pp1p/5np1/3p4/2PP4/1QN5/PP3PPP/R1B1KBNR b KQkq -,f8g7:b8d7:e7e6
1B2k2r/pp4p1/1bp1p2p/5n2/3rN1P1/7P/PPP2P2/R2R2K1 w - -,d1d4
2r4k/1P1R2pp/7n/4p2P/2N5/1q6/3p1PP1/5QK1 b - -,c8b8
rq3rk1/2p2pp1/3bpn1p/1N1nN3/3P3B/8/4QPPP/R4RK1 w - -,a1b1
rn2k2r/pp3pp1/1qpbpnp1/3p4/2PP4/1QN1P1P1/PP1BBP1P/2R1K2R w Kkq -,b3c2
6K1/3k3P/1p1P2Pq/8/p1p5/8/8/8 w - -,g6g7
3r3r/1b2b3/pp2p1k1/2p1Pp1p/4qP2/4N1PQ/1B1PR3/4K1R1 w - -,g3g4
3rr1k1/1p3ppp/2p1B3/p1p5/P3PP2/2PP4/6PP/R3RK2 b - -,e8e6
r4rk1/5ppp/3p4/pp4R1/1P6/P1b5/B1P2PPP/3R2K1 w - -,g5b5
r4rk1/ppqNbpp1/2p1p2p/5b2/2BP4/8/PPP1QPPP/2BR1RK1 b - -,c7d7
3r2k1/p4p2/1p1Bb1pp/4P3/2Pq2P1/4RQKP/3r4/2R5 b - -,d8d6
2r3k1/1p3ppb/4pn1p/1BB4P/8/2P2PN1/1P1K2P1/3rR3 w - -,e1d1
4r1k1/p4p1p/2qP1Qp1/2p5/5P2/7P/P5P1/3R2K1 b - -,c6d7
r2q1rk1/p3bpp1/2n1pn1p/1p1p4/2pP1BP1/2P1PN1P/PPQN1P2/R3K2R b KQ -,f6d7
8/3k4/3r3p/2K5/1P2B3/7P/8/8 b - -,d6d2
3rr2k/6bp/2R1B1p1/5p2/3P1B1q/4P2P/Q4P2/2R3K1 b - -,h4h3
8/1p3p2/2pbkp1p/p7/P3BPP1/2P2K1P/1P6/8 b - -,d6c5
2r3k1/p1r2p1p/4p1p1/3pP1P1/Pq1P4/1Pp2R2/2P2Q1P/3R2K1 b - -,b4f8
8/r4n2/3p2k1/4p3/6PB/P4R2/3n1P1N/6K1 w - -,f3c3
1R4k1/p4p1p/1b6/3b2p1/2p5/6P1/P4P1P/3N2K1 b - -,g8g7
4Q3/Rb1r1pbk/3q2pp/2pP4/1p3pP1/7P/1PP2BB1/6K1 w - -,b2b3
4R3/8/3p4/5k2/3r1B2/4K3/8/8 b - -,d4d1
q3k2r/1b1rnpb1/pB1p1npp/3p4/PP2P3/3B1NNP/4QPP1/R3R1K1 w k -,e4e5
8/p5p1/1p2p1k1/4P1Pp/r2Bb2P/P1P3P1/R2K4/8 w - -,d2e3
r2q1rk1/pb1nbppp/1p3n2/3p2B1/2pP4/P1NBPN2/1PQ2PPP/3R1RK1 w - -,d3f5
r1bq1rk1/pp2b1pp/n1pp1n2/4p3/2P1P3/2N3P1/PP2NPBP/R1BQ1RK1 w - -,h2h3
4b3/4k3/2p4R/p1N1P3/P2K4/5r2/8/8 w - -,h6h7
r1b2rk1/1p1n1p1p/p2Np1p1/4b3/P3P3/2P1B3/1P2BPPP/R3R1K1 w - -,e1d1
r2qkb1r/pb1n1ppp/1pp1pn2/3p4/2PP4/1PN1PN2/PB3PPP/R2QKB1R w KQkq -,f1d3
r1k4r/1ppn2bp/3nbp2/p3p1pP/2P5/1PB1P1N1/P3BPPN/2KR3R b - -,h8g8
r2r2k1/1b1nq1pp/1ppbp3/p2p1p2/2PP4/PP2P1P1/1B1Q1PBP/R1R1N1K1 w - -,e1d3
8/p4k1p/1p4p1/1Pp5/P3R2P/6K1/3r1PP1/8 b - -,d2b2
r4r1k/pppb2pp/2nq4/2bQ1pB1/2P4R/2P2N1P/P1B2PP1/4R1K1 w - -,g5f4
4r1k1/2p1qpp1/p3P2p/1p4b1/2pN4/1QP5/PP3PPP/4R1K1 w - -,b3c2
r1b1kb1r/1p1n1p2/p4P1p/3N2q1/3Q1R1p/8/P1P1B1PP/1R5K b kq -,e8d8
2k2r1r/pp2ppb1/nq1p2bp/1NpP2p1/2P5/3BP1P1/PP1Q2PP/R3NRK1 b - -,c8b8
1R6/3k4/7P/4KNr1/8/4P3/8/2b5 b - -,c1e3
