8/4pp2/3p3b/2pP3P/2P5/2K5/k7/1B6 b - -,a2b1
3r4/pp3kp1/7p/2P1np2/1P2p3/2P3P1/P2NKPP1/7R w - -,d2b3
6Q1/p4p2/1p3P1k/4r1n1/6Pp/8/P6K/8 b - g3,h4g3
r2k1b2/pp3prB/3PbN2/2p3p1/2Pp4/P5P1/1P3P1P/4R1KR w - -,h7f5
r2q1rk1/pb2ppbp/1p2n1p1/2p1P3/2PnNB2/5NP1/PP3PBP/R1Q1R1K1 w - -,f3d4
r1b2r1k/p2n4/2p1p1Q1/qp5n/3P3P/5P2/PPP3P1/2KR2NR w - -,g6h5
1nkr3r/pBp1qppp/1p2pb2/8/3PN3/5N2/PPP1QPPP/2KR3R b - -,c8b7
r2r2k1/pp1b1pbp/2n1p1p1/q1P5/2B1P3/2P1BP2/P1Q1N1PP/R4RK1 w - -,f3f4
2R5/7p/2nk1pp1/pp3P2/4K3/PP4PP/8/8 w - -,g3g4
r2r2k1/1pqn1p1p/2p3p1/p2PNn2/2P5/P5P1/2Q2PBP/1R2R1K1 w - -,b1b7
r2qkbnr/pppn1ppp/3p4/4p3/2PP4/2N2bP1/PP2PP1P/R1BQKB1R w KQkq -,e2f3
r1bNkb1r/pp2pppp/3p4/8/4P3/2N5/PPPn1PPP/R3K2R w KQkq -,d8f7
1k4r1/p1p2p2/2Q1BBp1/4P2p/2P5/PP4P1/7q/2KR4 b - -,f7e6
r2q1r2/1ppb3k/3p2pb/3Pnp2/pP2PP1p/8/PB1QBNPP/R4RK1 b - -,a4a3
r3rbk1/1b3pp1/p2p1q1p/1ppPn3/Pn2P3/4NN1P/1P3PP1/RBBQR1K1 w - -,f3h2
r2qkb1r/pp1npppp/2p2n2/8/3B4/2NB1Q1P/PPP2PP1/2KR3R b kq -,d8a5
2rr2k1/2pq1ppp/pn2p3/1b5Q/2pPP3/P3B1P1/P4PBP/1RR3K1 b - -,b5c6
r3r1k1/bpp1qpp1/p1n1b2p/3np3/7N/2PP2NP/PPB2PP1/R1BQR1K1 w - -,d1h5
8/3k3n/5p2/5K2/1P2P3/1Nn5/5B2/8 b - -,h7g5
r2q1rk1/p4ppp/1p1p1n2/n1pPP3/2b1P3/P1PB2N1/6PP/R1BQ1RK1 b - -,c4d3
r5k1/1b1qnpbp/3pp1p1/1p6/1P1PPN2/1Q2B1PP/2R2PB1/6K1 b - -,a8c8
r4k1r/pp1b1pp1/nq2p3/2bpP1Bp/7P/P1NB2Q1/1PP2PP1/2KR3R w - -,g3f4
r2q1rk1/1Q1nnpp1/2p5/2Pp1b1p/p2P1B2/P1P2PPN/7P/R3KB1R w KQ -,e1f2
8/1p2k2p/2p3p1/r1n1p3/2N2P2/6PK/7P/2R5 b - -,a5b5
r1bqk2r/ppp1ppb1/3p1npp/3Pn3/4PP1B/2N4P/PPPQ2P1/R3KBNR b KQkq f3,e5d7
2k2nr1/pbq4p/1p3p2/3p1N1P/1PpPpPr1/P1P1Q1N1/5RP1/R5K1 b - -,c8b8
rn3rk1/1q2bppp/pp1pp3/6N1/2P1QB2/1P4P1/P3PP1P/3RK2R b K -,b7e4
3r1rk1/p4pb1/1p6/4P3/PPp4p/1nPb2Nq/1Q3BN1/3RR1K1 w - -,g3h5
r2r2k1/p4pp1/1p3n1p/3pp2q/P1B1P3/5P2/1P3P1P/R2Q1R1K w - -,c4d5
rn1q1rk1/pb1p1ppp/5n2/1Npp4/2P5/P3P1P1/1P3PBP/R1BQK2R b KQ -,b7c6
2r4r/p4ppp/4k3/3p4/8/4RP2/PP3P1P/1K1R4 b - -,e6d6
5k2/pp1b1rbp/4p2p/3p4/8/1P1B1PR1/P4PKP/4R3 b - -,g7f6
7r/1b2kpp1/p6p/4p3/2Bb3P/1PN3P1/1P3P2/R5K1 w - -,c3d5
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P1B1P/2PB4/PP3PP1/RN1QK1NR b KQkq h3,c8f5
r3k3/ppp2pp1/2n5/8/3PN3/P3PPbb/1P1KB2r/R1BQ1q2 w q -,d1f1
8/1p5P/p7/8/P1P1k3/1PP1p2K/8/2R2qr1 w - -,c1f1
1k1r3r/pbp1qpb1/1p2p2p/n1P3p1/1Q1P4/2N1PNPP/PP4B1/R2R2K1 w - -,a1c1
5rk1/3B2bp/4p1p1/q2b4/Nr6/p5P1/P1QR1P1P/3R2K1 w - -,h2h4
1rb1r2k/3p2qp/pPp2Rn1/4P1p1/NP3p2/1BQ2P2/P5PP/3R2K1 w - -,d1e1
8/8/8/P6p/1K6/8/7k/8 w - h6,a5a6
r2r2k1/pb3ppp/1q2p3/1pQn4/8/N3P1P1/PP3PBP/R1R3K1 b - -,b6c5
b1r2rk1/5p1p/1R2p3/pN2P1P1/5P2/P7/1RP2Q1P/3q2K1 w - -,f2f1
r6k/p1p1pp1p/1p3b2/r3N2q/1n1P1P2/1P2P3/PB3QBP/2R4K b - -,a8f8
5r1k/1b5p/1p3p2/p3n3/1P6/P3rPN1/1KPRB1PP/7R w - a6,b4a5
8/7b/3p1p1p/1BpPp2P/1kP1P3/5K2/6P1/8 w - -,g2g4
6k1/4b1p1/2q3P1/3R1Q2/p4P2/5K1P/8/4r3 b - -,c6c3
r1bqk2r/1p2bppp/p1nppn2/8/3NPP2/1BN5/PPP3PP/R1BQK2R w KQkq -,d4c6
1r1q4/6bk/6pp/1pp1p3/2NnP3/B2P2PP/1RP4K/5Q2 w - -,c4e5
r4rk1/pp3ppp/4b3/3p4/8/PnP1BP2/2K1P1PP/3R1B1R b - -,f8c8
2rqk3/pp1bpp2/3p3Q/n3b3/4P3/1NN2P2/PPP3P1/R3KB2 b Q -,c8c3
8/rpk2p1p/2p3p1/3p4/P2P4/b2KP3/2B2PPP/1R6 b - -,a7a8
1qr3k1/2r2p1p/4p1p1/pp2b1B1/4P2Q/P1N5/1PB2PP1/R6K w - -,c2d3
3r2k1/pp3pp1/3qp1b1/3r3p/3P2P1/4QN1P/PP1R1P2/4R1K1 w - h6,g4g5
r1bq1r1k/p3bp1p/2p1p1p1/1n1nP1B1/1p1PN3/1P1B3Q/4NPPP/R4RK1 w - -,h3h4
2q1nrk1/r2n1p2/1pbp2p1/p2NpNb1/2P1B3/PP2PR2/1B2Q1PP/5RK1 b - -,c6d5
6k1/5p2/2qp2Bp/p1n5/2P2R2/1p2r3/5RPP/6K1 b - -,e3e1
6k1/6pp/8/4B3/8/5P2/rp4PP/3R3K w - -,d1b1
rnbqk1nr/1p3ppp/p2pp3/2b5/3NP3/3BB3/PPPN1PPP/R2QK2R b KQkq -,g8f6
3k4/2b5/2Pp4/1K1Pp1p1/5pBp/5P1P/6P1/8 b - -,d8e7
4b3/p4k1p/1p1qNpp1/3P4/1p1Q2P1/7P/P4P2/6K1 w - -,f2f4
8/4n3/1p1k4/1P1p2n1/1K1P4/3B4/4N3/8 b - -,g5f3
r6r/ppk2ppp/2p1bn2/2b1p1B1/4P3/1PN2P2/PP4PP/2KR2NR w - -,g1e2
8/7k/pQ4p1/2KBP2p/P7/2p2r1P/3q3B/8 w - -,d5e4
2N5/8/p3kpp1/2p1p3/2PnK1P1/8/1P6/8 w - -,c8b6
r2qkb1r/pp3pp1/2n1pn1p/3p4/3N1Bb1/2P3P1/PP2PPBP/RN1Q1RK1 b kq -,c6d4
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/2PP3N/P1N1P3/1P3PPP/R1BQKB1R w KQkq -,h4g6
1r4k1/2rn2pp/ppnqp3/4Np2/2PP4/4Q3/P3NPPP/2RR2K1 w - -,e5c6
6k1/5ppp/4p3/8/3Pp3/6P1/1P2RP1P/rN4K1 b - -,a1b1
7k/6p1/p6p/8/1r5P/6K1/1P2R3/8 w - -,h4h5
3r1r2/p5k1/4b2p/1P2q3/P1ppPp2/5R1P/2B2QP1/4R1K1 w - -,c2b1
r4r2/pp3pkp/n2p1qp1/2pPp2n/4P2P/5P1B/PPPQNP2/1K4RR b - -,h7h6
1n1r1r2/ppq3k1/3pppb1/2p4p/1PP2P1B/P1Q1PB2/3R2PP/3R2K1 b - b3,c5b4
2q1r3/1r1n2kp/2N1p1p1/1Ppp4/4n3/1P4P1/5PBP/2RQR1K1 w - -,g2e4
6rr/4kp2/3p1p2/p2bpP2/1pP2bPP/PR4N1/1P2B2R/1K6 b - c3,b4c3
5rk1/8/Q3p1pp/8/8/2R1P2P/P4qP1/6K1 w - -,g1h2
r3rnk1/2pbqppp/p1pb4/1p2p3/P3P3/1P1PQN2/1BP2PPP/R3RNK1 b - -,f8g6
R2nr1r1/3N4/p7/2BP1k1p/5p2/3P1K2/4P2P/8 b - -,d8f7
8/1R3kpp/4p3/3pPp2/3P1P2/4P3/r6P/6K1 b - -,f7f8
1k1r3r/ppq2p2/2P1n3/1N2n3/P3Q3/6p1/4PPBP/R2R2K1 b - -,g3f2
2r3k1/q3b1p1/p2p1p2/1p3RPp/2p1P2P/3P4/PPPQ4/1K3R2 b - -,a7d4
r1bqk1nr/pp2b2p/2n1p1p1/3pPp2/3P1P2/2NB4/PP1N1BPP/R2QK2R b KQkq -,c8d7
r1b1rnk1/1q1n2bp/p2pNp2/1p1P1Pp1/2p1P3/2N5/PP1Q1BPP/1B2RRK1 w - -,f2d4
rnbQkbnr/ppp3pp/8/4pp2/2P5/2N5/PP2PPPP/R1B1KBNR b KQkq -,e8d8
8/8/8/8/pk6/4K3/7p/4R3 b - -,b4c3
