8/5p2/1k1p4/2p1p2p/K1P1P2P/5P2/8/8 w - -,a4b3
1rbq1rk1/pp3pbp/2n1p1p1/2P2n2/2PP3P/P1NP2P1/4NPB1/R1BQK2R b KQ -,f5d4
2rr2k1/pbqn1ppp/1p3n2/2p1p3/P2P4/BQP1PN1P/4BPP1/2R2RK1 b - -,b7d5
8/p1k3p1/r3p1Np/3pK2P/3Pp1P1/P7/4bP2/6R1 b - -,c7d7
1n1r2k1/p2r1pp1/3Pp2p/1P6/2Q2P2/P6P/3R2P1/6K1 b - -,a7a6
2r1rbk1/1p3pp1/1q2pBp1/pNn5/2P5/PP4N1/2QR1PPP/3R2K1 b - -,g7f6
r3k2r/1pq1bppp/p2ppnb1/6B1/2BQP1P1/2N4P/PPP2P2/3RR1K1 w kq -,a2a4
B5k1/8/1p4pp/8/6P1/5PK1/4r3/1R6 b - -,e2e8
8/5p2/4p2P/3kP3/5PK1/8/3pr3/7R w - -,h1d1
r3r1k1/ppqn1ppp/2p2n2/2b1p3/2P1P3/1PB2BPP/P1Q2P2/RN1R2K1 b - -,a7a5
rn1qr1k1/pp3ppp/4p1b1/3pP3/Pb1P4/4Q3/1P1BBPPP/R3NRK1 b - -,d8a5
r2qnrk1/pp1b1pbp/n2p2p1/2pPp3/2P1P1PP/2N1BP2/PP1QN3/R3KB1R b KQ h3,f7f6
r6k/ppB1p1bp/2p5/2n2bpB/4p3/8/PPr1NP1P/1R2R1K1 b - -,c5d3
2b1r1k1/r3qpnn/3p2p1/p1pPp3/PpP1P3/1P3PN1/R5NP/2Q2BRK b - -,h7g5
6Q1/p3b2r/2p4k/2ppP3/2P3R1/3P1r2/PP5P/3q3K w - -,g4g1
3rr1k1/3n1pbp/p3bnp1/q7/1NPp1P2/2N2Q1P/P5PB/1R2RB1K w - -,c3d5
r1b1kb1r/p2n1ppp/1qp1p3/2ppP3/3P4/2P2N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
r4r1k/pp4pp/1b1P4/2p1PqN1/2QB3P/1P2P1P1/P7/2KR4 w - -,d4c3
2b5/2k3p1/3p1p1p/1Pp4P/2PpPPP1/5K2/6B1/8 b - -,c8e6
1r4k1/Q5pp/p4pn1/4p3/1qP5/1P1R1BP1/7P/7K b - -,e5e4
2b1r1k1/1r1pnppp/2p1p3/p1B1P3/2P5/3B4/PP1R1PPP/4R1K1 w - -,f2f4
1rbqk2r/pp2bppp/4pn2/2pp4/Q2P4/2P1P3/PP1N1PPP/R3KBNR b KQk -,c8d7
r1b2r1k/pp3pbp/5Np1/1qP1n1B1/3p4/6P1/1P3PBP/R2Q1RK1 w - -,d1d4
r1bq1rk1/pp2bppp/2n5/3p4/N3n3/4PN2/PP1BBPPP/R2QK2R w KQ -,e1g1
2r3k1/1p2r1p1/p1n4p/B3bP2/P1P1N3/1P5P/4BP2/1R3K2 w - -,a5d2
r2qr1kb/2nbp2p/3p1ppB/2pP4/1p2PP2/2N4P/1PPQ1P2/1R2RBK1 w - -,c3d1
6k1/5pbp/p4np1/B1pP4/2pp1N2/6PP/Pr4B1/4R1K1 b - -,g6g5
2k1r3/pbp5/1p1p2p1/3P1p1r/3RP1p1/P5P1/1P1N1PP1/2K3R1 w - f6,f2f3
r1k1rq2/p2bb2p/Qppn2p1/2B2p2/8/1BP3P1/PP3PNP/R3R1K1 b - -,c8c7
r2q1rk1/5ppp/pnp2n2/1pPp4/1P2P3/P2B1Q2/5PPP/R1B2RK1 b - -,b6c4
8/p7/1p3R2/5p1r/1Bk4p/5P2/PP4PK/8 b - -,c4b4
8/b1Rrkp2/5p2/p7/2Qpq3/1P3RP1/5PKP/8 b - -,e4g6
2rq1rk1/3bbppp/p1p1p3/4N3/Pp1PB3/4P3/1P3PPP/R2Q1RK1 w - -,a1c1
8/3n1ppk/q1rP2p1/P7/1B6/5P2/6PP/1R1R2K1 b - -,c6c2
6k1/p5p1/2p1p2p/2p5/3pPbP1/1P5P/P1PN4/5K2 w - -,d2c4
r1q1k2r/p2nb3/1pp1pp2/7p/2bP2nP/P1N1B1Q1/1PP1N1P1/2KR1B1R b kq -,e6e5
1K6/8/2kn4/8/8/1B2B3/8/8 b - -,d6f5
2r2bk1/p1rn1ppp/1p2pn2/7q/2PP4/P2N1NP1/1BR1QPKP/2R5 w - -,h2h3
r2q1rk1/pp3ppp/3b1n2/1Q1p1P2/5B2/1PN5/1PP3PP/R4RK1 b - -,b7b6
8/p1p2r2/1pP1k1pb/1P5p/P2R4/2N1P1P1/5PK1/8 b - -,h6g7
1rb2rk1/q2nbppp/p1p1p3/P1Np4/1PpPP3/2N2P2/2PQ1BPP/1R3RK1 w - -,e4e5
8/4bR2/2k3p1/2p5/2Pp2P1/1P1K4/2PB4/4r3 b - -,e1e6
8/1p1k1rp1/p1p1p2p/P6P/2PPRbP1/8/1P2K3/4B3 w - -,e1h4
2k5/pp4p1/4pp1p/3p3P/8/4K1N1/1q3PP1/3R3R b - -,b7b5
3r2k1/4bppp/5n2/R2p4/8/4P1P1/5PBP/3N2K1 b - -,g7g6
r3k2r/1bp1qp1p/4pp2/1p6/2n5/P1QR1NP1/4PPBP/1R4K1 w kq -,b1b5
5rk1/p5p1/6Q1/2p5/2P3nP/PP2P1R1/1B4Nq/5K2 w - -,f1e2
k7/1p1b1pp1/p2P4/P2p4/1P2p3/8/1K3P2/5B2 b - -,a8b8
1r6/p6p/2p3bk/4q3/2QN2pP/P3p3/1P1pB3/K2R4 b - -,c6c5
2r5/1n3p1k/p5pB/1p6/8/1P5P/P1B1bKP1/2R5 w - -,h6e3
1r1q2kn/1ppb2pr/p2p1p2/2PPp2p/1P2P2P/4NQP1/P4PBK/R4R2 w - -,c5d6
4r1k1/pp1q1np1/2p1rp2/3p2p1/P2P2P1/1P1QPPPN/4RK2/5R2 b - -,d7e7
8/8/r1k2p2/8/3PP1P1/p4K2/8/7R b - -,c6b5
1R6/5pk1/3p1q1p/r1b3p1/1p2P3/6P1/4QPP1/3R2K1 b - -,a5a3
3k2nr/Np3ppp/4p3/1Bb5/1n6/5P2/P4P1P/R2K3R w - -,b5c4
r1bq1rk1/pppn2b1/3ppn1p/5pp1/3P4/2P1PN1P/PP1NBPPB/R2Q1RK1 w - -,d1b3
2r3k1/1r3ppp/p3p2b/P3q3/1PB5/4P3/4Q1PP/2B2R1K w - -,c4a6
3r1rk1/4nppp/8/p3b3/NpRP4/1P5P/P3BPP1/3R2K1 b - -,e5f6
2r2rk1/pb1nqpp1/1p5p/8/1PN1n3/1Q6/P3NPPP/1BR2RK1 w - -,c1d1
r1b1k2r/ppp2ppp/2p2q2/2b5/3PP3/P1N1P3/1PP3PP/R2QKB1R b KQkq -,c5e7
r3k2r/pp1b1ppp/2n2B2/q1b5/8/1QN2N2/PP2PPPP/R3KB1R b KQkq -,g7f6
8/8/4k1p1/7p/6r1/2PK4/R5PP/8 b - -,e6d5
r1q1r1k1/1bpnbpp1/1p2pn1p/p7/P3N3/1PNP2P1/1BP1QPBP/R4RK1 w - -,c3b5
1r2k2r/3bbpp1/1qnpp3/6Pp/ppP1PP1P/3B4/PP1NN3/1K1R2QR b k -,g7g6
5rk1/p4ppp/p3p3/2bnP3/8/1P3N2/P2B1PPP/2R3K1 b - -,c5b6
2k5/2p1q2p/6p1/P7/3Q1B1P/5P1K/6P1/1r6 w - -,d4h8
8/4r1kp/6p1/8/1P6/P7/2P5/1K3R2 b - b3,h7h5
r2qkb1r/ppp1pppp/5n2/3Pp3/2P3b1/2N5/PP2PPPP/R1BQKB1R w KQkq -,f2f3
8/1N3p2/1n3Pp1/p3k3/P3p3/8/3K1P1P/8 w - -,b7a5
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 b - -,d7d6:a7a5:d7d5
5rk1/p3rp1p/R2p2p1/8/8/1b2B2P/2R2PP1/6K1 w - -,c2b2
8/2k5/2p5/1p1bp1n1/1P3p2/5P2/2PKB3/4N3 b - -,c7d6
rn2kb1r/pb4pp/1pp2q2/3p4/2p5/2P1N1P1/P3PPBP/R1BQ1RK1 w kq -,e3g4
5k2/5p1p/6p1/pp1rP3/3P4/P3K3/3N2PP/8 b - -,b5b4
r7/8/1nkp4/1p2p1R1/8/6P1/PP1BKP2/8 w - -,a2a3
r4rk1/ppqbbppp/2nppn2/8/3NP3/1BN1B2P/PPP2PP1/R2Q1RK1 w - -,f2f4
5rk1/p6p/1p4p1/4p3/3pbP2/6P1/PPN2K1P/6R1 w - -,c2b4
r1b2rk1/2qnbppp/2n1p3/ppppP3/5B2/3P1NP1/PPP1QPBP/R3RNK1 b - -,a5a4:c8a6
2r3k1/p4b2/1p1bqpp1/8/2BP1QPB/2P5/P7/2R2RK1 b - -,c8c4
5nk1/5pp1/3p3p/3Pp3/1q2P3/5NP1/2Q2PKP/8 b - -,g7g6
2r1rbk1/5pp1/p1qp3p/R2Np3/1PP1P3/3Q1P2/6PP/3R2K1 w - -,d1a1
r4r1k/2q1bppp/p1p1b3/1pn1p3/4P3/P1N1B1QP/1PP1BPP1/3R1R1K b - -,a6a5
r1bqrbk1/pp1n1pnp/2p3pB/3pN3/3P1PP1/2NBP2P/PP3Q2/R4RK1 b - -,g7e6
6k1/pb5p/1pnqppp1/8/3PP1P1/P1QB1P2/4NKP1/8 w - -,d3c4
b1r5/5pkp/Nq1pp1p1/1p6/2n1P2P/2PQ2P1/RP3PB1/6K1 w - -,a6b4
7r/pr3p2/P3p3/2B1Pk2/1P4pp/2P1R3/5PK1/8 w - -,a6b7
8/p4p2/4k3/1r6/3R1KP1/2P5/5P2/8 w - -,d4a4
