5k1R/6r1/5p2/5B2/4K1PP/8/8/4b3 b - -,g7g8
3r4/8/8/2k5/5P2/3K4/1P1R4/8 w - -,d3c3
3q1k2/3n2pp/3r1p2/pQp1p3/8/1PB1P2P/P1R2PPK/8 b - -,d8b6
4k3/4p3/8/3qn2P/Q5P1/5P2/6K1/8 b - -,e8f8
r3r1k1/1P3b1p/p4pp1/5p2/2nR1P2/P1N1P1P1/P6P/4RK2 b - -,a8b8
1r3rk1/1B2Rppp/pN1Pb3/4nq2/3Q3P/6P1/PP3P2/2R3K1 w - -,f2f4
2r5/8/4k1p1/pp2pp1p/7P/PbPN1PP1/1P1R1K2/8 w - -,f2e3
2b5/1p6/5K1k/3p1P2/p5p1/P3B1P1/1P6/8 b - -,h6h5
2kR3r/1p3ppp/p1b1pn2/8/2B5/1N2R3/PPP2PPP/6K1 b - -,h8d8
2n1q3/2Q2k1p/1p1p2p1/3P1p2/r4P2/7P/1R3BPK/8 b - -,f7g8
6k1/3nnpp1/1b2p3/1p1pP3/1PpP1B1P/r1P3PN/3q1PN1/2R3K1 w - -,f4d2
r1b1n1k1/pp4r1/3p2n1/3Pp3/1P2PpPq/3Q3N/P3BNP1/2R1R1K1 b - -,e8f6
6k1/p1r1pp1p/6pb/3r4/8/2B2P2/1PP3PP/1K1R3R b - -,c7d7
1k6/1b4p1/p3p3/np6/4P3/2N3Pr/PP1rRP1P/2R3K1 b - -,d2e2
r1b2rk1/pp1nq1p1/2p1p2p/2PpBp2/1P1Pn3/2NBP3/P1Q2PPP/R4RK1 w - -,c3e2
8/7k/R7/6pP/6K1/4r2P/P7/8 b - -,e3e5
8/7k/1R5P/8/5P2/1p4PK/4r3/8 b - -,b3b2
2r3k1/4bpp1/p3pnp1/1pn1q3/8/P1N1PB1P/1P3PP1/1Q1RB1K1 b - -,c8d8
2rq1rk1/p6p/Pp2p1p1/1PnpP3/2PN4/4Q3/6PP/R2R2K1 b - -,d8d7
8/1b1n2n1/pP3k1q/2pPp1p1/2P1PpP1/2B2P2/1Q1N2K1/3B4 b - -,h6h4
r3kb1r/1pp1n1pp/p1n2pq1/1B6/Q1PB4/5P2/PP1N1P1P/2KR3R b kq -,e8c8
2r1r1k1/pp3qbp/1n1Pb3/4Bp2/3NpP2/1P6/P5QP/4RRK1 w - -,d4f5
3r1bk1/p2r1p1p/1p3Ppn/n1p5/4N1PN/1PP1B2P/1P2K1B1/R7 w - -,g4g5
r1b1r1k1/pp3pbp/3p2p1/2pPn3/P3P3/2N3Pq/1P1NBK2/R1BQ3R b - -,e5g4
1r3rk1/1p1b1pbp/p2p2p1/q4p2/2PP4/1PNQ2P1/P4PBP/2RR2K1 b - -,f8e8
r3n1k1/2pbqrbp/p2p1pp1/1p1P3P/2P1PBP1/2NB4/PP1Q4/2K3RR b - -,g6g5
rn1qkb1r/3n1p1p/bp2p1p1/p1ppP3/3P1P1P/2PB1N2/PP1N2P1/R1BQK2R w KQkq -,h4h5
8/3k3p/8/4p1p1/3pP3/r5P1/3R1PKP/2N5 w - -,c1d3
3r4/p4qpk/4p2p/3pB3/2bPp3/4P2P/PQ3PP1/1R4K1 w - -,a2a4
r4rk1/1npbqpb1/p2p1npp/1p2p3/1P1PP3/2PB1N1P/P3QPP1/R1B1RNK1 w - -,a2a4
8/8/1k6/8/6N1/2r2PKp/7B/8 b - -,b6c6
1r3rk1/b1qn1ppp/n1p1b3/P3p3/N3P3/P5P1/2QBNPBP/1RR3K1 w - -,g2f1
r5k1/pb4pp/1p2p3/2p1Ppb1/2P2P2/4P3/PBB3PP/5RK1 b - -,g5e7
1r2n3/3bnkp1/1p1p3p/1p1P4/P2NPP1P/6P1/5K2/2R1R3 w - -,a4b5
1k3b2/pq2r1p1/1p3pQp/2nrp3/7P/1P3N2/PB3PP1/1K1RR3 w - -,d1d5
5r2/p1p3k1/5p2/2P2Pp1/3Pr3/8/PPK5/3R3R b - -,f8d8
1k1r1b1r/pp4pp/1qnp4/5Q2/1PP2P2/P5P1/1B1N2RP/R3K3 w Q -,e1c1
6k1/5p2/7p/1r4p1/2R1Pn2/2Pp4/r4BPP/5R1K w - -,f2d4
r4rk1/pp2ppbp/1q1p1np1/3Pn1B1/8/1N4P1/PP2PPBP/R2Q1RK1 w - -,g5e3
r2q3k/1bp4r/1p1p1R2/p2P2Q1/2P4p/4P2P/PP4PB/5RK1 b - -,d8g8
r1bqkb1r/3n1ppp/2p1pn2/1pPp4/p2P4/1P3NP1/P2NPPBP/R1BQ1RK1 b kq -,f8e7
8/2pk3p/1p1p2p1/p7/PbPB1P2/1P1QK2P/6P1/3q4 b - -,d1c1
1r3k2/bP3p1p/1n3Np1/p1P5/P7/1P4P1/5P1P/3R2K1 b - -,b8b7
8/1p6/2p2Np1/4k1P1/pP6/P1PK4/b7/8 b - -,b7b5
2kr4/1pp3p1/8/7P/3P2q1/P1PQ4/5r1K/R5R1 w - -,h2h1
1k2rN1r/1b3n1p/ppq2Pp1/3pP3/2pP4/2P1P2Q/PPBB4/R3K2R b KQ -,e8f8
b7/r4k2/6p1/N1p3R1/2P1p2P/1NbnP2B/4K3/8 b - -,c3a5
r4r1k/3n1ppp/8/3q4/Pp1R2Q1/3P4/P1PK3P/R7 b - -,d7f6
rnk2b1r/ppp2ppp/4bB2/8/4Pp2/2N5/PPP1N1PP/R3KB1R b KQ -,g7f6
2r1b1k1/1R4pp/2p2p2/2b1pP2/2P1B3/3P1Q1P/q3N1PK/8 b - -,a2a8
5r2/3b1k2/p3p2p/1p1pP1p1/8/P4N1P/2PK2P1/1R6 w - -,a3a4
r1bq1rk1/1p2bppp/1npp1n2/p3p3/P2PP3/2N2N1P/BPP2PP1/R1BQR1K1 b - -,f6d7
r2qkbnr/pb1npppp/2p5/1p6/P1pP4/5NP1/1P2PPBP/RNBQK2R w KQkq -,e1g1
5k2/8/r7/2R2K2/5P2/8/8/8 b - -,f8f7
2b3rk/1p4r1/pR6/P1pqpp1p/8/4QPPP/6RN/7K b - -,f5f4
2rq1rk1/pbpnnppp/1p1p1b2/3N4/2QPP3/P4N2/BP3PPP/R1B1R1K1 w - -,d5f6
r1q2rk1/1b2bppp/p2p4/1p2p1PP/4P3/1PN1B1Q1/1PPR1P2/2K4R b - -,c8e6
r5k1/ppp1Qpb1/3p2p1/3P4/2P4r/6Pq/PP3P1P/R1B3K1 w - -,e7h4
1n1q2k1/4rp1p/p1p3p1/1p6/1P2PP2/B2rb1P1/2R3BP/2Q2R1K w - -,c1a1
8/pB2kp2/4p2Q/2b1q2P/3n4/6P1/P3bP2/3R2K1 w - -,d1c1
r1bq1rk1/pp1pppbp/2n3p1/3N4/2PN4/4P1P1/PP3PBP/R2Q1RK1 w - -,d1d2
rnb1k2r/pp2ppbp/q1p2np1/8/3P1B2/2N2NPP/PPP2PB1/R2QK2R b KQkq -,e8g8
7r/8/5p2/1p1p1kp1/pB1P1b2/P6P/1P3P2/3R1K2 w - -,d1d3
r3kb1r/4Pppp/p1n1p3/5b2/p2N4/4B3/PP2BPPP/R3K2R b KQkq -,c6e7
1k5r/1pb2q2/2p5/2N5/PP2Q1p1/6P1/5P1p/4R2K w - -,e4e3
rnb2rk1/ppp1qpbp/3p1np1/4P3/2P1P3/2N1BN2/PP2BPPP/R2QK2R b KQ -,d6e5
r1bq1rk1/p4pb1/1pp1p1pp/2p5/3NPP2/3P1NQ1/PPP3PP/R1B2RK1 b - -,c5d4
r4b1r/1p2kp1p/p1n2N2/4p3/3q1p2/8/PPP2PPP/R2QKB1R w KQ -,f6d5
2r5/1p1rbpk1/p2pp1p1/P6p/1PPBPP2/1K1B2PP/4N3/5R2 b - -,f7f6
rnbq1rk1/pp3pbp/3p1np1/2pP4/2P1PN2/2NB3P/PP4P1/R1BQ1RK1 b - -,b8d7
r2qk2r/2pb1ppp/1b6/p1ppP3/P2B1P2/8/1PPQ2PP/RN3RK1 w kq -,d4f2
rb1q1rk1/1p3ppp/p1n5/3p1b2/5P2/2P1B3/PPN1B1PP/R2Q1RK1 w - -,e2d3
8/4k3/4P1p1/2nP1p1p/3p3P/5BP1/4K3/8 w - -,e2d2
2rq1rk1/4p1bp/p1npp1p1/1p2n3/2P5/1P2N1P1/P2BPPBP/1R1Q1R1K w - -,f2f4
r2q1rk1/pp1nb1pp/2ppn1p1/4p3/2P3P1/1P1PP2P/PBQNBP2/R4RK1 w - -,e2f3
r3k1r1/1bq4p/pn1p2p1/1N1Pp1b1/7Q/3B4/PPP3PP/2KR1R2 w q -,h4g5
r2q1rk1/pb1nb2p/1pn1p1p1/2ppNp2/3P1PP1/PP1BP3/1BPN3P/R2Q1RK1 w - -,g4f5
rnbq1rk1/1p2bp1p/p2p1np1/4p3/4P3/1N1BB3/PPPNQPPP/2KR3R w - -,h2h3
r2qk2r/pp2bppp/2p1bn2/8/2NP4/2NBQ2P/PP3PP1/3R1RK1 b kq -,e8g8
2r2r2/2p1n1pk/pp1b3p/5p2/1P3p1N/P2P2P1/3BP1KP/2R1R3 w - -,g3f4
8/8/8/4p1r1/8/R3k1p1/6K1/8 b - -,e3f4
1k6/1p2Rpp1/2b4p/1N5P/BPP3n1/4K3/5r2/8 w - -,e3d4
8/6k1/1pR3p1/p1b5/P5Kn/1P6/8/8 b - -,h4f5
8/2r1k1pp/p2Rpn2/2p1N3/Pp6/8/1PP2PPP/6K1 w - -,d6a6
3r3k/1p3K2/2p1R3/8/1P6/5p2/7r/1B6 w - -,e6f6
N7/1r4k1/4p2p/p4p1R/P3p2p/2K1P3/6P1/5b2 w - f6,c3d4
8/5p1p/6k1/p3r3/4P2P/5BP1/p6K/Rb6 b - -,g6f6
