1r5k/6p1/p4r1p/4QP2/8/7P/6P1/6K1 b - -,b8b5
r1bqnr2/1p1n1pbk/2pp2pp/p3p3/2PPP3/BPN2NPP/P4PB1/1R1QR1K1 b - -,f8g8
2b3k1/2pnq2p/1p1p4/3P2p1/1PP1PpB1/7P/4Q1PK/R7 b - -,g8g7
6k1/5pp1/1b2rn1p/3bp3/2p5/2P3NP/1PqNQPP1/2B1R1K1 w - -,d2f1
r4rk1/1ppnqpp1/1p1p1nb1/3Pp2p/1PP1P3/P4PP1/1B2N1BP/R2Q1RK1 b - -,f6h7
8/2r5/8/4k2p/1p3p2/1B3K2/P4P1P/8 w - -,f3g2
4r1k1/p2q3p/1p2n1p1/3pBp2/3P4/8/PPQ2PPP/2R3K1 w - -,h2h4
8/5rkp/1p2qpp1/p1p1p3/P3P1P1/1P1P1Q2/2P4P/5R1K w - -,h1g2
r4rk1/pb2q3/1p2p2Q/3n1p2/4R3/3B4/PPP2PPP/2KR4 w - -,e4e6
r7/1pr5/2p1b1k1/3pPp1p/3P1Pp1/PRKBP1P1/8/7R b - -,a8a4
r1b2rk1/1p2bppp/p1n5/4p3/8/1N2B3/PPPRBPPP/2K4R b - -,c8e6
3r4/3P1pk1/1p5p/8/p3B3/P2p2qP/1P2r3/2R3RK b - -,e2h2
6k1/3b1pp1/p6p/4p3/pP6/2Q4P/5PP1/1q3BK1 w - -,f2f4
rnbqk2r/pp2bp1p/6p1/3pP3/2pP3P/2P2NQ1/P1P3P1/R1BK1B1R w kq -,h4h5
r1b2rk1/pp3pp1/5q1p/1B1p4/1b1n4/1QN1P3/PP3PPP/2R1K2R w K -,b3b4
r2r4/p4bkp/7N/3pn1p1/4p1P1/1P2P2P/P2R1K2/3R1B2 w - -,h6f7
r5k1/p1pbrpp1/1p1q3p/4n2Q/2BPn3/2P1B2P/P4PP1/2R1R1K1 w - -,d4e5
5r1k/p5pp/2P5/1Pp5/P3p3/6P1/2q4P/3RQ2K w - -,c6c7
r4rk1/1p3bpp/p1n1pq2/2np1P2/8/2P2N2/PPB1N1PP/R2Q1RK1 w - -,f5e6
4r1k1/pp2qppp/2p1r1n1/8/2P5/P2QB1P1/1P3PKP/R2R4 b - -,g6e5
6k1/2p2pp1/8/3p3p/3Nb3/2p4P/rP2R3/6K1 w - -,b2c3
8/8/p7/1p2k3/PR6/2P2K2/1P6/5r2 w - -,f3e2
5R2/1p1r4/p4Bk1/3n2P1/8/1P3K2/P7/8 w - -,f3g4
r4rk1/1p2ppbp/p1npn1p1/q7/1PP1P3/2N2B1P/P2Q1PP1/BR3RK1 b - -,a5g5
4k3/p1R5/2PP4/1r5p/3b4/6PK/8/8 w - -,c7c8
1r1q1rk1/1b2npbp/3pn1p1/2p1p3/4P3/2PPB1PP/3QNPBK/R2N1R2 b - -,d6d5
r4r2/1pp4k/1b1p3p/1P2pQ2/p1P5/P1BP3P/5PK1/1R1R4 b - -,f8f5
r3r1k1/2qbbppp/pp1p1nn1/2pP4/P1B5/1PN2N1P/2P2PP1/1RBQR1K1 b - -,e8b8
8/1Q1nqpk1/5p1p/pp3P2/3P3P/1B4P1/P4P1K/8 w - a6,b7b5
3rr3/1kp1qp1R/1pp3p1/p1n1p3/4P3/3PQ1P1/PPP1NP2/1K1R4 b - -,e8h8
8/5k2/8/4pP2/4PnPP/b1p2K2/2R5/8 w - -,c2c3
r1bq1rk1/pp2nppp/2nb4/2p1p3/2PP4/1P1P2P1/PB2NPBP/RN1Q1RK1 b - -,e5d4
6rr/pp1bkpp1/4p3/3pP3/nR6/1NPB3P/P1PK2P1/5R2 b - -,b7b6
5r2/4q1kp/1p1r1ppn/p1p1pb2/P1P5/3P2PP/1Q1NPPB1/R3R1K1 b - -,f8b8
r4rk1/pp1b2pp/1qn1pn2/3p4/1P1P1b2/P2B1N2/4NPPP/R2Q1RK1 w - -,e2f4
1r1qr1k1/2pn2np/b1Bp1bpB/3Pp3/4Pp2/2N2N2/P4PPP/1R1QR1K1 b - -,b8b1
r4rk1/2pq2p1/p2b2np/1pBPp3/1P6/1Q3NPP/P5K1/2R1R3 b - -,f8f6
6k1/1p4p1/p2r4/3PP3/8/3Q4/q6P/3R3K b - -,d6h6
r1bqrbk1/pp3pp1/2p1pn1p/8/2PP4/5NP1/PPQ2PBP/R1BR2K1 w - -,c1f4
r5qr/p1k1np2/1p1Np1p1/n2pP2p/3B1PP1/P1PQ3P/2P3K1/R4R2 w - -,f1h1
r1b2rk1/pp5p/2ppn3/5pq1/2PPQ3/2N1R2P/PP3P2/2KR1B2 w - -,e4c2
3b1k2/5pp1/4p2p/8/6P1/4PN1P/5P2/6K1 w - -,g1f1
2R5/pr4k1/1p1p4/1P2p3/P3n1p1/4BpP1/2K5/8 w - -,c2d3
2kr3r/p3ppb1/1P6/4n1p1/qP2p1p1/2PbB3/3QNPPP/2RNK2R w K -,d1b2
8/8/1p6/4kbPB/1P1p4/6K1/8/8 w - -,g5g6
3N4/5ppp/3R4/1p4P1/k1p1p3/8/1b2PP1P/4K3 b - -,b5b4
r4r2/pn3pkp/1pN1p1p1/8/2P5/6P1/PP3P1P/3RR1K1 b - -,f8c8
r5rN/1b2pk2/pp1p1n2/2pP2R1/2P5/1PN1B3/P2K2B1/7R b - -,g8h8
6k1/pp1b2pp/4Nb2/3p4/5BP1/1PN1K2P/P1P5/8 b - -,f6c3
r2qr1k1/1b2ppb1/pp1p1npp/2p1P3/P2P1P2/2N1BN2/1PPQ2PP/3R1RK1 b - -,f6g4
rnbqkbnr/pppp1ppp/4p3/8/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq -,b7b6:f8b4:f7f5:d7d5:g8f6:c7c5
r2r1k2/8/1np2p1p/p1n2Pp1/5p2/6B1/PPBNR1PP/R5K1 b - -,f4g3
r4rk1/1pqn1pbp/1n1p2p1/1Rp1p3/2P5/BQ1P2P1/P2NPPBP/5RK1 w - -,d2e4
2R5/Q2n1kpp/p2p2r1/1p1qnp2/4p3/1P2P1PP/PB3PK1/5N2 b - -,f5f4
r3brk1/2pn2p1/1p1p3p/3Pp3/1PP2qP1/3B1P1P/2Q2R2/1R3NK1 b - -,a8a3
r3k2r/p1q1bpp1/1pp4p/4nb2/Q3N3/6PP/PP3PB1/R1B2RK1 w kq -,c1f4
1r3rk1/qb2bppp/p1p5/4nP2/PP2B1P1/2P1P2P/4Q3/1RB2RK1 b - -,c6c5
r3r1k1/pp4p1/2p5/2bn1b1p/4N3/2P2P2/PPK1N1PP/2BR3R b - -,f5e4
3b4/p7/4k1p1/1p5p/4KP2/PPN3P1/8/8 b - -,a7a6
r1b1r1k1/qp3ppp/p1n5/8/N1PpnP2/5N1P/PP2B1PK/R2Q1R2 b - -,a8b8
6k1/p7/2pp2r1/8/2PPp3/7r/P1R1KP2/3N4 w - -,d1e3
6k1/p1q2pp1/1p5p/3Q4/7P/P3P1P1/1P3PK1/8 w - -,h4h5
r2qk2r/1pp1nppp/p1n1bb2/3p4/N2P1B2/P2B4/1PPQNPPP/R4RK1 b kq -,b7b6
r1bqk2r/1p2bppp/p1np1n2/3Np3/4P3/1N1B4/PPP2PPP/R1BQ1RK1 w kq -,c1e3
r2q1rk1/1b2ppb1/1n1p3p/pBpP2p1/P3P3/1QN2Nn1/1P3PPP/R3R1K1 w - -,h2g3
5r2/pp2q1k1/7n/2p4R/1PPpPp1b/P2P1Pp1/3Q2K1/2B5 w - -,b4c5
r2q1rk1/1b3ppp/4pn2/1Qp5/8/5NP1/P3PPBP/R4RK1 b - -,b7d5
r1bq1rk1/pp1nbppp/2p1pn2/8/2PPp3/3B1N2/PP1N1PPP/R1BQ1RK1 w - -,d2e4
6k1/p4p2/3R4/r5PP/6K1/8/8/8 b - -,a5a1
3r2k1/1p2bp1p/p3p1p1/1qP5/1PN5/P2Q2P1/5P1P/3R2K1 w - -,d3d4
5rk1/4qppp/4r3/1pb5/2p5/2np2QP/PP1N3P/R4R1K w - -,b2c3
8/3R1pkp/p3N1p1/Pnr5/8/r5P1/4PPKP/8 b - -,g7f6
r1r3k1/pb2qpp1/1pp2n1p/3p4/Q2P4/3BPN2/PP3PPP/2RR2K1 w - -,d3a6
3r1rk1/2p2ppp/2p1bb2/p7/3n4/1PNP1NPP/PB2PPB1/2R3K1 w - -,f3d4
rnbq1rk1/ppp1bppp/4pn2/3P2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQ -,e6d5
2r3k1/pp2n1p1/4N2p/5P2/1P1q2P1/P7/7P/4R1K1 w - -,e6d4
kb1r4/pp1r3p/5q2/1PRP3P/5pP1/1Q1R4/5B2/1K6 w - -,b3c4
3rrn2/pp4kn/2p1ppp1/6p1/2PP1qQ1/2B5/PPB1RPPP/4R1K1 w - -,g4f4
3qr1k1/5ppp/R2p1b2/1p1P1P2/2nNp3/2P5/1P2Q1PP/5R1K b - -,f6d4
3r2k1/R2bp2p/3p1p1P/3P2p1/1qPQ2P1/1B3P2/2P2K2/8 w - -,d4e3
1r4k1/1p4bp/pN1p1r2/P1pPnp2/4n1Pq/4P3/1PQ1BPPB/R4RK1 w - -,g4g5
