8/p5kp/8/p4b2/2r1p3/4K2P/2P1R1B1/8 b - -,a5a4
8/8/8/2P4p/3Nkp2/1P2n2P/3RK3/5r2 b - -,f4f3
1k6/1p3p1r/p3b1n1/3N4/4P3/1P6/P1PK1R2/8 w - -,d5c3
rnb1kb1r/ppq1pppp/2p2n2/2NpN3/2P5/1Q2P3/PP1P1PPP/R1B1KB1R w KQkq -,d2d4
r2qk2r/5ppp/p1pb1n2/3p4/2pP4/1PNbP1P1/P4PBP/R1BQ1RK1 w kq -,f1e1
4rr1k/ppq3pp/1nnb1p2/2p5/4N1b1/PQ1PBNP1/1P3PBP/R3R1K1 b - -,b6d7
rnbq1rk1/ppp1ppbp/1n4p1/8/3P4/2N2N2/PP1BPPPP/2RQKB1R w K -,d2g5
6k1/5p2/7p/p3pp2/r7/P1R1P1P1/5P1P/6K1 w - -,f2f4
1r4k1/1n2Q2p/1P4np/5p2/5NqP/R5P1/5BK1/8 w - -,e7e6
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/4P3/2N1BN1P/PPPQ1PP1/R3KB1R w KQ -,e3h6
r4rk1/1p2qpp1/p1pbbn1p/P3p3/2B1P3/4B2P/1PPNQPP1/R4RK1 b - -,f6d7
1r1q1rk1/p1n2ppp/1p1bp3/4B3/3P4/P1N2QP1/1P3P1P/R3R1K1 w - -,a1d1
r2qr1k1/1b1nppbp/pp4p1/3p4/3P4/BPRNP3/P3BPPP/3Q1RK1 w - -,d1d2
1rb1qrk1/pp2p1bp/n1pp1np1/5p2/2PP4/BPN2NP1/P1Q1PPBP/R4RK1 w - -,a3b2
5b2/p2b1pkp/6p1/2pBp3/2P5/3QN1P1/Pq2PPKP/8 b - -,d7e8
1nqn1bk1/2p3p1/p2pp2p/4p3/P1N1P3/2PPBN1P/Q4PP1/6K1 b - -,b8c6
8/5K2/7k/6p1/3bN1P1/5P2/8/8 b - -,d4e5
1n2nrk1/Rbq2pbp/1rNp2p1/1ppPP3/5P2/2N3P1/1P2Q1BP/2B1R1K1 b - -,b5b4
5rk1/2R3pp/1p2p3/pP2r3/P3P3/3q1P2/5R1P/6QK b - -,f8f7
rn3rk1/pp2nppp/2pq4/3p1b2/3P4/2PB4/PP2NPPP/RN1Q1RK1 w - -,f1e1
r1r2nk1/2Rnbppp/1p2p3/1p1pP2P/3P4/P4NN1/1P1B1PP1/2R3K1 b - -,c8c7
1r3r1k/1ppq2b1/3p3p/PN1n2p1/2PN1pR1/B2P1P2/3Q3P/R3K3 b - -,b8e8
8/p2r4/Pp3p1B/1Pb2k1p/2n4P/5P2/4K3/2R5 b - -,d7h7
1r4k1/2n1pp1p/1r2b1p1/p1p1P3/B4N2/PP3P2/5KPP/2RR4 b - -,e6b3
rnbq1rk1/1pp2ppp/3p1n2/p3p3/1PP5/P1Q2N2/1B1PPPPP/R3KB1R w KQ a6,g2g3
6rk/2rq1p2/3Np1pb/4P2p/nN1P3P/2n2QB1/2R2PP1/R5K1 b - -,g8f8
3r2k1/1p3pq1/p1p5/Pn4p1/1Q2P1b1/6P1/6BP/2B1R1K1 w - -,c1b2
4r1k1/pp4p1/7p/3pN3/1PP3P1/7P/4bP2/B5K1 w - -,c4d5
8/p4pk1/6p1/1p3q2/8/P1p1Q3/1P4KP/R7 b - -,c3c2
r5k1/1b3pp1/1p2p2p/1Bb3q1/P1Q5/2P1nP1P/2N3P1/2BR1K2 w - -,c2e3
6rr/1p2kp2/3ppp1p/p1n5/P1P1P2R/1PR5/5PPP/3B1K2 b - -,e6e5
rnbqkbnr/1p1ppppp/p7/2pPP3/8/5N2/PPP2PPP/RNBQKB1R b KQkq -,d7d6
2r2rk1/1p1n2bp/p2p4/Pn1P1p2/NPp5/4B1Pq/4BP1P/2RQ1RK1 b - -,c4c3
r1r1n1k1/pn1q1ppp/3pp3/2p5/2P5/5NP1/PPQBPPKP/R2R4 b - -,h7h6
1r1qrbk1/p1p2ppp/3p1n2/2pb4/2P1PP2/7P/PP1N2P1/R1BQR1K1 w - -,e4d5
1r4k1/p2pb1pp/n2Npp2/P1P2P2/4N3/8/4PP1P/3R2K1 b - -,e6f5
r3kb1r/pp3ppp/2p1p3/q2nNbB1/3P4/2P5/PP1Q1PPP/R3KB1R b KQkq -,a5c7
5nk1/pb2bppp/1p2p3/3pP2N/1n1P4/q4P1P/2BBQ1P1/5NK1 w - -,c2d1
8/1p4kp/2b1Bbp1/2P3N1/pB3P2/K1R1n3/PP1r2PP/8 w - -,e6b3
5rk1/5ppp/4p3/2N2b2/nP6/P5P1/7P/3R2K1 w - -,c5a4
r2qk2r/ppp1bppp/2np1n2/4p3/P1B1P1b1/2NP1N1P/1PP2PP1/R1BQK2R b KQkq -,g4e6
2b5/2k2N2/1p6/8/5B1p/5n2/1P6/2K5 b - -,c7b7
3r1rk1/pp1nbppp/q3pn2/4Nb2/3P1B2/2N2B1P/PP3PP1/R1QR2K1 b - -,d8c8
8/2kbb3/1p1p2p1/2pPp1Pp/2P1Nr1P/P2BRPK1/8/8 b - -,d7f5
2r1rnk1/pp5p/5Bp1/n1P1Nb2/6P1/1P6/P3BP1P/2R1K2R b K g3,f5e4
r2qr1k1/p3pp1p/2p1bbp1/6B1/3P3Q/2P2N2/P4PPP/R3R1K1 w - -,f3e5
1r2r1k1/pp3p1p/3pbqp1/8/2P1B3/1P6/P2Q1PPP/3RR1K1 w - -,d2d6
6k1/p4p2/2q4p/8/4Q3/4PKP1/1P5P/8 b - -,c6f6
r1b5/2R5/6p1/1Ppk4/4pPP1/4R3/P6P/6K1 w - -,c7e7
2qrr1k1/1bp2pb1/p3n1pp/P1B1p1n1/1PB1P3/1N2NP2/2Q3PP/3RR2K b - -,h6h5
r1b1kb1r/5p2/pqppp2p/3nP1P1/4N2B/8/PPP3PP/R2QKB1R w KQkq -,c2c4
6k1/1p6/p7/2P5/3nN1P1/P1B2P2/r4K1P/8 w - -,f2e3
8/8/1BK1k1p1/1P4P1/2P5/1n6/8/8 w - -,b6e3
8/8/8/PK5p/8/2P3k1/8/8 b - -,h5h4
r2qkb1r/pp3ppp/1np1pn2/8/3P4/3B1N2/PPP1QPPP/R1B1K2R w KQkq -,e1g1
r1bq1rk1/3pbnpp/3p1p2/pQ6/4N1P1/2P5/PP3P1P/2KR1BNR w - a6,g1h3
r1bqk1nr/ppp3bp/3p2p1/4nP2/2P5/2N1B3/PP2NPPP/R2QKB1R b KQkq -,c8f5
r1q3k1/r4pp1/p1p4p/1p1p4/PPnPn3/3NPN1P/2Q2PP1/RR4K1 b - -,c8e8
2r3k1/1qr1bpp1/1p2p3/1P2N3/Q3n3/P4PPp/4N2P/2RR1K2 b - -,c7c1
r2qr1k1/pb1nbppp/1pp1pn2/3p4/3P1B2/1QP1PN1P/PP1NBPP1/3R1RK1 b - -,d7f8
r1b3k1/p3nqpp/1ppb1pn1/3p4/2PP4/1Q1BNNP1/PP1B1P1P/R5K1 w - -,a1c1
8/4P3/6kP/2NK4/1p6/2r5/8/8 b - -,g6f7
r1b1kb1r/pp1nppp1/1qp2B1p/3p4/3P1P2/2N1P3/PPP3PP/1R1QKBNR b Kkq -,d7f6
rnq2rk1/pp2ppbp/2p2np1/P2pNb2/3P3N/2P3P1/1P2PPBP/R1BQR1K1 b - -,f5g4
r1b1r1k1/pp2bpp1/2pp1n1p/2n2N2/Pq2PP2/2N2Q2/BPP2BPP/3R1RK1 w - -,d1d4
r3k2r/p2npp2/1qp1b1pp/1p1nP3/2pQN2B/1P2P3/P3BPPP/2R2RK1 b kq -,d5f4
2r5/5pk1/4p1p1/3pK1P1/1prP4/1R6/PR3P2/8 w - -,b3b4
1r3rk1/p4qb1/3pb1p1/2p1pp2/1pPnP1pP/3PB1P1/PP1Q1PBN/1R2R1K1 w - -,e3d4
br3rk1/pq4pp/4p3/3nBp2/4n3/P4NP1/Q3PPBP/2R2RK1 b - -,b8c8
5rk1/1p3pp1/2r4p/1p2pPP1/4P2q/P3QR2/1P5P/6RK w - -,f3h3
4r1k1/5p2/2R3p1/7p/1R1N3b/4B3/r3b1PP/6K1 w - -,d4e2
3r1rk1/pp3p2/8/2b1n1PP/4QBq1/8/PP6/3RKR2 w - -,d1d5
8/2kn1Q1p/2r5/1q6/1pp5/4N3/PP3PPP/3R2K1 b - -,c6c5
q1r3k1/4ppbp/r1pn2p1/4N3/3P4/p4QP1/P1R1PP1P/B4RK1 b - -,d6f5
rn2qrk1/pbp2pBp/1p2pnp1/3p4/2PPP3/2NB1N2/PP1Q1PPP/R3K2R b KQ -,g8g7
r1bq1rk1/1p2bppp/p1npp1n1/8/3NPP2/2N1B2P/PPP1B1P1/R2Q1RK1 w - -,d4c6
6r1/ppn1kp2/4b3/7R/2PN2n1/4PB2/3N1PP1/4K3 b - -,e6c8
3r1rk1/1bq1bppp/p1n1pn2/1ppp4/5P2/PP1PPNP1/1BPNQ1BP/R3R1K1 w - -,c2c4
r3k2r/pp3p2/2n5/5PB1/2pPn2p/P1P5/4B2P/R3K2R w KQkq -,g5d2
r1b1R3/1p4kp/2pQ1pp1/pqP5/8/1P4PP/PB3K2/1R6 w - -,d6f6
2r2rk1/p3q1b1/bpp1p2p/3pPp1n/2P3p1/1P1NBBP1/P3PP1P/2QR1RK1 w - -,f3g2
2r1k2r/4n3/p2Bpp2/1p5p/1p1p4/5N1P/P1P4K/R4R2 w k -,f3d4
r1bq1rk1/p3ppbp/1pnp1np1/2pP4/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,c6a5
r4rk1/pb2bppp/1pp2n2/4q3/P1B1P3/2N5/1PP1Q1PP/R1B2R1K w - -,f1f5
rn1q1rk1/1pp2pp1/p3pb1p/8/P1QP4/2N2BP1/1P2PP1P/R4RK1 b - -,c7c6
