8/1R4P1/6K1/7P/p7/k7/1p6/7r b - -,h1g1
r3kb1r/pp1npppb/1qp2n1p/5P2/2B5/2NP2N1/PPP1Q1PP/R1B2R1K b kq -,h7g8
r4r1k/pp4pn/1q1b1Bp1/3Q1p2/2B2P2/8/PP4PP/R4RNK b - -,h7f6
2b1r1k1/2q2pp1/r1p4p/pQ6/4n3/P4NP1/1P3PBP/2R1R1K1 b - -,c7a7
2r2rk1/p4pp1/2n4p/1p4b1/8/2N1P1B1/3P1PPP/R2R2K1 b - -,g5f6
rnbqk2r/pp3ppp/1b2pn2/8/2p5/6P1/PP1NPPBP/RNBQ1RK1 b kq -,e8g8
5rk1/q1rbpp1p/3p2p1/3P4/1R4P1/1BP1Q2P/1P1K4/4R3 b - -,c7c5
6k1/2R2pp1/4Q2p/8/8/6PP/P4P1K/1r6 b - -,f7e6
4r2r/ppp1nkpp/2nb1p2/3p4/3P4/2P1BN1P/PP1N1PP1/2KRR3 b - -,h7h5
8/5pk1/8/7p/P1P1r3/1R2b3/4K1PP/8 w - -,b3e3
rnbqk2r/pppp2pp/4pn2/5pB1/1b1P4/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,b7b6
1r4k1/6p1/2q1p2p/2pRPp2/1pQ5/1P2P1PP/5P2/R5K1 b - -,e6d5
4R3/pp4kp/2p3p1/1PPn4/2Q5/P4rq1/8/4R2K w - -,c4d4
1r1r1k2/Qb3p1p/1p1p1b2/4q1p1/2P1n3/1P2B1N1/P4PPP/1BRR2K1 b - -,e4c5
1k6/1p3p2/p3b1p1/3qP3/6P1/2Q2P2/1P1K4/3B4 w - -,d2e1
r4rk1/1bqnbppp/pp1p1n2/4pP2/4P3/1NN1BB2/PPPQ2PP/R4RK1 w - -,g2g4
r4rk1/1p1bqppp/p1n1p3/3pP3/3P1P2/2N2N2/PP1Q2PP/R4RK1 b - -,f7f5
r4rk1/1bpq1ppp/pb1pNn2/1p6/P2PP3/1B1Q3P/1P3PP1/RNB1R1K1 b - -,f7e6
r5k1/4qpp1/1n1pp2p/3n4/1BbP4/P4PPP/3QP1B1/2R2NK1 b - -,d5b4
r1b2rk1/1pp2pp1/3q3p/p1p5/2Pp1P2/P2P2P1/1P1QP1BP/4RRK1 b - f3,c7c6
r2r2k1/ppp1ppbp/2n3p1/2N5/3P4/4PB2/PP3PPP/R1R3K1 b - -,a8b8
4r1k1/p1b2r1p/2pB2p1/8/2N5/2PNnp1b/PP1R3P/2K3R1 w - -,c4e5
5rk1/8/p5p1/1p6/3N4/PPPbR3/r7/2K4R w - -,e3h3
rr3k2/1q2bp1p/bn6/3pPp1Q/p1pP4/1nP1B3/1P1N2PP/1R2RBK1 b - -,f8g8
1rbqr1k1/ppp2pbp/3p1np1/5p2/2PP4/2NQP1P1/PP2NPBP/R4RK1 w - -,f1d1
1k5r/pb3p2/1pp1p1n1/2p1q3/4P3/2NPQ3/PPP1NPP1/2KR4 w - -,f2f4
3r4/p4p1k/2p4p/6p1/PP2R3/3r4/6K1/2R1B3 b - -,d3a3
r7/pp2bpk1/2b1p1p1/4n3/4N3/1BP5/P4PP1/3RR1K1 b - -,a8h8
3r2k1/N4p2/1pB1p2p/3n2p1/4b3/1R3N1P/5PP1/6K1 w - g6,c6d5
r5k1/pp1q1pp1/1bpp1n1p/4nP2/P4B2/2P4P/1PB2PP1/R2QN1K1 b - -,a8e8
8/4k3/4P3/2P2K2/5P2/8/8/8 b - -,e7d8
r4rk1/1pq1b1pp/2p1pn2/p3p1B1/P7/2N4P/1PP2PP1/R2QR1K1 b - -,e7b4
b1r5/p3qNkp/1pp1p3/6Q1/P1PP3r/3R1B2/1P3P1P/6RK b - -,g7f7
2r1kr2/ppqbn1pp/4p3/3pP1NQ/P7/B1b5/2B2PPP/R4RK1 b - -,e8d8
r1br2k1/1pp1qpbp/pn1n2p1/2BPp3/4P3/1PN2P2/P5PP/1KQR1BNR w - -,h2h4
r2q1rk1/3nbp1p/b1n1p1pP/2ppP3/pp6/3P1NP1/PPP2PBN/R1BQR1K1 w - -,a2a3
r1bqrbk1/1ppp1ppp/p1n2n2/8/B1PPp3/PPN1P3/1B1N1PPP/R2QK2R w KQ -,b3b4
r1bq1rk1/p3nppp/2pp1n2/1pb1p3/4P3/P1NP1N1P/BPP2PP1/R1BQR1K1 b - -,c8e6
3r4/1bp2pkp/pp1rp3/6p1/3P4/P2R1PP1/1PP3NP/3R2K1 w - -,g1f2
r3kb1r/pp1qpppp/2n1b3/2Pp4/3Pn3/P1N1B3/1P3PPP/R2QKBNR b KQkq -,g7g6
4r1k1/1p5p/3N2pb/p1P5/8/PP2prPP/2R3K1/8 w - -,g2f3
rn1bqrk1/ppp2p1p/6p1/3Np3/2P1P1bP/5N2/PP1QBPP1/R3K2R b KQ -,g8g7
1qr3k1/2p2ppp/1n2pn2/1P1p4/1P1P4/4PB2/1B3PPP/R2Q2K1 w - -,d1c2
6k1/pp2b1pp/2p5/3p2n1/3P4/3NB3/PPP2K1P/8 b - -,g5e6
r2q1r1k/pppb2pp/3b1p2/2nPp3/4P1B1/2P1B3/P2NQPPP/R4RK1 b - -,d7e8
r2q1rk1/3nppbp/6p1/1Q1pPb2/p7/5N1P/PPP2PP1/R1B1RNK1 b - -,d8c7
1r3r1k/bpp2qpp/p3np1n/4p3/4P2B/1QP1NN1P/PP3PP1/3RR1K1 w - -,e3f5
6k1/pp2R1p1/1nb2p1p/2N4P/5rP1/P4P2/1Pp5/2K5 w - -,c5e6
8/8/5p2/B5p1/2n1P1k1/6r1/R4K2/8 b - -,g3f3
N6k/1p5p/p2p4/2pPb3/2P1R3/P7/1r6/6K1 w - -,a8c7
4r1k1/p4pbp/r2p2p1/2pBnq2/8/1PB3P1/P1Q1PP1P/2RR2K1 b - -,f5h5
3bR3/3r1p1k/2p5/pp3NPp/P2PK2P/1P3P2/8/8 b - -,b5a4
rnbqk1nr/pp1pp2p/6p1/2pP1p2/2P5/2P3P1/P3PP1P/R1BQKBNR b KQkq -,d8a5
rnb2rk1/1p2ppbp/p5p1/8/3PP3/4BN2/P2K1PPP/2R2B1R b - -,e7e6
1rbqk2r/3pppbp/2n2np1/pp6/4P3/P1N3P1/1PP1NPBP/R1BQK2R w KQk a6,e1g1
8/2b5/6p1/5k2/5P1P/4N1K1/8/8 b - -,f5e4
6k1/r1p1r1pp/1p1p1n2/3Pnp2/1P1B4/4P1P1/5PBP/R2R2K1 b - -,a7a1
rn1qk2r/1b2bppp/p1p1pB2/1p6/P1pP4/2N2NP1/1P2PPBP/R2Q1RK1 b kq -,e7f6
8/6k1/2R3p1/1p2r2p/p6P/P5P1/1P3P2/5K2 b - -,g7f7
5B2/KN6/6pp/3k4/P1n4P/6P1/5n2/8 b - -,f2e4
4rrk1/1p1b1pbp/p2p2p1/P7/1qPpPB2/1P4P1/5PBP/2RQ1RK1 w - -,d1e1
2r1qrk1/1b2ppbp/p5p1/2BP4/8/5P2/P3B1PP/2RRQ2K b - -,g7h6
8/2pk2pp/P2b4/1pq5/8/5P2/5NPP/5QK1 w - -,f1a1
r2q1rk1/pp1nnppp/2pb4/3pp2b/4P3/2PP1NPP/PP1N1PB1/R1BQ1RK1 w - -,d1c2
r2q1rk1/1ppn1pbp/2bp2p1/pN6/PnP1P3/1P1B1P2/1B1QN1PP/3R1RK1 w - -,b2g7
3R1b2/2B2kp1/p6p/5p2/N3b3/1P3r1P/P1P1K3/8 w - -,c2c4
1brqr1k1/pb3ppp/1p2p3/1N1p4/2P1Pnn1/1P1BQ1N1/PB3PPP/2RR2K1 w - -,e3f3
r1b1rn1k/ppq3b1/2p4p/4p3/PPP1np2/3B1P2/2Q1NBPP/4RRK1 w - -,d3e4
r1bR4/6k1/p3p2p/1p6/5p2/P6P/BP4PK/8 w - -,a2e6
r1q1kb1r/1p3ppp/p1n1pn2/4Nb2/B2P4/2N5/PP3PPP/R1BQ1RK1 b kq -,f8d6
5bk1/1b3ppp/q2pr3/pN2p3/P1r1P3/1pPRB1Q1/1P4PP/2NR3K b - -,e6g6
r4r1k/2qb1nnp/pp1p4/2pPpp2/2P3P1/PPNB1PN1/2Q4P/1R3RK1 b - -,f5g4
6rk/pp3Rnp/3P4/1PpP2p1/6b1/P3p1P1/1B2P2P/6K1 b - -,h7h5
5rk1/2q2p2/1p4p1/p3B1b1/P7/1P3R2/5QPP/5RK1 b - -,c7e5
3r1k2/5p2/p3p2p/1b1pP2B/3P1P2/6R1/5rP1/4R2K w - -,h5f3
2k3r1/1p1rb2p/5pp1/2P1p3/1P1n4/3NB3/1K3PPP/3R2R1 b - -,g8d8
r5k1/1p3p2/1P4p1/3P3p/5P1P/2Q3P1/4qP2/3R2K1 w - -,c3d3
1rbqk2r/1pp2ppp/p1n1p3/4N3/QnpP4/2N3P1/PP2PPBP/R4RK1 b k -,e8g8
2rr2k1/1p2ppbp/1np2qp1/p3N3/P1PPbBB1/1P5P/5PP1/2QRR1K1 b - -,e4f5
8/8/3bk3/7p/1p1KP1p1/1P4P1/2P5/4B3 b - -,h5h4
1r2k2r/2bn1pp1/p1qp3p/4pP2/2p1P2P/P1N1BP2/1PPQ4/KR1R4 b k -,d7f6
r4rk1/pp1nbppp/4pq2/8/4B1b1/2P2N1P/PP1BQPP1/2KR3R b - -,g4f3
r1r3k1/pp2q1pp/2b1p3/2PpPp2/3P4/2Q5/P3PPBP/1R3RK1 b - -,c6e8
rq3rk1/1b3ppp/p3Bnn1/1p6/1b1NP3/2N1BP2/PP4PP/2RQR1K1 b - -,f7e6
2rr2k1/3n3p/1q2bpp1/p1p3Q1/3pP3/1P4P1/P1RN1P1P/2R2BK1 w - -,g5h4
1r3rk1/1pqb1pbp/p2p1np1/P1pP4/1nP2PPN/2N4P/1P4B1/R1BQ1RK1 b - -,h7h6
r3r1k1/p4pbp/1pp1bnp1/8/P1NP3B/4P3/4BPPP/1RR3K1 b - -,e6d5
8/1pk2pp1/2p1p3/8/p1b3P1/P1P2P2/6K1/1B6 b - -,c7d6
1r4k1/4p3/3p4/2pP4/4P1p1/1P2RnP1/5K2/4B3 b - -,g8f7
