8/7p/6rP/Pk6/1P5K/8/3B4/8 b - -,b5a6
8/5pk1/2rPp1p1/p3RnPp/1p1P3P/1P5K/P2R1P2/8 b - -,f5d6
2b1r1k1/p5p1/4pn2/q1Np2P1/1r6/1PQ2N2/P4PP1/2R1R1K1 b - -,f6g4
5n2/r4Pk1/pR2p1p1/P4n1p/8/6P1/6KP/1R6 w - -,g2g1
r3kb1r/p2q1pp1/1pn1p2p/2ppP2P/3P1P2/2PQ2N1/P1P3P1/1RB2RK1 w q -,f1f2
r4r1k/6bp/p1nq1np1/2pp4/Pp6/1PNBP2P/1B3PP1/1R1Q1RK1 w - -,c3e2
6k1/R7/2rB1p2/2P2P2/3K4/8/8/5b2 b - -,f1g2
b5k1/5ppp/Pq1nn3/1P1p1P2/1Q1Pp3/1N2P3/2r3PP/1R3BK1 b - -,e6c7
2n1qrk1/6r1/p2p1n1b/2pPp2p/2P1Ppp1/P1NN1P2/3B2PP/1R1Q1R1K b - -,h5h4
q3r1k1/1b1nppbp/pp1p1np1/2r3B1/2P3PQ/1PN2N2/P3PPBP/2RR2K1 w - -,a2a4
7k/4R3/5N2/p1NK4/P2r4/8/8/8 w - -,d5e6
r1bq1rk1/pp1nb1pp/2n1pP2/3p4/3P4/3B1N2/PP2NPPP/R1BQ1RK1 b - -,f8f6:d7f6
r2r2k1/p4ppp/1p5q/2nNP3/b3P1P1/P2p2P1/1P4B1/1Q1RR1K1 w - -,d1d3
r2q1rk1/1p1bbppp/pn2pn2/4N3/P2P4/1BN5/1P3PPP/R1BQR1K1 b - -,a8c8
k6R/p7/1p4p1/4Br2/5n2/P7/1P3P2/1K6 b - -,a8b7
r2q1rk1/pp1bppbp/2np2p1/8/3NP3/2N1BP2/PPPQ2PP/R4R1K b - -,a7a6
1rb1r1k1/pp1nqpb1/3p1npp/PPp1p3/Q1P1N3/2BPN1PP/4PPB1/1R1R2K1 w - -,g1h2
4rK2/1p5p/p7/8/P7/1P5P/8/5k2 w - -,f8e8
8/2k5/8/pn1p1R2/3P4/3N3r/3K4/8 b - -,h3h2
r1b5/1p3k1p/p7/P3P3/5Pn1/2r1BR2/P1P3PP/R5K1 w - -,e3d4
8/8/5Qpk/2pPp2p/2P5/8/8/4q1K1 w - -,g1g2
2r2k2/pp3bpp/3p1p2/3P4/P1n2B2/8/5PPP/2R1R1K1 w - -,e1d1
2r2rk1/pp2ppbp/2npb1p1/8/2P1P3/1PN3PP/P2R1PB1/B4RK1 b - -,a7a6
r3r1k1/3n2Pp/p2ppb2/8/1p1Nq3/4B3/PPP2Q1P/2K2RR1 w - -,e3h6
r2q1rk1/1p1bpp1p/p1np2p1/8/2P5/1PQ2NP1/P3PPBP/R4RK1 w - -,f1d1
2rr2k1/pp1qb1pp/2n2p2/2pnp3/6b1/PP1PPNP1/1B1NQPBP/2R2RK1 w - -,d2e4
r4k1r/pp2n1pp/2p2p2/3n4/3N4/P4P1b/1PPBB2P/2KR3R w - -,c2c4
8/1p2qp1k/2p3pp/p1P1r3/2P4P/1Q4P1/5P2/1R4K1 b - h3,e7c5
rn1qkb1r/p2p1ppp/bpp1pn2/8/2P5/1PN2NP1/P2PPP1P/R1BQKB1R w KQkq -,f1g2
3q1rk1/1bppb1pp/1pn1p3/1NP2p2/1P1P4/4PN2/1Q1nBPPP/4K2R w K -,b2d2
6k1/7p/p1R1p3/4p3/4P3/8/1r3PPP/6K1 w - -,h2h4
r1b1k2r/pp1n2bp/2n1pqp1/2pp4/3P3P/2PB1N2/PP2NPP1/R1BQK2R w KQkq -,h4h5
6k1/p5p1/1pr1p2p/8/4q2P/1P6/P1pQ2P1/2R2K2 b - h3,c6c5
8/2Q4p/1p3qk1/p1p5/2P2p2/1P5P/P4PK1/8 b - -,h7h5
3r1rk1/pbq1np2/1pn1p1p1/2p4p/2P1PP1P/3P1RP1/Pb1NN1BK/1R2Q3 w - -,b1b2
3rk1r1/ppp1qpPp/2n1b3/8/2pN4/8/PPP2PPP/RN1QR1K1 w - -,c2c3
8/1p6/1prbkn2/3p1p1p/3P2p1/P1R1PPP1/1P2N1K1/4B3 w - -,c3d3
8/7k/p2p2p1/1p5p/1P2pq2/P4r1P/1R2Q1KP/8 b - -,f3a3
2r3k1/p1n2pbp/1p3qp1/8/2B5/1Q4PP/PP1B1P2/R5K1 b - -,b6b5
r4rk1/2nnp1bp/q2p1pp1/p1pP4/P3PB2/2N2N1P/1PQ2PP1/3R1RK1 b - -,a8b8
3rr1k1/ppp1q2p/2n3pb/3npp2/8/PP1PPN2/2Q1BPPP/2BRR1K1 b - -,f5f4
rnb1kbnr/1p3ppp/p3p3/3q4/3p4/2P1BN2/PP3PPP/RN1QKB1R w KQkq -,c3d4
2kr1b1r/1R5p/1P1p2p1/1P2p3/2P1B2P/4n3/4N3/4K2R w K -,b7c7
8/6p1/7p/1K3pk1/4p3/R5Pn/8/8 w - -,b5c4
4k3/4bp2/ppp5/2p1P1p1/2P3Pr/3r1P2/PP4KB/3R4 w - -,d1d3
6k1/2r2pp1/p5p1/8/2p1r3/P1P3P1/5P1P/1R3RK1 w - -,b1b2
r4qrk/3bb2p/2p1p3/p1PpPpp1/1P1N1P2/P2B2P1/3Q3P/R5RK b - -,f8h6
3R1rk1/4qppp/pQ3n2/8/1P2p3/P5P1/4PPBP/2R3K1 b - -,f8d8
3r4/p3k2p/Pp6/1P2PR2/2pP4/2K5/7P/8 b - -,e7e6
r5k1/1p2q2p/p1p1b3/2Pp4/PPnPp1r1/1Q4R1/5PBP/R3B1K1 w - -,g3g4
5rk1/p1q2p1p/1p2p1p1/1P2n3/P3B3/2r3P1/1Q3P1P/R3R1K1 b - -,f8c8
1rq2bk1/2n3p1/p2p3p/2pPp1r1/2N1Pp2/RP1N1P2/2PK2PR/7Q w - -,h1a1
rnbqk2r/ppp1ppb1/3p3p/6pn/3P4/3BPNB1/PPPN1PPP/R2QK2R b KQkq -,e7e6
1r2nk1r/ppq2pp1/2p2bp1/2Pp4/4P3/2Nn2PP/PPQB1P2/K1R4R w - -,c2d3
rnbq1rk1/ppp1ppbp/1n4p1/8/8/PQN1PN2/1P1P1PPP/R1B1KB1R w KQ -,f1e2
r1bqkb1r/pp2pppp/2p5/8/1PPn4/2N5/PB1PBPPP/R2QR1K1 b kq -,g7g6
6k1/1p3pp1/1p2r3/3pn3/7p/1PP2P1P/P1n1B1P1/R3R1K1 w - -,g1f2
8/8/6k1/4B3/1N3P2/4N2r/p3K3/8 b - -,h3h2
rn1qkbnr/ppp1pppp/8/3p1b2/2PP1B2/8/PP2PPPP/RN1QKBNR b KQkq c3,e7e6
1r1qr1k1/2pb1p1p/p4np1/np1Pp3/1b2P3/2N1BPP1/PP1QN2P/2R1KB1R w K -,b2b3
k2r4/8/p3p2p/n4p2/p4PpP/B1R3P1/q1Pp3R/3Q2K1 b - f3,a5c4
r7/1p4pN/1kn1Q1p1/pq2P3/2p1R3/7P/1P3P2/6K1 b - -,b5b2
8/8/8/6pB/1bP5/2kR2KP/6P1/8 b - -,c3d3
rnbqkb1r/pp3p2/2p1pp1p/3p4/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3
2r2rk1/ppq4p/6p1/6P1/2P1Q2R/6P1/PP6/1K5R b - -,c7c6
r3k2r/q3bp2/p3p3/1b1pP2p/1p1P2pP/1P4B1/P1Q1NPP1/2R1R1K1 w kq -,e2f4
r1bq1rk1/ppp1n1bp/3p1p1n/3Pp1p1/2P1P3/2N2NBP/PP2BPP1/R2QK2R w KQ -,g3h2:d1d2
r2qr2k/7p/5pp1/pp1P2P1/2p1PQ1P/P7/1P6/1KRR4 b - -,f6g5
2r2rk1/5pbp/pqn1pnp1/1p1p4/P2P4/BPP2BPP/2N2P2/R2QR1K1 b - -,f8d8
rn1r2k1/1p3ppp/p3pq2/8/1b6/2P3N1/PP2QPPP/R1B2K1R b - -,b4e7
8/1p1q1pk1/3p2p1/4p3/2P1P1P1/1P3Q2/5P2/7K b - -,d7e7
r1bqkbnr/pp3ppp/2n5/4p3/2Pp4/N2P1N2/PP3PPP/R1BQKB1R w KQkq e6,a3c2
2rr2k1/p4pp1/Qn1q3p/2pp4/8/P1R1PN2/1P3PPP/2R3K1 b - -,c8c7
rn1k1b1r/pp1b1p1p/8/4pp2/3p4/N7/PPP1PPPP/2KR1BNR b - -,f8a3
8/3k4/5rp1/1K4Rp/2P4P/6P1/8/8 w - -,b5c5
r2qr1k1/pbp1bppn/1pn1p2p/4p3/3P1P2/2PBNN2/PP2Q1PP/R1B2RK1 w - -,f4e5
3r2k1/5pp1/4p1p1/p1R5/Pp4P1/4P2P/1PK2P2/8 b - -,d8a8
4Q3/1b2rp1k/3q2pp/R2P4/1p1p2P1/1P3p1P/2P5/5BK1 w - -,e8f8
1rbqnrk1/4ppbp/p2p2p1/1pp2P2/2PnP3/2NP2PP/PP2N1B1/1RBQ1RK1 w - -,e2d4
2r3k1/ppqn3p/3r2p1/8/2pPQ3/2P5/P5PP/2R1RNK1 w - -,e4h4
3rr1k1/pbq2pbp/1ppp1np1/4n3/P3P3/2NBBN1P/1PP1QPP1/3RR1K1 w - -,f3e5
2rqk2r/1pp1ppb1/p5pn/4P2p/2NPnP2/4BN2/PPQ3PP/R3K2R b KQk -,d8d5
6k1/3n1p1p/p1p3p1/1pb1p3/1P2P3/Pb2N1PP/5PBK/3N4 b - -,b3d1
r1b1k2r/pp1nqpbp/2pp1np1/4p3/3PP1P1/2N1BP2/PPPQ3P/2KR1BNR w kq -,d4e5
2r3k1/5p2/bQ1p2p1/p2Pp2p/2p1q3/2P1PBP1/P5K1/5R2 b - -,e4c2
8/8/5R2/4r3/8/8/5K1p/7k w - -,f6f8
8/1p1bk3/p3p2r/3p4/3P4/P3KP2/1P1R4/5B2 w - -,e3f4
2r1r1k1/pp1q1ppp/2n5/5bb1/3p1N2/1Q1P2P1/PP1B1PBP/2R1R1K1 b - -,h7h5
