7k/p4r1p/6p1/2p5/8/6P1/P6P/4R1K1 w - -,e1e8
r1b2rk1/1ppp1ppp/pb5B/4q3/PP6/1QPB4/5PPP/RN3RK1 b - -,g7h6
r1q2rk1/pb2bppp/np3n2/2pp4/3P1B2/2N2NP1/PPQ1PPBP/3R1RK1 w - -,f4e5
2rr2k1/pp3pp1/3P3p/1BP3q1/1P3n2/Pb5P/1BQ3P1/3RR1K1 w - -,c2e4
3r1rk1/pb1Nbp1p/1pn1p2q/6p1/4P2P/1P4P1/P4PB1/R1BQ1RK1 w - g6,h4g5
8/p2n1kp1/1p2pnbp/PPp5/2P3P1/7P/1B1NPPB1/6K1 w - -,a5a6
8/8/1p6/2p5/2P2p1p/1P1k3p/P4P2/6K1 w - -,g1h2
2R5/p4k2/1p6/2p3P1/5K2/8/8/r7 w - -,c8c6
8/3q2k1/6r1/2R4p/1p2PNpP/1P1P1RP1/6QK/r7 b - -,g4f3
r1bq1r2/ppp1n1bk/3p1npp/2P1pp2/1P6/1QNP1NP1/P3PPBP/1RB2RK1 w - -,c5d6
r2qr1k1/pb2bppp/1pn2n2/2pp4/3P4/PPN2NP1/1B2PPBP/R2Q1RK1 w - -,e2e3
r1qr2k1/pp2ppbp/nnp1b1p1/8/3P4/2N2NPP/PPQ1PPBK/R1BR4 b - -,c6c5
8/1p4R1/p1k5/4p3/2P2n2/KPN5/P7/5r2 w - -,g7f7
r2q1rk1/ppp1bpp1/2n1b2p/3np3/8/P1NP1NP1/1P1BPPBP/R2Q1RK1 b - -,d8d7:a7a5
r1b2rk1/ppq1ppbp/2n3p1/8/3PB3/2P2N2/P4PPP/R1BQ1RK1 w - -,f1e1
6k1/5p2/4r1Q1/ppbp3p/4bB2/2P5/PP2R1PP/5R1K b - -,e6g6
8/5pkp/4p3/8/4KP2/1R4PP/7r/8 b - -,h2h3
q3r1nk/3bbppp/p1np4/1pp5/4PP2/2PB3P/PP1NQBP1/R2R2K1 w - -,a2a4
8/5p1k/4pP1p/8/5K2/2B5/6bP/8 b - -,h7g6
r1b2rk1/1pB2ppp/p1n1p3/8/1q2N3/1N2b1P1/PP4BP/R2Q3K w - -,c7d6
rn1q1rk1/pp2ppbp/2pp1np1/5b2/2PP4/2N3P1/PP2PPBP/R1BQNRK1 b - -,d8c8:f5e6:e7e5
1r2r1k1/3b1pbp/3p1pp1/1p1N4/1q2P3/1P1Q4/2P2PPP/3RRBK1 b - -,b4c5
8/7p/p3k3/np3p2/5P1P/PPNK4/8/8 w - -,d3c2
6R1/8/4p2p/4kn1P/8/5K2/8/8 b - -,f5d4
2br1r2/pnq3kp/1p3pp1/3Pp3/2p1P2P/2P3N1/P1BQ1PP1/2RR2K1 w - -,h4h5
5r2/4bp2/2p1k2r/p1p1P2p/2Pp1Rp1/1P1N4/P2P2PP/5RK1 w - -,f4f5
1r6/5pk1/8/5PP1/7K/R5P1/8/8 b - -,b8b5
2r1k2r/p3bpp1/q3p1b1/1N1pP3/P1p2RP1/2R2N1P/5P2/2Q3K1 w k -,f3d4
r3r3/1p1nqpbk/p2p2pp/2pPp2n/P1P1P3/1PN2PP1/1B1QN1KP/3RR3 b - a3,e8g8
r4rk1/1p2pp1p/2bp2p1/q1n5/p1PbP3/2N3P1/PPR1QPBP/3R2K1 w - -,d1d4
2r5/p5pp/1p2pk2/8/1N3n2/PP6/5PPP/R3K3 w - -,g2g3
r3kb1r/1bq2ppp/p2ppn2/8/2n1P3/1NN3P1/RPP2PBP/2BQR1K1 w kq -,d1d4
5r1r/1p3pk1/p4q2/4p1p1/4Pn1p/2P1Q2P/PP1R1PP1/3BR1K1 b - -,f8d8
r7/p5k1/2pp1rpp/2p1p3/2PnP2P/2NP1PK1/PP6/4RR2 w - -,f1f2
8/P4R2/r7/4p1p1/4k1Pp/7P/5P2/1K6 w - -,b1c2
2r2r2/p3q1k1/1p4pp/n4p2/3Q1P2/1PN3PN/P1b2RBP/6K1 b - -,g7h7
3rk1nr/pp1qbpp1/2n5/1N1p4/5Bbp/1QP3P1/PP3PBP/RN2R1K1 b k -,e8f8
4r1k1/pp5p/2q1Ppp1/2p5/P1P1Q2P/1P4p1/8/4R1K1 b - -,c6e4
8/1p5k/p5p1/1bP4p/1P2Pr2/7P/3r1NP1/1R2R1K1 w - -,f2d1
1r4k1/1pr1q3/3Np1pp/p1PpPp2/P7/6P1/P1R4P/2R2BK1 b - -,h6h5
r3kb1r/1p3p1b/pq2pPp1/3p2P1/3n3P/2NB4/PPP2P2/R2QK2R w KQkq -,c3e2
4r2r/1p2q1k1/2np1p1p/p1p3p1/P1PpPPb1/1P1P2P1/3QN1BR/4K2R b - -,g7g6
R7/1p6/2b1n3/p1p1k1p1/P1P1P1P1/1P5P/2BbK3/8 b - -,d2b4
1rb3k1/1ppnqrbn/p2p1p1p/3Pp1p1/2P1P1PP/2N1B3/PPQNBP2/2KR3R b - -,d7c5
5rk1/1bp2pp1/p2b1q1p/1r2N3/3P1P2/1PQ5/PB4PP/R4RK1 b - f3,f6f5
rr3nk1/2p3p1/2Ppq3/1p2Ppp1/1B3P2/P3Q3/1P5R/1K5R b - -,g5g4
2r3k1/5pbp/1q2b1p1/2p1n2n/2p5/Q5P1/1PNN1PBP/2B2RK1 w - -,c2e3
3k4/7p/pN1P2p1/4nb2/1p6/4P2P/1P1R2K1/8 w - -,d2d4
6k1/p3bppp/1pp1n3/4n3/N3P3/6P1/PPP4P/1KBB4 w - -,b2b3
2r1k2r/pb1pbpp1/1p1Pp2p/n1q1P3/2P5/3B1NB1/P3QPPP/R2R2K1 b k -,b7f3
8/3k2pp/1p3p2/3PpP2/p1KnP3/P5P1/1P1N3P/8 b - -,d7d6
8/8/8/6K1/5RP1/kpp3P1/8/8 w - -,f4c4
8/1p1r4/6kp/6p1/1R1p1r2/P1PR4/1P3P1P/6K1 b - -,d7f7
7r/1pR5/p4k2/3p2p1/1P1P4/5PP1/P6p/6K1 w - -,g1h1
2rr2k1/1b3p1p/1q4p1/1p1P4/1p1b4/P1N3P1/3Q1PBP/2R1R1K1 w - -,a3b4
2r3k1/1b2pp1p/p2p2p1/4n3/qpP1P3/1N3P1P/2P1K1P1/1RQ1R3 w - -,b1a1
3r4/4kpp1/p3p3/4P3/2n2P1N/7P/P4KP1/1R6 b - -,d8d2
r2q1rk1/pp2ppbp/n2p1np1/2pP1b2/2P2B2/2N1PN2/PP2BPPP/R2Q1RK1 b - -,d8b6
3r1rk1/1bqn1pb1/pp1pp1np/2p3p1/P2PP3/1BP2NNP/1P1Q1PPB/3RR1K1 b - -,d7f6
3rr1k1/pp3ppp/1bp2qn1/4p1N1/1P6/P1PP2PP/1BR2P2/3QRBK1 b - -,f6g5
3qr1k1/2Rp2bp/p2Bp1p1/1p6/6QP/1P6/5PP1/6K1 w - -,g1h2
3k4/1p6/pP2Kpp1/P1P4p/5P1P/8/8/8 b - -,g6g5
r1b1k2r/pp3pBp/2p1p3/5n2/2P5/3K4/PP2NPPP/R4B1R b kq -,f5g7
8/p1pk1p2/1p2nR2/2p1P3/2N1b1P1/1P6/P1PB4/2K4r w - -,c1b2
r2q1r2/2p2p1k/p1n2n1p/1p1ppPp1/6P1/1BPPPQ1P/PP1N4/R4RK1 w - -,f3g3
5R2/8/5nr1/8/5k2/7p/5K2/8 b - -,h3h2
4r1k1/p4ppp/1p3b2/2p5/P7/2q1PQP1/3R1P1P/3R2K1 w - -,d2d7
r1b2rk1/2qnbppp/p2pp3/5PP1/1p1BP3/2N5/PPPQB2P/2KR3R w - -,c3b1
1k1rr3/pp5p/2pn1pp1/3p4/3Pq3/4PN1P/PPQ2PP1/K1R1R3 b - -,g6g5
3b4/8/1p2k3/p1p1pP2/P1K5/1PP4P/3N4/8 b - -,e6f5
rnb2rk1/pp2qpp1/2p2b1p/3p4/3P4/1QNBPN2/PP3PPP/R3K2R w KQ -,h2h3
6k1/p4pp1/8/6p1/2R1q1P1/P3Q2P/4K1P1/8 b - -,e4c4
1r1q1rk1/2pbpp1p/p1np1bp1/3P4/1pP2B2/5NP1/PP1QPPBP/2R2RK1 b - -,c6a7
5k2/8/7Q/3q3B/p7/P6K/5P2/8 b - -,f8e7
r4rk1/1p1qn1bp/2n1bpp1/1N2p3/1BPp4/P2P1NP1/5PBP/R2QR1K1 w - -,b4c5
6k1/2n2p1p/1R1p2p1/1B1br3/4p3/8/5PPP/4R1K1 w - -,b5d7
r3k2r/1b3p1p/p1qppb1P/8/p3P3/2N1BQ2/1PP2P2/R3KBR1 b Qkq -,f6c3
2r2k2/6pr/p1qnpb2/1p1p1p2/3PnP1p/1PPQNR1P/P1R1N1P1/4B1K1 w - -,g1h2
8/3B4/5k2/4p3/3n2KP/5p2/8/8 w - -,g4g3
2r4k/4B2p/p2p4/q4p2/3bn2Q/4N2P/1P3PP1/3R2K1 w - -,d1d4
1r2k2r/1q3pp1/2bp1n1p/p1p1pP2/2P1P1P1/1P1B1Q2/P2B3P/1R3R1K w k -,f1e1
4r3/5p1p/p1k3p1/Pp6/1PpRb2P/2K1N1P1/5P2/8 b - -,f7f5
2r2rk1/pp3pbp/4q1p1/3p4/8/1P1QP1PP/P2B1PK1/2R2R2 w - -,d2b4
2r5/pp1bpk2/q2p1npQ/3N4/2r1P1p1/1N3P2/PPP5/1K1R3R b - -,c8g8
2brn1k1/1rqp1ppp/8/3Rp1P1/p1P1P3/1p2BP2/P1P2Q1P/1K3B1R w - -,d5b5
r4rk1/1pp1npb1/p2pBqpp/8/P3P3/2N5/1PPQNPPP/R4RK1 b - -,f6e6
2rn2k1/3qbppp/1p2b3/pP1pPp2/P2P4/3Q1N2/5PPP/R1BN2K1 b - -,c8c4
7q/4k3/8/8/6Q1/5PK1/8/8 b - -,h8e5
3q1k1r/2p2pb1/1p1p1np1/r2P2B1/2P1p3/6P1/P1Q2PBP/4RRK1 b - -,d8d7
8/p5k1/1pp1R1p1/4n1P1/N3P3/1P4r1/P3K3/8 b - -,g3g5
8/6k1/p5p1/5p2/PP6/4P1QP/5K2/7q b - -,h1d5
3r2k1/p3q2p/1p1npbp1/3pNp2/bP1P1B1P/4PPP1/3Q3K/2R2B2 w - -,b4b5
r2r2k1/1bqn1pp1/p3p2p/4P3/1p6/2N3QP/PP3PP1/1B1RR1K1 w - -,c3e4
