8/1RP5/1P4k1/4b3/4pp2/2r2p2/8/5NK1 b - -,e4e3
6r1/2bkq2r/2p1b3/p1p1p1pp/N1PpP1P1/1P3P1P/P2B2K1/2Q2R1R w - -,c1e1
1r3b1k/2q2n2/1p2bppp/1Pp1p3/2N1P3/2P1BP2/2Q3PP/R4BK1 w - -,c2a4
5rk1/5pp1/r3p2p/3n3P/pp1N2P1/5P2/PPPR4/1K5R w - -,h1g1
8/p4kpp/bp3p2/2p5/5n2/B4P2/PP4PP/3N2K1 b - -,f4d3
r4b1r/pp3kpp/4b3/n7/3NB3/4B3/PP3PPP/3R1RK1 w - -,d4e6
2kr3r/1pq1bppp/p3pn2/3b1P2/8/1NBB3Q/PPP3PP/4RR1K b - -,f6d7
5rk1/Bp3ppp/5q2/3Pp2b/Pp3r2/3RQP2/1P3PKP/4R3 b - -,f6g6
r2qkb1r/pp1n1ppp/2p1pn2/3pN3/2PP2b1/6P1/PP2PPBP/RNBQ1RK1 b kq -,g4f5
8/5Q2/8/K7/4q1p1/8/6k1/8 w - -,f7a2
1r6/p2b4/1p1p2kp/P1nPnpp1/2PB4/4N1P1/6BP/1R4K1 b - -,f5f4
r2r2k1/p2qnpbp/bp1p2p1/3P4/1Q1P1B2/2N3P1/P4PBP/R4RK1 w - -,f1e1
r1br2k1/1pq1nppp/p1np4/4p3/4P3/1NN5/PPPQBPPP/3R1R1K b - -,b7b5
5rk1/2q2p2/3p2B1/p3n1r1/Pp6/1Q6/1PP5/1K1R3R w - -,b3h3
r3r1k1/1pn2ppp/p1pn4/3p2q1/PP1P4/1NNQP1P1/5PP1/R4RK1 w - -,b3c5
1r1q1rk1/p2bb1pp/1pn2p2/2pn4/2N1NB2/3P2P1/PP2P1BP/2RQ1RK1 b - -,d5f4
r2q1r2/ppp3bk/3nP1pp/4p3/1P1nN3/3Q4/P3BPPP/R1BR2K1 b - -,d8h4
3k4/7R/6rP/1K6/2P5/8/8/8 b - -,g6f6
r1b2rk1/2qpbppp/p1n1pn2/1p6/3NP1PP/2N1BP2/PPPQ4/2KR1B1R b - h3,c8b7
2r1r1k1/pb2qpp1/1p1b1n1p/2pP4/8/4PNP1/PB2BP1P/1QRR2K1 w - -,f3h4
8/1B3pk1/6pp/8/6PP/6K1/3R4/5r2 w - -,b7f3
1k1r1b1r/ppqn1p1p/2p5/4nN2/P7/2N3P1/1PQ1PPB1/2KR3R b - -,f8b4
3r2k1/p4ppp/4b3/r7/4P2P/1PP3P1/P1K1B3/R5N1 b - -,f7f5
r5k1/p4bpp/5p2/4p3/4n3/P1P1P3/6PP/3RR1K1 b - -,a7a5
8/5r1p/1p6/p7/5P2/kP6/P4R1P/4K3 b - -,b6b5
r2r2k1/ppq1ppbp/2n1b1p1/3n4/Q2P3B/2N2N2/PP2BPPP/2RR2K1 b - -,c7b6
r4rk1/4qpp1/7p/2npPB2/pp6/4Q3/PPP3PP/1K1RR3 b - -,a8d8
2rq1rk1/1p2ppbp/p3b1p1/2p5/P3P3/2P1BP2/1PB3PP/1R1Q1RK1 b - -,d8c7
r2q1rk1/1b2npp1/p3pb1p/1p6/3PN3/P2Q1N2/BP3PPP/3R1RK1 b - -,b7e4
4r1k1/2Q2p1p/p4qp1/P1p1r3/2Pp4/1P4P1/5P1P/R3R1K1 w - -,e1e5
rr4k1/5p1p/p2p2p1/2pP1P2/4P1N1/2b1BQ2/1q2b1PP/R3R2K w - -,g4h6
r3r3/pp3kpp/2p5/3p4/1P6/P7/2PP1PPP/R4BK1 w - -,f2f3
3n2nk/1q1Q3p/5p2/p3pNp1/P7/6P1/5PKP/8 w - -,g2g1
6k1/p3p1b1/1p3pp1/2p1P1Np/P1P2P1P/1b6/1N3KP1/8 w - -,g5f3
rnb1kb1r/1p1p1pp1/1p2pn1p/8/3N3B/2P5/PP2PPPP/RN2KB1R b KQkq -,b8c6
r1bq1rk1/3nppbp/pn1p2p1/1PpP4/4PN2/2N1BP2/PP1Q2PP/R3KB1R w KQ -,b2b3
r5k1/1q4pp/4ppb1/pPrp4/P1p2P2/4P1P1/1Q4BP/R2R2K1 w - -,b2d4
3r2k1/1pp1brpp/pn4n1/3Ppp2/1P6/P1N1PP2/1B2BP1P/5RRK w - -,f1d1
4r1k1/1p1n3p/p1p1pr1q/P4pP1/3P4/2PQ2P1/1P2RPB1/4R1K1 b - -,h6g5
8/K2k1p2/P3p1p1/7p/4PP2/1r6/2R2P2/8 b - -,b3b4
8/8/6pp/3k4/4p3/1P5P/5K2/8 w - -,f2e3
r2qk2r/1b2bp1p/p2p1npB/2pn4/1p4P1/7P/PPQNPPB1/RN2K2R w KQkq -,e1g1
5k2/5p2/8/6R1/2PKP3/8/8/5r2 b - -,f8e7
r4rk1/2q1bppp/b3p3/p1npP3/1p1B1P2/8/PPPQBNPP/3R1R1K w - -,f1e1
1k1r3r/1pq1npp1/2p1p3/p3P1b1/3PQPP1/PBB5/KP6/3R3R b - f3,g5h4
8/2k5/8/1p2KN2/1Pb5/2P3R1/8/3r4 b - -,d1c1
1Q6/5kp1/p3qp1p/1b1p4/1PpB2P1/P1P2P1P/5K2/8 b - g3,h6h5
r3kbnr/ppp2ppp/2n5/3qp3/3P4/2N1PP2/PP3P1P/R1BQKB1R b KQkq -,f8b4
2rq1rk1/pb2bppp/1p2p3/n2nN3/3P4/P1N4P/BP1B1PP1/R2Q1RK1 b - -,d5c3
rnbq1rk1/1p2bppp/p4n2/2pp2B1/8/1BNP1N2/PPP2PPP/R2Q1RK1 b - -,c8e6
r4rk1/p1b2ppp/2p1qn2/1p2p2b/4P2N/1P2NPQP/1PP3P1/R1B1R1K1 b - -,c7b6
8/1n5p/2Np1k2/3P1pp1/1P6/2P1P1P1/r6P/2R2K2 b - -,a2h2
6k1/8/3K2p1/5rP1/R4P2/8/8/8 w - -,a4b4
8/3b1pN1/1pk5/3p1pP1/3P1K2/P4P2/8/8 b - -,c6b5
r2qk2r/pp3ppp/2nbpn2/3p4/3P2b1/1P1B1N2/PBPN1PPP/R2Q1RK1 b kq -,e8g8
8/pR3pk1/6p1/6r1/1P2p3/2P1P3/P7/2K5 b - -,g5g3
6k1/5p2/4p3/6Kp/3P3P/5P2/8/8 b - -,g8g7
r2qk2r/2p1b1pp/p1ppbn2/4p1N1/4P3/2NQB3/PPP2PPP/2KR3R b kq -,e6g8
r2q2k1/3nrp1p/bp1Pn1p1/p1p1P3/P7/4RNP1/1PQ3BP/4R1K1 w - -,d6e7
2r5/2rb2pp/p1pk4/1p1nR3/3N1P2/1P3B2/P4KPP/3R4 w - -,g2g3
5k2/p4pb1/6p1/8/3ppr1P/1PrB1P1R/P1PK4/5R2 w - -,f3e4
8/8/2P4R/p1k5/4K3/6b1/P7/8 b - -,g3c7
2b1r1k1/2p1rqpp/1pQp4/p1nP1p2/2P5/4P1P1/P3NPBP/3RR1K1 w - -,c6b5
r1bq1rk1/1ppnnpbp/p2pp1p1/4P3/3P1P2/2NBBN2/PPP3PP/R2QK2R w KQ -,h2h4
4r1k1/p4pb1/1pr1q1pp/8/P1NpP3/3P2P1/2Q2P1P/R3R1K1 w - -,a1b1
2r2rk1/1b1qb1pp/p3pp2/1p1n4/1P1N4/P2BP3/1B2QPPP/2RR2K1 b - -,c8c1
2b5/8/1p2ppk1/p2pP3/P2P1PK1/1P1B4/8/8 b - -,f6f5
2br1rk1/ppq1bppp/2n1p3/3nP3/1PB1Q3/P4N2/3N1PPP/R1B1R1K1 b - -,f7f5
8/1qr1k1p1/4pp2/1Bp4p/2P3nQ/3P1r2/PP3PRP/5R1K w - -,h1g1
5k2/p2n2p1/7p/3n1b2/3P1P2/1PK1P3/1P6/4B3 w - -,c3d2
3k4/5p2/1p2qp2/pB1p1n2/3P4/PPN2bP1/2PQ4/2K5 w - -,d2h2
r2q1rk1/1p2bpp1/1n4p1/p2P1b2/P6P/2N3P1/1P4B1/R1BQ1RK1 w - -,c3b5
5brr/k2nq2p/np2p1pP/p2pPp2/P1PP1PP1/1B2N3/2Q1KB1R/7R b - -,a6b4
r1br2k1/pp2q2p/3p1b2/2pPpp2/2P3P1/2N1BP2/PP1Q3P/2KR3R w - c6,g4g5
r1bqk2r/p2nppb1/3p3p/2pP2p1/4P3/2P1NNP1/P2Q1PP1/R3KB1R b KQkq -,d8a5
8/Pk6/7K/4p2P/8/4Bp2/5P2/6r1 b - -,g1e1
8/8/6pk/6R1/7P/3r1P2/6K1/8 b - -,d3d4
6k1/R7/5K2/8/1r6/8/7p/8 w - -,a7a1
4r2k/3n1pp1/3r1q1p/ppp5/3bB3/P5B1/1PQ2PPP/R3R1K1 w - -,g3d6
1r1q1rk1/3bnpbp/2n1p1p1/3pP3/pp1P1P2/4BNPP/PP1NQ1B1/R1R3K1 w - -,c1c5
r4b1r/1bk2ppp/4p3/pB1pP3/1PnB1P2/P1PK4/6PP/RR6 b - -,a5b4
n1r3k1/5ppp/4P3/1bB3R1/1p6/1P3KPB/P6P/8 b - -,b5c6
5k2/2R3R1/8/3P4/3r4/8/PP2r3/6K1 w - -,g7g2
r1bq1rk1/pppn1pb1/3p1npp/4p3/2PPP3/2N2N2/PPQ1BPPP/R1B2RK1 w - -,f1d1
8/8/2b5/5p2/p4Pkp/P7/5K2/4B3 b - -,g4f4
5bk1/1b2q1pp/r3pp2/p6B/n1p1PP2/6Q1/P1Pr1NPP/B3RR1K w - -,e1b1
