8/p7/6k1/2pn4/2p2PK1/2P5/P7/3N4 w - -,g4f3
r2qk2r/1p2bppp/p1npb3/3Np3/P3P3/1N6/1PP1BPPP/R2QK2R w KQkq -,e1g1
r1bq1rk1/3pnpbp/p2Q2p1/n7/Pp2P3/5N2/1PB2PPP/RNB2RK1 b - -,e7c6
r2qkbnr/1p3ppp/pnp1p3/3P4/1P2P3/3B1N2/2Q2PPP/1RB2RK1 b kq -,e6d5
r1bq1rk1/pp1n1ppp/2p2n2/3p2B1/1b1P4/2NBPN2/PP3PPP/R2Q1RK1 b - -,f8e8:h7h6
5rk1/Nb1p3p/nB1p4/2PPn3/1P2P3/P6P/6B1/R5K1 b - -,d6c5
8/8/1p1k4/2p2RN1/3p1K2/1r1P4/4n3/8 w - -,f4f3
r2q1rk1/pp1b1ppp/1n2p3/4n3/1P2P3/2P5/4NPPP/RBBQ1RK1 w - -,e2d4
3r2k1/1p2qp2/p2bb2p/3p2p1/P2Pn3/1Q1BPN1P/1B3PP1/2R3K1 w - g6,f3e5
r4rk1/pb2qpbp/2pp2p1/7n/2PNP3/5PP1/PP1Q3P/1K1R1BNR w - -,f1g2
6k1/1p3r2/p1pqnrBQ/2R1p2p/PP5P/3P2P1/4RP2/6K1 b - -,e6c5
rn1qkbnr/1b1p1ppp/p3p3/8/Np1pP3/5NP1/PPP2PBP/R1BQK2R w KQkq -,f3d4
2rqr1k1/pb2bp1p/1p2pnp1/6B1/3P3P/P1PQ1N2/2B2PP1/R3R1K1 b - -,d8c7
2R5/5k2/p5np/3bb3/2p3P1/3pK3/P7/1R6 b - -,f7f6
r2r4/1pp2kp1/p1n1pb1p/P1B1p3/2N1P3/2P4P/1P2KPP1/R2R4 b - -,g7g6
r1bq1rk1/1p2np2/2pp1bpp/p2Pp3/1PP1P3/PQN2N2/4BPPP/R4RK1 b - -,c6d5
8/p7/1p1k3p/2p5/1P2Bp1P/1KP1nP2/P7/8 b - -,b6b5
8/1p6/8/1Pk2p2/p1P2Pp1/P3p1P1/3bK3/6B1 b - -,c5c4
r1b2rk1/1pp1qn2/1p1p3p/3Pp1p1/4Pp2/N1P2N1P/PP3PPK/R2Q1R2 w - g6,g2g4
r2b3r/4kppp/p1Rp4/1p1PpP2/4P3/Pn1B1N2/1P3KPP/5R2 w - -,f2e2
2rr2k1/pb2qpbp/1p2p1p1/2ppP3/6Q1/2PBP2P/PP3PPB/3RR1K1 w - -,h2f4
4r1k1/1q3pp1/3p3p/1p2p3/2pPP1Q1/2P1P2P/1P4PK/R7 w - -,a1d1
rn3rk1/pp1b1pbp/1q1p2p1/B2Pp3/8/1N4P1/PP2PPBP/R2Q1RK1 b - -,b6a6
6k1/5p2/8/6p1/8/B4rK1/6P1/R2R2q1 w - -,g3f3
8/p3rpk1/5n1p/p1Rpr1p1/8/5BPP/1P3PK1/3R4 b - -,a5a4
3R4/1p3p2/p1k4p/3ppr2/PP5P/4KN2/8/8 w - -,d8h8
r1bqrbk1/pp1n1p1p/2pp1np1/4p3/2PP2P1/2N1P2P/PP2NPB1/R1BQ1RK1 w - -,e2g3
r1r3k1/p2nqpp1/bp1p1n1p/3Pp3/2P1P3/1N2BP2/3QB1PP/R4RK1 w - -,a1a6
r4k1r/pp1bq3/n2p1b2/2pP1p2/2P1pPp1/2N1B1P1/PP1QB2P/R4RK1 w - -,a2a3
r3n1k1/1pr2pp1/2p4q/p3p3/P1B1P1QP/2N1P3/1P6/5RK1 w - -,g4g3
2kq1b1r/8/1np5/p2pPp2/1p1P2p1/1P6/P1PQ3P/1K1N1R1R w - a6,d2d3
r1b4R/ppp1qpk1/2n3p1/8/3PP3/4QN2/P4PP1/2KR1B2 b - -,g7h8
1r2r1k1/3b1pbp/pq1p1np1/2pPn3/4P3/2N2PP1/1PQN3P/R1B1RBK1 b - -,c5c4
r1b1kb1r/1p3pp1/p2ppn1p/q1n5/3NPP1B/2N5/P1PQB1PP/1R3RK1 b kq -,c5a4
3r1rk1/p3bppp/2pq2b1/2pnp3/8/2NP1BB1/PPP2PPP/R2Q1RK1 w - -,d1e1
3r2k1/5pp1/4p2p/p2q4/1p1N1P2/1PnQP1P1/P4R1P/6K1 w - a6,d3c2
rnbq1rk1/pp2bppp/5n2/3p4/3P4/2NB1N2/PP3PPP/R1BQK2R w KQ -,e1g1
6k1/pp1bbppp/1q2p3/3pPn2/2rP4/P3BN2/1P1QNPPP/5RK1 w - -,f1c1
r1b2rk1/p3ppbp/2p3p1/2q5/3N4/4P3/PP3PPP/R1BQ1RK1 w - -,d1a4
rnbqk2r/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R w KQkq -,e1g1
1rr3k1/bpp1npp1/3pQ2p/P3p3/2N1P3/2PP1N2/5PPP/RR4K1 b - -,f7e6
r3k2r/1p2nqpp/p1n1bp2/4p3/Q7/2PBB3/PP1N1PPP/R4RK1 w kq -,d2e4
r3kb1r/pppq2pp/2n1bp2/3np3/8/1PN2NP1/PB1PPPBP/R2Q1RK1 b kq -,d5c3
1k2r2r/ppq2b1p/2pb1pp1/5p2/1PpP3P/P1N1P1P1/1QPKNP2/R6R b - -,g6g5
5rk1/3b3p/1p1q2p1/p1bPp1Q1/P3P3/1P3P1P/2R3BK/8 b - -,g8g7
3rr1k1/bpp2ppn/p1n2q1p/4p3/4P3/2P1BN1P/PPB2PP1/R1Q1R1K1 b - -,a7e3
8/R4p2/5kpp/8/p1P5/7P/2qNK1P1/8 w - -,a7a5
r3k2r/2p1npp1/p4n1p/1pb1B3/P5bN/1q3PQ1/6PP/RN2R2K b kq -,c5d6
8/5k2/1p1q4/p2p1p2/P2PpPp1/1P2P2p/Q3KP1P/8 w - -,a2c2
2r5/5pp1/p3p1k1/3pP1Pp/P1nB3n/2P3PR/1r3PK1/7R w - -,h3h4
6k1/1p3ppp/8/8/2P5/1P4Q1/1N1q3P/NK2r3 w - -,b1a2
6r1/1p2k3/p1n2R1p/8/n5p1/2B3P1/PP4BP/6K1 w - -,f6h6
r3r1k1/pp2p1bp/2p1b1p1/4NpB1/2PPpP2/1P2P2P/1P4P1/2R2RK1 w - -,f1d1
8/8/1p2p1pR/1kppPrb1/4r3/P1P3K1/1P6/2B3R1 w - -,h6g6
3R4/1p3k2/2b5/5P2/2r3p1/4N3/5P2/6K1 b - -,c4f4
7r/k1b1rpq1/ppB1p2R/2p3P1/6P1/P1PPQ3/1P6/1K3R2 w - -,c6g2
1r1q1rk1/1p3ppp/pQ1b1n2/2pP4/N7/5B1P/PPR2PP1/5RK1 w - -,b6d8
3R4/1p1r2p1/p1p2n2/P4Pk1/8/3BP3/1P3PK1/8 w - -,d8d7
8/pp1k1pp1/2p1p2p/2P5/P7/1PR3P1/r1BK1P1P/8 b - -,a2a1
r5k1/5pB1/3p3p/1B4p1/1P3nP1/P3K2P/8/2R5 b - -,g8g7
3r1r1k/pp1q2bp/2npb3/2p1pp2/P1B5/2PPNQ2/1P1N1PPP/R3R1K1 w - -,c4e6
r2qk2r/3b1pbn/p2p2p1/2p1p2p/1pPnP2P/1P1PBPP1/P2QNNB1/2R2RK1 b kq -,a6a5
r3k2r/ppp1qppp/1b2bn2/4p1B1/1PB1P3/2PP4/P3Q1PP/RN2K2R w KQkq -,b1d2
2r3k1/q4rb1/p1PBpp2/5p2/8/1Q6/P4PP1/2RR2K1 b - -,e6e5
2kr3r/3b1ppp/pn2p3/1pqpP3/5PP1/1N6/PPPQ3P/2KR1B1R b - -,c5c7
1q1rn1k1/pp3pp1/2pr2np/3P1R2/2P5/1P4PP/PQ2N1B1/5RK1 b - -,c6c5
1rb1r1k1/2p5/p2p1q1p/2P3p1/3pPp2/1P3P1P/P3QNP1/R3RK2 b - -,b8b5
r4r2/1N4k1/2n2pp1/p1P1p3/3p4/Pb1P4/5PBP/R3R1K1 b - -,c6e7
rnbq1rk1/p2p1pbp/1p2pnp1/2p5/2PP4/1P1BPN2/PB1N1PPP/R2QK2R b KQ -,c8b7
r1q3k1/pb2bppp/4p3/1pn1P3/4NN2/1P4P1/2Q2PBP/3R2K1 w - -,e4d6
r2q1rk1/pbp2pbp/1p4p1/2nP4/2QN4/3B3P/PP1N1PPB/R4RK1 b - -,b7d5
r1b3k1/1p2q1pp/2p5/p1N1p3/2P5/1P2P1P1/P5BP/R4QK1 b - -,e7c5
8/4k1p1/7p/5Q2/3P3P/6P1/4qPK1/q7 w - -,f5c5
1r1r4/6k1/p2p2Pp/4pq1n/2p1N3/4QP2/PPP3P1/2KR3R w - -,e4d6
2b1k2r/6pp/2p1pb2/p4P2/8/q2B4/3BQ1PP/5RK1 w k -,f5e6
2rr2k1/1ppbqppp/5n2/n1QpN3/p2P4/P5P1/1P1NPPBP/2RR2K1 b - -,e7c5
2rr2k1/pp2ppbp/2n2np1/3p3q/2P5/1PB1PNPb/P2N1P1P/R1QR2KB w - -,c1b2
r2qk2r/pp1nbppp/4pn2/3pNbB1/Q2P4/2N3P1/PP2PP1P/R3KB1R b KQkq -,e8g8
2r2rk1/3nbp1p/2n1p1pP/p1ppP3/3P1B2/2P2NP1/PqNQ1P2/R3RK2 b - -,c5d4
3r2k1/q2n1pp1/4p2p/2p5/2QP4/1R2PPP1/2N2K1P/8 w - -,b3a3
r4rk1/p4pbp/1p1qp1p1/3p4/2pPP3/2P2N1P/PP3PP1/R2QR1K1 w - -,d1d2
8/5pb1/p5k1/r6p/P1p3p1/2P1B1P1/1PN2K2/8 w - -,e3f4
rn1qr1k1/pbp2ppp/1p3n2/3p4/1b1P4/2NBPP2/PPQB2PP/R3K1NR w KQ -,g1e2
r7/ppq1pk1R/1n1p2r1/5p2/1n1Q4/2N5/PPP2PP1/2KR1B2 b - -,f7e8
rnbqk2r/ppp1p1bp/3p1np1/8/2P1P3/6P1/PP3PBP/RNBQK1NR w KQkq -,g1e2
