R7/1p2k3/2p1P1K1/8/7P/6P1/p4r2/8 b - h3,b7b5
r4r1k/ppp1N3/1bp1Pn1p/4P2R/8/2P5/PP3P1P/2K3R1 w - -,e7g6
8/8/3k4/4p2R/3p3P/6r1/2K5/8 w - -,h5h8
rn1qr1k1/pp3pp1/2pb1n1p/3pNb2/3P1P1B/2N5/PPP1B1PP/R2Q1RK1 b - -,d6e7
r2qr1k1/bpp2pp1/p1n1bn1p/4p3/4p3/2PP1NNP/PPB2PP1/R1BQR1K1 w - -,d3e4
6rk/4q2p/2p3r1/3pPpbR/P2P4/1P2nB2/5N1R/4Q2K w - -,f2h3
r1bqk2r/pp1pppb1/6pn/4P3/3p1P1p/2NPB1P1/PPP2KBP/R2Q3R w kq -,e3d4
5rk1/1p3rbp/2q1p1p1/1pPpp3/1P2P3/3BQ1P1/5P1P/R1R3K1 w - -,c1f1
r4rk1/2q1bppp/bp2nn2/p1ppN3/3P1P2/2PBB2P/PP2N1P1/R2QR1K1 w - -,f4f5
r2q1rk1/1b2bppp/p1n1pn2/1ppp4/2P5/1P1P1NP1/PBQNPPBP/R4RK1 w - -,a2a3
1r6/1P3pk1/1R2p1pp/7r/8/3N4/6K1/8 b - -,h5d5
r2q1rk1/1p2bppp/3p1n2/p3p3/2b1P3/1NN1BP2/PPP2QPP/3RR1K1 b - -,d8c8
6k1/B3R3/1p6/2p2p1p/5K2/r7/6P1/8 b - -,a3a2
1n1q1bk1/pp3p1p/4p1p1/1B1pP3/3P4/4B1PP/PP3P2/2Q3K1 b - -,a7a6
r1b1kb1r/ppqn1pp1/2pp1n1p/3Pp3/2P1P2B/2N5/PP1Q1PPP/R3KBNR b KQkq -,g7g5
r1bq1rk1/1ppn1pbp/3p2p1/8/1nP1PP2/1PN1B1PP/4N1B1/1R1Q1RK1 b - -,f8e8
4n2k/1p1b3p/3p1np1/3Ppp2/rQP1P3/4bP2/4B1PP/5R1K w - -,b4b7
rn3rk1/pb3p2/1p2pp1p/2p4q/3PP3/2PB1N2/P4PPP/R2Q1RK1 w - -,d1d2
r1bqk2r/pp2ppbp/2np1np1/8/4PP2/2NB1N2/PPP3PP/R1BQK2R b KQkq -,d8b6:e8g8
r1bqk2r/pp2bppp/2p1nn2/3p4/3P3B/2NBP3/PP2NPPP/R2Q1RK1 b kq -,f6h5
2b5/4pp1k/3q2p1/2pP3p/r1P4P/2Q2PP1/PR1N4/6K1 w - -,d2e4
2r3k1/p1rq1pp1/1p5p/1R6/P1Rp4/4P2P/3Q1PP1/6K1 w - -,c4d4
r1b1kb1r/pp1n1ppp/2n1p3/4P3/8/1BN2N2/PP3PPP/R1BR2K1 b kq -,a7a6
8/2p1K2p/p1kPRQ2/1p4q1/2p5/6P1/PP6/8 b - -,g5c5
8/2k3p1/2qp3p/8/2Q5/p4PP1/6KP/8 w - -,c4f7
r1bq1rk1/1p3pp1/p1np3p/2bnp3/2P1P3/3B1N1P/PP1B1PP1/R2Q1RK1 w - -,e4d5
r1b1k1nr/ppp2ppp/3p2q1/2b5/4P3/2PP4/P2N1PPP/R1BQKB1R w KQkq -,d1f3
r3r1k1/pb1q2bp/1p4p1/2pn1p2/3pN2Q/P2P2PB/1P2PP1P/1RB1R1K1 w - -,c1h6
5n1k/6p1/1p4P1/1P3P2/2Q5/8/K1B4q/8 w - -,a2a3
4r3/p6p/1p1k4/2p2p2/P1P2P2/1PbN1K1P/5B2/8 w - -,d3c1
1qb1r1k1/2R2r1p/p5p1/3N1p2/P2Q4/6N1/6PP/6K1 w - -,c7f7
1q4k1/4b1p1/RP2p3/N1rp1p1p/6n1/3BP1P1/5PP1/1Q4K1 b - -,h5h4
8/6p1/p1k1p2p/3pP3/1p1b1P1P/1P4P1/P1bNK3/2N5 b - -,c2f5
r2qkb1r/pp1npppp/2p2nb1/4N3/3P4/6N1/PPP2PPP/R1BQKB1R w KQkq -,f2f4
3r2k1/p5p1/1q2p2p/2R2p2/3Pb3/1N2P2P/P4QP1/6K1 b - -,e4d5
r4rk1/5p1p/p1p2p2/5b2/2p2q2/P4P2/1BQ1BP1P/R6K w - -,a1g1
r2qk2r/p1pp1pbp/1pn3p1/3N4/2P5/6P1/PP2PPKP/R1BQ1R2 b kq -,c6e5
2r4k/4R1pp/5n1b/p2pQ3/q7/P4P2/1P5P/1K4R1 b - -,d5d4
3r3k/1b2q1bp/p5p1/1p6/2rpP3/1Q1N1N1P/PP3PP1/3RR1K1 w - -,f3d2
r2qr3/1p3pp1/p1nkbn1p/2p5/1P1p1P1N/6P1/PBPPQ1BP/R4RK1 b - -,b7b6
1r4k1/1q4p1/p1r1p3/1pPp1pp1/PP1P4/1Q6/R4PPP/R5K1 w - -,b3d3
8/4k3/5p2/7p/4b2P/8/4NKp1/8 w - -,e2f4
8/1n1k3p/4p1pB/4P3/n1b5/5N1P/6P1/6K1 w - -,f3g5
3r4/2rpk1pp/4p1n1/5p2/R1P2P2/2P3PP/2N1P3/3R2K1 w - f6,g1f2
7r/1pkb2pp/4pP2/1Pnp4/6PP/8/3N1P2/R3KB2 b - -,g7f6
4rbk1/5ppp/q7/n3N3/P1p1P3/2P4P/3Q1PPB/4R1K1 b - -,f8d6
2r3k1/8/3q4/3Pp1p1/2B1Pb1r/p2Q4/KpR5/6R1 b - -,g8g7
2r1r1k1/5pbp/p1R3p1/1p6/4nB2/1P3NNP/P4PP1/4R1K1 b - -,c8c6
1k1r3r/ppp3p1/q3npbp/2p1pN2/3nP1PP/1PQPB2B/P1P2P2/1K1R3R w - -,c3b2
r6r/1p1kbpp1/2p5/p1Pp2p1/3P2P1/3K3P/PP1B1P2/3R3R b - -,a5a4
r1b1Qrk1/pp3pbp/n5p1/3Rp3/3NP3/4B3/PP3PPP/2K2B1R b - -,f8e8
r1bq2k1/ppp2rb1/3P1nn1/P2Pp2p/4Ppp1/2NN1P2/1P2BBPP/2RQ1RK1 b - -,c7d6
4qnnk/4rr2/3p1pp1/p1pP3p/1pP1PN1P/1P1Q1B2/P4RP1/5RK1 b - -,e7e5
8/1b6/3k1np1/pr5p/4R3/1P3P2/P2R1KPP/8 b - -,b7d5
2r5/4kp2/3p3b/1p2p3/2q5/5QP1/PP3PKP/R2R4 b - -,e5e4
1r1r2nk/1b2bppp/p7/8/Pn2N3/8/1B3PPP/RB1R1NK1 w - -,d1e1
rq1b3r/4npk1/1p2p2p/1Pp1P1pP/p1PpR1P1/3P1N1R/1P2QP2/2B3K1 b - -,a8a7
Q5k1/2K3pp/8/5p2/R7/8/1r5P/4q3 b - -,g8f7
1n1r1rk1/ppq1ppbp/1n2b1p1/2p1P3/2P1N3/1PB2NPP/P4PB1/Q3RR1K b - -,b8c6
r1q1r1k1/ppp2pp1/1bnp1n1p/4pb2/NPP5/P2P1NP1/1B2PPBP/R2Q1RK1 w - -,e2e3
3r4/1p1r2k1/1p5p/5p2/R7/1P2pPPP/1P2n1K1/4R3 w - -,e1e2
3r4/1br1kp2/pp1pp3/6Q1/N1P1PPB1/1P2q1P1/PB6/5K1R b - -,e7d7
r1bqr1k1/ppp2p2/2np1bpp/4p3/3P4/3BPN1P/PPPN1PP1/R2Q1RK1 w - -,c2c3
r4bk1/p3qppp/bppBp3/8/2P3Q1/3R3P/PPB2PP1/6K1 b - -,e7f6
8/2P1k3/p6p/5p2/2pR1p2/5P1P/P5PK/4q3 b - -,e1g3
8/8/4rbk1/P4p2/4rP1p/2PRp2P/1P2Q1P1/7K b - -,f6e7
rn1q1rk1/p1ppp1bp/1p4p1/5p2/2PPb3/2B2NP1/PPQ1PPBP/R4RK1 w - -,c2d2
1r2r1kb/3q1p1p/3p2pB/1ppP3n/4N1n1/7N/1P1QPPB1/2R1R1K1 w - -,h6g5
5rk1/pbpn1ppp/7q/2p5/2P3BQ/2B3P1/P4P1P/4R1K1 b - -,h6h4
3k4/p2pr2p/2p3p1/2Np1p2/1r6/PP4P1/4BP1P/3R1K2 b - -,b4b6
8/pr3NKn/8/P2k4/7b/8/3BR3/8 b - -,h7g5
8/1p3k2/3p1n2/q3pP2/4P2p/3B3P/6Q1/6K1 b - -,a5e1
8/5p2/1p5p/p1b2k2/P1R5/1P2P1P1/3rBP1P/5K2 b - -,f7f6
rnq2rk1/pR3ppp/4p3/N2p4/3N4/Q1P3P1/P2nPPKP/5R2 w - -,a3b2
8/p1r5/1r3k2/2p2Pn1/6Pp/7P/P1R2KB1/2R5 b - -,b6a6
5rk1/pp1r2q1/3pb3/8/2PpNpP1/PP3P2/4Q1B1/3R2K1 w - -,e2f2
2rr4/pp2qpkp/2n1b3/3p4/8/1P2PNP1/P2Q2BP/2R2RK1 w - -,f3d4
5rk1/1R3pbp/3Qb1p1/3p3q/P3p1n1/1P2P1PP/5PB1/2R3K1 b - -,g4e5
4r1k1/pq3pb1/1pb1r1p1/n3P1Bp/7Q/5N2/P3BPPP/3R1RK1 w - h6,g5f4
r5k1/pp2rppp/5n2/3p2q1/3Q4/P4B2/1P3PPP/2RR2K1 w - -,g2g3
1br5/1p2qp1k/p1n2prp/4p3/3PP3/P3Q1P1/1P2NRBP/5R1K w - -,g2h3
6k1/4ppbp/3p1np1/q1n5/2QNP1P1/r3BP1P/2B3K1/4R3 w - -,e1b1
3rn3/1p3k1p/p1p1Npp1/8/PbP3P1/1P4BP/4RP2/6K1 b - -,d8d3
