8/4k1p1/4p2p/pp2P3/1P1P1RKP/r7/8/8 w - -,b4a5
8/1R2Q3/4pP2/p1kpq3/2r5/P7/2P5/2K5 b - -,c5d4
2R1b3/1p1r1k2/4ppn1/3r2p1/1p1P2Pp/P4N1P/5P1B/4RK2 w - -,a3b4
r2qk2r/2p1n1b1/ppb3pp/4pp2/B1P1P3/P1N1B2P/1P1Q1PP1/R3K2R w KQkq -,a4c6
4k2r/1p4p1/p3Pp2/3p1P2/2bP1B1N/nnP2BK1/1R6/8 b - -,a3b5
1rbq1rk1/pp3pbp/2npp1p1/2p5/2PBP3/2NP2P1/PP1QNPBP/1R3RK1 b - -,c5d4
rnbqk2r/pp2bppp/4pn2/2pp4/2PP4/2N2N2/PPQBPPPP/R3KB1R w KQkq c6,d4c5
2r3k1/p2q1p1p/1p4p1/8/1PrP4/3Q2P1/3R1P1P/R5K1 b - -,c4b4
8/k7/p1K5/Bp6/1P6/8/8/8 w - -,c6c7
2r3k1/2q2p1p/3pn1p1/4p3/p1r1P1P1/2pR1P2/PP1QN2P/1KR5 w - -,c1c3
8/5k2/1p1Np2p/p2nP3/P2PQ3/6P1/6K1/3q4 b - -,f7g7
r1bqk2r/pp1pnpbp/2n3p1/2p1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8:d7d6
8/6k1/6Rp/r4p1P/5P2/6PK/8/8 b - -,g7h7
6k1/5p2/3Qp2p/4Rp2/1p6/1P3N1P/r2p2P1/3q3K w - -,h1h2
8/pp1r1pk1/4b1pp/8/3n1P2/2N2B2/PP3KPP/4R3 w - -,f3e4
r1b2rk1/pp1nppbp/1q1p1np1/2p5/3P1B2/2P1PN1P/PP2BPP1/RN1Q1RK1 w - -,d1b3
2r2b2/1q5k/3pbp2/p3p1pP/Pp2P3/1P1QBPN1/1P6/1K1R4 w - -,d1c1
8/8/3p2pp/R1p1k3/2P2p1P/5P1K/6P1/2r5 w - c6,a5a4
7R/8/8/2k5/8/3p4/4b2P/4K3 w - -,h2h4
8/5k2/2p5/8/2P5/4P2n/6K1/8 w - -,g2h3
r1b2r1k/2q1bppp/p2ppn2/1pn5/3NP3/P1N1BPQ1/BPP3PP/3R1RK1 w - -,g1h1
8/p7/4n3/1K6/P7/1P4k1/8/8 w - -,b3b4
r1bqkbnr/pp2pppp/2n5/3pP3/3B4/8/PPP2PPP/RN1QKBNR w KQkq -,f1e2
8/p5k1/1p6/6Bp/P1p4P/2Pn1KP1/1r6/R7 b - -,b2c2
8/1p1kbR2/p2p2pp/P7/3P1BP1/7P/1P3PK1/1r6 w - -,f4h6
1rb1k2r/6pp/2p1pb2/p2p4/2P2P2/PPqB4/3BQ1PP/1R2K2R b Kk -,c3d4
r3rnk1/ppq1bpp1/2p1bn1p/P3p3/4P2N/2N2Q1P/1PP2PP1/R1B1RBK1 b - -,f8d7
r1b1r3/3nqpbk/5n2/1pp1ppN1/1P2P3/8/2P1QNBP/1RB2R1K b - -,h7g8
2rq4/5pkp/pn2p1p1/n1p1p2P/4P3/2PPN1Q1/PrB2PP1/R1R3K1 b - -,a5c6
1q6/3r2k1/1pQ2pp1/2nP3p/8/4N3/5PPP/1R4K1 b - -,d7b7
r1br1bk1/ppq2ppp/1n3n2/2pP4/6P1/6NP/PPP2PBN/R1BQ1RK1 w - -,c1g5
r1q2r2/pp2ppkp/1np1n1p1/8/3PN3/6P1/PP2PPBP/R1QR2K1 b - -,b6d5
4r1k1/3pr3/1q1p4/1p1PPp1p/p4PpP/P1NRn1P1/1PQ3BK/8 w - -,c2f2
r2qrbk1/pp1b2pn/3p2np/2pP1p2/2P1PN2/1PN3PP/PB1Q2BK/4RR2 b - -,g6f4
r1bq1rk1/pp2bpp1/2n1pn1p/8/3P4/P1NB1N2/1PQ2PPP/R1BR2K1 w - -,d3c4
r1bq1rk1/4bppp/p1np1n2/1pp1p3/P3P3/2PP1N2/1PBN1PPP/R1BQR1K1 b - a3,c8e6:c8b7
r2r4/pk3p2/R2p1n2/2P1p2p/1P2P3/4K3/2B2PP1/R7 b - -,f6g4
r4r2/1pp3pp/3pkn2/1p2p3/4P3/1P2BP1P/1PP2KP1/R4R2 w - -,f2e2
4r1k1/2p2pp1/1p5p/nP1p4/1BnNrP2/2P1p1P1/R3K2P/R7 b - -,g8h7
rn3rk1/pb3p2/1p1PB1p1/1Pq1p3/2P1PbQ1/2N3N1/6PP/1R3R1K b - -,c5d6
r5k1/pp1nr1p1/1q1bpnBp/2pp4/3P1P2/4B2P/PPP2QP1/RN3RK1 w - -,c2c3
1B4k1/5p1p/4p1p1/3p4/p2b4/P2n3P/5PP1/4R1K1 w - -,e1d1
4rk2/p1b2pp1/1p2q3/3Rn1Br/7P/6P1/PPQ2PB1/3R2K1 b - -,e8c8
5r2/1r4p1/p2pk3/2bRp2p/P1P4P/1P1RBP2/K5P1/8 b - -,c5e3
8/8/8/2k5/P1q5/2p3p1/4K1P1/3Q4 w - -,d1d3
2r1r1k1/1q2bp2/p4npp/2np4/2p2N2/2N1P1BP/PPQ2PP1/2RR2K1 b - -,c5e4
2r3k1/6bp/b3p1p1/q7/pp2P3/4B3/P1Q2PP1/1R4KR w - -,c2d1
rn1qkbnr/1b3ppp/p2pp3/1p6/3NP3/P1N3P1/1PP2PBP/R1BQK2R b KQkq -,h7h5
r1b1kb1r/p1ppqppp/2p5/4P3/5n2/4Q3/PPPN1PPP/R1B1KB1R b KQkq -,f4d5
4r1k1/p1p3pp/2N5/2R5/3n1P2/P4PP1/5K1P/8 b - -,e8e2
r5k1/2pq1ppn/1b1p4/Np1P4/1P2P3/5P2/6QP/2R1B2K b - -,f7f5
4R3/1p5k/3b1rpp/p1pP1p2/P6q/1P1BQ2P/5PP1/6K1 b - -,h4d4
8/6p1/2kp3p/5P2/pR4PP/2K2P2/8/5r2 b - -,f1f3
3r2k1/b1n2pp1/7p/1p2P1n1/8/P1N3B1/BP5P/5R1K w - -,e5e6
8/7p/3p1p2/1r1kpp2/7R/P3P1P1/2K2P1P/8 b - -,b5c5
3rr1k1/pp2bp1p/qn4p1/3pP1B1/1PpP4/P1Nb1N2/3Q1PPP/R1R3K1 b - -,b6c8
2brkq2/2p2p2/p7/1pR1P1pQ/1P1p4/1B6/P5PP/6K1 b - -,f8e7
r2r3k/1p4b1/2bp1n1p/3NpPpq/1QP1Pn2/1P2BP2/P2N4/1K2RBR1 b - -,h5h4
rn3rk1/pp1q1ppp/2p2n2/2b5/3N4/3QP1PP/PP3PB1/R1BR2K1 b - -,c5d4
r1b2rk1/pp1pppbp/2n2np1/q1p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,f3e5
5r2/p2Bqpk1/1pRp1np1/1n1Pp1Np/4P2P/1P3PP1/P7/2R1Q1K1 b - -,f6d7
r1b1k2r/2q1bppp/p2ppn2/1p4P1/3NP3/1PN1B3/1PP1QP1P/2KR3R b kq -,f6d7
r2q1rk1/pb2bpp1/1pn1p2p/8/4N3/2PB1N2/PPQ2PPP/R4RK1 w - -,a1d1
3n2k1/r3q1b1/3pp1Pp/1pp3r1/p7/P1PPNQP1/1P1N1PK1/1R2R3 w - -,f3e4
r1bqk2r/ppp1bppp/1n1p1n2/8/3pP3/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,d1d4:f3d4
3N1b1k/1b5p/pq1P1pp1/2pn4/2B5/2P5/1P1Q1PPP/4R1K1 w - -,d8f7
r4r1k/pp3qb1/2bQ2pp/2P1p2P/6P1/4BP2/PP1N4/R3K2R b KQ -,g6g5
6R1/p1r4p/1p3kp1/2bBr3/2P3KP/1P4P1/P2R4/8 w - -,d2d1
r3r1k1/pp2qp1p/6p1/3Q4/1bP3b1/4PP2/PPN1K2P/3R1B1R b - -,a8d8
r4rk1/2b2pp1/p1n1bq1p/1pp1p3/4P3/2P1NNP1/PP2QPBP/R3R1K1 w - b6,e3d5
1r3rk1/1ppb1pp1/p1nq3p/2Rp4/3P4/PQ2PN2/1P2BPPP/2R3K1 b - -,c6e7
r2qk2r/pp1nbppp/2p2n2/3p3b/8/2NP1NPP/PP2PPB1/R1BQ1RK1 w kq -,d1c2:e2e4
r1bq1rk1/1p2bppp/p1n1pn2/8/3P4/1B3N2/PP2QPPP/RNBR2K1 w - -,b1c3
r1bqkb1r/pppp1p1p/5np1/4n3/4P3/P1N5/1PPP1PPP/R1BQKB1R w KQkq -,d2d4
5r2/5pbk/4b2p/7q/3p1Q1B/P2P4/6R1/5BK1 w - -,h4f6
1b3k2/8/2N5/3B4/8/1P1K1N1p/6r1/8 w - -,c6b8
4qrk1/2rbn1bp/3n1p2/p1pPp1p1/1pP1P3/1P2BNQ1/P1BN2PP/3R1RK1 w - -,f3e1
r1r3k1/2qnbp1p/4p1p1/pP1pP3/Pp6/1Pn1Q3/1BBN1PPP/2R1R1K1 w - -,c2d3
r2q1rk1/ppp1npbp/3p2p1/3Ppb2/P1P1N3/5NP1/1P2PPBP/R1BQR1K1 b - -,f5e4
3r2k1/1pprnpp1/pb2qn1p/4pN2/1P2P3/2P2N1P/1P1BQPP1/R4R1K w - -,f5e7
b1rr2k1/5p1p/p3p1p1/P2nP1q1/1pN1BP2/6P1/1P2Q2P/2RR3K b - -,g5e7
2r1b1k1/p3n1p1/1pq1p2p/4P2r/3PNB2/P3P1K1/1P2Q3/3R2R1 w - -,e4d6
2rr2k1/1p1nbppp/1p2p1b1/1N1p4/1P3P2/P2PB1P1/3KP1BP/2R4R b - f3,f7f5
1B4k1/5pp1/2b4p/8/4N1P1/K1QPnP1P/4q3/8 b - -,c6d5
1r6/8/8/3p4/3Nn3/5R2/3k2PK/8 w - -,g2g4
8/p4pk1/5bpp/4p3/4P3/2N2P1P/PR3PK1/r7 b - -,f6d8
