8/1pR1rpk1/1P3r1p/3R4/4P3/8/6K1/8 b - -,e7e4
2r5/6bk/q1NQ2p1/3B1p1p/2P1p3/3n2P1/4RP1K/8 b - -,d3e5
4r1k1/4q1p1/p4r2/Pppp1PPp/1b1P4/4PR2/2Q2N1P/1R4K1 b - -,f6f7
3r2k1/3q2pp/3P2n1/p4p1P/Pp1Qr3/1B3NP1/1B3P2/5RK1 b - -,g8f8
8/5k2/3p1pp1/2nP3p/5P2/P2R1KP1/r4N1P/8 w - -,d3e3
R7/5pk1/3Bp3/4P3/p7/P7/1PK4r/8 w - -,c2c3
rnbqk2r/pp2ppbp/2p2np1/3pP3/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6e4
1r2k2r/4bpp1/pq1pbn1p/4p3/1p2P1PP/1NN2P2/PPP3Q1/1K1R1B1R w k -,c3d5
2N5/3n3p/1p1P4/3k1p2/P7/1P6/5KPP/8 b - -,d5c5
3b4/5n2/4k3/1pB3p1/6P1/3KPN2/8/8 w - -,d3e4
5r1k/1R6/7r/p1PpN3/3P1P2/P3q3/1KQ2nR1/8 b - -,e3d4
2r1k2r/pp1nnpp1/4p3/Pq1pPbP1/2pP3p/2P5/RP1N1BPP/R2BQ1K1 b k -,e7g6
3qr1k1/1b3ppp/1p6/p1bp1N2/3B1PP1/2P2Q2/PPKR3P/4R3 b - -,e8e1
5k2/1p3pp1/1r5p/3p4/3Pb3/bP1NP2P/B2RKBP1/r7 b - -,e4d3
8/2r2p2/4pkp1/r6p/P3RP2/R6P/5KP1/8 b - -,c7c2
8/2p5/1p4p1/1PP1Pk1p/1r3P1P/1r2BK2/2R5/8 w - -,c5b6
4r1k1/4rpb1/1pq3pp/p7/PpPp1P1P/1P1Pn1P1/3QR2N/4R1NK w - -,h2f3
r3k3/1b2b3/pp3np1/2q1P2r/8/3B1Np1/PPP1Q2P/1K1R1R2 b q -,e8c8
2r2r1k/p6p/1n6/8/2pRp1p1/4P3/P1R2PBP/6K1 w - -,d4e4
r2q1rk1/ppp1bppp/2bp1n2/8/3QPB2/2N3P1/PPP2PBP/R4RK1 w - -,a1d1
8/5bqk/p1pQ4/2P4p/1N4P1/P6P/6PK/8 b - -,h5g4
4k3/R7/3qB2B/1p6/8/1P3P2/6K1/8 w - -,a7a8
1k3b1r/3bqp1n/1p2p1pr/pP1pP1Np/P1pP1P2/2P2NPP/K1B3R1/2Q2R2 w - -,g2f2
r1bq1rk1/6pp/2p1pn2/p2pNp2/Q2P1P2/8/PP2PPBP/1R3RK1 b - -,c8d7
1rbqr1k1/5pbp/pp1p4/2pPnP1n/P7/N1NB3P/1P1Q2PB/3R1RK1 w - -,d3e2
6k1/pp3pp1/2pr4/3b2qp/3P4/P7/1P2Q1PP/3R1NK1 w - -,d1d2
5k2/pR3p2/5p1p/1b6/r7/PN3P1P/5KP1/8 b - -,b5c6
r3b3/pq2p1k1/1p2Pp1b/5P2/2N4Q/1P6/1B5P/3RKRr1 b - -,g1f1
r2q1rk1/ppp2ppp/2n2n2/3P4/Q1P1p1b1/5NP1/P1NP1P1P/2KR1B1R w - -,d5c6
rnbqr1k1/1p3pbp/p2p1np1/2pP4/P7/2NBPN1P/1P3PP1/R1BQK2R w KQ -,e1g1
2r5/2P5/4NRp1/7b/8/p1K3kp/P7/8 w - -,f6f8
r1nqk2r/ppp2ppp/2n2bb1/2Pp4/3P2P1/1PNBBN1P/P4P2/R2QK2R w KQkq -,a2a3
rn1q1rk1/ppp1bppp/1n2p3/5b2/2PP4/P4N2/1P2BPPP/RNBQ1RK1 w - -,b1c3
2b2rk1/2p1qpbp/p1n3p1/2P1p3/2n1N3/5NP1/P3PPBP/BQ3RK1 w - -,f3d2
3rk2r/1p1b1ppp/p1p1p3/2b1q3/4NB2/3B4/PP2Q1PP/R4RK1 w k -,g1h1
3rr3/7p/1pQ3k1/8/8/1P4P1/3p1P1P/6K1 b - -,g6f7
3R1b2/6kp/5rp1/8/2N1n1N1/6PP/5P2/6K1 b - -,f6e6
5rk1/1Q3p1p/3p1Pp1/3Pp1P1/3bP1KP/8/r5B1/8 w - -,g2f3
r4rk1/ppp2ppp/2np4/7n/2P1P2q/2N4P/PPP1Q1PB/R3K2R w KQ -,g2g3
8/2p1kp2/R1Q5/1p2p3/1PP1P3/3P2p1/1qNK2P1/7r w - -,c6c7
1r1q1rk1/pb1nbppp/1pn1p3/2pp4/2P5/PP1PPNP1/1B1NQPBP/R4RK1 b - -,e7f6
r1b1k2r/ppq3pp/2nbpn2/3p4/3P4/3B1N2/PP1BNPPP/R2Q1RK1 b kq -,e8g8
r1bq1rk1/pp1n1pbp/4pnp1/2p5/2BP4/2N1PN2/PP3PPP/R1BQR1K1 w - -,a2a4
r1b1rb2/2qn1p1k/p2p1np1/1p2pNp1/2pPP2N/2P2Q1P/PPB2P2/R1B1R1K1 w - -,c1g5
8/5k2/2pp3p/4np2/2PK1N1P/6P1/5P2/8 b - -,e5f3
3r1rk1/p1pN2pp/n1P1p3/1P4q1/4Pp2/B2BnP2/P2Q2PP/2R3K1 b - -,a6b8
1r1qr1k1/2pbn1bp/pp1p2p1/3Pp1PP/2P1Pp2/1PN2P1B/1P1Q4/2KR2BR b - -,d7h3
1R6/3rbppk/4p2p/8/2qBP3/P3Q1P1/4PP1P/6K1 w - -,d4b2
8/4k1rp/7R/6K1/6P1/4P3/8/8 w - -,g5h5
4k2r/pp2Npp1/1n1n2p1/B5P1/P2p3P/6Q1/1P2KP2/1Bq4R b k -,c1h1
8/2pk4/1p2p3/p2p4/P2P4/2P2r2/2K1RP1r/5R2 w - -,c2b2
r1bq1rk1/pp2bppp/2n5/3p4/8/P1Q2NP1/1P2PPBP/R1B2RK1 w - -,f3d4
r1b5/ppp1k1p1/1b2P3/3p1Pq1/7p/2P4Q/P5PP/4RR1K w - -,f5f6
6k1/1p3b2/2p3p1/1PPpQ2p/3Pp3/q3P1P1/7P/5BK1 w - -,e5f4
6k1/1p2ppb1/p2p1npp/3P4/4P3/Pr4PP/3B1PB1/2R3K1 w - -,c1c7
8/5pbk/1p2q2p/p7/P7/P2Q3P/6K1/8 b - -,e6g6
r7/R6p/6Rk/4Np2/5P2/7P/p5PK/r7 b - -,h7g6
3r4/pp3nk1/2p3pp/6N1/1q2P3/4Q2P/PPP1B1P1/6K1 w - -,g5e6
1rb1kb1r/1pq2ppp/p1nppn2/6B1/4PP2/1NN5/PPPQ2PP/1K1R1B1R b k f3,b7b5
r4rk1/1ppbqp2/p3pP1p/P6P/1npP4/5N2/1PPQ1PP1/R3K2R b KQ -,b4c2
r1r3k1/q4pn1/1pb1p1pp/3pP3/PB1N1PP1/1B6/7P/3QR1NK b - -,c6a4
2rb4/2qnk1pp/Q1p1pp2/1pPp4/1P1P1P2/3NP2P/3N2P1/R4K2 w - -,a1e1
r4bk1/3R1ppp/p3p3/1p2N3/8/7P/5PP1/5K2 b - -,a6a5
kq1r3r/pp3p1p/2pnb1p1/3p4/Q2P4/R2BP3/PP1N1PPP/1KR5 b - -,e6f5
4rrk1/1pqnbbpp/2pp4/p1n5/2P1PP2/1PN1B1NP/P2Q2BK/3R1R2 b - -,f7g6
r2q3k/pp3Qbp/1npNr1p1/8/3P4/5N1P/PP3PP1/R5K1 w - -,f7e6
r1bqkb1r/pp2pppp/2n2n2/3p4/3p1B2/P1P2N2/1P2PPPP/RN1QKB1R w KQkq -,c3d4
r1b2rk1/1p4bp/2n1pqp1/p2p4/3P2n1/5NPP/PP1N1PB1/R1BQR1K1 b - -,g4f2
rnr3k1/5pp1/p1pqp1bp/3n4/2QN2P1/3P3P/P2BPPB1/2R2RK1 w - -,f2f4
r3k2r/pp1b2b1/6pq/4pp2/4P3/2PP1BP1/PP3Q2/R2N1RK1 b kq -,f5f4
r1b2rk1/ppqn1pp1/7p/3p2N1/3P4/P1PB4/2Q2PPP/R4RK1 w - -,g5f3
3r4/2r1k2p/p4p2/2n1p2R/2P3B1/4P1P1/1R4KP/8 b - -,d8h8
4r2k/1r3ppp/5n2/1p1Pq3/2P1p3/1P2Q3/4B1PP/1R3R1K w - -,b1a1
r5k1/2q2ppp/b2p1b2/3Pr3/pBp2Q2/P1P5/1P2BRPP/R6K w - -,f4g3:f4g4
5rk1/6p1/7p/2qp1P2/1pn3P1/rR1Q2BP/P3R1K1/8 b - -,d5d4
2kr3r/ppp1bppp/8/8/3N4/2Pn4/PP3PPP/R1BR2K1 b - -,d3c5
3k4/6p1/7p/2R2p2/4p3/5nP1/8/3K4 b - -,g7g6
8/2k3pp/1n3p2/5P2/P2r4/1N3K2/2B2P1P/8 b - -,d4a4
8/1p5r/2p5/8/P2Pk3/1R6/7p/7K w - -,b3b4
r1bq1rk1/pp2bppp/4pn2/4N3/3p4/2PBB3/PP3PPP/R2QK2R w KQ -,e3d4
3r4/3r4/6k1/1p4p1/3R2P1/1B2K3/1P4n1/3R4 w - -,e3e4
r2qkb1r/pp1bpp1p/2n3pn/3p4/3P4/2N3N1/PP2BPPP/R1BQK2R b KQkq -,e7e6
8/4p2p/3p1k2/2nP1p2/1r3N2/5PP1/7P/3R1K2 b - -,b4b2
1rb1r1k1/p2p1ppp/2P5/P5B1/8/P1p2P2/4p1PP/2KR1B1R w - -,f1e2
1r1qk2r/pb3pbp/1pnppnp1/2p5/1P6/P1NP1NP1/2PBPPBP/1RQ2RK1 b k -,h7h6
