5r2/p1k5/8/1R6/P2P2P1/2Pp3P/P6K/8 w - -,b5b2
1r1r4/1p6/5k1p/1P1nbPp1/2P5/4BP2/3R1K2/6R1 w - -,c4d5
2r2rk1/1bqn1ppp/pp1ppn2/8/1PPNP3/P1QBBP2/6PP/R1R3K1 w - -,c3d2
8/8/5b2/3k1K2/1p1p4/1P1P4/2P3N1/8 b - -,f6h8
2rq1rk1/1b3pbp/1pn2np1/pN2P3/3p1P2/PPN1B3/3QB1PP/1RR4K w - -,b5d4
k2rr3/p5p1/P1p2p2/1Pq5/1R1P3p/7P/2P2PP1/1R4K1 w - -,d4c5
r1b2rk1/4qppp/p1pR1n2/4n3/2p1P3/P1N2N2/1BQ1BPPP/R5K1 b - -,e5f3
8/1r6/8/2n1R3/6k1/8/8/6K1 b - -,b7b1
rr4k1/p2bqpb1/1pp1p1pp/2P1N3/3P4/1Q1B4/PP3PPP/2R1R1K1 w - -,b3c2
rnbqk1nr/1p1p1ppp/p3pb2/8/4P3/1N1B2Q1/PPP2PPP/RNB1K2R b KQkq -,b8c6
rnb1k2r/pp2bppp/2pp1n2/6B1/8/2NP1N2/PPP1BPPP/R3K2R w KQkq -,e1g1:h2h3:e1c1
r2qk2r/pb1nbppp/1p1ppn2/2p5/3P4/2PBPN1P/PP3PPB/RN1Q1RK1 b kq -,e8g8
r1bq1rk1/ppp2pbp/2np1np1/1B2p3/4P3/2PP1NN1/PP3PPP/R1BQK2R b KQ -,f8e8
5rk1/pp1b1qp1/3Pp3/2ppP2p/5PPP/1P1B1PK1/P2Q4/2R5 b - -,b7b6
4rrk1/p1q1ppbp/1pb3pB/2pp4/3PnP1Q/2PBP3/PP1N2PP/4RRK1 w - -,d3e4
3b4/7p/1pp1k1p1/p4p2/P1P3P1/3NKP1P/1P6/8 w - f6,b2b4
8/7p/3r1kp1/3bpp2/1R3P2/1p4P1/1P2P2P/3NK3 w - e6,d1e3
r2q1rk1/2p1ppbp/p1n1b1p1/4P3/Pp3B2/5N2/1PP1BPPP/R2Q1RK1 b - -,d8d5
2rr2k1/pbqn1ppp/1p3n2/2p2B2/2PP4/P1B2N2/4QPPP/2RR2K1 b - -,d8e8
1r6/p3R1kp/3p4/2pP4/2P5/P2B4/6PP/3n2K1 b - -,g7f6
r4rk1/pppqn1bp/2npb1p1/4pp2/2P1P3/P1NP2PP/1P2NPBK/R1BQ1R2 b - -,f8f7
8/6K1/8/1p6/4k3/8/P7/8 b - -,e4d4
2k1rbr1/pp4pp/4n3/2pNB3/2P2P2/8/P5PP/R3R1K1 b - -,e6d8
8/1p1k2p1/1Kp2p1p/P7/P3PnPP/2N5/8/8 b - -,d7c8
4r1k1/3p3p/2bP2p1/4Bp2/1R2nPP1/2p1P3/q5KP/2QR4 w - -,b4b2
3q1rk1/2pPppbp/3n2p1/3N4/Q7/P3P1P1/1r3PBP/2RR2K1 b - -,d6b5
r2nk2r/ppp1qpbp/3pb1p1/1P2p3/2P1P3/3P2P1/P3NPBP/R1BQ1RK1 b kq -,e7d7
3rr1k1/p5pp/1p6/2np4/6N1/1P3PP1/P2Rb1BP/4R1K1 b - -,e2b5
2r1rbk1/1p3ppp/5n2/pP1P4/2nNp1q1/P1N1P1P1/1B2QPKP/2RR4 w - -,b2a1
2r1k1nr/pp3pp1/4p3/3pP3/bPnP2P1/5N2/P4P2/R1B1KBR1 b Qk -,g8e7
r5k1/bb4p1/p1n1pr1p/3p4/N4P2/5NP1/PP2B2P/1K1R1R2 w - -,d1c1
8/p3nkp1/4pp2/3p4/3Pq1P1/2P1B2r/1P1KB3/6Q1 b - -,h3h1
8/1kp1Rp2/p5bp/6p1/6P1/4KP2/PP5P/3r4 w - -,e3f2
3k4/pR6/2p5/2N3p1/1P1p2q1/P6p/4R3/5K2 b - -,g4f5
6k1/p4ppp/3q4/2pp2n1/4rPP1/1NP4P/PP3Q1K/5R2 b - -,g5e6
8/8/2p5/p1k4r/P2R4/3K4/8/8 w - -,d4c4
2nr2k1/pp1qppb1/7p/P2P2p1/1Q6/3PB1P1/BP3P1P/2R3K1 b - -,a7a6
r3kb1r/pp1n1ppp/1qp1pn2/3p3b/2PP4/1QN1PN1P/PP2BPP1/R1B1K2R w KQkq -,e1g1
8/5pp1/6k1/R7/7P/1P4P1/1r3P2/6K1 w - -,h4h5
r2q1rk1/1bp2ppp/p1np1b2/1pnBp3/4P3/2PP1N2/PP2QPPP/R1B1RNK1 b - -,d8d7
8/6R1/8/8/r7/8/5K1p/7k b - -,a4a8
3k4/R2r4/5p2/1pP3p1/1P2P3/1P2KP2/8/8 w - -,a7d7
r3kb1r/pp3ppp/1npqpnb1/4N1P1/3P1P2/2N2B1P/PPP5/R1BQK2R b KQkq -,f6d7
r5k1/ppRb2bp/6p1/3pn3/8/4BNP1/PP4PP/1B4K1 b - -,e5f3
r2qk1nr/3b1pbp/pp1p2P1/2pPp1P1/P3P1n1/2N1BN2/1PPQ1P2/R3KB1R b KQkq -,h7g6
r4rk1/4q1pp/4p3/p1n1Pp2/Ppn5/5N1Q/1P1B1PPP/R4RK1 w - -,d2g5
6k1/8/5np1/6R1/5P2/r4KPP/8/8 w - -,f3g2
rn1qk2r/p2pbppp/5n2/1ppb4/8/2NB1NP1/PP3P1P/R1BQR1K1 b kq -,d5f3
r2qk2r/1b1pppbp/1p4p1/p1n5/2P1P3/2N1BP2/PP1QB1PP/R4RK1 w kq a6,b2b3
5K2/5P2/R7/P2k4/8/8/8/6r1 w - -,a6f6
r2q2k1/3bbp1n/rp1p4/1NnPp1pp/1RP1P3/4BN1P/2B2PP1/1RQ3K1 w - -,f3d2
r2q1rk1/p6p/2b1pb2/2ppBpNR/3P4/2P5/P2Q1PP1/R3K3 b Q -,c5d4
2rq1rk1/3bbppp/p3pn2/1p2N3/1n1P4/2N1P3/PB2BPPP/R2Q1RK1 b - -,f6d5
r1r5/1b4qk/6pp/pPp1Pn2/P2p4/R2B1N2/3Q1PPP/2R3K1 w - -,d2e2
8/5k2/5P2/5P2/6K1/7p/8/5N2 b - -,f7f6
r2q1rk1/3bppbp/pp1n2p1/2nP4/2PR4/B4N2/1N3PPP/3QRBK1 b - -,a8c8
b3r3/p6r/Pp3nk1/1P1p1p1p/1BpN1P2/4PKP1/4R3/7R w - -,b4d6
3rR1k1/3n2pp/2p5/3p4/P1b5/2N3P1/5PBP/3R2K1 b - -,d8e8
rnbqkb1r/pp1ppppp/8/3pP3/8/8/PPPP1PPP/R1BQKBNR w KQkq -,d2d4
r2q1rk1/pppbbppp/2np1n2/8/2BNP3/2NQB3/PPP2PPP/R4RK1 b - -,c6e5
r2q1rk1/4b1pp/bpn1pn2/p1ppN3/P2P4/2P1B1P1/1P3PBP/RNRQ2K1 b - -,c6e5
r1bqr1k1/ppp1bpp1/5n1p/3p4/1PBP3B/P1N1P3/2Q2PPP/R3K1NR b KQ -,d5c4
8/3b4/6pp/p1K5/3N4/P2kP1P1/5P1P/8 w - -,d4c6
2r1b3/r3bpkp/4p1p1/1p6/3RB3/P1P2NP1/P4P1P/3R2K1 b - -,a7a3
3r1rN1/1p1n1pkp/1qp3p1/p1b1p3/4P3/1PP3PP/P3QPB1/1RB2RK1 b - -,f8g8
r1q3k1/pp1rbppp/2p1nn2/8/4PP2/2N1BBPP/PP3QK1/R4R2 w - -,f4f5
3r1rk1/pp1nbppp/2b1p3/2q1N3/5P2/3B4/PPPBQ1PP/1K1R1R2 w - -,e5c6
rn1qk2r/pp3pbp/2p1p1p1/8/3Pn3/5Q1P/PPP1BPP1/R1BR2K1 w kq -,f3e4
r2qnk1b/3b4/pp1P1pQB/2p1p3/P3p1P1/5PN1/1P6/R3KB2 b Q -,e8g7
1q4k1/4bp1p/4p1p1/R2pP3/3Q4/2P1B2P/5PPK/1r6 b - -,h7h5
r2r4/2bnqppk/1pp1b2p/p3p3/P1N1P3/5P2/1PPNQ1PP/R2RB2K b - -,d7c5
r2qr1k1/1p3ppp/p1pp1B2/8/2P5/6Q1/PPP2PPP/2KR3R b - -,d8f6
r2qk2r/ppp2ppp/2n5/3bp3/1b3P2/2NP4/PPP1N1PP/R1BQ1RK1 b kq f3,e8g8:d8d7
rnbq1rk1/p1p1bppp/1p2pn2/3P2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQ -,f6d5:e6d5
rnbq1rk1/ppp2ppp/5n2/3p4/1b1P4/2NBP3/PP2NPPP/R1BQK2R b KQ -,c7c6:c7c5:f8e8
r1bqk2r/ppp3bp/2np1n2/5pp1/1PPPp3/2N1P1P1/P2N1PBP/R1BQK2R b KQkq b3,b7b5
7r/ppk4q/2nb2b1/2pQpp2/2Pp4/P2P2N1/1P1B4/2KR1BN1 w - -,g1h3
r2q1rk1/pp2bpp1/2p1pn1p/5b2/2PP4/2N3PP/PP3PB1/R1BQ1RK1 b - -,d8c7
2R5/p2r2p1/4pk1p/5p2/1P5P/P5P1/4KP2/8 w - -,e2e3
r4rk1/1pq3b1/2p4p/p1n1p1P1/P1P5/4PBp1/1PQ2PP1/3R1RK1 b - -,h6g5
8/7R/5p2/3p1kp1/K7/BP6/r6p/8 w - -,b3b4
8/6k1/3K2p1/6P1/4R2P/8/8/3r4 w - -,d6e7
r4rk1/pp3pbp/1q3np1/6B1/3P4/5B2/PP1Q1PPP/R3R1K1 w - -,e1e7
1r6/n2kp2p/b1p1Nr1P/p1Pp2R1/3N1P2/PP4P1/8/4R1K1 w - -,g5g7
r1bqr1k1/pp3ppp/2n5/2Pnp3/3p4/NP1P1NP1/P2Q1PBP/R3R1K1 b - -,f7f6
r5k1/pb1r2pp/1np1p3/5p2/2Q5/1R4P1/PBP2PBP/5RK1 b - -,b6c4
r4rk1/p2n1ppp/2pq4/1pb1p1B1/3nP3/P2P3P/BPP1N1P1/R2QKR2 b Q -,d6g6
r4bk1/pp1n1r1p/4q1p1/1Bpb1pB1/3P4/2P4Q/PP2NPP1/2KR3R b - -,d5a2
