8/2R4P/7r/2P5/4pk2/8/6K1/8 b - -,e4e3
r2q1rk1/p4pbp/2p2np1/1p2n3/4P3/2N1BP2/PPQ1BP1P/R3K1R1 w Q b6,a1d1
r2r2k1/1pqn2pb/2p2p1p/p3p3/P3P3/3NbPPB/1PP1Q2P/3RR2K w - -,e2e3
4r1k1/7p/R2p2nB/1p6/2p2p2/3Q2P1/1P3P1P/4rBK1 b - -,c4d3
2rq1rk1/1p1bbppp/3p1n2/p3p3/Pn2PP2/1NN2B2/1PP3PP/R1BQ1R1K w - -,c1e3
r1b2rk1/pp1n1p2/2p2n1p/q2p2p1/1b1P3B/2NBP3/PPQN1PPP/R3K2R w KQ g6,h4g3
r1bq1rk1/1p2ppbp/2np1np1/p7/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 w - a6,b3d4
r2qk2r/p2nbp1p/b1n1p1p1/2ppP3/1p1P1PP1/2P2N1B/PP2N2P/R1BQ1RK1 b kq -,d8b6
r3k2r/1bqpbppp/p3pn2/1p2P3/3B1P2/2N5/PPP1B1PP/R3QRK1 b kq -,f6d5
6k1/6p1/8/7Q/1q1b4/7P/6PN/7K w - -,h5d5
2kr1b1r/1p3p2/5p1p/1p1Pqp2/1N1R4/1Q6/PPP3PP/2KR4 w - -,b3c3
n1kr4/Pp6/1P2p3/2PpP2p/5p2/2Q2N2/5qPP/6RK w - -,f3d4
r1bqkbnr/6pp/pp1p1p2/2pP4/P3PB2/5n2/1PPQB1PP/RN3RK1 w kq -,e2f3
bqr3k1/4bppp/p3p3/B2p4/1p2PP2/2PR1B2/n1PQ2PP/4R1K1 w - -,e4d5
3r1rk1/ppq1bpp1/2pp3p/4n2Q/2bNP3/P1N1B2P/1PP2PP1/3RR1K1 b - -,c4e6
1q1r2k1/p3pp1p/2p1n1p1/8/PPPpP2P/3N1PP1/5QK1/3R4 b - a3,a7a5
r2q1rk1/ppp1bppp/2n1pn2/3p3b/3P4/2P2NPP/PP1NPPB1/R1BQ1RK1 w - -,g3g4
r2qkbr1/pbp5/1p1ppn1p/6p1/2PPp3/4P2P/PP1NBPPB/R2QK2R b KQq -,d8d7
r3k2r/1pp2qp1/p2bbp1p/3Pp2n/8/2P1NNP1/PPQ2P2/R1B1K2R b KQkq -,e6d7
6r1/8/2Pk2p1/5p2/5K2/6R1/8/8 w - -,g3c3
8/8/p3B3/2pp1P1k/4r3/5N2/P2K4/8 b - -,e4f4
2r2rk1/1q2bppp/1p1np3/pN1pN3/P2P4/2PQPP1P/6P1/2R2RK1 w - -,b5d6
rnbqkbnr/ppp3pp/8/3P1p2/4p3/5N2/PPPPQPPP/RNB1KB1R w KQkq f6,d2d3
3r2k1/7p/p4R1P/2B1p3/b7/2P3P1/6P1/3r1RK1 b - -,a4b5
r1q2r2/2R2pkp/2p2p2/2Pp1P2/1p1P1Q2/1P5P/6P1/4R1K1 b - -,c8a6
r2q1r1k/pp1n2bp/2pp1np1/4pb2/2PP4/2N1B1PP/PP2NPB1/R2Q1RK1 w - -,d1d2
r1bq1rk1/p3ppbp/1pn2np1/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 w - -,c2c3:a2a3
r3kb1r/p1pqnppp/1p2p3/n2pP3/3P1NP1/P1N1B3/1PP1QP1P/R3K2R w KQkq -,b2b3
6k1/2p2pp1/3pb2p/2n1p3/4P3/2P1NPP1/2r2K1P/5B2 w - -,e3c2
1r2r1k1/4pp1p/6p1/1p3b2/1P1q4/1R3QPP/4PPB1/5RK1 w - -,f3c3
r1b1kb1r/3qpppp/p1pp1n2/8/4P3/1P1Q1N2/P1P2PPP/RNB1K2R w KQkq -,b1c3
r1b2rk1/2qnbppp/pp1ppn2/8/2PNP3/2N1B3/PP1QBPPP/2R2R1K b - -,c8b7
1r5k/2q3p1/2pN1p1p/p1PRpPP1/8/5Q1P/Pr6/K6R b - -,c6d5
1k4r1/1pp1n3/p2b4/8/3P2B1/1P4P1/1P1B4/4R1K1 w - -,e1e4
7Q/3k4/1p2p3/p4p2/2P2P2/1q5p/3KNPb1/8 b - -,b3b4
r3k3/pp3p2/2pR2p1/1q4Pr/4PQ1P/8/1P6/2KR4 w q -,c1b1
rn2k2r/pp1qbppp/5n2/3p4/3N4/8/PPPN1PPP/R1BQ1RK1 w kq -,d2b3
r1b1kbnr/ppqp1ppp/2n1p3/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,g8f6:a7a6
r5k1/r3b1np/PR2p1p1/4Pp2/2qp1P2/3N2PP/Q6K/R3N3 b - -,c4a2
2kr4/ppp1pp1r/1n1q2p1/3P4/3P4/1BP2QP1/P4P1P/1R2K2R w K -,e1g1
8/8/pR6/P3pk2/1P6/1r4P1/4KP2/8 b - -,f5e4
4r1k1/3q2pp/1Q3p2/1p6/1P1p4/6NP/5PP1/4R2K b - -,e8e1
r1q1k2r/ppp1bppp/3p2b1/3Q4/8/2P1BP2/PPP2P1P/2KR1BR1 w kq -,f3f4
8/3R1p2/5k2/3P2pp/2K2b2/7P/6P1/8 b - -,h5h4
2r1r1k1/p2n1pp1/3p3p/8/2pPP3/6B1/P4PPP/2R1R1K1 w - -,g3d6
8/6Kp/8/1p6/2pk4/3n1P2/1P1R2PP/8 b - -,b5b4
r1bq1rk1/1pp2pbp/p2p1np1/4p1B1/B1PnP3/2NP1N1P/PP3PP1/R2QK2R w KQ -,f3d4
8/8/r3pK2/3k1p2/P4P2/R3P3/8/8 w - -,a4a5
3rq1k1/pQ4pp/2p4b/2Bpp3/1P2p1R1/2P4r/P4P1N/3R3K b - -,e8h5
r1bqk2r/2p1bpp1/p2p3p/2nPp3/1p2P2P/4QNP1/PPP1NP2/1K1R1B1R b kq -,a6a5
3q3k/pbp2Q1p/1p3bp1/4pp2/8/1BP1PP1P/PP3BP1/6K1 w - -,f2g3
3Bk3/p5pp/1np1p3/1p2P3/1P2P3/PB3P2/2K3PP/8 b - -,e8d8
4R3/1p5p/p1pk2p1/P2n4/8/5P2/1P4PP/4K3 b - -,d5f4
3r1r1k/4Q1bp/4R1p1/8/2B2pP1/2P2R1K/P1q4P/8 b - -,h7h5
rnbq1rk1/ppp1bppp/4pn2/2Pp4/3P1B2/2N1P3/PP3PPP/R2QKBNR b KQ -,c7c6
r2q1rk1/p2n1ppp/4pn2/2b5/2B5/1Q2PP2/PP3P1P/RNB1K2R w KQ -,e1g1
2r5/p3R3/1pq2rkp/3pQp2/3P3p/P7/1P3PP1/4R1K1 w - -,e7a7
3rrb1k/pq5p/1pB1pp2/6pn/3pP3/2P3B1/PQ3PPP/3RRNK1 b - -,b7c6
6nB/2b2k1p/1p3p2/pPp1pP2/P3K2P/1P2N3/8/8 b - -,h7h5
8/8/8/2R5/3r4/4K3/pk6/8 b - -,d4b4
rr4k1/1n2b1pp/pn1p2q1/1ppPp1N1/4N1PP/1PP1B3/P1Q2P2/R2R2K1 b - g3,e7g5
8/8/8/2k2P2/2n3R1/2b2KP1/6P1/4r3 w - -,g4g8
3q2rk/6pp/1Pr1BR2/3p1PQ1/3Pp3/p3P3/7P/6RK b - -,a3a2
r1b1k2r/pp1nqpbp/2p2np1/4p3/2P1P3/2N1BN1P/PP2BPP1/R2QK2R w KQkq -,e1g1
r4rk1/p3qp2/1p1pb3/2p5/4B3/2PQ2P1/PP5P/R4RK1 w - -,e4a8
r1bq1rk1/p2nbppp/2n1p3/1PppP3/8/3P1NP1/PP2QPBP/RNB2RK1 b - -,c6a5
2r3k1/p4p2/1p4pp/2B5/P3P3/1K6/5PPP/1R6 b - -,c8c5
8/p3R1K1/7P/8/8/3k4/8/2q5 w - -,e7d7
8/6p1/8/5p1P/N7/1k6/8/1K6 b - -,b3a4
7r/pp2rpkp/2p3p1/2P1n3/NP1RPp1P/P3nP2/5R2/2KB4 b - -,h8c8
r3k2r/pp1nbppp/1qp1pn2/3p2B1/3P2b1/1QPBPN2/PP1N1PPP/R3K2R w KQkq -,e1g1
1qr1rbk1/pb1n1ppp/1p1ppn2/8/2P5/1P3NP1/PBRNPPBP/Q1R3K1 b - -,a7a6
r3qrk1/1pp3pp/1b2n3/p2pPN2/P4nPP/1Q2BN2/1P3P2/3RR1K1 w - -,f3g5
r2q1rk1/2pn1ppp/p2bpn2/1p6/3Pb3/5NP1/PP1BPPBP/RNQ1R1K1 w - -,d2a5
4q1k1/3r2pp/p1p1pp2/p7/Pb1PP3/1P2N1P1/2R1bPBP/B4RK1 b - -,e2d3
r1bqr1k1/pp1pbppp/n1p2n2/8/2PQ4/2N2NP1/PP2PPBP/R1B2RK1 b - -,d7d5
1rr3k1/1pq1bp1p/pQ1p2p1/3B4/2n5/B1P2NPb/P2RP2P/1R4K1 w - -,b6c7
1R6/8/k1P1p1p1/2Kr4/8/8/8/8 w - -,c5b4:c5c4
7r/p5bp/3kp1p1/1r1p4/1p1P3P/6N1/PPP2P2/1K1R3R w - -,f2f4
r1bqk3/4ppb1/p2p2pn/P1pP2B1/1pN1P3/8/1PP1BPP1/R2QK3 b Qq -,c8b7
8/p4p1k/1p1PbqpP/8/1P6/4B3/3Q4/6K1 b - -,f6a1
r1q1r1k1/p1p2ppp/np3n2/3p4/3P4/2PQPP2/P3N1PP/R1B2RK1 w - -,e2g3
6k1/2b3p1/3q1p1p/3P4/1p4P1/1P2r2P/P3B1Q1/5R1K w - -,f1f3
1k6/pp6/3b4/2p1p1B1/P2pR2P/8/1r4K1/8 w - -,g2g3
5rk1/pbqn1ppp/8/2rp4/3Qn3/P3PN2/4BPPP/R1B2RK1 b - -,e4c3
