5k2/7R/r7/4KP2/8/8/8/8 w - -,e5f4
2rr2k1/p6p/3q1pp1/2pPR1B1/8/5Q1P/PP3PP1/R5K1 b - -,d6e5
8/6kp/1K3pp1/NBP1p3/8/8/3r4/8 w - -,c5c6
6k1/1r3p2/3R2p1/4p3/1p2P3/3Nb1P1/r4PK1/1R6 w - -,b1b4
2rr2k1/1p2b1P1/1q2p1Qp/p2pRNn1/1n1P4/8/PP3PP1/RB4K1 b - -,c8c1
1r1qr1kb/2n2p1p/pp1pp1pB/2nP3P/PR2P3/R1N5/2PQBPP1/6K1 b - -,e6d5
3r3r/pp2pknp/3p1ppQ/q2P4/6R1/P2B1P2/1PP3P1/2KR4 b - -,f6f5
4r1k1/5pb1/6pp/Q2P4/6P1/4P3/Pq4BP/3R2K1 w - -,a5d2
r7/1p2bk2/1q2bp2/3p1p1p/1PnP1B1P/2N2N2/5PP1/3Q1RK1 w - -,f3e5
2q5/3nkp2/4p1b1/1pp3P1/3p1BPr/pP1P1QNr/P1P1R3/5RK1 b - -,b5b4
r4rk1/p1p1b1pp/2p1b3/5p2/5R2/2N1B3/PPP2PPP/R5K1 b - -,e7d6
3r1nk1/1p2rp2/pNp4p/3p2pb/1P1P4/P2BP1P1/5PP1/R1R3K1 w - -,a3a4
4r3/2bk4/2p1r1p1/1pPp1p1p/p2P3P/1PP2bN1/2KB1P1R/R7 b - -,e8a8
8/8/5R1P/P7/3kb3/r7/3K1P2/8 w - -,a5a6
3R4/1p2rppk/p1p5/P5p1/4n2P/3BP1P1/1P3P2/6K1 b - -,f7f5
r4r2/1b2Npkp/1n2pn2/6N1/pp1PP3/1P1B2q1/PB3PPP/1K1R3R w - -,h2g3
r1bqk2r/pp1nBppp/2p5/3p4/3Pn3/2NBP2P/PP3PP1/R2QK1NR b KQkq -,d8e7
r1b2rk1/pp2q1pp/1b2pp2/n1p5/3PP3/2PBBN2/P3QPPP/2R2RK1 b - -,c8d7
2k4r/pbpp1pb1/1n2q3/2p1PQp1/2P5/PPNB1PB1/6P1/2K1R3 b - -,g5g4
4r1k1/1qp5/3p2pp/4r3/pP1QP3/P3R2P/6PK/4R3 b - -,b7b6
8/7R/4k3/n4p2/BK6/2N5/8/2r5 w - -,h7a7
6k1/2Bn1pp1/7p/8/p3P1P1/1b3P1P/1P6/1B4K1 b - -,d7c5
2r3k1/1p4bp/r2p2n1/pN1Pp2n/P3P2q/3NBPp1/1P2B1P1/R1R3K1 w - -,c1c8
3r1r1k/2p3pp/p1n5/1pqp1P2/4b1P1/1B5P/PPPQ1R1B/2KR4 w - -,d1f1
8/5nk1/6B1/3N3P/5K2/8/8/8 b - -,f7h6
3r2k1/5q2/n1prRp1Q/p4P1N/2pp2P1/8/PP3PK1/1B6 b - -,d6e6
3r1k2/1pbr1pp1/p1q1pn1p/2p5/2P2P2/2BBQ1PP/PP1R4/1K1R4 w - -,g3g4
6k1/2n3pp/2p1p3/8/P1PP1r1P/P3K2B/8/7R b - -,e6e5
8/8/8/1Q3k2/5P2/6K1/2r1r1P1/8 b - -,f5e6
r1bq1rk1/1p2ppbp/2n3p1/p1n5/2Pp4/BP1P1NP1/P1N2PBP/R2QR1K1 b - -,d8b6
r1b1kb1r/pp2pppp/2pp1n2/q7/1n1PP3/2NBB2P/PPP2PP1/R2QK1NR w KQkq -,a2a3
3r4/p6p/3rp2k/1R3ppP/P1Pb4/1P6/2N1PPKP/3R4 w - -,d1d4
6k1/4R1p1/4R2p/1p6/1P5P/P7/2r4r/6K1 b - -,c2g2
r4bk1/2Qq1p2/pp2p1pp/3pP3/1P1P3P/PN6/5PP1/2R3K1 b - -,d7c7
r1b2rk1/pp2qpp1/2p2n1p/3pN3/3P4/2R1P3/PP3PPP/1B1QK2R b K -,f6d7
r3k2r/pq3ppp/2pb4/4p3/1P3nb1/5N2/P1PP1PPP/RNBQR1K1 w kq -,d2d4
1q4k1/6p1/6Rp/8/3Q4/6Pn/Pr5P/R5K1 w - -,g1f1
1qr2rk1/pb1nbppp/1p2pn2/8/2PP3N/1Q4P1/PB1N1PBP/2R1R1K1 b - -,f8d8
r3b2k/r5q1/1p1R4/1P1BpQ2/4Pp2/6p1/6PP/3R2K1 w - -,f5h3
8/8/4p3/5k1b/5P2/3NK1P1/8/8 w - -,d3e5
r6r/pp1nk3/2p1p1p1/5p2/2PP3P/P3PB2/1P1K4/6RR b - -,e7f6
4kn1r/p1r1bppp/3q1n2/2p5/2Pp4/B2P2PB/P2N1P1P/R2QR1K1 b k -,f8g6
r1bq1rk1/pppn1pp1/5n1p/3p4/1b1P1B2/2N2NP1/PPQ1PP1P/R3KB1R b KQ -,c7c5
r4rk1/2qb1ppp/3p1b2/1p1P4/p7/1Q1B3P/PP3PP1/R1B1R1K1 w - -,b3b4
2rn1rk1/2pbpqbp/pp1p1np1/2PP1p2/1P1N4/1N4P1/P1Q1PPBP/1RB2RK1 w - -,c5c6
4r1k1/4n1pp/P4p2/8/1b1B4/5NP1/2R4P/7K b - -,e7d5
2b2rk1/pr3ppp/2p1nq2/3p4/2P2N2/1P1BQ2P/P4PP1/3RR1K1 w - -,f4h5
6k1/1R4pp/P7/8/2p5/1P1p3P/3K2P1/4r3 b - -,e1e2
6kr/1b3p2/p2p1pp1/q7/P3r3/1P1N4/1P1Q2PP/R4RK1 b - -,a5d2
2R3R1/pp1r3k/1b2p2p/5r2/P3N1pP/4P1P1/5nB1/6K1 w - -,g8h8
rn1q1rk1/p2p1ppp/1p2pb2/2p5/2PPb3/1P2BNP1/P3PPBP/R2Q1RK1 w - -,f3e5
3rr3/p1k5/1pn1Bqp1/2pp2Np/5P2/2PP2N1/PP3Q2/4R1K1 w - -,e6h3
8/8/6k1/p1K1p1P1/B7/8/8/8 w - -,c5d5
r4nk1/1q3p2/1np3p1/2RpPpPp/3P1P2/1PQ1B2P/2P3B1/6K1 b - -,a8c8
B5k1/2p2pp1/5n1p/1N2P3/8/8/1P3PPP/2BrNK2 b - -,f6g4
8/1p1R4/1k1p1r2/3Pp3/2p1B3/8/PPPK4/8 b - -,b6a6
2rr2k1/p4ppp/n3p3/2b1N3/8/4B3/PP3PPP/R1R3K1 w - -,e3c5
r1b1r3/1pp3bk/4p1pp/n3P3/8/1BB2N2/PPP2PP1/3RR1K1 b - -,a5b3
rn2qrk1/pp2p1b1/1np3pp/4Nb1P/3PB3/2N5/PPQ2PP1/R1B1K2R b KQ -,f5e4
r2q3k/1p3Q1p/p2p2p1/2pP4/2Pn2P1/2N5/PPb1B2P/5R1K w - -,f7b7
8/1p6/2b5/p1P1rkpp/2R1p3/1P5P/P4PBK/8 b - -,e5e7
1rbq1rk1/pp2bppp/2np1n2/2p1p3/4P3/2PP1N1P/PPB2PP1/RNBQR1K1 w - -,b1d2
r4rk1/pp4b1/1q2p3/3p1n1B/3PnPQ1/2P4R/PP4PP/R1B3K1 w - -,c1e3
8/7p/1K6/6kp/p7/1p6/8/1R6 b - -,g5g4
2rqnrk1/p3p1bp/1pnp2p1/2p2b2/3P1P2/2N1BNPP/PPPQ2B1/R4RK1 w - -,g3g4
r2q1rk1/ppp1ppbp/2np2p1/8/2PP4/6P1/PP2PPNP/R1BQ1RK1 w - -,d4d5
5bk1/5ppb/7p/4N3/3R1n2/8/5PBP/5K2 b - -,f4g2
8/1k6/8/1nr5/7P/2p1N1P1/5PK1/2R5 b - -,b7c6
8/5B2/1p1pPk2/1K5P/2P5/4b3/8/8 b - -,f6e7
5r1k/6pp/p2q4/1b1N1p2/8/b3Q1P1/P4PBP/2R3K1 w - -,c1c7
6k1/6p1/7p/pR6/P7/1P3R1P/5P1K/2r3r1 b - -,g1h1
6k1/1b2qpp1/1p1p2np/1Pp1p3/2P1P1P1/r2PQN1P/1B3P2/4R1K1 b - -,a3b3
2r1k3/1p2bp2/p4np1/3p4/3Rp1PP/1Nq5/P1P1Q1B1/2K3R1 b - -,f6g4
8/5ppk/4n3/1P6/4Q2P/1q2PP2/1r3BK1/5R2 b - -,h7g8
r5k1/rpqb2bp/2p1ppp1/P1Pp4/1Q1P4/4PN2/4BPPP/RR4K1 b - -,d7c8
r1bq1rk1/p1p3pp/2p2P2/2bp4/3Nn3/2P5/PP3PPP/RNBQ1RK1 b - -,d8f6
1r2r1k1/1ppq1pnp/p2p2p1/3P4/4P3/1PQ2PP1/P6P/2R1RBK1 b - -,b8c8
2r2rk1/1p1b1pbn/n2p1qp1/pN1Pp2p/P3P1P1/R4P1P/1P1QNB2/3BK2R b K -,a6b4
8/6n1/2k3P1/8/4K2N/2P4P/8/8 w - -,h4f5
4k1r1/1p1b1p1p/p3pB2/n6N/n3P3/P4P2/2r3PP/3RKB1R w K -,f6h4
rn1q1rk1/4bppp/ppB1p3/3p4/1n1P4/4PN1P/PP2QPPB/RN3RK1 b - -,b4c6
r1b3k1/ppp2p1p/n2r1bp1/3Np3/2P1P3/5N1P/PP3PP1/2R1KB1R b K -,f6d8
rn1q1rk1/pp2p1bp/2ppb1p1/5p2/P2P4/1P2P1P1/1BPN1PBP/R2Q1RK1 b - a3,a7a5
1b1r1k2/8/4Q1p1/8/qP1p4/PN1P2PP/7K/2B5 b - -,d8d6
