8/4k3/1PK5/8/8/6b1/8/3R4 w - -,d1g1
r2q1rk1/pp2bpp1/5n1p/2ppBb2/8/1P1P2P1/P2NPPBP/R2Q1RK1 b - -,a8c8
r1b2rk1/pp1nqppp/2pb1n2/4p3/3PP3/1BN1BN2/PP3PPP/R2Q1RK1 b - -,h7h6
r1bq1rk1/pp3ppp/2p1p3/P7/R1NP1P2/2b1P3/5PBP/3Q1RK1 b - -,c8d7
r1b1k1nr/p1p2ppp/2pp4/8/4P3/4PP2/PPP4P/RN2KBR1 b Qkq -,g8e7
2r5/4k3/7p/p4pp1/1P1R1P2/1b3B2/3K3P/8 w - -,b4a5
1nkrq2r/1pp1b1pp/p4p2/2PPpb2/N3n3/PQ2BN1P/1P2BPP1/2RR2K1 b - -,e8f7
8/2p3pp/1p3P2/pPnkb3/P7/7P/2K5/5R2 b - -,e5f6
8/6R1/5pp1/5k1p/4p2P/6P1/4KP2/r7 w - -,g7g8
r1r3k1/2qbbppp/n2p4/1p1Pp3/4P1n1/P3N2P/P2B1PP1/RB1QR1K1 w - -,h3g4
r2q1rk1/ppp2pbp/3p1np1/2nPp3/2P1P3/2N1BB1P/PP3PP1/R2Q1RK1 b - -,a7a5
4r1k1/5ppp/1n2pq2/r1p5/Pp6/3P2P1/2QNPPKP/R1R5 w - -,d2c4
rn1qk2r/4bp1p/p1p1pnp1/1pPp4/3P1P2/1PN1P3/P1Q2P1P/R1B1KB1R w KQkq -,f1d3
r1b1k2r/pp3ppp/1qnppn2/8/2PP4/5NP1/PP1N1PBP/R2QK2R w KQkq -,d2b3
8/1PR2p1p/b4P1k/4P3/5K2/1r5P/6B1/8 b - -,b3b4
8/8/1P5k/2p2Qp1/1q5p/3P2P1/5P1P/6K1 w - -,f5e6
8/8/6pp/5p1k/4p2P/4N1P1/5PK1/2rR4 b - -,c1c5
2r3k1/p2Qppbp/8/1pq3Pp/8/1P6/P1P1p2P/1KR1R3 w - -,c2c3
r4rk1/1bq1bppp/p1nppn2/1p6/4PP2/PNNB4/1PPBQ1PP/4RRK1 b - -,f6d7
rn1q1rk1/pp2bppb/2p2n1p/3pN3/3P4/2N2PP1/PP2P1BP/R1BQ1RK1 w - -,e2e4
r4rk1/pbqn1ppp/1p1ppb2/8/2PP4/1PB2NP1/P3QPBP/2R2RK1 w - -,f1d1
3r1bk1/1pp2bpp/1n3p2/8/pP2P3/r3B1P1/3N1P1P/2RR1BK1 w - -,c1c7
n2r2k1/4q1p1/2R1pp2/p2n2p1/1p1P4/1P3B1P/P2B1PP1/2Q3K1 w - -,c1c5
r1bq1rk1/pp2n1bp/3p2p1/2p1pp2/3nPP2/2NPB1PP/PPPQN1B1/R4RK1 b - -,c8e6
8/1p6/p4N2/4p3/4p2P/3bk1P1/1P6/4K3 b - -,e3f3
2kr4/pp1r1pp1/5n1p/2ppqN2/2P4P/5Q2/PP3PP1/1KR4R w - -,h1e1
2r1r1k1/pq2ppbp/4n1p1/1PPp4/5n1B/1N3N2/1P3PPP/2R1RQK1 b - -,d5d4
6r1/8/8/8/2P1Nn1p/K7/4k1p1/2R5 b - -,g2g1q
1qk3rr/1p1bbp2/pB2pn1p/4p3/6P1/2N4P/PPPR2B1/2K2Q1R b - -,d7c6
b1r2k2/2P1nppp/p3p3/BpR1P3/3N4/P4P2/5PK1/8 b - -,f8e8
r3k2r/pp1b1npp/1q2p3/2bpP3/3n4/P4N2/1PB1RPPP/RNBQ2K1 w kq -,f3d4
rnbqkb1r/1p3p2/p2p1n1p/2pP2p1/P6B/2N2N2/1P2PPPP/R2QKB1R w KQkq -,h4g3
r3r1k1/3b2pp/1ppp3q/5p2/2PPnN1P/P3PRP1/6Q1/2B1R1K1 b - -,h6f6
r2q1rk1/pb1pbppp/4pn2/8/PB1P4/5NP1/2QNPPBP/R4RK1 b - -,e7b4
1r6/p4p2/2pk2p1/3p1b1p/3P3P/1BP2P2/P2K2P1/4R3 b - -,a7a5
rn1q1rk1/pbppppbp/1p3np1/8/2PP4/5NP1/PP2PPBP/RNBQR1K1 b - -,f6e4
8/4k3/1R4p1/8/p1K2PP1/1p6/2n5/8 b - -,c2e3
5B2/pp2Q1p1/2q1p2p/4Pp1k/P7/1P3nP1/5PKP/8 b - -,f3e5
1r2q2k/2pb2bp/pp1p1nr1/3P1p2/2PBpP2/1P4P1/P1N2R1P/1R1Q1BK1 w - -,c2e3
1r6/2k2p2/2p3p1/p1n1p2p/2P1P2P/2N3PR/1pKN1r2/3R4 b - -,f2d2
8/5k2/2R5/4p1P1/1P4r1/2P5/2K5/8 b - -,g4g5
rnbqk2r/1p1nbppp/p2pp3/8/3NP1P1/2N4P/PPP2PB1/R1BQK2R w KQkq -,c1e3:d4e2:e1g1
8/5p2/5p2/3bkB2/7P/4P1K1/pr4P1/3R4 b - -,b2g2
1r4k1/p5p1/4pb1p/8/B1p5/3n2P1/P3rP1P/R2RB2K w - -,a1c1
4r1k1/3N1p2/p2Q1bq1/3P2p1/1P5p/4P2b/2r1N1P1/3RR2K b - -,h3d7
r2qkb1r/pb1p1ppp/np2p3/3nP3/3P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1:c3d5
1r2b1k1/1p3p1p/1Np1p1p1/p1n5/8/6P1/1P2PPBP/R5K1 b - -,b8d8
6k1/2r3pp/2N3n1/2Pp4/2p5/2P3P1/r4P1P/1R3RK1 w - -,c6d4
6rr/p1knnp2/Pp1p1p2/2pP4/2P2P1p/2P5/3BB2P/4R1RK w - -,e2d3
2br2k1/6p1/p5P1/2BP1p2/2P1n3/7B/P7/1K2R3 w - -,c5b4
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f8g7
r6k/2p2qpn/6np/1P3RP1/4P2P/N1P5/1P2QP2/2B3K1 b - -,f7e8
1k1r3r/1p1q4/p2ppb2/2p1n1p1/6P1/2P1B3/PPPQBP2/1K1R3R b - -,h8h1
r5k1/P4pp1/2b1n2p/Rpp1P3/2P1p3/4PPB1/3N2PP/6K1 b - -,b5b4
8/7p/3k4/R7/2p1K1P1/3p3P/P7/6b1 b - -,g1c5
8/7k/7P/5PK1/8/6R1/8/5r2 w - -,f5f6
5rk1/2p3p1/p3b3/1pP1Prqp/1P1RN3/2Q2P1P/6P1/R5K1 b - -,g5g6
2qk4/3b1B2/p2p1nPb/1p6/3QP3/2N5/PPP4P/1K1R4 b - -,d8e7
2r3k1/4R3/p1P3Pp/2nP4/2P5/8/P7/5K2 b - -,g8f8
2rqr1k1/1p4bp/2b1ppp1/p2p4/P2P4/2PB2BP/1PQ2PP1/R3R1K1 w - -,f2f4
r4rk1/pb1nqppp/1p2p3/2p5/3P4/P1PBPN2/5PPP/R2Q1RK1 w - -,e3e4
r5k1/2bqr1pp/b1p1pp2/ppPn4/3P4/PP1B1NP1/1BQ1RP1P/4R1K1 b - -,g7g6
rn1qk2r/1b3ppp/4pn2/pp1P4/2p1P3/1PB2N2/5PPP/R2QKB1R w KQkq -,c3f6
2kr4/3b1p2/p2p1q2/1ppPbP1p/2P1Q3/1P3R1P/P3N1N1/7K w - -,g2e1
r1br2k1/pp3pbp/n1p2np1/4p1B1/2P1P3/2N2N1P/PP2BPP1/R4RK1 b - -,d8e8
r2r2k1/ppq1bppp/2p1pn2/6B1/2PP4/P4N2/1P2QPPP/R3R1K1 w - -,a1d1
2k1r3/2p2pbp/ppb2np1/2p5/4P3/1N3P2/PPPBN1PP/2K4R b - -,f6d7
7r/1b1n1p2/4k1p1/Nn2p1Pp/1P2P2P/1P3P2/1KPR4/3R4 b - -,b7c8
7k/1p1Q2p1/p1p1q3/2P4p/PP4PP/7K/8/3R4 b - -,e6e3
r4rk1/p4p1p/1npb3B/5B2/3p4/1P5P/P4PP1/R4RK1 b - -,f8e8
1rb1rbk1/2qn1ppp/ppnpp3/8/P3PPP1/1NN1BB2/1PP2Q1P/R4RK1 w - -,f4f5
3r1rk1/pp3qpp/2n5/1Q2pp2/2P5/P7/1P3PPP/1B1R1RK1 b - -,d8d4
r3r1k1/2p2ppp/p7/1p2q3/4p3/2P3RP/PP1Q1PP1/4R1K1 b - -,a8d8
3B2k1/5ppp/1pb1p3/p7/5P2/4P3/5KPP/8 b - -,a5a4
4r3/1k3pp1/pp1p2p1/3P4/2P3P1/P7/2N1nK2/4R3 w - -,e1e2
8/5pk1/R6p/7P/6BK/p1r5/8/8 b - -,c3e3
r1bqk2r/ppp2ppp/5n2/2bPp3/8/2NnPNP1/PP1PKPBP/R1BQ3R b kq -,f6d5
5nk1/1p3r2/2b1p1p1/3p4/5P1P/1PR3P1/1P2R3/6K1 b - h3,f7d7
3nk2r/5p2/2bpq3/p3p1P1/1p2N2p/3B4/PP3QPK/5R2 b - -,c6e4
2K5/2P5/3k4/7p/2R5/8/8/3r4 b - -,d1b1
rnbq1rk1/p1p1bppp/1p2pn2/3p4/2PP1B2/2N1PN2/PP3PPP/2RQKB1R b K -,c8b7:c8a6
r1bqk2r/1p1nppbp/2pp1np1/p7/P1PPP3/2N1BN2/1P2BPPP/R2QK2R w KQkq -,h2h3
r4rk1/1nqbb1np/p2p3B/1p1Ppp2/PPp5/2P2N1P/2BNQPP1/R2R2K1 b - -,e7f6
3r4/3P4/8/5p1p/3K1P1P/8/1k6/8 w - -,d4e5
