8/4r3/2pR4/3b2pk/1P1B4/5PK1/8/8 b - -,e7f7
r1b2rk1/p4ppp/2pq1n2/2bp4/8/1P2PN2/PBQ2PPP/RN3RK1 b - -,f6e4
r5k1/5pbp/4p1p1/2p5/1B2P1b1/P7/3N1PPP/4K2R w K -,b4c5
4r1k1/5ppp/3R4/8/p2B4/Pb3PP1/1PrR1KP1/8 w - -,d2c2
2r2rk1/1p2bppp/p1qpbn2/P3p3/2n1P3/1NN5/RPP1BPPP/2BQR1K1 w - -,e2f3
r1bq1rk1/pp2ppbp/2np2pn/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,c1g5
r5k1/p5pp/1p2q3/2p3b1/3n1R2/3PN3/PPP1B3/R1BK4 b - -,g5f4
5rk1/p1r3pp/Bn2p3/1N2P3/2p5/Pb1p2P1/1P1R3P/4R1K1 b - -,c7c5
r1bqk2r/pp1n1p2/2n1p2p/2bpP1p1/8/2NB1NB1/PPP2PPP/R2Q1RK1 b kq -,g5g4
3b4/8/6p1/5k2/5P1P/5K2/8/4N3 w - -,e1g2
r1bqr1k1/p1p2ppp/2pp4/4n3/4PB1b/2NB2QP/PPP2PP1/1R3RK1 w - -,g3e3
1kr4r/pp1qb3/2n2n1p/3p1p2/3PP3/1Q4P1/PB1N2B1/1R2R1K1 b - -,f5e4
r4rk1/pbqnbppp/1p2p3/4N3/2P5/1P1B4/P3QPPP/R1B2RK1 w - -,e5d7
8/ppp3qn/3p2nk/3P2p1/3P4/3Q2PP/PP2N1BK/8 b - -,g7f7
5k2/4Qp1p/2b1p3/8/P4p1B/5q2/1P3PrP/5K2 b - -,f8g8
8/1P6/3B1k1p/3K2p1/6P1/2b1p2P/8/8 b - -,e3e2
8/8/5k2/1n1P4/4K3/2p5/2B5/8 b - -,b5a3
q1r5/pb1rb1k1/1p1p1p1p/2P1p2P/1P2PpP1/PQR2P1K/B4B2/2R5 b - -,d6c5
1rbr4/4kn1p/3n2p1/p1NR1p2/B3p2P/4N1P1/1PP2P2/2KR4 w - -,c5b3
8/q1R2pk1/4p1p1/p3Pn2/Pp3b1p/1P3N1P/3R2P1/3Q3K b - -,a7c7
r1bqnrk1/p3bpnp/1p1p2pB/2pPp3/1PP1P3/2NB1N1P/P1Q2PP1/1R2R1K1 w - -,b4c5
r1bq1rk1/p3npb1/1pn1p1pp/2pp4/2P5/2NP1NP1/PP1BPPBP/1RQ2RK1 b - -,g8h7
8/p4r2/1pn3pp/2p2k2/2P4P/PPKR1N2/8/8 w - -,d3d6
3B4/6k1/3npp2/p6B/3P3p/1P1K3P/6P1/4b3 w - -,d8b6
r1bq1rk1/ppp2pp1/2p1n3/4p1p1/N3P2P/P2PB3/1PP2P2/R2QK2R w KQ -,h4g5
qr4k1/3np2p/3p1pp1/P1pP4/2r1PP1P/1PR1R1P1/4Q2K/8 w - -,b3c4
8/8/8/R5p1/P1k1p2p/2P1K2P/6r1/8 b - -,c4c3
rnbq1knr/1p3ppp/p3p3/2bpP3/6Q1/2N5/PPPB1PPP/R3KBNR w KQ -,e1c1
8/p1rrk2p/R4pp1/2p1p3/R5P1/1P2P3/P3KP1P/8 b - -,c7b7
8/p7/1p1R4/1P2k3/P2bppp1/8/B3KPP1/8 b - -,e5d6
1r4k1/p2n3p/5np1/4p3/4P3/5PP1/K1R2BB1/1r4NR b - -,b1b4
r2qk1nr/ppp2ppp/2n1p3/3p4/1bPP1Bb1/4PN2/PP3PPP/RN1QKB1R w KQkq -,b1c3
r4b1r/pp1knppp/4p3/3pP3/3P4/8/PP1N1PPP/R1B2RK1 w - -,d2f3
r4rk1/1b5p/3n1p2/ppqPp1pP/2p1P1P1/P1N1QP2/1P6/2R1KN1R b K -,c5c7
r2qbbkn/7r/2p1p1np/3pPp2/pP1P1P2/P2NR1P1/1BQN1KB1/7R w - -,d2f3
r1bq1rk1/1pp2pp1/2nppn1p/p7/2PP4/PPB2N2/2Q1PPPP/R3KB1R b KQ -,d8e7
8/8/p4rp1/1p5p/3k3P/4RpP1/PP3P1K/8 w - -,h2h3
r1r3k1/3nqpp1/1p5p/1N2p3/2PnP3/4QPP1/1R1N2KP/2R5 w - -,b5c3
8/8/8/1R3pkr/8/3B2K1/8/8 b - -,g5f6
r1b1kb1r/pp3p1p/2n1p3/2Pp1p2/8/q4NP1/P2NPPBP/2RQ1RK1 w kq -,d2b3
1b1r1rk1/4q1p1/7p/pQ1b4/3p1P2/P5BP/1P4PK/1N1R1R2 b - -,e7e4
r1bq1rk1/pp3ppp/1bn1p3/3n4/4P3/PN4P1/1P3PBP/RNBQ1RK1 b - e3,d5f6
1r3rk1/3b1pbp/pq1p1np1/n1pPp3/2P5/6P1/PBQNPPBP/3NRRK1 w - e6,b2c3
8/1p3pkp/2r2np1/3pq3/1P5Q/rB1RPP2/5PK1/3R4 w - -,b4b5
8/p1pn2kp/3p1pp1/2pP4/2P2P2/1Pq1r1PP/P4Q1K/1B3R2 b - -,f6f5
r1bqk2r/2p1npbp/np1p2p1/p2Pp3/2P1P1P1/2N1B3/PP2BP1P/R1NQK2R w KQkq -,h2h4
8/5pkp/6p1/3r4/P2bQ3/6P1/q4P1P/5RK1 b - -,d5d6
5r1k/p6p/4R3/3Q3N/2nP3q/7P/6P1/6K1 w - -,e6e4
rn1qk2r/pbpp2pp/1p2pn2/5p2/1bPP1B2/2N1PN1P/PP3PP1/R2QKB1R b KQkq -,e8g8
r4rk1/5pb1/p2p2bp/4q3/1p2p2P/1BP1N3/PP2QPP1/R3K2R w KQ -,h4h5
r3r1k1/1qpn1ppp/1p1ppn2/p7/2PPb3/PPQ3P1/1B1NPP1P/R2R1BK1 b - -,e4g6
8/1prb2p1/pk5p/3pPp2/3P3P/1P1NK3/P5P1/2R5 b - -,c7c1
r4rk1/1p1bbppp/p2ppn2/q7/2PQP3/2N1BP2/PP2B1PP/2R2RK1 w - -,d4d2
4rbk1/p4ppp/2p5/3n4/3Pq3/3N1QB1/PP3PPP/2R3K1 w - -,d3e5
1qr1k1r1/1b3p1p/p2bpn2/1p6/1PnNP1pP/P1NB4/1B2QPP1/2RR2K1 b - -,g4g3
r1bqk2r/1p3ppp/p3nn2/2pp4/P7/2NP2b1/BPP2PPP/R1BQ1RK1 w kq -,h2g3
r4r2/pp2ppkp/1n2b1p1/3qN3/8/3B2QP/PP3PP1/R3R1K1 b - -,a8d8
r1r3k1/1p3ppp/4p3/p1PpR3/3P2QP/2R5/qP3PP1/6K1 b - h3,a2b2
2rqk2r/3nbpp1/p2pbn2/1p2p1Bp/4PP2/1PN3PP/P1PQN1B1/R3K2R b KQk f3,b5b4
r1bq1rk1/pppnn1bp/3p2p1/3Pp3/2P1Pp2/2NNB3/PP2BPPP/R2Q1RK1 w - -,e3d2
6k1/1p4pp/p3Nr2/3R4/2p3r1/6P1/P4P1P/1R4K1 b - -,f6e6
4rk2/1p2n3/3N2pp/p7/8/PP6/6KP/4R3 b - -,e8d8
r2qkbnr/1b1p1ppp/p1n1p3/1pp5/4P3/2N3PN/PPPP1PBP/R1BQ1RK1 w kq -,d2d3
3r2k1/4q2p/pb2Ppp1/1p6/6r1/1BP2Q2/P1R2PPP/4R1K1 b - -,g4g5
rnbqr1k1/pp3pbp/3p2p1/2pP4/4NB2/5NP1/PP2PPBP/R2Q1RK1 b - -,e8e4
2rqr1k1/1b1n1pp1/pp1p2np/3Pp3/1pP1P3/P4N1P/1P1N1PP1/R2QRBK1 b - -,b4a3
2r1r1k1/5pp1/pq6/1bbP1Pp1/2nN4/2P4Q/1P2p1BP/R1B1R2K w - -,c1g5
4r3/1b2qp1k/2p3p1/1pN5/1P2PPPp/7P/6B1/Q5K1 b - f3,b7c8
rr5k/4b2p/3pB1p1/q1pPp1P1/2P1Np1P/pP2nP2/P6Q/1KR3R1 w - -,h4h5
r3rbk1/p4pp1/b6p/2pP1N2/4pq2/1P5P/PB3PP1/2RQR1K1 w - -,d1g4
2k4r/pp2ppbp/2p1n1p1/4P3/2qBNP2/P1P4P/2Q3P1/1R3RK1 b - -,e6d4
8/pp4p1/4bk1p/3p1p1P/3P1P2/5BK1/PP4P1/8 b - -,b7b6
8/B6p/pp4p1/2pP4/2P1k1b1/2P5/P2K4/8 b - -,b6b5
4k3/3R2pp/p1r1q3/8/2p1p3/P5PP/4PP2/3Q2K1 w - -,d7d4
4rrk1/p2q2pp/1pb5/3pBp2/1b1Pn3/2NB1Q1P/PP3PP1/3R1RK1 w - -,f3f4
r1b2rk1/6pp/pBNp1bq1/1p1P1p2/4p3/2P2R2/PPBQ2PP/R5K1 b - -,e4f3
2rq1rk1/1b2bppp/ppnppn2/8/2P1PP2/1NN1BB2/PP4PP/2RQ1RK1 w - -,d1e2
3rb1k1/1R4p1/p3p3/2Pp3p/p2P4/2N1P2P/4K1P1/8 w - h6,e2d2
r3kb1r/3n1p1p/1qn1p1p1/p1ppP3/3P1P2/P3BNP1/1Pp1Q1BP/R3R1K1 w kq -,e2c2
3r4/2k3p1/ppb2p2/4p3/1P5p/2P2PPn/1PB2N1P/4KR2 b - -,c6b5
8/8/2k3p1/2p2p1p/1b3P1P/3bN1P1/5K2/2N5 b - -,d3a6
1rn3k1/1p2n1p1/4q1rp/PPp2p2/2P1p3/2N1P1P1/4QPBP/R2R2K1 w - -,d1d8
r2qk2r/1p1bbppp/p1n1p3/3pP3/3P1PP1/2N1B3/PP2B2P/R2Q1RK1 w kq -,f4f5
2rR1k2/5pb1/r1p1pnpp/p1P1B3/5P2/5N1P/PPP3P1/2KR4 b - -,c8d8
rnbqkbnr/pp3ppp/2p1p3/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,g8f6:f7f5
r1bq1rk1/pp2ppbp/n1pp1np1/3P4/2P1P3/2N2P2/PP2BNPP/R1BQK2R w KQ -,e1g1
