8/4ppkp/5bp1/8/2q5/4P3/P4PP1/5BK1 w - -,f1c4
1r2q3/4b2k/pB2b1pN/Pn3rQ1/1pp5/8/1PB2PPP/R2R2K1 w - -,g5g3
5r2/4q2k/2p1B3/PpPpP2p/2bPprp1/P3Q3/4PP1P/R5RK w - -,e6g4
4r1k1/p4p1p/1p4p1/2nq4/4N3/8/P4PPP/1RR3K1 w - -,e4f6
8/1pp3k1/1p1p2n1/8/2P1N2q/5PRb/PP2BR1P/7K b - -,h3f5
2r3k1/5pb1/7p/3q1p2/3p1P2/1P5P/2P1R2K/2BQ4 w - -,c2c4
r1bqk1nr/1p3pbp/p1n3p1/2pp4/P4P2/2NP1NP1/1PP4P/R1BQKB1R w KQkq -,f1g2
2r5/pp4p1/1b3pk1/7p/7P/1PBR1KP1/P4P2/8 w - -,c3d2
r4rk1/3n1npp/bpp1p2q/p2p1p2/2PPP2P/1P1N1PP1/P1N3B1/R3QRK1 w - -,e1c3
r4rk1/pbqn1ppp/1p1ppn2/2p5/2PP4/4PNP1/PP1NQPBP/2R2RK1 w - -,f1d1
3r2k1/1q2bppp/p3p3/3n2Q1/2pN4/P3P1BP/1PR2PP1/6K1 w - -,g5g4:g5e5
5r1k/1p4p1/p1n4p/5q2/1P6/PQ5P/6PK/3R4 b - -,f5f4
1q1rrbk1/p4pp1/1p3n1p/4p3/1PP4N/P3Q1P1/1B3PKP/2R2R2 w - -,f1e1
r3kb1r/1b1n1p2/p2p3p/q3pP2/P1p1P3/2N1B1N1/1PPQ3P/R4RK1 b kq -,d7f6
3rr1k1/ppR2p1p/5pnQ/8/3p4/3B2PP/qP2PP2/5RK1 b - -,b7b5
r1b1r1k1/pp3pbp/3p2p1/2pP4/P3P1B1/2N3Pq/1P1N1K2/R1BQ3R b - -,g7d4
1r3rk1/p3pp1p/b2p1npQ/2pP2NP/2P5/q4BP1/P3PP2/2RR2K1 b - -,a3a2
rnbqk2r/ppppppbp/6p1/6B1/3Pn3/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,g5h4:g5f4
1rbqnrk1/pp3pbp/2n3p1/2p1p3/P1NpP3/3P1NP1/1PP2PBP/R1BQ1RK1 w - -,b2b3
r1b1k2r/pp1n1ppp/4p3/n2pP3/3P4/3B1N2/PP3PPP/R3K1NR w KQkq -,a1c1
rn2kb1r/pp3ppp/2p1pn2/q7/3P4/2N2Q1P/PPPB1PP1/R3KB1R w KQkq -,c3e4
1r1q1rk1/p3bppp/1pb1p3/3p3n/2N5/2P2NP1/PP2PPBP/R2Q1RK1 w - -,c4e5
r4k2/1p1nq1p1/2p2nB1/p3pQN1/Pb5r/2N5/1P3PPP/3RR1K1 b - -,f8g8
r3qr2/1p1bpnbk/p2p1pp1/2pP3p/2P1PP2/2B2NPP/PP4B1/R2QR1K1 b - -,b7b5
2br2r1/5k2/ppqppn1p/5p2/P1P2P2/1PN4P/5QPK/1BR1R3 w - -,b1d3
5r2/p1k5/1p2P2p/3R2q1/2pP2P1/P1Pb1B1Q/4K3/8 w - -,e2d1
1r5r/4kbQ1/p4p2/q3B1pp/NbP5/1P3P2/P5PP/3RR1K1 b - -,b4e1
r2kr3/pppb4/3p1nnp/3Pb1p1/2PN1pP1/2B2P2/PP1RBN1P/2K4R w - -,f2d3
1r3k1r/5p1p/2B2pp1/pP2p3/P7/1b4P1/1K2PP1P/3R3R b - -,b3a4
8/3r1k1p/1p2p1p1/2b5/4p1PB/4P2P/PP2KP2/2R5 b - -,d7a7
r1b1k2r/3q1ppp/p1nb4/1p4B1/2p1P1n1/2P2N1P/PPB2PP1/RN1QR1K1 b kq -,h7h6
3r2k1/2pq2pp/2Q1bb2/p3pp2/8/P2PB1P1/1r1NPP1P/2RR2K1 w - -,c6c3
rn1q1rk1/pbp2ppp/1p1bpn2/3p4/2PP4/P1NBPN2/1P2QPPP/R1B2RK1 b - -,c7c5
r1b2r2/pp1q1ppk/2nbp3/2pp4/3P1B2/2P1PN2/PP3PPP/R2QK2R w KQ -,f3g5
1r1q1rk1/2p2ppp/1bnp1n2/1N2p3/3PP1b1/1BP2N2/1P3PPP/R1BQR1K1 b - -,g4f3
8/5k2/R7/8/2rKN3/p7/1n6/8 w - -,d4d5
2r3k1/ppR2p1p/q2bn1pB/P7/8/5NP1/Q3PP1P/R5K1 b - -,c8c7
5b2/1p3p2/p1k3p1/3NPP2/4K1P1/1P6/P7/8 b - -,g6f5
1Rq1r1k1/p3bppp/4pn2/2ppN3/2nP4/B5P1/P3PPBP/2RQ2K1 b - -,c8b8
8/6k1/4q1p1/4p1P1/n2pP2p/3B3P/1PP3Q1/2K5 b - -,e6b6
6k1/2q3p1/3p1p1p/p3pQ2/Pp1bP3/1P3RP1/5PK1/8 w - -,g3g4
3r1k1r/p5b1/5nB1/3P1p2/P1q2PP1/3Np1QP/8/6RK w - -,g6f5
r1bq1rk1/ppp3b1/2np3p/3NNpp1/2P5/4P2P/PP2BPPB/R2Q1RK1 b - -,c6e5
5bk1/2p3pp/Q1p1bq2/2PnNp2/P2Pp3/7P/r4PPB/1R2R1K1 b - -,e4e3
r1b3k1/pp2ppbp/2n2np1/2B5/2P1P3/5P2/PP4PP/3NKBNR b K -,b7b6:f6d7
r1bq1rk1/pp4pp/1bn1ppB1/4P3/1P1p4/P4NP1/1BP1QP1P/RN3RK1 b - -,h7g6
8/4k1R1/4B3/4K3/8/8/8/r7 b - -,e7d8
3r1k1r/pbq1npRB/1p2p2B/4P2p/2p5/2P3Q1/P1P2PPP/R5K1 b - -,f8e8
3r4/4k3/R3p2p/6pP/6P1/4KP2/8/8 b - -,d8d1
r2qkb1r/pppb1ppp/2np1n2/8/Q7/2P3P1/PP2PPBP/RNB1K1NR w KQkq -,c1g5
4k3/R4p2/8/3K4/8/5P2/8/4r3 w - -,a7a4
2r2rk1/1q1n1pp1/4pnp1/8/4P3/Rp2B1P1/4QPBP/1R4K1 b - -,d7c5
6k1/6pp/p7/1p1nP3/2p3P1/2Nr3P/PP3K2/4R3 w - -,c3d5
8/1R2ppkp/3p2p1/3Pr3/8/5KP1/5P1P/8 b - -,g7f6
r2qr3/3n1pbk/pp1p2pp/2pPn3/1PP5/P3B2P/2Q1BPP1/1RRN2K1 b - -,f7f5
5rk1/6b1/3p1q1p/3Qpbp1/2P5/3P2P1/P2NPP2/5RKB b - -,g8h8
4rrk1/pp4pn/2ppq2p/P3p2n/1PPb4/3P2Pb/3QNPBP/1RB1NRK1 w - -,e2d4
r1bqnrk1/pp1p1pbp/2n3p1/1N1Np3/2P5/6P1/PP2PPBP/R1BQ1RK1 b - -,a7a6
5r1k/1R3pbp/2p1p3/4P3/5P2/1Pq1BK1P/8/3Q4 b - -,g7h6
r1bqr1k1/pp3ppp/3b1n2/3p2B1/8/1Q1P1NP1/PP3PBP/R4RK1 b - -,h7h6
r1bqnrk1/p2p1ppp/1pn1p3/2p5/2PPP3/P1PB4/4NPPP/R1BQK2R w KQ -,c1e3:e4e5
2r3k1/1p3pp1/pB4b1/4P2p/2PRP1n1/1P4P1/5KBP/8 w - -,f2f3
8/5p2/p3b3/1p4p1/1P1pPk1p/P2B1P1P/5KP1/8 w - -,d3c2
8/5pb1/4p1k1/8/1rn1P1p1/5PP1/RPR2K2/8 b - -,g4f3
rnbqk2r/pp2ppbp/2p3p1/3n4/3PP3/1QN2N2/PP3PPP/R1B1KB1R b KQkq e3,d5b6:d5c3
8/8/p6p/3p4/1P1P1k2/r6b/7P/4R2K b - -,a3d3
r5k1/5p1p/1p2pBp1/2b1P3/P4P2/4n1PP/6BK/3R4 w - -,d1d7
5R2/2r2p1k/3p1P2/p4KP1/1p6/1P6/P7/8 b - -,c7c5
5k2/5p2/4p1p1/4P1K1/5PP1/5r2/6Q1/8 b - -,f3b3
5rk1/pb1n2bp/1p2r3/2p2p2/2P5/4BB2/P2N1PPP/2R1R1K1 b - -,b7f3
8/7k/4Kp2/7p/1p1b3P/1P6/8/6R1 w - -,g1g2
4r3/2p4k/3q2pp/4r3/1PQ1p3/P3R2P/6PK/4R3 w - -,h2h1
4r1k1/p4pb1/2q3pp/8/r2p1Q2/3N2P1/3RPP1P/3R2K1 w - -,d1c1
r2q1rk1/1b1nbpp1/p1p1p2p/1p1n4/3PN3/P1NBP3/1PQ2PPP/R1BR2K1 w - -,c3d5
8/pp4bk/6pp/4p3/6Pq/2P2Q2/PP1R4/5K2 b - -,h4e7
2r2rk1/p3bppp/1pn4q/3R4/1PQ5/P5P1/1B2PPBP/R5K1 w - -,c4g4
4r1k1/1p1nppbp/p2pb1p1/q1r3B1/2P1PP2/1PN1Q2P/P3B1P1/2R2RK1 w - -,g5h4
r2q1rk1/1p2b1pp/2n1bp2/p3p3/2P5/P1N3P1/4PPBP/1RBQ1RK1 b - -,d8d1
3R2k1/6p1/7p/8/8/2P3QP/2q2rPK/8 b - -,f2f8
r1q2rk1/2pb1pp1/p1p2B1p/8/2B2p2/1P5P/P1P3P1/R2Q1RK1 b - -,g7f6
r1b2rk1/1p2q1bp/p2p2p1/4n1N1/2PN2n1/4B1R1/PP1QBPPP/R5K1 b - -,h7h5
2q3k1/Q4pp1/7p/p2r4/1pr5/5N1P/1B3PP1/4R1K1 w - -,e1e7
4r1k1/5p1p/5npP/2p5/Q6R/2q2BP1/P3PP2/5K2 b - -,e8b8
r1bqkb1r/ppp2ppp/2n1pn2/8/4N3/1P6/PBPPQPPP/R3KBNR b KQkq -,f8e7
