8/5k1p/R4bp1/3P4/2K1B3/2P5/3r4/8 b - -,g6g5
r5k1/1bq1ppbp/1r4p1/p1Q1P3/P7/4BN2/1PP2PPP/1R2R1K1 b - -,b6c6
r2q1rk1/pp1n1pp1/2p1pn1p/2b2b2/4p3/1P1P1NP1/PBPN1PBP/R3QRK1 w - -,d3e4
8/p1r5/2P5/2R3p1/1P4k1/8/P5K1/8 w - -,b4b5
4N3/1p3R1p/p3R3/5ppk/7P/3r2P1/5K2/8 b - -,h5g4
8/8/5kp1/4p1N1/3n3P/6P1/5PK1/8 w - -,g5e4
6k1/5pp1/7p/4P3/3R1P2/5K2/rr3P1P/5R2 b - -,g7g6
2r2rk1/1pnb3p/1qpp2p1/p2Pp2n/2P1Pp2/PP3NP1/1Q1N1PBP/4RR1K w - e6,d5e6
8/R7/2K5/4k3/8/5p2/8/8 b - -,e5e4
r1b1k2r/p3ppbp/1qpp2p1/8/2P1P1n1/2NB4/PP1B1PPP/R2Q1RK1 b kq -,b6b2
r4rk1/p4ppp/1p2pb2/6B1/2P5/1P1n1N2/P4PPP/1R3RK1 b - -,f6g5
2r1kb1r/5p1p/2p1pnp1/3pN3/pP1P4/5N2/1Pb2PPP/R1B1R1K1 b k -,f8b4
8/8/8/4Bppp/6k1/5bP1/2pKB3/8 w - -,e2b5
6r1/1p5k/p1pb2q1/P4pr1/1P1PpR2/4P1pP/2Q3R1/4B1K1 b - -,d6f4
r1bqkbnr/1p3ppp/2n1p3/p1pp4/2PP4/P3PN2/1P3PPP/RNBQKB1R w KQkq a6,b1c3
r5k1/qp1n1ppp/4b3/4p3/1bNpP1PP/1P1R1P2/P3Q2R/1KB5 w - -,f3f4
8/5R2/p4kP1/5n1P/1P6/8/5K2/3b4 b - -,f6e6
4k1r1/pp2r3/1np1p3/3pP2n/3P4/4P2p/PP2N1PR/4BRK1 b - -,e7g7
2r3k1/1n4p1/p3p2p/1p1nP3/3PN1PP/2P2R2/3BK3/8 w - -,g4g5
3rr1k1/2R2pp1/8/pp3Pp1/3Bn3/P1PR4/q6P/5QK1 b - -,d8d6
8/4k3/q1b1p1p1/PpPpPpPp/1Q1P1P1P/3B4/5K2/8 b - -,e7d7
1q6/p1p3bk/6pp/2pPpr2/P2nN3/2N2P1Q/6PP/5RK1 w - -,f1b1
rn3rk1/pp3ppp/2pq1n2/8/3P2b1/2N1PN2/PPQ1BPPP/3RK2R b K -,b8d7
6nr/2r1kpp1/Q2qp3/1Bp4p/5P2/3P4/PPP2P1P/R4RK1 b - -,d6f4
6k1/5p1p/Q2p1bp1/3Pp3/4P3/1N2N2P/5qPK/8 w - -,e3g4
3r2bk/7p/1r6/1N1p3p/P3p3/1B5P/3R1PP1/5K2 b - -,b6b8
1nr2qk1/p2r1ppp/1pNBp3/8/1P6/4PQ2/P4PPP/3R1RK1 b - -,d7d6
r2qk2r/1p1nbppp/2p1pn2/p7/3P4/1P1B1QN1/P1P2PPP/R1B2RK1 w kq a6,c1b2
r2q1rk1/pb2b1pp/1p2p3/2ppPp2/4nP2/1P1BP2R/PBPN2PP/R2Q2K1 b - -,e4d2
r2q1rk1/pb1nbppp/1p2p3/2pn4/2BP1N2/4PN2/PP1B1PPP/2RQ1RK1 w - -,f4d3
4n1k1/5p1p/6p1/2p3p1/2P2Q1P/2P5/3N1PK1/3q4 w - -,h4g5
r4rk1/1pqn1pbp/1n1p2p1/1Rp1p3/2P1N3/BQ1P2P1/P3PPBP/5RK1 b - -,a8a7
r2q1rk1/1b2ppbp/p2p1np1/1p2n3/3NP3/1PPQ2P1/P2N1PBP/R1B1R1K1 w - -,d3e2
r5k1/1pp3pp/1n1pRbq1/8/2PP4/1PB2NP1/r4P1P/1Q2R1K1 b - -,g6c2
r4rk1/pp1n1qbp/2p1b1p1/2n1p1B1/N1P1Bp1N/1P4P1/P1Q1PP1P/3R1RK1 w - -,d1d7
7k/1qr3p1/R2p1p1p/3P4/2p1P3/2n2PBP/1Q4PK/8 w - -,a6b6
2r2rk1/2qb1pbp/p2p2p1/1pnPp2n/1BP1P3/2N3P1/P1QN1PBP/1R3RK1 w - -,c4b5
8/4b2k/8/4B1p1/p2p2R1/n1r2K2/8/R7 w - -,f3e4
2r2rk1/3n1ppp/p7/P2BpPB1/3b4/2q2Q2/5PPP/1R1R2K1 w - -,d5b7
5r1k/1r5p/p2pP3/p1p5/P1Bn1P2/1P4KP/8/4R1R1 b - -,b7g7
k5rr/pbqnbp2/1pn1p2p/2ppP1p1/1P1P3P/P1P2NP1/4QPB1/R1B1RNK1 w - g6,h4g5
4r1k1/2p2qp1/2bp1nNp/p1p2P2/P1P3P1/1PQ1R1KP/8/5N2 w - -,c3a5
2rq2k1/pp1Nn3/4pr1p/3n1pp1/3P4/PBN5/1P1Q1PPP/R3R1K1 b - -,d8d7
2r1k2r/1bqn1pp1/pn1p1b2/1pp1pN1p/3PPB2/2PB1N2/PP2QPPP/R3R1K1 w k -,d4e5
8/8/5k2/3R2P1/8/1r3PK1/8/8 b - -,f6g6
8/3N1pk1/2RPr1p1/P3p3/3bP1P1/1R6/2K5/4r3 b - -,e1e4
k6r/1p3ppp/p1q1pnb1/3r4/3B4/2P2P1P/PP2BQP1/R4K1R w - -,f3f4
r2r2k1/4b1pp/2q1p3/p1p3pP/1pP5/4Q3/PP2PP1P/R2RN1K1 b - -,e7f6
rnbq1rk1/ppp3bp/3p1pp1/4p3/2PPP1nB/2N2N2/PP2BPPP/R2QK2R b KQ -,b8c6:g6g5:h7h5
r4k1r/pbq1nppp/1p2p3/2p1P3/4R3/2PB2Q1/P1PB1PPP/R5K1 w - -,e4g4
1r3bk1/1q1r3p/1p2pBp1/1RppPnP1/5P2/2P2N1P/2P1Q2K/1R6 b - -,b7a6
8/4b3/4k3/1p6/8/3K3P/3B2P1/8 w - -,d3e4
r3rbk1/1B3p2/p2p1pp1/8/Pp4P1/7P/1PP2P2/R3R1K1 b - -,e8e1
1rb2rk1/2qnp1bp/p2p4/1pp2p2/P2P4/2P1BQ1P/1PBN1PP1/R1R3K1 b - -,g8h8
1r3rk1/7p/4p3/pp1pP3/3P1Npb/P1P5/1PR3PP/R5K1 b - -,f8f4
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/2P1P3/2NB3P/PP2NPP1/R1BQ1RK1 b - -,a8b8
8/8/6k1/4R1p1/p7/6KP/r3p2N/8 w - -,h2f3
br6/R7/2pk4/3p4/6P1/1N2P3/P4K1P/8 b - -,a8b7
8/4q1kp/4r1p1/p1p1P3/1p3QP1/1P6/P7/1K2R3 b - -,e6d6
3r2k1/p5p1/1pp5/5b1p/N1PbpB1P/1P1r2P1/P4PK1/2R1R3 w - -,e1d1
3qnr2/2nb2bk/3p2pp/1p1P1p2/1PP1pP2/2N1B2P/3QB1PN/1R4K1 b - -,d8b8
6k1/5pp1/8/6p1/2B2P2/2B1b1P1/7P/2n2K2 w - -,f4f5
r1b1r1k1/pp1n2b1/2p4p/N1Pp1pp1/3Pp3/4P1P1/PP1N1PP1/R3RBK1 b - -,f5f4
r2q1rk1/pb3ppp/4pN2/1p1PPn2/1pP2b2/3Q1N1P/PB4P1/4RRK1 b - -,g7f6
5rk1/pp6/3p4/3P1nP1/3R4/5Nq1/P3K3/1b2R2Q w - -,d4b4
r3r1k1/ppqnbppp/2p5/4p2b/1P6/P1NPB1PP/2PQ1PB1/1R3RK1 b - -,h5g6
r1bqr1k1/1p1nbppp/p1pp1n2/3Pp3/1PP1P3/2N1BN2/P3BPPP/R2Q1RK1 b - b3,d7f8
4n3/R3kpp1/1p4p1/1N1Pp3/4P3/1n1BK1P1/7r/8 b - -,e7d8
8/8/1R5P/4k3/8/2PKn3/8/8 b - -,e3d5
r7/5k1p/2pBnb2/1p1n4/6P1/1PPB1P2/3P3P/1K5R w - -,d3h7
1b5r/p2n2pp/P1R1pk2/3n1p2/1N6/4P1P1/4P2P/5RK1 w - -,b4d5
1k1r1b1r/pp4p1/1np5/B4Bp1/3p1qN1/1Q3P2/PP4PP/2R1K2R w K -,e1g1
r2r2k1/ppq2ppp/5nb1/3Pb1B1/2p1P3/5QN1/PP1R2PP/R2B2K1 b - -,h7h6
2b1rbk1/6pp/2p2p2/BqP5/2NP4/2Q5/5PPP/R5K1 b - -,c8e6
3rn1k1/p1q2r1p/bpp1p1p1/4P3/P1pbNP2/6PP/1PQ4K/R1BR1B2 b - -,c6c5
8/4k3/8/1p1p2Pp/p2P1N1P/K3Pb2/8/8 w - -,a3b4
rq2r1k1/1p2ppb1/2p2n1p/p2p2p1/1nPPb3/NP2P1PP/PB2QP2/R2RNBK1 w - -,a3b1
2Q5/k7/8/1p2K3/pP1P4/P7/4pq2/8 w - -,c8c7
8/4k3/3np3/4K3/8/8/R7/8 b - -,d6f7
6k1/5pp1/p3bb2/2B4p/BP3P2/P2r4/6PP/4R1K1 w - -,a4c6
2r2rkb/1bpnq3/pp1p1npP/3Pp1B1/P1N1P1p1/2N5/1PPQ1P2/R3K2R w KQ -,h6h7
4rbk1/8/rn4p1/1RpPp1N1/2p4p/2PbN2P/4BPP1/4R1K1 b - -,f8h6
r2q1rk1/pp2bpp1/2p1p2p/3pn3/2PPb3/1P2P3/PB2BPPP/2RQ1RK1 w - -,d4e5
8/1b6/1p3k2/p4P2/P1pb2P1/5B1p/2R3K1/8 w - -,g2g3
2r1r1k1/p1q2pb1/1p2p1p1/3p2B1/7Q/2P2NP1/5P2/1RR3K1 w - -,g1g2
