6k1/5pp1/8/8/B1pBnP2/6PP/n7/6K1 w - -,g1g2
r1bqr1k1/1p3ppp/2p2n2/p3b3/P1B5/1PN1P2P/2Q2PP1/R1B2RK1 w - -,c1b2
1rbq1rk1/ppn3bp/3pp1p1/2p2p2/3nPP1N/3PB1PP/PPPQ2B1/3NRRK1 b - -,c8d7
6k1/5R2/1p3q2/1P1Pp1p1/4P2p/3BB1nb/6P1/4Q1K1 b - -,f6f7
3r2k1/3r2pp/p1q1p3/3nPp2/1bp2P2/4BQP1/PP4NP/R4R1K w - -,a2a3
r1bqnrk1/1p1n1ppp/p1p1p3/4P3/2p1PP2/2N3P1/PP4BP/R1BQ1RK1 w - -,c1e3
6r1/5R2/8/5p2/5kP1/7P/7K/8 b - g3,g8g5
r1b2rk1/p1b2ppp/5q2/1pPpnB2/1P1N4/2N5/P1Q2PPP/R4RK1 w - -,c3d5
4R3/8/8/8/3pP1k1/5r2/3K4/8 w - -,e4e5
r1b1k2r/1pq1bppp/p1nppn2/2p5/4PP2/2NP1NPP/PPP3B1/R1BQK2R w KQkq -,e1g1
r1r3k1/pp3p1p/6p1/1Q6/4P3/4B2P/P4PP1/b5K1 w - -,b5b7
r1bq1rk1/1pp2pp1/1pnp1n1p/4p3/4P3/1B1P1N1P/PPP2PP1/R1BQ1RK1 b - -,c8e6
3r1rk1/ppq2pp1/2pb1n1p/3pnb2/8/1P2P1P1/PBPNNPBP/R2Q1RK1 b - -,f5g4
2r2rk1/p3ppbp/1p4p1/2Q1N3/2P5/6P1/P4PKP/R2R4 b - -,c8c5
4r1k1/R2R3p/3r4/1p3p2/1b4p1/4P1P1/5PKP/8 w - -,d7g7
2r2rk1/pp2ppbp/2n2np1/4Bb2/3P4/2N2N2/PP2PPPP/3RKB1R b K -,c6e5
r4rk1/1b1nppbp/pq4p1/1p1pP3/3PnPP1/3BBN2/PP2QN1P/R4RK1 b - g3,f7f5
3bb1k1/q2n2np/2p1p1pB/1pPpP3/1Q1P2PP/1N4K1/P7/1B4N1 w - -,g1f3
8/1p1b4/p4k1p/8/4pN2/2P3PP/P1P5/2K5 b - -,e4e3
5nk1/4p3/p1q1prPQ/1p2b1N1/4R3/1P6/P4PP1/6K1 w - -,e4e5
2r2nk1/P5bp/5np1/1N1p4/8/5PP1/7P/3RR2K b - -,f8d7
8/2k5/1p6/4pnPR/5r2/3P4/1P4K1/8 w - -,g2h3
2r5/2k2p1p/p1b1n1p1/1p2p3/4P3/5PP1/PP2NK1P/2R2B2 w - -,f2e3
3k4/p7/npp1bp1p/2b1p1pP/2P1P1P1/PP2NPN1/1K1B4/8 w - -,g3f5
8/3k1p1p/p3pp2/1p1n4/3r4/1P4P1/P1R1KPP1/1N6 w - -,c2c1
2brr1k1/pp3ppp/2pqp3/3nN3/3P1P2/P1Q3P1/1P3P1P/1B1RR1K1 w - -,c3f3
r4rk1/1p1b2np/1q1p2pQ/p1NPp3/2P3PN/7P/PP4BK/4RR2 b - -,b6c5
r2qr1k1/ppp2pp1/2nb3p/3Pp3/6b1/2PB1N2/P1P2PPP/1RBQR1K1 b - -,c6a5
6k1/5p1p/p3p3/2bpPp2/5P2/1N4P1/R2BK1rP/8 w - -,e2d3
r4r2/p5bk/2pNR1p1/1p2n1pp/8/2PB4/PP3PPP/R5K1 w - -,d3c2
8/1R1K4/2P5/b7/p7/k7/8/8 b - -,a3a2
r2qkb1r/pp2pppp/2n5/3p4/3p2n1/6P1/PPP1PPBP/RNBQ1RK1 w kq -,e2e3
8/2r5/1R1p1N2/4p1p1/1K2P1P1/2r3k1/8/3R4 b - -,c3c4
1r1q1rk1/4nppp/p2pb3/4p1b1/1pP1P3/3QN1P1/PPN2PBP/R4RK1 b - -,g5e3
6k1/4P3/1p4P1/2p1q3/2P5/7P/6K1/3Q4 b - -,e5g5
3r2k1/6P1/1np4p/4p1p1/8/2q3PP/5Q2/1R3BK1 b - -,b6d5
8/7p/2p3p1/1p1kPp2/p1n2P2/P1PN1K1P/1P4P1/8 b - -,h7h6
r2qkb1r/pp1n1pp1/2pp1n1p/4p3/3PP3/2N1B3/PPPNQPPP/R4RK1 b kq -,g7g5
r1bqk2r/1p2bppp/2n1pn2/p7/1PPp4/3P1NP1/1B2PPBP/RN1Q1RK1 b kq -,e7b4
8/4kn2/4Np2/5P2/5KP1/8/8/8 b - -,f7d6
8/4k3/1p4R1/1Pb3p1/3p2P1/5K2/8/8 w - -,f3e4
8/8/3p2R1/3k1p2/5P1p/r6P/5KP1/8 b - -,d5e4
r2b1rk1/pp1qnppp/2np4/4p3/1pP1P3/P1NPBN2/5PPP/1R1QK2R w K -,a3b4
rr4k1/3bb1pp/2pq1p2/3p2n1/N6Q/1P2P1P1/PBR2PBP/2R2K2 b - -,e7d8
rn1q1rk1/pbp1Bpp1/1p5p/3p4/3Pn3/2NBPN2/PP3PPP/R2Q1RK1 b - -,d8e7
r1b1rqk1/1p3pb1/p1p1pnpp/4N3/P1PP4/4B1Q1/1PB2PPP/R3R1K1 b - -,e8d8
8/5PK1/8/p2Bk3/P3P3/2n5/8/8 b - -,c3a4
8/prp5/2p1k2p/2P4P/R4pK1/2B5/PP4b1/8 w - -,a4f4
2r2rk1/pp1bppbp/q1n2np1/2p5/2NPP3/1NP3P1/PB2QP1P/R2R1BK1 b - -,b7b6
8/5n1p/1pN3k1/p3pp2/8/5PP1/PP2P2P/6K1 w - a6,c6e7
4k3/r6p/p4p1Q/2pnq1r1/6R1/1P2P2P/P3BKP1/7R w - -,h1e1
1nr2bk1/1bq2pp1/1p2pn1p/p1p1P3/2P5/PP3NP1/1BQ2PBP/3rRNK1 w - -,c2d1
2r1r1k1/1b2qpbp/np2p1p1/p2n4/2NPN3/PP4P1/1B1Q1PBP/R1R3K1 b - -,e8d8
2r2rk1/p4p1p/5qp1/2pp4/3n1Q2/7N/PP3PPP/3RR1K1 b - -,f6f4
8/2p1rn1k/p2p2q1/3P4/1p3PPB/1P3B2/P5K1/2Q5 b - -,e7e4
8/8/1p2k2p/p2p2p1/2P1b2P/1P3rP1/3KRN2/8 b - -,e6d6
8/p4k1p/1r1p2p1/4p3/4P2P/PnrP2P1/2N5/1R1KR3 w - -,e1f1
5rk1/1b2p2p/p3qppb/1p2P3/1N1P1PP1/1Pr2NK1/P3Q2P/4RR2 w - -,d4d5
r2qk2r/pp2nppp/2b1p3/3pP3/8/P1Q5/1PP1NPPP/R1B1K2R w KQkq -,e2d4
r4r1k/3q2b1/2p3pp/2p1pp2/2P5/3PP1P1/2QN1P1P/1R3RK1 w - -,d2b3
r1q5/6k1/2p1pbp1/1pPp1p2/rP1PnP1p/4PN1P/1B4PK/1RN1Q3 b - -,c8h8
5k2/p3bpp1/8/2p1PB2/2r5/6P1/1P2RPKP/8 b - -,c4b4
3r2k1/1pnr1pbp/p1qN4/8/8/Q5B1/PPP2PPP/R3R1K1 w - -,d6f5
2qr2kb/p3pp1p/1p4p1/1bpPnP2/4PB2/2P1Q3/P3N1PP/2R2RK1 w - -,f4e5
rnbq1rk1/p4ppp/1ppp1n2/8/1PPPp3/P1Q1P3/3N1PPP/R1B1KB1R w KQ -,a3a4
r7/2R2p2/4p2p/3k1p2/3P4/P1K4P/5PP1/8 w - -,c7c5
8/8/Pk6/4p2P/4P1K1/8/1p2nP2/1N6 b - -,e2f4
3r4/8/1P5p/6p1/1R1nB3/6k1/8/7K b - -,d4e2
r2k3r/4bppp/p1p1b3/8/2p2B2/2N5/PPP2PPP/2KR3R b - -,d8c8
8/8/1pK5/p1p2p1p/Pr4k1/1P3RP1/8/8 w - -,f3c3
8/6k1/4K3/4P3/8/6p1/p4r2/7R w - -,e6e7
rnbqk2r/4bp1p/p2p1np1/1ppP4/4PB2/2N2N2/PP2QPPP/R3KB1R w KQkq -,e2c2
5b2/1pn2k1p/1pp1p1p1/4P3/1PP2P2/P5PP/8/3N1BK1 b - -,c7e8
1r5k/2q2pp1/b1p1pb1p/p1Pn4/3PB3/5N2/P1QB1PPP/4R1K1 w - -,c2c1
r4rk1/1p4pp/1npPq1n1/1P2PpB1/5P2/6Q1/PP2B1PP/R4RK1 b - -,a8a2
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f8b4
3n4/p7/1bp1kp1p/1p2p1p1/4P2P/2PN1PB1/PP4P1/3K4 b - h3,e6d6
b1rq1rk1/3nb1pp/p2p4/1P1Pp3/1P2Pp2/1N1B1P2/3B2PP/R2QR1K1 b - -,a6b5
1r3qk1/2Q3pp/bP1N4/p2p4/P7/7P/6P1/3R2K1 b - -,h7h6
5rk1/pp2p3/3p2p1/3P1n1p/2r2P2/2Bp1R2/PP4PP/4R1K1 w - -,g2g3
1krq1b2/ppr5/3pnp2/P3pNp1/1PPpP1Pp/R2P3P/3Q1PBK/1R6 w - -,d2a2
8/1K6/p3Q3/P7/8/7P/3k4/6q1 w - -,b7a6
2r3k1/5p2/p3pQp1/R2r3p/2q5/7P/5PP1/4R2K w - -,e1e5
1r4k1/p2n1ppp/2p1q3/5b2/3PN3/Pr4P1/2Q2PBP/R3R1K1 w - -,c2d2
8/8/5p2/2k3p1/pr5p/3K1P1P/6P1/R7 b - -,c5b5
rnq1k2r/ppp1ppbp/3p1np1/5b2/2PP2P1/1QN2N1P/PP2PP2/R1B1KB1R b KQkq g3,f5d7
