8/1p2k3/5ppp/p7/P4PPP/4K3/1P6/8 w - -,e3d3
r1bq1rk1/3nppbp/3p1np1/1ppP4/P3PP2/2N2N2/1P2B1PP/R1BQK2R w KQ -,e2b5
4rr1k/1pq3pp/2nb2b1/p1p1P3/2Pp2P1/PP1P1R2/2N2QBN/R1B3K1 b - -,c6e5
1r2r1k1/1p3pp1/p1pq1np1/3p4/3P2P1/2P1RB1P/PP1Q1P2/4R1K1 b - -,g8f8
r2q1rk1/ppp2pp1/2n1b2p/2bpp2n/4P3/2PP1N1P/PPBN1PP1/R1BQ1RK1 w - -,f3e5
8/8/5k2/2R2p1p/r4K1P/6P1/8/8 w - -,f4f3
1nB2b2/8/p7/4k3/PP2p3/2P3P1/5K2/8 w - -,c8b7
r1bq2r1/1p3k2/3b1pp1/2Np3n/3P3p/pP1B3P/P2Q1PPB/1KR1R3 w - -,h2d6
8/2R3p1/7p/2k4P/1pP3r1/8/P7/5K2 b - -,c5b6
1r3rk1/p3q1b1/2p1p2p/3bPp2/5BpP/1P4Q1/P4PPN/R3R1K1 b - -,f8c8
8/1p4k1/p1p3p1/1P2np1p/P1P1p2P/q2rP1P1/2Q2PB1/2R3K1 w - -,b5a6
4k3/6pp/pnNP1p2/1p6/1PpP4/P5P1/3K1P1P/8 w - -,c6b8
3r2k1/1pqrnpp1/7p/pQ1p4/3R4/1P2P1P1/P4PBP/3R2K1 w - -,e3e4
8/2B5/B7/P1b2pk1/3N3p/3K1P1P/1r6/8 b - -,b2f2
r1bq1rk1/1pp2pb1/3p1npp/2nPp3/2P1P3/p1N1B3/PPQ1BPPP/R3NRK1 w - -,f2f3
3r4/5pk1/6p1/2p1P2p/r4P1P/3PK3/pRP5/R7 b - -,d8a8
r4k2/5p2/2p2Bpp/4p3/8/1p3NP1/pq3P1P/R2R2K1 b - -,b2a1
3k2r1/p6p/1pP3r1/1P3p2/P1R1pp2/8/2R3PP/5K2 w - -,c4d4
8/2b5/8/p3k1p1/1p3pP1/1P1K1B1P/P7/8 w - -,d3c4
2r2r1k/pp5p/2q3p1/2b5/1PQpb1n1/5NP1/P2B2KP/2RB1R2 b - b3,c5b6
r1bqk2r/ppppn1b1/2n1p2p/6p1/2B1P3/2N1BN2/PPPQ1PPP/R3K2R w KQkq -,e1c1
r1bq1rk1/p2p3p/2p1pbp1/5n2/2B1NB2/6Q1/PPP2PPP/R4RK1 w - -,g3a3
rnb1kb1r/ppq2ppp/2pp1n2/4p3/3PP3/2NB1N2/PPPBQPPP/R3K2R b KQkq -,f8e7
8/5k2/6p1/4p3/4Pp1P/3K1P2/r2B2P1/8 w - -,d3e2
3r2k1/2p2p2/3R2pp/1pN2p2/1P6/1Bn3P1/1Kq2P1P/8 w - -,b2c2
4B3/p5k1/2p3P1/1p2b3/2Pq3p/1P6/P4PP1/4Q1K1 w - -,e8f7
r2qk2r/pp1nbppp/2p1pn2/6B1/3Pp3/2N4P/PPP1QPP1/3RKB1R w Kkq -,g5f6
2r1q1k1/3n3p/2N1p1p1/P3Pn2/5QP1/1p3P2/1P3B1P/2R3K1 b - g3,d7f8
3r2k1/pp4pp/1qnRpp2/8/4QP2/1NP5/PP4PP/5R1K b - -,d8d6
7r/1k6/p7/P1BPRP2/7p/N3K3/7P/5b2 b - -,h8h7
1rr3k1/p4p1p/4bp2/2pNp3/1q1bP3/1P4P1/P1Q2PBP/2R2RK1 b - -,e6d5
5r2/4q1pk/1p1p4/3P4/pP3Q2/P4PP1/3Rr2P/5R1K w - -,f4d4
6k1/1p3p2/p1b5/5rp1/5N2/4K3/PPP4P/6R1 b - -,g8h7
5rk1/1p3p1p/p3p1p1/6Pn/PpPqPP2/1P5P/6BK/1Q3R2 w - -,e4e5
4rrk1/pp4b1/1q2b1pp/4p3/1Q6/2P4P/PPN2PPN/3R1RK1 b - -,e6a2
r2q1rk1/pp2ppbp/1n4p1/3P1b2/2nB1P2/2N5/PP1Q2PP/3RKBNR w K -,f1c4
5rk1/1p2b1pp/1n2b1q1/p1pr1p2/3P4/P2Q1N2/1PBB1PPP/R3R1K1 w - -,d3e2
5rk1/1q4bp/r1bp4/pP1N1p2/4pP2/2P3P1/1P1R1Q1P/R4BK1 b - -,c6b5
2rr2k1/1bq2p1p/p2b2p1/8/R1PNp3/3nP2P/4QPP1/B2R1NK1 w - -,d1b1
8/6p1/p3kp2/1p6/1P2PK1P/P2R4/8/2r5 b - -,c1h1
rnbq1rk1/pp2bpp1/2p2n1p/3p4/3P3B/2N1PN2/PP3PPP/R2QKB1R w KQ -,f1d3
7k/6p1/bp5p/p2r4/8/5P1P/PP2pKP1/2R5 b - -,d5d1
r1b2rk1/2q1bppp/3pp3/p5PP/1pBBP3/5P2/PPPQ4/1K1R2NR b - -,c7c4
r2qk2r/1b1nbpp1/ppn1p2p/2p1P2P/2Pp1B2/N2P1N2/PP2QPP1/2KR1BR1 w kq -,g2g3
3r4/5pk1/3r4/p1p3p1/2Bb4/1P4P1/P3RP2/3R1K2 w - -,e2e7
r2r2k1/p3bppp/1q1ppnn1/1Pp5/2P1NB2/2N3P1/P1Q1PPKP/1R1R4 w - -,f4g5
8/5kpb/4p2p/5p2/p2N4/P1n3P1/2B4P/1N4K1 b - -,c3d5
1k1r4/1pR5/3p4/1N2np2/7P/2P5/PP3r2/2KR4 b - -,d6d5
2r2rk1/np1bbpp1/pq2p2p/3pP2P/3P4/P1NB1N2/1P1Q1PP1/2R2RK1 b - -,a7b5
1rq3k1/1n1b1rbp/p2p1ppn/2pP4/2P1PP2/2BN3P/P1QN2B1/4RR1K w - -,h1h2
3rr1k1/pp1q1ppp/N1pp4/4n3/4P3/1P4PP/P1Pb1PB1/1R1QR1K1 w - -,d1d2
3r4/ppkr1pp1/2p1pb1p/6q1/3P4/P1P2B1P/1P3PP1/1KQR1R2 b - -,g5f5
r1b2rk1/1pq2p1p/p2b2p1/3np1B1/3NB2Q/8/PPP2PPP/R3R1K1 b - -,e5d4
r2q1rk1/2pbbppp/p4n2/1p2p3/4P3/1BP1B3/PP3PPP/RN1QR1K1 w - -,f2f3
r1r1n1k1/pp1b1pbp/Q2p2p1/2nPp3/4P3/2N1BNPP/PP3PB1/1RR3K1 b - -,b7a6
8/5k2/5pp1/8/3P4/4PKB1/4R3/3r2b1 b - -,g6g5
r7/1R1N1pk1/p1RPr1p1/P3p3/4P1Pb/5K2/8/8 w - -,f3e2
2r1r1k1/5pp1/pb1R3p/q1pQPN2/2R2PP1/1P6/P6P/7K w - -,d5d2
2r1r1k1/pb2qppp/1pn2n2/1Nbp4/8/1P1BPN2/PB2QPPP/2RR2K1 w - -,b5d4
rnbqnrk1/1p2bppp/p2p4/4p1P1/4P3/2N1BN1P/PPP2P2/R2QKB1R b KQ -,e8c7
8/3r2p1/kp3p1p/2p4P/P4R2/2K1P1P1/5P2/8 b - -,a6a5
r1b1r1k1/1p1n1pbp/p2Bp1q1/5p2/5P2/1BP5/PP4PP/RN1QR1K1 b - f3,d7f6
6k1/p4pp1/bq2p2p/4P3/1n3P1N/PQ4P1/2r4P/3RB2K b - -,a6b7
r4k2/1p3q2/3N4/3Pp3/p7/P7/5P2/2R3K1 w - -,d6f7
1rb1R3/ppq2pkp/3p1bp1/2pP4/2P5/1P1B3P/P2Q1PP1/4R1K1 b - -,b7b6
2kr2nr/pp1n1ppp/2pq2b1/3p4/3P4/2NB1P2/PPPQN1PP/2KR3R w - -,d2f4
r2qk2r/pp2n1bp/2npbpp1/2p1p3/2P5/2NPBNP1/PP2PPBP/R2Q1RK1 w kq -,f3d2
5r1k/1bN2n1p/p7/2p2p2/8/P6P/B4PP1/2R3K1 b - -,f7d6
rn1q1rk1/1b2bpp1/p1p1pn1p/1p2N1B1/3P4/1PN1P1P1/5PBP/R2Q1RK1 w - -,g5f6
6k1/5pp1/4p2p/4P3/2n2PP1/1pNq1QKP/1P6/8 b - -,c4b2
8/8/1n6/1Bn1pkp1/p7/2N1PK1P/1P6/8 b - -,e5e4
1r4k1/p2pbrpp/2n1p3/4P3/1qb3P1/1N2QN2/PP4BP/R1B2RK1 b - -,c4f1
r1b2rk1/pp4pp/4p3/3pqn2/8/P2B3Q/R1P2PPP/2BK3R w - -,g2g4
r4rk1/2pq1ppp/p1np1bb1/1p1B4/P2pP1P1/5N1P/1PPN1P2/R2QR1K1 b - -,a8e8
1k1rr3/1pqb1ppp/p4n2/8/2P1p3/1BN2Q1P/PP3PP1/R3R1K1 w - -,f3e2
5q2/2R2pk1/1P6/6P1/2N3PP/1K6/8/8 b - -,f8d8
r4rk1/1p1bq1bp/p2p2p1/2pNpp2/2P1P3/3P1N1P/PP1Q1PP1/R4RK1 b - -,e7d8
r1bqr1k1/1pp1npp1/p2p1n1p/8/1b1PP3/2NQ1N1P/PPB2PP1/R1B1R1K1 w - -,f3h4
1r1r1k2/5ppp/1p1p4/n2Pp3/2P5/P2B1P2/4K1PP/1RR5 b - -,d8c8
5k2/6p1/4pp1p/p2p4/P1pP4/R1K1PP1P/1rN3P1/6r1 b - -,b2b1
2R5/pp2r2p/1r2pk2/3p2p1/4nP2/1P3NP1/PPR4P/1K6 w - -,c8f8
r1bq1rk1/4bppp/ppn1p3/2p5/4NP2/1P3N2/PBPPQ1PP/R4RK1 w - -,e4g5
r2q1rk1/pp3ppp/n2b1n2/2p2p2/3P4/P1NQPP1P/1P2N1P1/R1B2RK1 b - -,d8c8
1r4k1/2R4p/6p1/p2p1q2/1r3P2/1P6/P2Q2PP/1K5R w - -,d2c2
r2q1rk1/pp4bp/2n1bpp1/3p4/3P4/1BP2Q1P/P4PPN/R1B2RK1 w - -,f1e1
2r3k1/1p1qnpb1/6p1/pn1p2P1/3PPNpP/1P2B3/P4QBK/5R2 w - -,f4h5
8/2p1kp2/6p1/4P3/1R4P1/7P/2r3P1/5K2 w - -,h3h4
