8/5pk1/5Np1/4P3/5n1P/3r4/5B2/4K3 b - -,d3f3
r2q1rk1/1p1b1ppp/p4n2/3pb3/8/1PBBPP2/P3N1PP/2RQ1RK1 b - -,d8e7
3r2rk/1p2qp1p/p1p2n2/3p2p1/1P1PP3/5P1P/1P4QP/1B1RR2K b - -,e7b4
6k1/pp2p1bp/q1p5/P2pP1p1/3PbnP1/1BN2r1P/1PPB4/2KR2Q1 b - -,f3c3
3r2k1/5pbp/1R1p2p1/2nNp2n/2P5/q2P1PP1/3BPR1P/5QK1 w - -,f1b1
r2qk2r/1p1nbp1p/p3p1p1/2ppP3/3P1P1n/2PBB1NP/PP3P2/R2Q1RK1 w kq -,d1e2
5r2/5pk1/p4rp1/1p2RPQp/P1Pq4/3PR2P/2P5/7K b - -,b5c4
r1bq1rk1/1p2bppp/p1nppn2/2p5/4P3/1PN2N1P/PBPPBPP1/R2Q1RK1 w - -,d2d4
1r2r1k1/3b1qb1/3p4/1p1Pp1Bn/2p2p1P/2P2Pp1/1PBQ2R1/R4NK1 w - -,a1a6
r3r1k1/pp1nbppp/1qp1p3/8/2PPQB2/5N2/PP3PPP/R2R2K1 w - -,e4c2
3rr3/6kp/5pp1/p2bp3/1bN5/3B3R/1P4PP/R6K w - -,c4a5
1r2k2r/2q2pb1/pNnpp1p1/1p6/4PPp1/4B3/PPP2QPP/1K1R3R w k -,c2c4
2k1rb1r/Bppb2p1/8/4npNp/6nP/2P2PN1/PP2B1P1/R3K2R b KQ -,g4f6
r1bq1rk1/1p2bppp/nnp1p3/3p4/2P1P3/1PNP1NP1/1BQ2PBP/3R1RK1 w - -,c3a2
r2qk2r/pp3pp1/2pbpn2/4n3/2P1P2p/1P4P1/PB1N1PBP/R2Q1RK1 b kq -,h4g3
r4rk1/1bqnbppp/p2pp3/1p4P1/3RP2P/1BN1BP2/PPP1Q3/2K4R b - -,d7c5
8/5Rpp/8/3k4/Pr3P2/6PP/5K2/8 b - -,h7h5
r3k2r/pp1nbppb/1qp1pn1p/3p4/3P1BP1/1QP2N1P/PP1NPPB1/R3K2R w KQkq -,f3e5
4r1k1/pp2p3/4P1p1/6R1/8/1P4P1/P4P2/6K1 b - -,g8g7
3rr1k1/4bp1p/1pp1n1p1/2n1p3/4P1P1/1NP1BP1P/1P2NK2/R4R2 w - -,e2c1
2b3k1/pp3p2/2n1pBp1/3pP2q/3n1Q1p/P2B3P/5PP1/2R2K2 w - -,f4d4
r1b1rk2/pp1nq1bp/2p1N1p1/2P5/2B1n3/2N1B3/PPQ3PP/3R2K1 b - -,e7e6
r5k1/5n2/r2p1p2/2p3p1/2N1P3/2P2P2/PP1RQ3/1KN4q w - -,d2d1
7r/1p6/p1b2pk1/P3p1p1/1BPp4/3P1P2/2P1R1P1/6K1 w - -,g1f2
4R3/1p6/7p/5p1k/5Pp1/8/P4K1P/8 b - -,h5g6
r1b5/4k3/2ppr1p1/p7/1p2P2P/3R1PP1/P5N1/3R2K1 w - -,d3e3
4r3/p3qpk1/2p1bnpp/8/1r2p3/1P1B2Q1/P1P1N1PP/4RRK1 w - -,d3a6
6k1/7p/5pp1/3p4/P2n2PP/3B1N2/5PK1/2r5 w - -,f3d4
5r2/1B3pk1/p3p1p1/1p5p/8/P2R4/1Pq3PP/3R2K1 w - -,d3d2
2rqk2r/1p2bp1p/p2p2b1/3Np3/2BnN3/8/PPP2PPP/R2QR1K1 w k -,c4b3
r2qkb1r/pp1n1ppp/2pnp1b1/3p4/2PP3N/1PN1P1P1/P3BP1P/R1BQ1RK1 b kq -,d6f5:f8e7
R7/8/8/5pk1/7p/1r6/5K2/8 w - -,a8a4
r2qkb1r/1p1nnppp/p3p3/2ppP3/3P4/2PBBb1P/PP2NPP1/R2QK2R w KQkq -,g2f3
rn1qk1nr/pp2bppp/2p1p3/3pPb2/3P4/4B3/PPPNBPPP/R2QK1NR b KQkq -,b8d7
8/r1p1k1r1/4p2p/5n1P/2BP4/2R1P3/5K2/2R5 w - -,c4b3
8/p7/2pk4/5p1p/2Pp1P1P/3P1K2/P7/8 b - -,d6c5
r1bqk1nr/1p2ppbp/p1np2p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,e2e3
r1bq1rk1/p3b1pp/1p2p3/4Pp2/2Rp2Q1/3N4/PP1N1PPP/5RK1 w - f6,g4d4
r3kb1r/pp3ppp/1qn1p1b1/3p3n/2pPPB2/2P2P2/PPBNN1PP/R1Q2RK1 b kq -,h5f4
r2q2k1/pb5p/4p1p1/4P3/nP1p4/8/P5PP/2RQ1B1K w - -,d1a4
1q4k1/1pb2pp1/p1p3p1/P1P3Pn/1PQ1r2P/3N4/5PB1/5K2 w - -,g2e4
3R4/8/3p1kp1/2nPp3/8/2n1P2P/3K4/8 b - -,f6e7
r2q1rk1/2p1b1pp/p1ppbpn1/4p3/3PP3/2N1BN1P/PPP1QPP1/3R1RK1 b - -,d8b8
8/qNKP2b1/2R5/1P2p2k/4Pp2/8/8/3r4 b - -,d1d7
r4rk1/pp5p/2p2Rp1/2PbPPP1/6P1/4K2P/1P6/5R2 b - -,g8g7
r3r1k1/p3ppbp/2p3p1/3n3q/4Q3/2N1P1P1/PP1B1P1P/1R1R2K1 w - -,d2e1
k7/4np2/4p3/4P2p/p1r5/P1B2P2/1P1R1K1P/8 b - -,e7d5
rn1qk2r/pb1pbppp/1p2pn2/8/2Pp4/1P1BPN2/P4PPP/RNBQ1RK1 w kq -,e3d4
6k1/2p2pp1/pb4rp/1p6/3Pq3/P1QR2PP/1P3P2/4B1K1 w - -,f2f3
r7/1p2r1k1/1bp2pp1/3p4/P2Pp2P/4P1P1/1R3PK1/1NR5 b - -,b6a5
rnbqk2r/pp4pp/2pbpn2/3p1p2/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
rq3rk1/pb1nbppp/1p1ppn2/8/2PQP3/1PN2NP1/P4PBP/R1BR2K1 w - -,c1a3
r1bq1rk1/2p1bppp/p2p4/1p1Pp3/1n1P4/5N2/PPP2PPP/RNBQR1K1 w - -,d4e5
r2q1rk1/5ppp/p2pbb2/1p1N4/2n1P3/8/PPB2PPP/1RBQR1K1 b - -,e6d5
r2qr1k1/pp3pbp/3p1np1/4pb2/2PP4/1P6/PBn1BPPP/R2QNRK1 w - -,e1c2
2r1k2r/1ppqb2p/p3b1pQ/3pPp2/3NnB2/3B4/PPP2PPP/R4RK1 b k -,e7f8
2r2rk1/pp2pp1p/2n3p1/2N5/6P1/2R1PB2/bP3P1P/5RK1 b - -,a2e6
2r5/p1q1ppkp/1pN1rnp1/1Pn5/8/6P1/P2QPPBP/1R1R2K1 b - -,e6d6
4r1k1/p6p/2P1PqpB/1p1p4/1PbN4/P5Q1/6P1/4R1K1 w - -,g3e5
8/5p2/p1k1n1pp/1p2P3/1P2KPP1/4N2P/1P1p4/8 w - -,h3h4
3q1rk1/3nbppp/4p3/rp1pP3/p2P4/P1RQ1N2/1P3PPP/4RNK1 w - -,e1c1
8/8/7b/2N1pk1p/8/6P1/5K2/8 b - -,h6c1
7k/6pp/p7/3N4/2P1P3/8/5r1P/7K b - -,f2c2
1n2k2r/r1p2p1p/p3pb2/4Np2/2BPq2P/4Q3/PP3PP1/2KR3R w k -,e3b3
3q1k2/r1p2pb1/p2p4/Pp1Ppr2/1Q3p2/5PPp/1PP1NK1P/3R1R2 b - -,g7h6
r3r1k1/2p1qpp1/1bp1b2p/p3P3/2PpNpP1/PP1Q3P/1B2P3/R2R2K1 w - -,b2c1
4r1qr/1pBnbk2/pPp1pnp1/2Pp2p1/P2PPp2/2NB1P1P/4Q1P1/2K1R2R w - -,e2f2
rnbqkbnr/1ppppp2/6p1/p6p/P2P3P/8/1PP1PPP1/RNBQKBNR w KQkq -,g2g3
r1b2rk1/ppqnbppp/2p1pn2/3p4/2PP4/5NP1/PPQNPPBP/R1B2RK1 w - -,e2e4
r1b2rk1/ppp1b1p1/3p3p/4np2/q6P/2PBB2N/PPPQ1PP1/1K1R3R b - -,e5d3
2r2rk1/nb1pb2p/pq2pnp1/1p2Np2/3P1B2/P2QP3/BP1N1PPP/2R2RK1 b - -,c8c1
rnbqk2r/1pp1ppbp/p2p1np1/8/P2PP3/2N3P1/1PP2PBP/R1BQK1NR b KQkq a3,c7c6
5r2/1bk2pp1/p3p2p/2N1N3/2P3PP/2K5/P4P2/8 w - -,g4g5
2r5/5p1p/3Bk1pb/2P5/1p6/P2R1KP1/5P2/8 b - -,b4a3
r7/1R2pk2/3bn3/1Pp5/6P1/4PP2/P1R3KP/8 w - -,b5b6
r2k3r/pp1b4/2p4p/2qp3N/2n2Pn1/2NB2Q1/PPPR2P1/2K4R w - -,d3c4
2r3k1/2rn1pp1/1q1ppb1p/8/pPbNPP2/P5P1/3R2BP/B2QR2K w - -,a1b2
6k1/pp3bpp/1np5/N1P5/1P1P1r2/6N1/P5PP/4R1K1 b - -,b6d5
1k6/8/7p/PP4p1/4B1K1/5P2/6PP/8 w - -,b5b6
8/3r1pbk/6pp/7q/1B4b1/PP2QN2/5PP1/4R1K1 b - -,g4e6
rnb1k2r/1pq1bpp1/p2ppn1p/8/3NPP2/P1N2Q2/1PP2BPP/R3KB1R b KQkq -,b8c6:b7b5
r4qk1/1p3p1p/n3p1p1/p2p4/P2P4/1P2P2P/1Qr2PP1/2R2BK1 w - -,b2c2
r7/1p4b1/2p3kp/2n3rP/1q3p2/2N2Q2/7P/3R1R1K b - -,g6h7
7k/7p/3r2p1/p2q1p2/1p1p4/3N2Pn/3R2NP/2R4K b - -,d6c6
1r3k2/2q1bpp1/2p4p/2npP3/3Q4/4P3/1BB2PPP/2R3K1 w - -,h2h3
