2k5/8/2K5/8/PRP5/8/7r/8 w - -,c4c5
3q1rk1/1b3pb1/4p1pp/1p1nNn2/3P4/3BB3/1P1NQPPP/2rR2K1 w - -,d1c1
3r3r/4qppp/knB1p3/p5P1/3P3P/3R2Q1/1P3P2/1KR5 w - -,c1c5
1qr2rk1/1b1nbppp/pp1ppn2/8/2P1P3/N1N1BP2/PP3QPP/2RR1BK1 b - -,e7d8
2r1rn1k/1p1b1p1p/p1p3p1/2Ppq3/3N2P1/3BP1RP/PPQ2P2/1KR5 w - -,f2f4
6k1/2p5/8/p5N1/4K1p1/5pP1/2P5/8 b - -,f3f2
4r3/pp1b2pk/8/4p3/8/P7/1P1B1PPP/4R1K1 w - -,d2c3
r2qk2r/p2nbpp1/3p3p/2pb4/1nP1P3/8/1P1NBPPP/R1BQ1RK1 w kq -,c4d5
1r3bk1/3p2n1/4p2P/4P1Q1/4P3/1p4R1/2qN4/3K4 w - -,d1e2
1br3k1/5pRp/2r2P2/p2p4/1p1Pn3/1P1RQK1P/Pq1B4/2N5 b - -,g8f8
8/3b3p/6p1/2kP1p2/pp2P3/4NP2/1K5P/8 b - -,f5f4
rn3rk1/pbppq1pp/1p2pn2/5p2/3P4/2P1PN2/PPQN1PPP/R3KB1R w KQ -,f1d3
rnbqk2r/pp4pp/2pb1n2/3ppp2/2P5/BP3NP1/P2PPPBP/RN1Q1RK1 w kq -,d2d4
r1br2k1/pp3pp1/2p2b1p/8/8/2P4P/PPB2PP1/R1B1R1K1 w - -,c2b3
r1b1r1k1/1pq1bppp/p2ppn2/n7/3NPP2/2N1BBQ1/PPP3PP/3R1RK1 b - -,e7f8
r5k1/2n1qp2/3p2p1/2pPb3/1p5p/4P1P1/1PQN1PBP/1R4K1 w - -,d2c4
4k3/pb3p1p/1pq1p3/8/P2n4/3p2P1/1P1Q2P1/2B1R1K1 w - -,d2f2
1r4k1/pr1R1p2/1p4pp/8/6P1/P7/1P3P1P/3R2K1 w - -,h2h4
8/pB4p1/5p1p/1P5P/P1n2PP1/2k2K2/8/8 b - -,c3d4
r4rk1/2q1ppbp/pp1p2p1/2nP4/P1p1PP2/2P1BQ1P/1PB3P1/R4RK1 w - -,h3h4
r2q1rk1/pb2bppp/1p2p3/4P3/P3p3/1P6/1BP1BPPP/R2Q1RK1 b - a3,d8d5
8/7r/6kP/8/5PK1/7R/8/8 w - -,f4f5
8/p5R1/7k/2bPr3/P4R2/5KP1/1P5r/8 w - -,g7c7
8/pb5p/1p2ppp1/2k5/8/P1K1PP2/4B1PP/8 b - -,b6b5
r3rk2/p2p2p1/1pqP1p1p/4nP1Q/2p2B2/2P1P3/P5PP/R4RK1 b - -,c6d6
1n6/2k3p1/5p1p/1KP1pP2/4B1P1/7P/8/8 b - -,b8d7
5r2/8/3pP2k/8/3KR2P/8/8/8 b - -,h6g6
2kr4/1p3pp1/p1P2b2/3K1P2/P4P1p/7R/5B2/8 w - -,d5c5
5rk1/pp2r1pp/1np5/2N5/1P6/P5P1/5P1P/2RR2K1 w - -,d1e1
3r3k/5p2/p4p1p/1p6/3PQ3/Pq4P1/1P2N2P/7K b - -,b3d5
2k5/n4ppp/pp2p3/8/1P1P4/PN2nP2/4K1PP/8 w - -,e2e3
2r3k1/5pp1/1p6/pb3q2/1b3N2/2p1Q3/6PP/2B1R2K w - -,e3b6
r2b4/2p5/3p2k1/RP1Pp2p/4P3/5KP1/8/4B3 b - -,a8a5
1r1qk1nr/4p2p/p2p2p1/1pnNb3/7B/5P2/PPPQ3P/2KR1B1R w k -,f3f4
r6r/1pbqkb2/p1nn1p1p/2p1pPpN/2PpP1P1/3P1B2/PP4KP/R1BQN2R w - -,h5g3
1rB1RQ2/pP5p/6p1/2p5/3b3k/6p1/P5K1/2q5 w - -,e8e4
3r4/1q1r2kp/1p1PQ1p1/p7/8/P3R2P/1P3PP1/3R2K1 b - -,g7f8
2r5/6pk/2q4p/P4p2/1r1bpP2/8/R3Q1PP/3N1R1K w - -,d1e3
1r4k1/2qn1pp1/3ppb1p/1rp5/3P4/2P2N2/1PR1QPPP/4RNK1 b - -,c5d4
3rr1k1/1b2qp1p/1pn3p1/4P3/p2p1P1N/Pn1Q2PP/1P3BB1/3RR1K1 b - -,c6a5
r1bq2k1/1p3r1p/p1nbp3/3pNp2/3P1Pp1/3BP1P1/PP2N1P1/2RQ1RK1 b - -,f7c7
r3kb1r/p3pp1p/1n4pP/2pq4/8/2P1BN2/R1Q2PP1/5RK1 w kq -,f1d1
r4r1k/1p2b1pP/p1n1p3/4p3/4P2P/1NPq1P2/P5Q1/R1B1K2R w KQ -,h1h3
rqr3k1/pb3pp1/1ppbpn1p/3p4/2PP1N2/1QN3P1/PP2PPBP/2RR2K1 w - -,e2e3
2rqr1k1/1p1n1ppp/p2p1b2/3Pn3/5B2/1NP3P1/PP1QBR1P/5RK1 b - -,d8b6
2N3k1/5p1p/PB1p2p1/1n2b3/8/6P1/4PP1P/6K1 w - -,f2f4
r2qk2r/1p2bpp1/p2pbn1p/4p3/2n1P1PP/1NN1BB2/PPP1QP2/2KR3R b kq h3,c4e3
2r1kb1r/1b3ppp/p1nppn2/qp6/3NP1P1/2NBBP2/PPPQ3P/R4RK1 w k -,g4g5
q1r1r1k1/N4p1p/Qp3bpB/3bp3/8/1PP4P/1P3PP1/3RR1K1 w - -,d1d5
8/6pk/P2p2p1/3Pp3/4P3/2pq4/3B1R2/2KN4 b - -,c3d2
3r1k1r/1p2b1p1/7p/p1n3p1/2B2B2/4R1PP/PP3P2/R5K1 w - -,a1e1
8/8/pBk4p/2p3bP/P1P1K3/1P6/8/8 w - -,b6a5
1qr2rk1/3nbppp/pp2pn2/8/2N2P2/2B1P3/PP2BP1P/1QRR2K1 b - -,f8d8
rnb2rk1/pq2ppbp/3p2p1/2pP4/P3P3/2pB1N2/1PQ2PPP/RN3RK1 w - -,b2c3
r4bn1/pqp2k1p/2p1bpp1/2B1p3/2P1P3/QP3N1P/P2RNPP1/6K1 w - -,c5f8
rnbqkb1r/pp2pp2/2p2p2/7p/2BP4/2P5/PP3PPP/R1BQK1NR b KQkq -,b8d7
3n2k1/1pp3pp/1b6/3P3b/p3N3/P3P1P1/5K2/3R1B2 w - -,d1c1
8/6P1/5B2/1pp5/8/1kP5/3K4/6r1 w - -,d2d3
r7/pp2qp2/3pk1p1/4p3/6PQ/1N6/1KP5/5R2 w - -,g4g5
r3kr2/1b1n1p1Q/pn1p1b2/1p2p2N/1P2P3/7P/P1q1N1B1/R1B2RK1 w q -,c1h6
2q1r2k/5ppp/8/1Q3r2/3P1N2/2B3P1/PP5P/5RK1 w - -,d4d5
2rq1rk1/p3ppb1/1pb2np1/3pN3/3p1B2/2N1PQ2/PPP2PP1/R3K2R w KQ -,e3d4
8/r4pkp/1p1R2p1/1P6/5N2/n4PP1/4P2P/6K1 b - -,a3b5
1rbq2k1/1p3pb1/p5pp/n1pPB2n/P7/1PN4P/2B1N1P1/R2Q1RK1 b - -,g7e5
r2q2k1/pp2b1p1/n1p1bp2/4p2p/4P1P1/P1N1BP1P/1PP3B1/R1Q3K1 w - -,b2b4
1r4k1/1p2P2p/p2p2r1/4B2Q/P7/2p4P/1q3PP1/2R1R1K1 b - -,d6e5
r2q1rk1/pp3pbp/1n1p1np1/8/3P1B2/2NQ1N2/PP3PPP/R4RK1 b - -,b6d5
5bk1/3r3p/1R2pBp1/2p1PnP1/2p2P2/5N1P/2P4K/8 b - -,g8f7
1r1qr1k1/2pbppbp/p1n2np1/1pR5/3PP3/4BP2/PP1QNNPP/4KB1R b K -,g7f8:e7e5
r1bq1rk1/pp2b1pp/2np1n2/2P1pp2/1p6/1Q1P1NP1/PB1NPPBP/R4RK1 b - -,g8h8
rnb2rk1/pp2ppb1/1q3npp/2pp4/3P3B/1QP1PN2/PP1NBPPP/R3K2R b KQ -,b8c6
3q1bk1/1p1n1pp1/p2p1np1/2pP4/P1P2BP1/1PN4P/2QN1P2/5K2 b - -,d8b8
8/6p1/5pk1/2Pb3p/4p2P/2R1B1K1/4r1P1/8 b - -,d5c6
2bqr1k1/5p1p/3pp1p1/3N4/2BbP3/1R6/P4PPP/2B2RK1 w - -,d5e3
2r4k/1p3pb1/4q1np/p1p2R2/2PpP3/P2P1NPb/1PQ4P/4R1K1 w - -,f5d5
4r1k1/1p3pp1/p3b3/2Pp1q1p/1P1Qn3/2P2P1P/P5PB/3R1B1K b - -,e4g5
r3k2r/pp1b1ppp/2n5/1B1p4/3N4/4P3/PP1K1PPP/2R4R b kq -,c6d4
6k1/p2r2Pp/8/2p1B3/P3p1p1/1P1b4/5K1P/4R3 b - -,d7e7
8/8/3p2p1/3P3p/4rb1k/4NR1P/6P1/5K2 w - -,e3c2
1rr3k1/p3ppbp/3pbnp1/qN6/3BP1PP/P4P2/1PPQ4/1K1R1B1R b - -,b8b5
r2qk2r/pp2bp1p/2n2np1/1N3b2/2Ppp3/1N4P1/PP2P1BP/R1BQ1RK1 w kq -,b5d4
r4rk1/pp1b4/4p1pp/1P1pb3/P7/2P5/3N1PPP/R3R1K1 w - -,e1e5
8/4Bp2/2p3k1/1p2P3/2b1PKP1/5P2/2R5/7r w - -,c2d2
8/p5k1/2R2p1p/r7/Pb1PPP2/7P/4K3/8 b - -,a5a4
r2qk2r/3bppbp/2np1np1/1p6/1Pp1P3/2P2N2/R1BPQPPP/1NB2RK1 w kq -,a2a8
