8/8/1pk5/8/8/3K4/2r5/1R6 b - -,c2c5
r4rk1/1bpq1pbp/p1n3p1/1p2p1B1/3PP3/2P5/P1B1NPPP/R1Q2RK1 w - e6,f1d1
5bk1/1pq2pp1/2n1r2p/1RP1p3/1P1p4/3P1QP1/rBRN1P1P/6K1 b - -,a2a4
3rq2k/8/p4bp1/5p2/1PP1pB1P/3r3P/4QPB1/1R4K1 b - -,e8d7
4k1r1/1p2pp1p/p1q4b/3pB3/P2Pn1b1/4P3/1P1NBPP1/3QR1K1 b - -,g4e2
r5k1/p4p1p/2b1p1p1/3qP3/3b1P2/7R/1Pr3PP/R2NQB1K w - -,h3g3
4r1k1/5p2/p1pb1nq1/1p5p/3Pb3/1BP1N1P1/PP3Q1P/R1B3K1 w - h6,c1d2
8/4R3/8/3r3p/6p1/6P1/6K1/3k4 b - -,d5d2
r1b1kb1r/1pp1nBpp/p1nq1p2/8/4p3/1QP2N2/PP1P1PPP/RNB2RK1 b kq -,e8d8
3r2k1/p2r1ppp/2nPp3/8/QP3P2/P6P/3R2P1/6K1 b - -,c6b8
r4rk1/pp3pp1/1qn1b2p/2ppPp1Q/8/2P1P1B1/PP1N1PPP/1R3RK1 b - -,d5d4
8/2k5/1N3Rp1/5bPp/5P2/8/p6P/K7 b - -,f5b1
rn1qk1nr/pp3ppb/2p1p2p/7P/3P1B2/2P3N1/PP3PP1/R2QKB1R b KQkq -,g8f6
2bq1r1k/1r5p/3p4/1p1Nnpb1/4p3/2P5/1PN1BPPP/R2Q1RK1 w - -,c2d4
r1b1k2r/pp3pbp/2p3p1/q3p3/4P1n1/2NPB3/PPP1QPPP/R3K1NR b KQkq -,g4e3
4r1k1/1p1q2b1/3p2p1/2pPp1p1/p3Pp2/P2P1nP1/1P3P1P/1R2RQK1 w - -,g1g2
4r1k1/Qp3qbp/3p2p1/2pP1p1n/2P1BP2/1P5P/P3NBP1/1R4K1 b - -,e8e4
8/p2k2p1/2p4p/2p1pp2/PPK5/6P1/5P1P/3B4 w - -,c4c5
1r2r1k1/2pn1pp1/1b3q1p/p2p4/3P4/1P2BN1P/P1Q2PP1/2R2RK1 w - -,c2d3
rnbq1rk1/pp3ppp/2p2n2/3p4/1b1P4/2N1P3/PPQ1NPPP/R1B1KB1R w KQ -,c1d2
r4rk1/3bqppp/pn2pn2/1p1p4/3P4/PP1BPN2/Q3NPPP/R4RK1 w - -,f3e5
r3nrk1/1p6/p2p1p2/2pPb3/P3P2q/2N4P/1P1Q1PB1/R3R1K1 w - -,c3e2
r1b2rk1/pp1nq2p/3p1Bp1/2pP4/4P1n1/2N2N1P/PP3PB1/R2Q1RK1 b - -,g4f6
2brrk2/1p4p1/1n2pp1p/pN1nN3/P1P5/1B5P/1P3PP1/3RR1K1 w - -,c4d5
1r3rk1/p3ppbp/n1B3p1/7n/2N5/N5Pb/PP1BPP1P/R2R2K1 w - -,c6f3
rqr3k1/4bppp/p2p1n2/1p3p2/2n1P3/P1N1B2P/BP2QP2/2RR2K1 w - -,e4f5
1n4k1/1bn1bp2/p3p1p1/3pP2p/N2N1P1P/1P1B2P1/P4B2/5K2 b - -,b8c6
6r1/1Q1b1k1p/3p1q2/1N1P4/2P5/6n1/P6P/4RB1K w - -,h2g3
8/pp2r1k1/2p5/r1P5/3RPRp1/6P1/8/6K1 w - -,f4f5
1rbq1r2/4n1bk/p1np2pp/1pp1pp2/2P5/PPNPPNP1/1B1Q1PBP/2RR2K1 w - b6,c3d5
2k1q3/1pp1rpp1/p1np1b1p/3B1b2/Q7/2P1BNP1/PPP2P1P/2K1R3 w - -,d5c6
2r3k1/p4pp1/b1q1pb2/P6p/8/2p1QNP1/4PP1P/2RR2K1 b - -,c6b5
2rr2k1/1pp2qpp/p1n1bp2/2Pnp3/8/P2P1NP1/1BQ1PPBP/2RR2K1 w - -,d3d4
3rrb2/ppkn2pp/1np2p2/4p3/4PP2/PBN1BP1P/1PP3R1/2KR4 b - -,b6c8
1rbq1rk1/2p1npbp/2np2p1/1p6/8/1PN3P1/PBNQPPBP/R4RK1 b - -,c8b7
1rb1r1k1/ppqn1pbp/6p1/4p3/2pP4/B1P1PNP1/P1Q2PBP/1R3RK1 w - -,f1d1
2bq1r2/5r1k/pp1P2pp/4Bp1n/P1Q5/2N4P/1P3RP1/4R1K1 b - -,f5f4
1qr1r2k/1b1nbppp/pp2pn2/3p4/1PP1P3/1NN1BP2/P3BQPP/2RR2K1 w - -,c4d5
r3k2r/ppp2ppp/1qn1pn2/5b2/2BP4/P1B2N2/1PP1QPPP/R4RK1 b kq -,e8c8
2n5/2N4p/3p1k1P/2pP1P2/p7/2K5/8/8 w - -,c7e6
8/6k1/p2q2p1/1p4Qp/1Pp1B2P/P4KP1/1b6/8 w - -,g5e3
2rq1rk1/1b2bppp/4p3/3nP3/B1p2Q2/2Pp1NN1/1P3PPP/R3R1K1 w - -,f4g4
2r1r1k1/p1q2p1p/1p2p1p1/3b4/3P4/2PB3P/P3Q1P1/3R1RK1 w - -,d3a6
5b2/5p1k/5P2/7P/1p6/2r5/PKP5/3R4 w - -,d1d7
8/4pk2/6R1/1r3PKp/7P/8/8/8 w - -,g6a6
1r6/2nk4/5p2/R2pb1pp/1P6/1NPKB2P/6P1/8 w - -,b3c5
5k2/2R5/8/8/6K1/b2r4/8/8 b - -,a3e7
rnbqk2r/pp2ppbp/2p3pn/3pP3/3P1B2/2N4P/PPP2PP1/R2QKBNR b KQkq -,f7f6
1B2kb2/p5pp/1np1pp2/3p4/3P4/PN2PP1P/1P2K1P1/8 b - -,a7a6
r1bqr1k1/pp3pbp/2ppn1p1/7n/2PNP3/2N1BP2/PP1Q2PP/1R2RBK1 b - -,e6d4
r1bqk2r/pp1nppbp/2pp1np1/8/3PP3/2NB1N1P/PPP2PP1/R1BQK2R w KQkq -,c1f4
7R/kp5P/p7/1b2r3/5pB1/8/4Pp1K/8 w - -,h2g2
r4r2/p5pk/7p/1p1pPp2/2pPBP1P/8/PP6/R3R1K1 b - -,f5e4
rn2k2r/1q3pb1/pp1p2pp/3Pp3/P7/2N5/1PPN1PPP/R2Q1RK1 b kq -,b7c7
r6r/1bq2kpp/p2ppb2/7P/Np1Nn3/1P2B3/1PP1QP2/2KR2R1 w - -,d4e6
1r4k1/3B3p/3p2p1/1ppP4/8/1P4P1/2n2P1P/5RK1 w - -,f1d1
8/1pr5/4k1p1/4bp2/8/1R4PP/5BK1/8 w - -,b3b6
8/1pq2b1k/p1p3p1/2Pp3p/1P1P3P/4Q1PB/P4P1K/8 b - b3,h7g8
4b1k1/6pp/p1r1pp2/3p4/3P1q1P/1P1Q2R1/P4PP1/3N2K1 w - -,d1c3
5k2/5p2/1p1p4/p2BbPpp/P2p4/1P5P/2P2KP1/8 w - -,f2f3
5r1k/3b2qp/1p1N2p1/p2Qb1P1/2P2n2/4B3/PP4BP/4R1K1 w - -,e3f4
8/r4p2/4p1p1/p1Rn1k1p/N2P3P/3K2P1/5P2/8 w - -,f2f3
2kr3r/pp2bppp/1qp1p1n1/2p1P3/4NP2/2PP3P/PP2QP2/R1B1K1R1 w Q -,c1e3
2rq1rn1/1b1nb1kp/p2pp1p1/1pp2p2/3PP3/2PBBN1P/PP3PPN/1Q1RR1K1 w - f6,e4f5
8/4k3/4q3/7p/5Q1P/1p4P1/7K/8 w - -,f4c7
4R3/2pr2k1/7p/2bP2pB/1p4P1/8/P2R1PP1/1b4K1 b - -,b1h7
2k4r/pp3pb1/2p1pnp1/P7/2P2P2/2B1p1P1/1PB4r/1K2R1R1 b - -,h2f2
rn1qkb1r/5ppp/b1p1pn2/p7/NpNP4/PPp3P1/4PPBP/R1BQ1RK1 w kq -,a3b4
1rbq1rk1/1pp1ppbp/p2p1np1/n2P4/2PN4/1PN3P1/P3PPBP/R1BQ1RK1 b - -,c8d7
r1bqr1k1/ppp2pp1/2n2n1p/8/1PPpp3/2QPP1P1/P4PBP/R1B1NRK1 w - -,c3a3
r1b2r2/4kppp/p1pp1n2/8/2B1PR2/2N4P/PPP3P1/5RK1 b - -,a6a5
8/2B2p1p/2p1k1p1/P7/r7/6P1/4KP1P/8 w - -,e2d3
r2r2k1/5pbp/1p4p1/p7/R3p3/1P2N1P1/1q2QP1P/3R2K1 w - -,e2b2
rnb2rk1/pp2pp1p/2p2bp1/7q/P1BP4/BQP1PN1P/5PP1/R4RK1 w - -,f3h2
r1b2r2/pp1nppkp/3q2p1/2pP4/4P3/2Q2N2/PP3PPP/R3KB1R b KQ -,f7f6
3r1rk1/pp2bppp/2p1p1b1/q7/N2PBB2/2P1Q3/PP4PP/R4R1K b - -,a5a4
r2qr1k1/ppp2p1p/3p4/3P1b1p/2PB1P2/8/P1N3PP/Q4RK1 w - -,d4f6
2k5/pp3ppp/1np1p3/2q1P3/4Q3/1BP5/PP2KPPP/8 b - -,h7h5
rnbqk2r/ppppp2p/6pb/5p2/3P3P/4P3/PPP2PP1/RN1QKBNR b KQkq h3,d7d6
5Q2/ppk5/2q1p3/2P4P/3R4/8/PP3Prb/1K6 b - -,g2g1
8/1b3Rpk/1p2p1qp/3p4/Q6P/2r1PPB1/P2R2PK/8 b - -,g6f7
2RQK3/4B2p/1b4p1/3k4/2p5/1r6/6PP/8 b - -,b6d8
