3bN3/8/4Bnpk/2p1p3/4PPK1/6P1/8/8 w - -,e8f6
r4rk1/1p1bppbp/1pnp2p1/7n/2P1P3/2B2N1P/PP1NBPP1/R3K2R w KQ -,c3g7
4r3/5k2/P7/2R4P/2P2pB1/1b6/4K3/8 w - -,e2f3
r3br2/1pp2qpk/3p1p1p/1P2p3/p1PbP1P1/P2P2QP/1B2NPK1/1R1R4 b - -,d4b6
r4rk1/1q1nbpp1/3n3B/2p1p3/p1N5/3N1PP1/PP2Q1KP/R4R2 w - -,c4d6
4r2k/6p1/3Q1p1p/p2N4/1P5q/P7/8/2R2KB1 b - -,h4h3
r3kb1r/pp2n1pp/1q6/3pnB2/2pPp3/4B3/PPP3PP/R2QNRK1 w kq -,d1e2
5r1k/1p4qp/p1b4Q/4b3/1P1pp1P1/P4nP1/R3NPK1/3B3R w - -,h6g7
r1b4r/pp1knppp/3ppn2/1N6/2P5/P7/1P2PPPP/R1B1KB1R w KQ -,c1f4
r1b2rk1/p4pbp/1qn2np1/1p2p3/3pP3/P2P1NP1/1P1BNPBP/2RQ1RK1 b - -,c8d7
4N1k1/8/6pR/p2p1PP1/6r1/8/6K1/8 w - -,g2h3
8/p3k1pp/1p2b3/2n1P3/PRr5/R6P/6PK/8 w - -,b4c4
r5k1/1b1q1p2/pp4pp/2pPRn2/P1B5/1PN3P1/4QPP1/6K1 w - -,e2g4
6k1/8/6P1/p7/3BpK2/p7/5P2/3n4 b - -,a3a2
rnbq1rk1/p3ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/1R1QK2R b K -,d8c7
8/5k2/R4pp1/5n1p/5P1P/6PK/8/8 b - -,f7e7
r1bqk1nr/pp2ppbp/1n1p2p1/8/3PP3/3B1N1P/PP3PP1/RNBQK2R b KQkq -,g8f6
2r1Q3/p4n1k/1p4pp/5q2/3B4/5P2/P5PP/4R1K1 w - -,e8e7
8/p3r3/5kp1/1p6/5PK1/P1R5/8/8 w - -,c3c5
8/1k3R1p/8/R7/2pP4/2P4K/pq4P1/8 b - -,b7b6
r3r1k1/2q2p1p/pp3bpQ/3p4/P2NnPb1/1N1B4/1PP3PP/3R1R1K w - -,d4f3
r3k2r/3nbppp/p3pn2/q1N5/3Pb3/2p2NP1/P2QPPBP/R1BR2K1 w kq -,d2f4
r5k1/p1r2pp1/1nqb3p/2N5/3P3P/P5P1/2Q2P2/2BRR1K1 w - -,c1e3
2r2rk1/p1q2pbp/1p2p1p1/3nn1B1/P1PN3P/1P4P1/3Q1PB1/2R1RK2 b - c3,d5f6
1krr4/1p3p1p/4p1p1/PB1b4/3q1P2/R7/2P1Q1PP/1R5K w - -,a5a6
2r1k2r/p1qb1ppp/1p2p3/2npP3/1Q6/4BN2/PPP2PPP/3RR1K1 b k -,c5b7
1r3nQ1/2kqb2r/2p5/p1p4p/N1PpR2P/BP1P2P1/P4R1K/8 b - -,e7d6
r7/5ppk/8/3p3p/pB1PbK2/6PP/6P1/R7 w - -,a1a2
nr1qr1k1/1p1bppbp/p1np2p1/3N4/2P1P3/1P2B1PP/P2QNPBK/2RR4 w - -,c4c5
r2r2k1/1p3b1p/2p3p1/pPqpbp2/P7/2NQPB1P/2P3P1/3R1RK1 w - -,c3e2
2rq1rk1/p2n1ppp/4pn2/1Pb5/3p4/1N3BP1/1P2PP1P/R1BQ1RK1 b - -,d7e5
r5k1/1ppnq2p/3p2p1/p1nP1P2/7b/7P/PPB1NPPQ/1RB3K1 w - -,c1e3
5rk1/2q1b1pp/p7/1ppPpr2/P1p1N3/2P4P/1P2QPP1/R4RK1 w - -,f1d1
2r1k2r/pp1b2pp/4p1n1/2P1n3/P2NPp2/2P2P2/2K3PP/R2N1B1R b k -,c8c5
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/1Q2PN1P/PP3PP1/RNB1KB1R b KQkq -,d8c7
1r1qnrk1/3bppbp/p2p2p1/2p5/NpPnPP2/1P1PB1PP/P3N1B1/2RQ1RK1 w - -,e2d4
4r3/p1rn1kpp/1n1R1p2/NRp1p3/2P1P3/4B1P1/P4PKP/8 b - -,e8e6
3r4/ppb1r3/2p3k1/5pp1/PP1Pp3/2P1R1PP/6K1/2NR4 b - -,f5f4
7k/pp2p1bp/q3Q1p1/nR4N1/P3PBP1/2P4P/5PK1/3r4 b - -,a6e6
4qrk1/pb1nbpp1/1p1Bp2p/1N2P3/8/3B4/PP3PPP/3Q1RK1 w - -,d1e2
8/4b3/P5bk/3Q3p/8/3p2P1/7P/6K1 b - -,e7g5
1k3n1r/1q2b3/pp3p2/4p2p/8/4N2Q/PP3PPP/2RR2K1 w - -,e3d5
r1bq1rk1/pp3p1p/3b1np1/n2pN3/3P1P2/3QB1P1/P3P1BP/RN3RK1 w - -,f4f5
8/5kp1/R3p2p/p4p2/P4P1P/1r2P3/5P2/6K1 b - h3,b3a3
r2q1rk1/2bn1ppp/2p1pnb1/ppPp4/1P1P1P2/2N1P2P/PB1NB1P1/R2Q1RK1 w - -,a2a3
8/R2b1k1p/2p2ppB/4p3/2P4P/6P1/4PP1K/3r4 w - -,a7a8
r3r1k1/p2RBp1p/1p1Rq1p1/8/8/5QP1/1b2PP1P/6K1 b - -,e6f5
r2b3r/1p1k1pp1/2b3n1/P6p/2pP4/2P2BBP/5PP1/RR4K1 w - -,d4d5
r2qkbnr/pp1bpppp/2np4/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,g8f6:a7a6:g7g6
r3q1k1/2pb1pbn/1p1p2pp/r2Pp3/PQP1P3/R4NN1/1B3PPP/R5K1 w - -,f3d2
2r1r1k1/1b3pp1/p1p1pn1p/1pP1N3/3P4/2PR4/q1B1QPPP/4R1K1 w - -,d3f3
3r2k1/1b3p1p/6pb/4p1P1/PqB1n3/R4N2/1P2Q2P/4K2R w K -,e1f1
rnbq1rk1/1p2bppp/p1p1pn2/3p4/2PPP3/2NB1N2/PP3PPP/R1BQ1RK1 b - -,d5c4:d5e4
r3r1k1/3q1ppp/1n6/ppbp1N2/3NnB2/P1P2Q1P/1P3PP1/1R1R2K1 b - -,g7g6
2kr1bnr/1ppbq1p1/p1p2p2/8/4P2p/PNN3B1/1PP1QPPP/R4RK1 w - -,g3f4
8/1p3pk1/p1n2np1/3pq2p/3N1N2/1PP3P1/P3QPP1/6K1 b - -,e5e2
1r3rk1/3b1ppp/2p5/B2pb1q1/5N2/P3P2P/1PQ2PP1/R4RK1 b - -,b8b2
1rbr2k1/1pq1bppp/p1n1pn2/P1p5/2B1P3/1N1P1N1P/1BP2PP1/R2Q1RK1 b - -,f6d7
6k1/1p1q1p1p/p7/3Pb3/5p2/1Q2pP2/PP2N1PP/6K1 w - -,b3c4
r2q1rk1/3p2pp/p3p3/1pb5/4Q3/8/PPP2PPP/R1B2RK1 w - -,c1e3
r7/2r2bk1/p1p2ppp/PpNp1P2/1P1P2P1/2R1PP2/5K2/2R5 b - -,g6g5
r2qk1nr/ppp2p1p/3p2pb/2nPp3/4P1b1/2N1Q1P1/PPP1NP1P/R1B1KB1R w KQkq -,f2f4
2r2rk1/p2nqppp/1p2pn2/2b5/2b1P3/1P3NP1/PB2QPBP/R2R2K1 w - -,b3c4
8/3bbkpp/3p1n2/3Ppp2/2P5/4B1P1/Q4P1P/1r3BK1 b - -,b1d1
4rrk1/pppq2bp/2npb1p1/3NppBn/1PP1P3/3P2P1/P2QNPBP/R4RK1 w - -,b4b5
1R3nk1/2B2pp1/5q1r/p1p5/2P5/3Q4/4PP2/6K1 b - -,f6g5
r3r1k1/5pbp/pp2bnp1/2p1N3/P3P3/2P4P/1P3PPB/R3RBK1 b - -,e6b3
r2q1rk1/1pp2pp1/2np3p/p1b1pb2/2P1n3/P1NP2P1/1P2PPBP/R1BQ1RK1 w - -,c3e4
r2q1r2/1p4kp/n4pp1/p2P4/3Q4/PP4P1/5PBP/RN4K1 b - -,a8c8
r1bqkb1r/p3ppp1/3p1n1p/2pP4/Pp2nB2/3BPN1P/1PP2PP1/RN1QK2R w KQkq -,b1d2
7R/8/5k2/5p1p/6r1/7K/8/8 b - -,f6g5
1r4k1/1q1nppbp/r2p2p1/1NpP4/P1Q1P3/R7/1P3PPP/2B2RK1 w - -,c4c2
rnbqkb1r/5ppp/p2p1n2/1p2p3/3NP3/2N2B2/PPP2PPP/R1BQK2R w KQkq e6,d4f5
1r1q1r2/p5kp/4bpp1/2pPn3/1p6/3P2PP/PPPQ2B1/R2N1RK1 b - -,e6d5
8/8/3P4/6K1/4P3/8/1k6/r7 b - -,b2c3
r1bq1rk1/pp3pp1/4p3/3nQ3/8/P1N5/1PPB1PPP/R3K2R b KQ -,d8f6
2r1r2k/1bqnbppp/pp1ppn2/8/1PPNP3/2N1BP2/P3BQPP/2RR2K1 b - b3,c7b8
6kb/4n2p/p2pp1pP/3Pp1P1/1p2P3/1P2BQ2/P1q2P2/6K1 w - -,d5e6
8/6pk/4p2p/4Qp2/3P3q/4PP2/1R3KPP/2r5 w - -,e5g3
3R4/4rpk1/1p2ppp1/1P1n4/6P1/7P/5P2/R5K1 w - -,a1a8
5r2/1pRP1pk1/p5p1/4K3/7p/1B6/P7/8 b - -,f8d8
r2q1rk1/pp2bppp/2npb3/2p5/2P5/P1B1P3/1P3PPP/R2QKBNR b KQ -,f8e8
8/p2b2pk/3N4/1r6/1P1b2P1/1R1P3P/4K3/8 b - -,b5b6
8/pp3k1p/5pp1/8/P2R4/1n6/5PPP/2B4K b - -,b3d4
