1R6/4bnk1/p7/8/8/2P4P/q5Q1/5K2 b - -,a2g2
7k/p3q1np/3p2p1/1ppBn1B1/8/2PP2PP/PP6/R4RK1 b - -,e7e8
r1b2rk1/pp2qppp/2n1p3/2b5/2P5/P1N3P1/1P2QPBP/R1BR2K1 w - -,b2b4
r4rk1/pp1nb1pp/1qppbn2/4pp2/2P2P2/1PNPP1P1/P3N1BP/R1BQ1RK1 w - -,h2h3
2rr2k1/2q2ppp/p1n1bn2/1p1p4/8/P1PB2N1/PB3PPP/R2QR1K1 w - -,h2h3
r2q1rk1/1bpn1ppp/1p1ppn2/p7/2PP4/PP2PN2/1B1QBPPP/R4RK1 b - -,d8e7:f6e4
r2q1rk1/pb1p1ppp/5n2/2pP4/2P5/1Pb3P1/4NPBP/1R1QK2R w K -,e2c3
4r1k1/5pbp/1ppqr1p1/p2p1p2/3P1P2/2P2PP1/PP2RQ1P/3NR1K1 b - -,c6c5
8/4k3/2K2p2/1p5p/1P3PpP/6P1/8/8 b - -,e7e6
8/q2r1pk1/4n1pp/1p2p1b1/PPp1P3/2P3PP/BQ3PK1/R1N5 w - -,b2e2
8/pB4p1/3k1n1p/6p1/6PP/P4K2/1Pr2P2/1R6 w - -,h4g5
4r3/2Q3kp/6p1/8/8/1P2BP1q/P1P2P2/6K1 b - -,g7g8
3r2k1/1pq1bppp/pnn1p3/2p1P3/2P1NB2/1P3N2/P2RQPPP/6K1 b - -,b6c8
1rn1r1k1/p1q2p1p/1p1p1pp1/3R4/4PP2/1PP2B2/1P4PP/R2Q3K w - -,d1d3
r1r2bk1/1q3p1p/2b1p1p1/4P1P1/1p2pP1P/1P2B3/2PR1Q2/1N1R2K1 b - -,c6d5
r1q2r2/pp2bppk/2p2nnp/P3pQ2/4P3/2N2PB1/BPP1RP1P/3R2K1 b - -,c8e8
8/8/8/p7/1pk5/8/1K6/8 w - -,b2c2
3r1r1k/1p4pp/p1npnq2/4p3/1PP3b1/P4NP1/1B1Q1PBP/R3R1K1 w - -,e1e3
rnbqkb1r/pp3ppp/5n2/2ppp3/8/3P2P1/PPPNPPBP/R1BQK1NR w KQkq c6,e2e4
r6r/1Q4pk/2p1pB1p/7P/p3p1P1/P7/1PP1q3/2K4R b - -,e2e3
8/3k4/3p2p1/2rNn3/8/2P3KP/6P1/5R2 w - -,f1d1
r6r/1p2kpp1/p2p1nn1/2pPp3/P3P1Pp/1P1B3P/2P1N1P1/2R2RK1 b - -,f6h7
1r3r2/4qpk1/p1bp1n1p/1P2pPpP/P3P1P1/1PN1QB2/8/1R1R2K1 b - -,a6b5
4r3/8/5pp1/p4k1p/P3bP1P/1PR1K1P1/1N6/8 b - -,f5g4
1r6/3bkpp1/r2p4/2p4p/2PpP1nP/1P1N2P1/2R2PB1/1R4K1 b - -,a6a3
2k2r2/pp1b1p2/2n4p/3pPp2/q1pP4/P1P5/2PB1PB1/R2QK3 b Q -,d7e6
3r2k1/4bp1p/1r4p1/p1RP4/Pp6/6PP/P2R1P2/3B1K2 w - -,c5b5
r1bqkb1r/p2n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,c8b7:b5b4:f8d6:a7a6
8/7R/2P1k2p/3p4/2r1p3/4K3/6PP/8 b - -,e6e5
3r1rk1/1b2ppb1/1qp2n1p/pp2N3/2pPPQpP/2N3P1/PP3PB1/3RR1K1 w - -,d4d5
r4rk1/1p1qn3/p2p1n1p/P1pP2p1/2P2B2/3Q2N1/1P4PP/R4RK1 w - g6,f4d2
r3r3/pb2qkbp/np3Pp1/3p4/8/P2P2P1/1B1N1P1P/2RQRBK1 b - -,e7e1
4rk2/5p2/r4np1/3p2R1/1PpP4/p1P2P1P/R7/2B2K2 b - -,f8g7
2r2rk1/1b1qppbp/pn1p1np1/1ppP4/4PP2/PNN1B3/1PPQB1PP/2KR3R w - c6,d5c6
r1bqk2r/pp2ppbp/2np1np1/8/2B1P3/2P2N2/PP2QPPP/RNB2RK1 w kq -,h2h3
r2qk2r/pp1b1pp1/3p1n1p/4p3/2B1P3/2N1Q2P/PP3PP1/2RR2K1 b kq -,d8c8
2rr4/pp3pk1/8/P5p1/4p3/R1PbP1P1/4BPKP/4R3 b - -,f7f5
k2r4/1p6/p7/3p1pp1/P2Rr2p/1P1R2nP/2N3P1/3K4 b - -,g3e2
2k3r1/3Rb3/8/p7/8/4rN1P/6P1/3R2K1 w - -,g1f1
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/1P3NP1/P2BPPBP/RN1QK2R w KQkq -,e1g1
6k1/8/2p1b2q/p5R1/7P/P2p2P1/1P3Q1K/8 b - -,g8h8
2r5/7k/1p1R3P/1K6/2P5/8/8/8 b - -,c8c5
rnbqk2r/pp3ppp/5n2/2bp4/8/5N2/PPPN1PPP/R1BQKB1R w KQkq -,d2b3
8/2kr3p/3p4/pP2p1PR/P1p1P3/2P2K2/8/8 b - -,d7f7
2br3r/1p2k3/1np2p2/p1n1pPp1/P3P1Pp/1PNN3P/2PR4/2KR1B2 b - -,c5d3
r4rk1/1b2bppp/pq2pn2/1p1pn3/3P1B2/2NBP2P/PP3PP1/2RQ1RK1 w - -,f4e5
8/7p/1bk1p3/3p1n2/1P1P1p2/2K2P1P/2N5/2B5 b - -,f5h4
1r6/p1b1k3/2p3p1/p3p3/P1N1P2p/1P1R1P1P/6P1/5K2 b - -,e7e6
8/7p/6p1/8/8/B3b1kP/4K3/8 b - -,e3b6
r1b2rk1/5pnp/2Np2p1/2pPP3/2P2P1q/8/P1Q3BP/4RR1K w - -,e5d6
q2r2k1/2b2ppp/b1p1pn2/2Pp4/1P4N1/4P3/1Q3PPP/BN2K2R b K -,f6e8
r1bq1rk1/1p2bppp/p1n1p3/3p3n/3P1B2/P1NBPN2/1P3PPP/R2Q1RK1 w - -,a1c1
r1bqk2r/pp1nbppp/2p2n2/4p1B1/4P3/2NB1N1P/PPP2PP1/R2QK2R b KQkq -,e8g8
3qr1k1/p1p2ppp/2p2r2/2P5/2NP4/2n1PQ1P/6P1/R3B1KR w - -,e1h4
8/1p1r2k1/p7/6q1/P7/8/5K2/1Q1R4 b - -,g5f4
3rr1k1/ppq2ppp/3bpn2/2p5/2PP4/P2BBQ1P/1P3PP1/3RR1K1 w - -,d4c5
r4rk1/pp5p/3pb1p1/1Np1np2/2P5/2R3PP/PP2PPB1/5RK1 w - -,b5c7
r2qk2r/pp2bppp/2bppn2/8/2PQP3/1PN5/PB2BPPP/3RK2R b Kkq -,a7a6
4r3/4qpr1/2p1pb1k/1p1n2pP/p2PQ3/P1P2R2/BP3PK1/2B4R b - -,e6e5
1r3k2/3R2Rp/4q1pP/1r1Np3/p1p1P3/2B5/1bP5/1K1Q4 w - -,d1f3
rn2k2r/1p2bpp1/1pp2np1/3p4/3P2P1/2N1P2P/PP3PB1/R1B1K2R w KQkq -,f2f3
2bn4/1P2k3/8/2NBP3/7p/2K5/8/8 b - -,d8b7
2k1rb1r/pp1b2pp/1qn1pp2/2ppPn2/5P2/2PPBNPB/PP2Q2P/RN3RK1 w - -,e3f2
2br1qk1/1p3pbp/3p2p1/Q1PN1p2/3N2n1/4P1P1/5PBP/3R2K1 w - -,d4b5
1r3rk1/1b1q1ppp/3p4/1ppBB3/4P3/1P1P3P/2P1QRP1/R5K1 b - -,d6e5
r2q1rk1/1p1b1ppp/5b2/p1nP4/4P3/1PNnB1PP/3QN1B1/1R3RK1 b - -,d8e7
r1bq1rk1/pp2nppp/1bpp1n2/1B2p3/2N1P3/2PP1N1P/PP3PP1/R1BQ1RK1 w - -,c4b6
r2qkbr1/pppn1p2/3p2bp/3Pp3/8/2NB2N1/PPP1QPPP/R4RK1 b q -,d8e7
r2q1rk1/pp1bppb1/5np1/3p4/1B1P3N/4P1P1/PP2Q1BP/R4RK1 b - -,f8e8
r1n2rk1/pp4bp/2p1q1p1/2p1p1B1/2N1P3/3P2QP/PPP3P1/1R2R1K1 w - -,b2b3
4B3/8/1p6/3k4/P4n2/4p3/8/4K3 b - -,d5d4
2rrb1k1/5pp1/1Q1Pp2p/4N3/2P5/1p1B2P1/1P1qR2P/6K1 b - -,d2d1
1Q2Rbk1/p4ppp/5q2/1p6/8/1P4P1/P4P1P/3rB1K1 b - -,d1e1
r2qk2r/pbpp1pbp/1p6/3P1p2/6p1/1P1BP3/P2PNPPP/2RQK2R b Kkq -,b7d5
3r2kr/2pqnpb1/p1np2pp/1p1b3P/4PP2/1B2B3/PP1Q2PN/3R1RK1 w - -,e4d5
r1bq1r2/ppp1npk1/3p1npp/3Pp3/4P2P/2N5/PPPQ1PP1/2KR1BNR w - -,g2g3
r7/pp2k3/5R2/2np4/4q3/4r3/P5P1/3R1QK1 w - -,f6f7
1R6/8/p1Bp4/1p2b3/nk2P3/8/2K5/8 b - -,a4c3
8/k5b1/P1K5/4p3/4P1pp/7P/8/5B2 w - -,h3g4
b7/4k3/1K2p1pr/p3Pp2/PpP2P1P/1P6/3R2B1/8 b - -,a8g2
r1b3k1/1pr2ppp/p3pn2/N7/2P5/5BP1/PP3PP1/2R1R1K1 b - -,g8f8
