8/2N2n2/p5k1/1p6/8/1PP5/P6r/1K3R2 b - -,f7d6
rn3rk1/1bp1qpb1/1p4pp/p3p2n/P3P3/1NPBBN2/1P2QPPP/R3R1K1 b - -,b8d7
r1n2rk1/1p1q4/p1n1b2b/2p1p1NP/2PpPP2/N5P1/PP4BK/R1Q1R3 b - -,e6g4
Q7/6pk/7p/2p2p2/2P1nB2/P5P1/1PK1P2q/8 w - -,a8d5
8/2p3pk/p7/P2pqPp1/1p4Pr/5Q2/1P3R2/5K2 w - -,f5f6
r1bqr1k1/1p1n1pbp/2pp1np1/p3p3/2P1P3/2NPB1PP/PP1QNPB1/R4RK1 b - -,d7c5
8/Q1q1nkpp/p1r5/5p2/Pp1B4/4P1P1/2r2P1P/R4RK1 w - -,a7a8
7k/5p2/p7/2R4P/8/1p6/3K2r1/8 w - -,d2c1
4k2r/p1r2p2/1pq1p1p1/3pPn1p/b1nP1P2/bNP2RPB/P1P3NP/1R1QB1K1 b k -,c6d7
rn1qkb1r/pp3ppp/2p1pn2/6B1/2NP4/2NQ4/PPP2PPP/R3K2R b KQkq -,b8d7
r1bqkb1r/pp4pp/2nn1p2/4p3/2N5/2P2N2/PP3PPP/R1BQKB1R w KQkq -,c4d6
6k1/p1q2rp1/P1p2n1p/2Bp1b2/2pP4/2P2B2/2P3PP/R3Q1K1 w - -,e1b1
3r1rk1/ppq2pb1/2npbnpp/2p1p3/P1N1P3/2PP2P1/1P1NQPBP/R1B2RK1 w - -,a4a5
r2q1rk1/pb1nbp1p/6p1/2pB4/5B1N/6P1/PP2PP1P/R2QR1K1 b - -,b7d5
3q1rk1/pp2ppbp/2r2np1/5b2/2BP4/1PN5/PB3PPP/R2Q1RK1 b - -,a7a6
r4r2/p4qk1/1p1p1n2/2pPp1p1/P1P1Ppp1/2PQ1P1P/3N2K1/4R2R w - -,h3g4
8/3k2pp/R4b2/8/1p1P4/nP1K1P2/n2B2PP/8 b - -,d7c7
r2qk2r/ppp1bppp/2b1pn2/8/3PP3/2N2P2/PP4PP/R1BQKB1R w KQkq -,c1e3
1r1q1rk1/1p3pbp/p4np1/2Ppp1B1/Q2n4/2N2BP1/PP2PP1P/2R2RK1 b - -,h7h6
r1b2k2/ppN3pp/6n1/8/3P4/1B3r2/PP3P1P/2R2RK1 b - -,a8b8
r2r2k1/1p3p2/3n1Rp1/2bP4/8/1P1N2P1/6BP/5R1K b - -,c5d4
8/8/p3bk2/1p2p3/1P2P1pK/P2P4/4N3/8 w - -,e2c3
2r3k1/1q2ppbp/p1r1b1p1/B2p4/Pp1Pn3/1N1BPN1P/1P2QPP1/R1R3K1 w - -,c1c6
1r4k1/3r2bp/2P1p3/p4p2/1p2pP2/4B3/P3R1PP/2R3K1 b - -,d7c7
8/3b4/1B1p4/1p1Pp1b1/pP2P1k1/P1N2p2/8/4K3 b - -,g4g3
r1bq1rk1/pp2n1b1/2np2pp/2p2p2/1PP1p3/P1NP2PN/1B2PPBP/R2Q1RK1 b - -,c8e6
2r2r1k/1b4b1/pp1p3p/2pq2p1/P2P2P1/N1P3NP/1PQ2R1B/R5K1 b - -,f8f2
r3k2r/ppq1bpp1/2n1p3/1B1pPnBP/Q6P/7R/PPP2P2/R4KN1 w kq -,h3c3
8/6pk/2R4p/pp2r3/P4pQ1/1P5P/5PPK/1q6 w - -,g4f4
6k1/p1pq1ppp/1p1pr3/7r/2P1P1nP/1P1P1PP1/PB1Q2K1/3RR3 b - -,g4e5
5r2/1ppq3k/3p1np1/1P1P4/3BP3/2N2Q2/PP5P/7K b - -,d7e7
1q3rk1/1B3pp1/P1Q1p3/7p/3b4/P5P1/5PKP/5R2 b - -,b8e5
2rqrbk1/5p2/b3p1pp/p1npP3/Pp1N4/1P2RP2/1NPQ1BPP/3R3K b - -,h6h5
2r3k1/3b1p1p/p4qpb/1ppPp3/P3P3/NQ1P2P1/5PBP/1R4K1 b - -,b5b4
4q3/5ppk/1r1R1b2/1B1RN3/P1p2PP1/7P/1PK5/8 b - -,e8a8
3Q4/2p1r1k1/1p2q1p1/p1p1N2p/2P2P1P/1P4P1/P6K/8 b - -,e6d6
8/5k2/8/1P1p2R1/2bK1N1p/3N2n1/2Pr2P1/8 b - -,c4b5
r1bq1rk1/pp3ppp/4pb2/2n5/2BN4/8/PPPN1QPP/4RR1K w - -,c2c3
r1bqk1nr/2pnppbp/p2p2p1/8/Pp1PP3/2N1BN2/1PPQ1PPP/R3KB1R w KQkq -,c3e2
2rq2k1/1p3ppp/p1p2b2/4r3/3p4/P2P1QP1/1P1NPPKP/2R1R3 w - -,b2b4
r3r1k1/p1n2pbp/3p1qp1/2pn4/1p2BPb1/5NN1/PPQB2PP/1R2R1K1 b - -,g4f3
1r1qr1k1/bp3ppp/p1ppbn2/8/P1PP4/1PN2PP1/1B1Q2BP/R4R1K b - -,d6d5
8/1b6/pn1p1k2/1p2P1p1/1P2P3/P2PK3/3NN3/8 b - -,d6e5
8/7p/4n1p1/2N2k2/2p2p2/2P5/2r2BPP/4R1K1 b - -,e6c5
1R6/1P3pk1/8/6P1/5P2/5K2/8/5r2 w - -,f3e2
2r5/2PR4/p7/6pp/5k2/P7/3K4/8 w - -,d2e2
4rr2/2p3pk/p1nq3p/1p3p1Q/3Pp3/P1P3P1/1P5P/1K2RB1R b - -,c6a5
8/5r2/nr2p1k1/3p2pp/3R4/4P3/5PBP/3R2K1 b - -,b6b2
r1n1kb1r/pp1b1p1p/4p1p1/3p4/1P1P1N2/1NPB2P1/1P2KPP1/R6R b kq -,b7b6
r3r1k1/2q2pb1/2p3pp/p1p5/P1P1n3/3RB2P/2QN1PP1/2R3K1 b - -,a8b8
r4rk1/pp1nbppb/2p1pn1p/q7/2QPPB2/2N2NP1/PP3PBP/R3R1K1 w - -,a2a3
6k1/3q1pp1/2n5/pp1bPp2/3p1Pr1/1PbP2N1/PB3Q1P/3RN1K1 w - -,b2c3
8/p1p1k3/1p2bp2/4K3/8/P1P5/1P2B3/8 w - -,e5f4
r4rk1/p2nbppp/bqn1p3/2ppP3/1p3B1P/3P1NP1/PPP1QPBN/R3R1K1 w - -,h2g4
r4rk1/1p6/1q2p2p/1b1pP1pP/pP3P1b/P4Q2/4N3/RBB2KR1 b - -,a8c8
3rqk2/3Np2p/p1p2rp1/2P5/1P3PQ1/P1n3P1/7P/3RR1K1 b - -,d8d7
3r2k1/1p3p2/p5np/P1pP2p1/2P5/4R2P/5PB1/6K1 w - -,e3b3
8/8/p5kp/6p1/P7/2K5/7P/8 w - -,c3b4
r4rk1/pp2bppp/4b3/3p3q/2P2B2/3Q1N2/P4PPP/R3R1K1 w - -,c4d5
8/pp5p/2p2pp1/2Ppk3/PP4P1/2P1K2P/6P1/8 b - -,a7a6
r1b2rk1/p1q2pp1/2pb1n1B/3p4/8/2NB1Q1P/PPP2PP1/R3R1K1 b - -,g7h6
5bk1/3Q2p1/p7/2p2P2/2Np4/1P6/3q1PPK/1B6 b - -,d2f4
r1bqk2r/pp2bppp/2np4/2pNp3/2B1P3/8/PPPP1PPP/R1BQK2R w KQkq -,d2d3
3r2k1/p4p1p/npp2p2/4p3/P2RP3/1PN2P2/2P3PP/4R1K1 b - -,e5d4
r4rk1/7p/p1p3p1/1pP5/5B2/1bN2P2/PP6/1K1n1B1R w - -,a2b3
5r1k/pQ3n2/3pqb2/4n2p/6p1/4N1B1/1P3PPP/R4BK1 b - -,h5h4
8/6kp/1p3R2/p1b1PKp1/P7/7P/8/8 b - -,c5e3
1r1qr1k1/2p1npbp/3ppnp1/pbP5/1p1PP3/3NBPP1/PP1QN1BP/2RR2K1 b - -,f6d7
4R3/6pk/1p5q/3p3R/3p1pP1/P1rr1P2/5PK1/7Q b - -,d3f3
5r1r/1p1kn1b1/pBn3p1/4p1P1/2P1bP1p/7P/PP2N1B1/1R3RK1 w - -,g2e4
8/1p3pk1/p1n2np1/3pq2p/3N1N2/1PPQ2P1/P4PP1/6K1 w - -,d3e2
8/p1r2p2/5kp1/1KpB3p/2P2p2/3n3P/5PP1/4R3 w - -,e1e2
r1bq1rk1/4npbp/p1ppp1p1/8/4P3/1QPBB3/PP1N1PPP/R4RK1 w - -,f1d1
8/8/8/2p4q/2N2k2/1B1K4/8/8 w - -,b3c2
8/2k2p1p/p3p3/4r1p1/2P3P1/2K5/P2R1P1P/8 w - -,c3d3
rn1qk1nr/pp1Bbppp/8/2pp4/3P4/8/PPPNQPPP/R1B1K1NR b KQkq -,b8d7
r1b2rk1/p3pp1p/2p3p1/3n1qN1/3b1P2/3P4/PPP1B1PP/R1BQ1R1K b - -,a8b8
1kr1r3/4b3/p2pPp2/3Rp2Q/1p2P3/qP4P1/2P4P/1K2RB2 b - -,e8h8
2R2bk1/7p/p4r2/PPB3p1/5n2/2P2p2/7P/5K2 b - -,a6b5
rq1n1r1k/pp2b2p/4bp2/1NPp2p1/3B1n2/1NP3PP/PP1Q1P2/R3RBK1 b - -,a7a6
2r1rR2/2P3pk/8/4p2q/2Q1p2p/B3P1nP/6P1/4R1K1 w - -,c4g8
2rq1rk1/pb1nppbp/1pnp2p1/8/2PNP3/2N1BP2/PP1QB1PP/2R2RK1 w - -,b2b3
5bk1/1pR2bpp/1p6/r4P2/p2p1B2/P2P2PP/1q4B1/4Q1K1 b - -,b2a3
rnbqk2r/ppp1p1bp/3p2p1/5p2/3Pn3/1P3NP1/P1P1PPBP/RNBQ1RK1 w kq -,c1b2
r7/1q1nppkp/pp1p2p1/7r/2PN1Q2/1P4P1/P3PP1P/2R2RK1 w - -,d4f3
6k1/1p2P1b1/2pB4/2Pp2PR/8/p7/P5K1/4r3 w - -,g5g6
3r4/4bk2/p4np1/1p2p3/8/3qPPB1/PP2Q1P1/5RK1 w - -,e2d3
