6n1/5k2/4b3/8/3BBKP1/8/8/8 w - -,e4f3
4r3/6k1/Pp4nR/4ppB1/2Pp4/3P1PP1/4PK2/8 b - -,e8a8
1rqrb1k1/Rp3pp1/1Pp1p2p/N2n4/3P3P/4PBP1/5PK1/1QR5 w - -,b1b2
r2qk2r/bpp2ppp/p1npbn2/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 w kq -,f1e1:d2c4
3r2k1/pq3p1p/1p3np1/1Bp5/1PQ5/2P2P2/P5PP/4R1K1 w - -,b4c5
1r2r1k1/1q2ppbp/2np2p1/1N6/1Pn1P3/P3B1PP/4QP2/2RR1BK1 b - -,c4e3
3k4/2b4p/p4Bp1/1r1B2P1/1P2pp2/P2bP2P/5P2/2R3K1 b - -,d8c8
5nk1/1p2b1pp/p1q1p3/2P1p3/1P2P3/2NQ2PP/P4B2/6K1 w - -,g1g2
r4r1k/1b2qppp/p3pn2/1p4B1/3R4/1B4Q1/PPP2PPP/4R1K1 b - -,e7c5
8/6p1/3r1k2/4p2p/R3K2P/5PP1/8/8 b - -,d6b6
r2r2k1/1bqnbp1p/p1pNp3/1p2P1p1/5B2/5QP1/PP2PPBP/R2R2K1 b - -,g5f4
8/pp5p/6pk/4N3/1q1bb3/4p1PP/P3Q2K/3R4 w - -,e5g4
6k1/p4pp1/6Rp/2q1P3/4b3/P1B4P/1P1Q2PK/8 b - -,e4g6
rnbqk2r/ppp2ppp/3b1n2/3p4/3P4/3BB3/PPP2PPP/RN1QK1NR w KQkq -,g1f3
6k1/5PB1/7P/7P/5n2/1p6/3K4/8 b - -,g8f7
r3r1k1/1Np2pp1/p3nn1p/4Nq2/1P1Pp3/2P4P/1P3PP1/R2QR1K1 b - -,e6f4
6k1/1p1nq1pb/n1p1p2p/2PpP2P/1PP3P1/6K1/1B1N2B1/5Q2 w - -,b2c3
r3r2k/3q1p2/4b2p/1p4pN/p2bP3/P1pPQ3/4BPPP/2R1R1K1 w - -,e3f3
8/p2nB3/3P4/1p3k1p/5P2/P3K3/1P5P/8 w - h6,b2b4
6k1/3bB1b1/p2p2p1/Pp1Pp2n/1Pp1P3/2P2q2/3Q1N2/2K3R1 b - -,h5f4
1r1rb1k1/1p1nbppp/pqnpp3/6P1/2P1PP2/1PN5/P1NBQ1BP/2R2R1K b - -,e7f8
2kr3r/ppqnbp1p/2p1p2p/4P3/2NPbQ2/5N2/PP2BPPP/R4RK1 b - -,e4g6
5qk1/pr1pbr1p/2p1p1p1/2p5/2P1Q3/PP4B1/2P2PPP/3RR1K1 b - -,f8g7
8/8/1R3p2/6kp/1p2K3/1rbN2P1/8/8 w - -,d3c1
3rb1k1/N4p1p/1Pp1p1p1/4p3/1q6/7P/6P1/2R3QK w - -,c1c6
8/1pk2p2/4pp2/1pP4p/1P5P/P5P1/3r1P2/R4K2 b - -,e6e5
rn2kb1r/pq2npp1/2p1p3/Pp2PbBp/2pP3P/2N2PN1/1P2B1P1/R2Q1RK1 b kq -,b8a6
8/2p2pk1/1p2n2p/p1p1P1bP/P1P3p1/1P2K1P1/1B3P1N/8 w - -,e3e4
2rr1k2/pb2pp1p/1pn3pb/2pn4/2P5/P3PN1P/1P1N1PPB/3RRBK1 b - -,d5c7
2Nk4/8/3q4/1Q6/3PpnP1/7P/4RK2/2q5 b - -,f4h3
2kr2r1/1bqp1Q1p/p3p3/2p5/4n3/P3BP2/1PP1B1PP/R4RK1 b - -,d8f8
4r3/4p1kp/4Qp2/2pPn1p1/1q2P3/4B3/5PPP/2R3K1 w - -,d5d6
r4rk1/pp1bp1bp/5pp1/3P4/n1P3q1/R2BBN2/2Q2PPP/5RK1 w - -,h2h3
3r1r1k/pn3qb1/1p5p/1Ppb1p2/2P1pP2/4P1N1/P2QB2P/1R1R2K1 w - -,c4d5
2r1k2r/1bqn1p1p/4n1p1/p3p1P1/3pP1NP/1P3P2/PQP1N1B1/1K1R3R w k -,e2c1
rn1q1rk1/3pbppp/p7/1p1pPN2/8/P5P1/1PP2P1P/R1BQ1RK1 b - -,b8c6
r2r4/1ppk1Bp1/1pnp1nNp/4p3/1P2P1b1/P2P4/2P2PP1/R1B2RK1 w - -,f2f4
6rk/3n1p1p/1n1b1p2/pp2p3/3pP2N/1PqP2PP/P3QRB1/3R2K1 w - -,g1h2
3rk2r/p4ppp/2p3n1/7n/1b1NP3/1P2BP2/1P2KP1P/R4B1R w k -,f3f4
6k1/pp1b1pp1/8/7p/1P3PP1/P1Npr1KP/1P1R4/8 w - -,g3h4
8/1N3p1k/6p1/2R1b2p/5r1P/Pp6/6K1/8 b - -,b3b2
2rq1rk1/ppn2pbp/6p1/2pP4/5Q2/2N5/PP2PPPP/R3KB1R w KQ -,e2e4
6R1/8/8/8/2p1r3/5k1p/2PK4/8 w - -,g8f8
8/p4rp1/R3p2p/3k3P/1P2p3/6P1/P3KP2/8 w - -,a2a4
3r2k1/1q2ppb1/1p3npp/2pPB3/1r6/1PN1RQ1P/P4PP1/4R1K1 w - -,d5d6
5k2/1p1b1p1p/p4n2/2p1qPQ1/3p3P/2PBP3/PP3P2/2K5 w - -,c3d4
r4rk1/pp2ppbp/1qn3p1/2pp1b2/3PnB2/1NP1P2P/PP1NBPP1/R1Q2RK1 b - -,e4d2
8/8/1R1rp1p1/3pkp2/R6P/4r1P1/6K1/8 w - -,b6b5
3r4/pp2p1kp/1qn1b1p1/2p2p2/4P3/P1N2B2/1PP2PPP/1RQ3K1 b - -,c6d4
rnbq1rk1/ppp2pp1/4pb1p/3p4/2PP4/2N1PN2/PP1Q1PPP/R3KB1R b KQ -,b7b6:a7a6
8/8/4k3/1PKp1p1p/p6P/P5P1/8/8 b - -,d5d4
2r2rk1/pq3pp1/7p/1p1R4/8/1P4P1/P2Q1P1P/R5K1 w - -,a1d1
r1bqr1k1/p2n1pp1/2p2n1p/1p1p4/3P3B/2PBPN2/P4PPP/2RQ1RK1 w - b6,f3d2
r1b4r/p1nnkppp/1pp5/4p3/PbB1P3/4BP1P/1PPN2P1/R2N1RK1 w - -,c2c3
r7/4nkp1/pR3p2/P6p/3B4/6PK/7P/8 b - -,e7f5
3q4/1B3pk1/1b2pn1p/6p1/P1QP4/5NPP/5P2/5K2 w - -,f1e2
8/3r4/6R1/1p3p1P/p7/P2pP1P1/1P1K1k2/8 w - -,g6g5
r4rk1/1p4b1/pP1p4/3P4/P3P2p/5Rp1/5PKp/2B2R2 w - -,f2g3
8/8/8/8/2K5/2P5/PPk3b1/8 b - -,c2b2
7r/3r1p2/1k2p3/p3P3/2R1BP2/6K1/2P5/8 b - -,d7a7
r2q1rk1/ppp1nppp/2np4/1Bb5/4P3/2N3QP/PP3PP1/R1B2RK1 b - -,g8h8
r2q1rk1/1pp1n1b1/p1n1b1pp/3ppp2/B3P3/2PP1NNP/PP2QPP1/R1B1K2R w KQ -,e1g1
3r1nk1/1pqrbpp1/p1npp2p/8/2P1PP2/BPNR2P1/P1N1Q2P/3R3K w - -,e2h5
rnbq1rk1/p1p1bppp/1p3n2/3p4/3P4/2P2N1P/PPB2PP1/RNBQ1RK1 b - d3,c8b7
1rb2rk1/5pbp/2q1p1p1/2Np4/3P4/1P1QPN1P/5PP1/2R2RK1 b - -,f7f6
8/8/5k2/2NK4/r7/8/8/8 b - -,a4a3
r2qk1nr/ppp2ppp/2n1p3/3p4/1bPP1Bb1/2N1PN2/PP3PPP/R2QKB1R b KQkq -,g8f6:g8e7
rn1qk1nr/pp1bppbp/3p2p1/1BpP4/4P3/5N2/PPP2PPP/RNBQK2R w KQkq -,b5d7:a2a4
1r1q1rk1/1b1nnpbp/p2pp1p1/1p6/3PP3/P3BN1P/1P2BPP1/1NRQ1RK1 w - -,e2d3
rnb2rk1/ppp3bp/q3Ppp1/8/5B2/3N1B2/PPP1QP1P/1K1R3R b - -,c8e6
3r1r1k/3b2bp/6p1/pp6/1qPpBP1N/1P1Q2P1/4R1KP/4R3 b - -,b5c4
3q1rk1/pb2npp1/1p2p2p/3pN3/3Pn3/P3P3/1P1N1PPP/1BrQ1RK1 w - -,d1c1
2r5/p4p1R/1pkBpPp1/n2pP3/P2P2p1/3K4/7P/8 w - -,h7f7
3rqrn1/1p2pp1k/p1b3p1/4P2p/3R4/1PN1Q1NP/1PP3P1/R5K1 w - -,a1d1
5rk1/pp3pqp/2r1pR2/8/3Q4/1P6/P1P3PP/1K3R2 b - -,f8c8
8/2p2kp1/R6p/4KP1P/6P1/8/8/3r4 b - -,d1e1
r1bqkb1r/ppp2p1p/2n2np1/3pp3/2P5/PP2P3/2QP1PPP/RNB1KBNR w KQkq d6,c4d5
r1bqk2r/ppp1bppp/4p3/2nn2P1/4N3/1P6/PBPPQP1P/2KR1BNR b kq -,c5e4
r4rk1/p2bbppp/q2p1n2/4pP2/2PpP3/3P2PP/P2BN1B1/R2Q1RK1 b - -,d7a4
