R7/8/8/5k2/1P6/4p3/1KP5/3r4 b - -,e3e2
r2qkb1r/1b2pppp/p7/1p1nP3/8/P2P2P1/1B1PNPBP/R2QK2R b KQkq -,d5b4
r1bq1k1r/2p5/pp1p1R1p/3P3B/2PQ1P2/7P/PPK5/6R1 b - -,d8f6
r2q1rk1/4bppp/2p1bn2/1PPp1p2/1p1P4/4P1P1/3NNPBP/2RQ1RK1 b - -,c6b5
8/1R6/P2k4/6P1/1p6/r7/1b1pB2P/5K2 b - -,a3a1
rr4k1/4ppbp/3p1np1/3P4/Pqp1P3/1nN2N2/RP1BQPPP/5RK1 b - -,b3d2
r1r3k1/3bpp2/3p1np1/p6q/1p1NP2P/1P3P2/PP1QN3/1K1R3R w - a6,d1g1
2k3r1/p2rnp1p/1pp1p1pb/4P3/4BP1P/4BKP1/PPP5/3RR3 b - -,g8d8
1B1b4/4nk1p/2p2p2/2P2P1K/pp1PB3/7P/P7/8 w - -,b8d6
8/3R3p/6pk/5p1P/p3pP2/6P1/5K2/r7 w - -,h5g6
4r3/p1q1kpP1/8/2p1P3/3p4/3Q2P1/8/4R1K1 b - -,c7b8
r5k1/pp4n1/3p2p1/2pP3q/2P1pQn1/1PN5/P3N1B1/5RK1 w - -,f4g3
1r2n2k/p1r1q1pp/Q2p4/1P1P1p2/4p3/4B1P1/1P2PPBP/R5K1 b - -,b8b7
rn1q1rk1/pbp1bppp/1p2pn2/3P4/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 b - -,e6d5
2r2k2/3n1p2/ppB1pbp1/8/2P2P2/1N6/P1P3PP/4RRK1 b - -,c8c6
8/p7/1p1P2p1/1P4k1/P7/5Q1P/3q2PK/8 b - -,d2d6
5r2/5k2/8/6RR/3r2P1/7P/5PK1/8 w - -,g5f5
r3k2r/1bqnbppp/pp1ppn2/6B1/2P5/2N1PN2/PP1QBPPP/R2R2K1 w kq -,g5f4
4r1k1/q2r1pbp/p1n2np1/1pp1p1B1/4P3/1PP1Q2P/P2NBPP1/3RR1K1 b - -,e8d8
r2qkb1r/p4p1p/bpn1p1p1/2ppPn2/5P2/2PP1NP1/PP2Q1BP/RNB2RK1 b kq -,h7h5
2b2rk1/1p3pbp/p2p2pq/4P3/4PN1P/1P2P1P1/P2Q2BK/5R2 b - -,g7e5
2kn4/ppp1q2p/2n1prb1/1B1p4/3P2P1/P1P5/1P1NQ3/R3KR2 w - -,d2f3
3q1r2/5pkp/3p2p1/4p3/2p2nP1/PnP2NNP/3Q1P2/1B2K2R w K -,d2d1
2q5/5Q2/2Np1brk/2pPp3/2P1Pp1n/7R/8/4BK2 w - -,f7e6
r3r1k1/p2q1ppp/NnQ3b1/3p4/3N4/5PP1/PPP4P/2KRR3 b - -,d7c6
r1bq1rk1/pp2npb1/2n1p1pp/2pP4/8/2NP1NP1/PP1BPPBP/R2Q1RK1 b - -,e6d5
3r4/5p1K/pr3kp1/2p5/8/3P4/8/7R w - -,h1h3
2r3k1/2rbbpp1/4pn2/Np2p2p/4P2P/3B1P2/1P1N2P1/1K1R3R w - -,d1c1
4rk1r/p2q1pb1/2np3p/1ppN2p1/Q7/2PP1NP1/PP4P1/R4RK1 w - b6,a4b5
1r4k1/5ppp/2p1q3/1p1pP3/3P1Pn1/2P3P1/Q4BbP/R5K1 w - -,g1g2
5r1k/1p2p1bp/3p4/1qnQ1pB1/8/5P2/P5PP/3R2K1 b - -,b5b6
2R4r/n2k1ppp/pp2p3/3n4/1P1P4/PN2BP2/4K1PP/7R b - -,h8c8
2r3k1/5p2/7p/3p4/4nQP1/7P/5K2/8 w - -,f2f1
1rbq1rk1/p5pp/2p1p3/3n1p2/1b6/1P1B2N1/P1PB1PPP/R2QK2R b KQ -,d5c3
r1k1bb2/p1p1npp1/1pp5/4PPN1/6Pr/2N5/PPP2K2/R1BR4 b - -,h4g4
4r1k1/1pRR1p1p/8/5PK1/p3r3/P7/7P/8 b - -,e8f8
2Q3rk/5p1p/pN1p3r/4pq2/5b2/5Q1P/PP3B2/3R1B1K b - -,g8c8
2b1r1k1/1p3pbp/2pR2p1/r7/2P1PP2/1P4PP/5BB1/4R1K1 b - -,a5a3
2rq1rk1/pp1bbppp/1n2p3/3pP3/2Pp1B1P/1P1P2P1/P3QPB1/RN2R1K1 b - -,d7c6
r2qk2r/p2p2pp/B1pQpn2/8/8/8/PPP2PPP/R1B1K2R b KQkq -,d8a5
r3kb2/1p5r/2n3bp/1p1pBpp1/2pP1P2/2P5/PP1NB1PP/R4RK1 b q -,c6e5
5rk1/pp2qppp/4b3/3p4/3N4/4PQ2/PPR2PPP/6K1 b - -,e7d7
rn1qk2r/1b2bppp/p2pp3/1p1nP3/3N1PQ1/2NB4/PPP3PP/R1B2R1K b kq -,g7g6
r4rk1/5ppp/ppnbpn2/q7/1P1P4/P2BBN2/4QPPP/R4RK1 b - b3,a5h5
r1bqr3/p1p2k2/1p3PpQ/7p/3p4/3P3P/PPP3P1/4RRK1 b - -,e8e1
8/7p/4k1p1/P1b2p2/5P2/3R1KP1/r2B3P/8 b - -,h7h5
2r2r2/5pk1/pR1P1N2/4Pp1p/8/1P2K3/P1p5/2Rb4 b - -,h5h4
8/1b1r4/1P2Rpp1/2K3k1/p1B5/6P1/P6P/8 w - -,e6d6
2br1bk1/p4p2/q3r1pp/2p1p2P/4N3/3PNQP1/PPP2P2/R3R1K1 b - -,d8d4
1r2nrk1/5pb1/1p1p2p1/2pP1b1p/1PP1NP2/6PP/R2B2BK/4R3 b - b3,g7d4
1r4k1/2R1QBp1/2p3b1/p7/P2B1q2/2P4P/1P6/6K1 b - -,g6f7
2b5/1k6/1p1N4/8/5B1p/5n2/1P6/2K5 b - -,b7b8
7R/2bP1k2/8/p4B2/5K2/4P2P/Pr6/8 w - -,f4f3
1n3rk1/1q1pbpp1/1p2p2p/2P5/1Q1NN3/5PP1/r3P1KP/1R1R4 w - -,b4b6
8/2R5/7p/5qpk/8/6B1/6RK/8 b - -,f5e4
8/3k4/6R1/8/6K1/6B1/3r4/8 w - -,g4f5
r1bq1rk1/ppp2ppp/5n2/3pn3/Q1P5/P1B1PN2/1P3PPP/R3KB1R b KQ -,e5c4
2r1r1k1/5ppn/p6p/Pp3P2/1P1p2PP/3N1Pb1/3BR3/2R3K1 b - -,g3h4
2r1r1k1/1b2qpbp/1p2p1p1/p2nN3/1n1PN3/1P4P1/PB1Q1PBP/R1R3K1 w - -,a2a3
r1b1k2r/p3qppp/nbpp1n2/1p2p3/P2PP3/1BP2N2/1P1N1PPP/R1BQ1RK1 b kq a3,e8g8
8/6k1/b1pnBpP1/p2p3P/P2P1PNK/8/8/8 w - -,f4f5
8/4p3/4kp2/8/8/5KPp/7P/8 w - -,f3g4
r3brk1/4bppp/1q2p1n1/p2p3Q/3P4/2P1RN1P/RPB2PPB/6K1 b - -,f7f5
3r1r2/1p1bkp1p/p1n1pN2/6p1/1P6/P4B2/3R1PPP/5K1R w - -,f6h7
r1bqkbnr/1p1npp1p/p5p1/8/2Bp1B2/N1P2N2/PP3PPP/R2QK2R w KQkq -,d1d4
r4rk1/4pp1p/p2p2p1/2nP4/2PbnP2/4BB1P/P1R3P1/2R3K1 w - -,e3d4
2r5/1p2qr1k/p2p1n1b/3P1N1p/4p1P1/4P3/PP1QB1PB/3R2K1 b - -,e7c7
1rq1r1k1/2pb1p1p/p5p1/np1Pp2n/1b2P3/1PN1BPP1/P2QN1BP/2R2RK1 b - -,a5b7
8/8/8/8/1p1pk3/1P4R1/2r5/6K1 b - -,c2c3
5r1r/3kq2p/nnp1pRp1/pp1pP3/3P2P1/2P2Q2/PPN1N2P/5R1K b - -,f8f6
r3n1k1/1q1nbppp/1pp1p3/2Pp4/1P1P4/r1N1PPB1/2Q1N1PP/1R3RK1 b - -,b6c5
2krr3/pp3qp1/2p1p2p/4Pp1P/2P1n3/2B5/PP2QPP1/1K1R3R w - -,d1d8
rnbqk1nr/pp3p1p/2pp2pb/4p3/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq -,g1e2
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/3P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,a2a3:c2c3:f3h4
4b1k1/q4p2/4p1p1/2bpP1P1/5P2/3B4/3Q2K1/1R6 b - -,c5e3
r1bqr1k1/1ppp1ppp/p1n2n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 b - -,c5f8
5rk1/p2br1p1/1pn1p3/3pP2p/5PP1/P2BR1KP/2PB4/5R2 b - -,f8c8
7k/6p1/3K3p/1r1N3P/p3p1P1/6R1/7n/8 w - -,g3g2
6k1/5p2/p3bbp1/2B4p/1P3P2/5B2/r3RKPP/8 b - -,a2a1
r2q4/1b1n1r1k/pp1p1bpp/3Ppp2/1PP5/B4N1P/P4PP1/2RQRBK1 w - -,c1b1
3rrbk1/p1q2bp1/1ppp1npp/4p3/3PPP2/2P1BQNP/PPB3P1/R3R2K w - -,e1f1
r1br2k1/pp6/1b3p1p/3pn1p1/3N4/2B3P1/PP2PPBP/R2R2K1 w - -,a1c1
r3kr2/7p/p4p1Q/2pn1q2/2R5/1P2P1KP/P5P1/5B1R b q -,a8a7
6k1/4rppp/pq2p1b1/1p2P3/6Q1/1B4R1/PP3PPP/6K1 w - -,h2h4
8/2k5/1p1bpp2/r7/PN3P1p/1K4PP/2R5/8 b - -,c7d7
r3rbk1/1pp2ppp/2p5/p1n1Pb2/P2R1P2/2N1BN2/1PP2KPP/R7 w - -,d4d2
