8/3N4/3n4/p1p2p2/P4k2/1PPK3P/8/8 b - -,d6b7
2r2rk1/1p1bb2p/1q2p3/1P1pPpp1/p3n3/PN1BP3/1Q2NPPP/R4RK1 w - -,b3d4
3r4/3r1kp1/1p3n1p/p1pp1R2/P1P2P2/2P2K1P/3NR1P1/8 b - -,f7g6
8/8/8/3B2p1/1p1kP3/4R3/3q1PK1/8 b - -,d4c5
b1qrr1k1/p3bppn/1pp1p2p/8/2PP2PP/1P2NQB1/P2R1P1K/3R1B2 w - -,f1d3
3r2k1/5p2/1p5p/3Np1q1/2QnPp2/P4P2/1P4PP/5R1K b - -,d8d6
r2qkb1r/1p1nppp1/1np4p/p3Nb2/P2P3B/2N5/1P2PPPP/R2QKB1R w KQkq -,e2e4
5bk1/r4ppp/1q2pn2/n7/1p1pP3/1N1P2PP/1PQBBP2/2R3K1 b - -,a5b3
r2q1r2/pp2ppbk/1np1b1p1/6Pn/3PP3/2N1B3/PP1Q1PP1/2KR1B1R w - -,f1e2
3rr1k1/p4p2/3q2p1/2pp1n2/4n2p/PP1QPN2/5PPP/B1RR2K1 w - -,d3c2
r2q1rk1/p3npbp/bp1pp1p1/n1p5/3PPP2/2N1BNP1/PPP2RBP/R2Q2K1 w - -,b2b3
r4rk1/pbq1ppbp/1p3np1/n1p5/4P3/2P2N2/PPQNBPPP/R1B1R1K1 b - -,f8d8
r2q1rk1/ppp1ppbp/1n2b1p1/1B1n2B1/3P4/P1N1PN2/1P3PPP/2RQK2R w K -,c3d5
rn3rk1/3qbpp1/1p2p2p/p2pP3/3P3P/3Q1NP1/PP1B1PK1/2R4R w - -,f3g5
2r3k1/1p4bp/4prp1/p7/P2P4/6KP/1PnBN1P1/2RR4 b - -,f6f5
2r4r/1p1nk2p/1p3n2/4p1N1/8/2N5/PP2R1pP/4R1K1 b - -,c8c5
rn1q1rk1/pp2ppbp/1np3p1/8/2PP2b1/4BN2/PP1NBPPP/R2Q1RK1 w - -,f3e5
n4rk1/p1q1ppbp/5np1/8/2N5/Q2PB1Pb/PP2PP1P/R1R3K1 w - -,a3a7
r4rn1/1pqnp1kp/p2p1pp1/2pP4/P1P1PP2/2PB2BP/5QP1/R4R1K b - -,a6a5
3Br1k1/1p3pb1/p3r3/P5p1/4n3/1NPR4/1P4P1/2K2R2 b - -,g7h6
8/7K/8/8/7Q/2q5/4k3/2q5 w - -,h4g4
r3kb1r/1pp2ppp/p1nqpn2/5b2/8/2N2N2/PPPPBPPP/R1BQ1RK1 w kq -,d2d3
r2q1rk1/pb1n2pp/1p2p3/2pp1p2/2PPn3/1P1BPP2/P2N2PP/2RQNRK1 b - -,e4d6
3r1rk1/pbp2ppp/1p2p1q1/4P3/5BQ1/2P5/PP3PPP/R4RK1 w - -,g4g6
rn1qkb1r/pp2pppp/5n2/3p4/3P4/5b2/PPP1BPPP/RNBQ1RK1 w kq -,e2f3
2r1k2r/q3bpp1/pn4p1/1p1pP3/2p1B3/5P2/PPQ1N1PP/1K1R3R w k -,e4d5
r3r1k1/1pp2ppp/p2q4/P2P4/3b4/2PbB2P/Q4PP1/2R1R1K1 w - -,e3d4
5bk1/BQ5p/4p1p1/3n4/4p3/P2q2N1/6PP/6K1 b - -,e4e3
r1b2rk1/ppp2pp1/1b1pnqnp/1B2p3/3PP3/1NP1B3/PP1NQPPP/R4RK1 w - -,e2f3
r4r1k/pp3n1p/6p1/3B1pP1/2P1p3/1Q2P1q1/PP6/R4R1K b - -,g3h4
5r2/p3kp2/b1B1p2p/3n4/Pp6/6P1/1P4PP/2RR2K1 b - -,e7d6
r2qk2r/pbpn1ppp/1p1ppn2/8/2PP4/2PBP3/P2N1PPP/R1BQ1RK1 b kq -,c7c5
r3qrk1/2pb1pb1/np1p1npp/p2Pp3/2P1P3/PPN1B3/3NBPPP/R2Q1RK1 b - -,f6h7
r3kb1r/pp1n1ppp/2p1p1N1/3p4/1nPP4/1PN1P2P/1P1B1PP1/R3KB1R b KQkq -,h7g6
2r2rk1/4qpp1/1Rb5/2p1p3/P1P1P1p1/4QP2/7P/R2B2K1 b - -,f7f5
3R2k1/1b2qr2/p3N1p1/2P2pPp/2Q5/4p3/PK6/8 b - -,g8h7
8/5pkp/r3p1r1/3p4/1p1q2p1/8/PPP1QP2/1K4R1 w - -,e2a6
2kr1b1r/ppp1nQ1p/2q3p1/4p3/4PP2/2P5/PP4PP/RNB2RK1 b - -,c6e4
2rqk2r/pp2bp2/2n1b2p/1Q4p1/3p4/1N1N2P1/PP1BPP1P/R4RK1 b k -,e8g8
1r1q1rk1/1pnn1pbp/p2p2p1/2pP4/P1B1PP2/2N2QPP/1P3BK1/R4R2 w - -,f3d3
1rr1b1k1/2q1bpp1/3ppn1p/1p2n3/1P1QP3/2N5/2P2PPP/1NBRRBK1 b - -,e5c6
1qr2rk1/4bppp/3p1n2/p2Pp3/2B5/PP6/3B1PPP/2RQ1RK1 b - -,b8a8
2r5/3R4/p5p1/1pB1bk1p/1P6/P4K2/2P5/8 w - h6,d7f7
r5k1/pp3p2/n1p3p1/4r3/2P1Pn2/2N2P2/PPN4P/3R1R1K b - -,g8g7
6k1/rq4rp/3bn1p1/2Pp1pP1/1p3P1R/3NP3/1PPK2Q1/2N1R3 b - -,d6c5
r2q2k1/pp4pp/2p1br2/3pNp2/1b1PnP2/P1N1P1P1/1PQ3BP/R4RK1 b - -,b4d6
3q2k1/p3r1pp/1p1b1n2/2p2p2/2Pp4/1P1P2P1/PB1N1PKP/3QR3 w - -,e1e7
n7/p7/P4kpp/2p1p3/4P3/1P4PB/8/1K6 w - -,b1c2
r1b2rk1/1p4pp/1qpp1b1n/p4p2/1nPPpN2/2N1P1P1/PP1BBP2/1QKR3R w - a6,a2a3
r2qr1k1/3b1pb1/1pn3pp/2nQp3/8/2P1BN1P/P1N2PP1/R3RBK1 b - -,c6e7
7r/3Rbpkp/4p1p1/4P3/2n1BPP1/P7/1PP4P/2K5 b - -,e7c5
2kr1b1r/pppq3P/5p2/3p3Q/3npP2/2N4R/PPP5/2KR2N1 b - -,f8c5
r6r/2p4R/p3B1k1/2b1p1q1/Pp2P3/6PQ/1PP3P1/R6K b - -,h8h7
q3r2k/4B1pp/4Qn2/2pP4/2p5/2P4P/5PP1/4R1K1 w - -,d5d6
8/r5kp/5pp1/8/1pB1P1P1/2bP4/6KP/1R6 b - -,g7f8
2R2bk1/p6p/1q2p1p1/P1r5/4QP2/4P2P/6BK/8 b - -,c5a5
2r2bk1/pb1q3p/1p3pp1/n2Pp3/4P3/3BBP2/PQ2N1PP/3R2K1 w - -,d1c1
3q1rk1/2n1bpp1/pr4p1/3p4/Q2P1P2/4N1P1/4PBBP/3R2K1 w - -,f2e1
r1bqkbnr/pp3ppp/2n5/1B1p4/3p4/4PN2/PP3PPP/RNBQK2R w KQkq -,f3d4
8/3k4/2p1p3/p3Pp2/P2P4/2PK2P1/1b6/3B4 w - -,d3c2
r1bqr3/3n4/1pp2bkp/2p1pp2/NP6/1Q1P1N1P/2PB1PP1/R3R1K1 b - -,b6b5
r2r3k/4q1p1/3pP2p/2p2R2/Pp3Q2/1P4P1/6K1/4R3 b - -,d8f8
r2qk1nr/ppp2ppp/2nbp3/3p3b/3P1B2/4PN1P/PPP1BPP1/RN1QK2R w KQkq -,f4d6
r4rk1/ppp1q1bp/3pb3/4npp1/1PP5/4P1B1/P2NBPPP/2RQ1RK1 w - -,f2f4
8/8/p1p3k1/NbP1p2p/1P1nB1pP/P5P1/1K3P2/8 b - -,g6f6
2rqnrk1/pp1b2pp/2p1p3/4N3/2PPn3/1P1Q2P1/PB5P/2RR2K1 w - -,d3e4
r4k2/2p2p2/1pbp1qpp/p1n5/P1P5/1P5P/3NRPP1/3QNK2 w - -,e2e3
r2r2k1/p4qp1/1pQ4p/8/3P1b2/5N2/5PPP/3RR1K1 b - -,a8c8
r1bqr1k1/1pp2ppp/2np1n2/p1b1p3/2P5/1PNPP1P1/P3NPBP/R1BQ1RK1 b - -,c8f5
6rk/4b3/2np2r1/p2Rp2p/PpP2p2/1P3N1P/2N2PP1/3R2K1 w - -,c2e1
r2qr1k1/pb1p1p1p/np1B2p1/2pPb3/Q7/2N2BP1/PP2PP1P/R4RK1 w - -,d6e5
r2qk2r/1p1nbppp/2pp1n2/p3p3/P2PP3/2N1B3/1PPNQPPP/R4RK1 b kq -,e8g8
r2q1rk1/ppp2pp1/7p/3pnb2/3PnP2/P1N5/1P2PPBP/R2Q1RK1 w - -,f4e5
2r5/1p1k1p2/4b1p1/pPPpR1K1/P2P4/6P1/8/7R b - -,d7e7
r3rnk1/2bq2p1/1Np2p1p/3p4/3P2b1/3BP1N1/2Q2PPP/1R3RK1 b - -,c7b6
r4rk1/pq3ppp/2n2n2/8/2PP4/PP3p2/1BQ2PPP/R4RK1 w - -,d4d5
5k2/6pp/1p6/2pb2R1/K1P4P/2r5/P4r2/R7 w - -,c4d5
r2q2rk/1p1n1b1p/p1p1p3/2Pp1p2/PP1P1R2/3BP3/2Q1N1PP/R6K b - -,g8g7
4n2r/1p3kp1/p3bp2/2B3p1/4N3/8/PP2R1PP/6K1 w - -,a2a3
r2qr2k/pp1b2pp/4pb2/5p2/2BP1B2/4RQ2/P4PPP/3R2K1 w - -,f3h5
6k1/4bpp1/2p5/p1p5/2BQPP1p/1P5P/P5K1/8 b - -,c5d4
r5k1/5p1N/4pP1Q/1p1q4/1n1p2PP/3p4/1Pr4K/1RB1R3 w - -,c1d2
5k2/1p2p1R1/p4p2/2P1rP2/1P1rP3/P4K2/8/3R4 w - -,d1d4
