8/8/8/2R3kp/r5p1/4P1P1/4KP2/8 b - -,g5g6
8/nq1kbQ2/3pp2r/1p5N/1P1Np2P/6P1/P4PK1/4R3 w - -,h5g7
8/p1r2k2/7p/8/8/6P1/PRP3K1/8 w - -,g2f3
1rbq1rk1/4ppbp/p1np1np1/1pp5/P3P3/3P1NPP/1PPN1PB1/R1BQR1K1 w - b6,d1e2
6k1/p1p2p1p/3rb1p1/2qB4/Q1P5/7P/Pr3PP1/2RR2K1 w - -,d1f1
rnb1k2r/p2pbpp1/5q1p/1ppP4/4P3/5N2/PPQ2PPP/RN2KB1R b KQkq e3,f6b6:f6g6
8/8/8/pkNp4/1p1P4/1PnK4/4N3/8 b - -,c3d1
6k1/5p1p/8/3p4/p3rpP1/1r1N4/1P3K1P/R4B2 w - -,f1e2
r1r3k1/1bB3p1/p4b2/1p5p/8/1P1B1P2/P5PP/2RR2K1 b - -,b5b4
8/pr2kp2/4r3/R4R2/3P4/2P5/1PK5/8 w - -,a5e5
r2q1rk1/pp2ppbp/6p1/1R1P2B1/4P3/5Q2/P4PPP/5RK1 b - -,d8d7
1r6/1R2p3/4k1p1/p1p1Pp1p/5P1P/P1P5/1P1R2P1/2K5 b - -,b8b7
1nN5/6bp/3Pk3/1Bp2pPP/8/5K2/6P1/8 b - -,h7h6
3rr3/p1kb4/1p1p2pp/1BpP4/5P2/2P4P/P2K2P1/3RR3 w - -,b5d3
6k1/5p2/p2p2p1/R2P4/1r2n3/8/1P3P2/4N1K1 w - -,a5a6
1k2q3/p2rbp1R/1pbpp1n1/6N1/2P1PP2/2N3Q1/PP6/K2R4 w - -,d1g1
r1bqk2r/ppppbppp/2n5/4P3/2Bpn3/5N2/PPPN1PPP/R1BQ1RK1 b kq -,d7d5
1k3rr1/1pbn1N1p/p3q3/4PR2/3p4/P2P1QB1/1P5P/5R1K w - -,f7d6
5rk1/bb2qpp1/p6p/8/N3p3/1P2N2P/P3QPP1/2R3K1 w - -,e2c4
3nk3/p7/1p1p1p1p/1P1K1P2/P3P2P/2B5/8/8 w - -,c3f6
8/8/K5P1/P1k5/3p4/8/8/8 b - -,d4d3
r4rk1/1p2pp1p/bn1p2p1/p2PP3/4NP2/5B1P/PP4PK/2R1R3 w - -,e5d6
r3r1k1/p1p3bp/3qbp2/2pp3Q/3N4/8/PPP2PPP/R1B2RK1 w - -,d4e6
8/8/1p2B2P/2p1b1P1/1kP5/4KQ2/8/2q5 w - -,e3e4
6k1/5ppp/p7/2r4b/8/2PB4/6PP/5R1K b - -,a6a5
2b1r2k/2Bn1Bb1/5npp/8/5QP1/5N1P/1qP2P2/3R2K1 b - -,e8f8
6k1/3bpp1p/3p2p1/pp1P4/3bP3/1P3P2/P2BB1PP/7K b - -,b5b4
b1r3k1/2qn1ppp/1p1p4/7r/pQPp4/P3P1P1/2RN1P1P/1R3BK1 w - -,e3d4
r1b2rk1/pp1p1ppp/2n1p3/qN2P3/1b3P2/2B5/PPP3PP/R2QKB1R w KQ -,d1d2
2r3k1/p1r2pp1/1p3q1p/2P1pn2/1P4B1/P1R3P1/5PP1/2QR2K1 b - -,f5d4
8/2nB1p2/3p1k2/6p1/6P1/1K6/5P2/8 b - -,f6e5
8/pnNk3p/1p4p1/5p2/1KP2P1P/4PP2/8/8 w - -,c7a6
r1bqr1k1/1p4bp/p5p1/2pN4/2PnQ2P/P3B1P1/5PB1/1R3RK1 w - -,e3g5
r3r1k1/5p1p/6p1/4P3/p2PPB2/3K4/R5PP/8 w - -,d4d5
8/p2q2k1/P2p2p1/Rp1Pr3/1Pr1p3/2P1RpPp/3Q1P1K/8 b - -,g6g5
2rq1rk1/p2nb1pp/bpp1p3/3p1p1n/2PP4/1P2B1P1/P1QNPPBP/3RNRK1 b - -,g7g5
7r/5k2/3R4/2pPp1p1/2P1Pp2/5P2/3N1Br1/5K2 b - -,h8h2
b4rk1/5ppp/p1q1pb2/2n5/2r2P2/5N2/1PPQN1PP/2BR1R1K b - -,c6e4:c6b6
1r1q1rk1/1p3pbp/p1npb1p1/2pNp3/P1P1P3/3PB1PP/1P3PB1/R2Q1RK1 w - -,a1b1
r5k1/2pb1p1p/3p1np1/1p1P1n2/1P6/1NbN1PP1/r3RBBP/5RK1 w - -,e2a2
r1br2k1/pp3ppp/1bn1pn2/8/8/1NP2N2/PP1BBPPP/R2R2K1 w - -,d2e1
5r2/6pk/p1p4p/P2nB3/1P3P2/2P2P2/7P/3R2K1 b - -,h7g6
r1bq1rk1/pp4pp/2n1pb1n/3p2N1/3P3P/2PB4/5PP1/RNBQK2R b KQ -,e6e5
rnbqkb1r/pp2pp1p/2pp1np1/8/3PP3/4BP2/PPP3PP/RN1QKBNR w KQkq -,f1d3:c2c4
6rk/p5p1/5p1p/4nP2/4QN2/7P/5qP1/3R3K b - -,a7a5
3r2k1/pp3p1p/3r4/2pqp3/4R1P1/1P1P1R1P/P1Q3K1/8 w - -,c2e2
8/p3k3/4p3/2b2p1p/5P2/P7/1r2B1PP/R4K2 w - h6,h2h4
r5k1/5p1p/5Np1/2P5/8/3K4/7P/8 b - -,g8g7
r3k3/1pp2p1p/p1np4/8/4P3/1BB2P1b/PPPQ2nP/R3KNq1 w Qq -,e1e2
r1br2k1/4bppp/pqnp1n2/1p6/3pP3/PP3N1P/1BBN1PP1/R2QR1K1 w - -,d2f1
1rbr4/pp5p/3k1bp1/3B1p2/2R2P2/8/PPP3PP/1K1R4 w - -,d5b7
r3rbk1/1pqb1ppp/p1nppn2/8/4PP2/PNNBBQ2/1PP3PP/4RR1K w - -,g2g4
8/7k/4R2P/4p3/r7/5P2/5K2/8 b - -,a4a3
2r2rk1/p1q4p/3bpp2/3p1p2/2pP1P2/2P1PN2/P1bN2PP/1R2QRK1 w - -,b1a1
8/4qpk1/1bp2np1/1p2p2p/1P2P2P/2PQ1BP1/5PK1/3R4 b - -,b6c7
rnb2rk1/ppp1qpb1/6pp/1B1Pp3/8/4BN1P/PPP2PP1/R2Q1RK1 w - -,d1d2
6rk/2p4p/p3p2r/1p1nNp1q/3P1p2/1P3P1P/P2Q2B1/2RR2K1 w - -,d1e1
r1bqnrk1/ppp1bppp/2np4/4p3/2P5/PPNPP3/1BQ2PPP/R3KBNR b KQ -,f7f5
rn2kb1r/5ppp/pp2p3/2pq4/P7/6P1/1PPPNP1P/R1BQ1RK1 w kq -,d2d4
rn2k1nr/1b3ppp/p3p3/1pP1P3/2p5/5N2/PP2BPPP/R1BqK2R w KQkq -,e2d1
2r2rk1/2n1ppbp/1q2b1p1/pp1p4/3P3N/1PB1P1P1/P3QP1P/2RR1BK1 w - -,c3e1
8/6k1/1q1p2pp/3Q4/4P1PP/5PK1/8/8 w - -,h4h5
4r1k1/6p1/p1b1r2p/2R5/1P1B1R2/P3P1P1/6P1/6K1 b - -,c6b5
r2q1rk1/1bp2ppp/p4n2/n1bpN3/P3P3/1P1P4/BP2NPPP/R1BQ1RK1 b - -,d5e4
r1bqkb1r/ppp2pp1/2np1n1p/4p3/2B1P3/2NPB3/PPP2PPP/R2QK1NR w KQkq -,d1d2
8/5pk1/4r1p1/5n2/2pqbQ1p/7P/P4RPK/4R3 b - -,c4c3
r1b1rbk1/1pq2pn1/2pp2p1/4n3/2PBPN2/1P4P1/2Q1NPB1/3R1RK1 w - -,d4c3
r1bqk2r/pp1nppbp/3p2pn/3P4/5P2/2N1B1P1/PPP1N1BP/R2QK2R b KQkq -,h6f5
1r4k1/7p/5pp1/4p3/1PNpP3/P2n4/5PPP/1R3K2 b - -,b8c8
r3r1k1/1p4p1/2p3Q1/p4bp1/2Pp4/PP1P3P/5P2/R3RBK1 b - -,f5g6
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,g8f6:b8d7:c8g4:c8f5:g7g6:e7e6:b8c6:c7c6:c7c5
5k2/6p1/4pr2/4q2p/4P3/7P/4R1Q1/7K b - -,f8g8
3r4/1p3pk1/3b2p1/pBpP2P1/P1P2p2/1P1K1P2/8/7R b - -,d6e7
rnbqk2r/ppp2ppp/3b1n2/3p2B1/3P4/3B1N2/PPP2PPP/RN1QK2R b KQkq -,d8e7
3r4/5pk1/6p1/4P2p/1R3P2/2Q4P/3q2PK/8 w - -,c3d2
4k3/4bp2/8/3QPR2/1PpP3p/P1q5/6PP/6K1 b - -,c3e3
7r/2q1n1kp/p1r1ppnQ/8/8/4BP1B/PP2PP2/3RK2R b K -,g7f7
8/1P6/3bk3/2Qp1p2/8/5K2/Pr6/8 w - -,c5c8
8/6p1/8/8/pK5k/P6P/8/8 w - -,b4a4
r3kb1r/p2npppp/2p5/3b4/2p1B1q1/2Q1B2P/PP1N1PP1/R3K2R b KQkq -,g4e6
r1bq1rk1/4ppbp/pnpp2p1/4P1B1/3P4/P1Q2N1P/BP3PP1/3RK2R b K -,h7h6
6k1/1p3pp1/2nbp3/p4q1p/2P1p2P/PP1rP1P1/1BQN1PK1/4R3 b - -,d6e5
r1b2rk1/p4qbp/1npP1p2/6p1/1p2pPP1/1P2B2P/P1PQN2N/R3K2R b KQ -,b6d5
r4rk1/1pqbppbp/p2p1np1/n1pP4/2P4N/1PN1P3/PB2BPPP/R2Q1RK1 w - -,e2d3
r1br2k1/pp2ppbp/n5pn/1N1q4/8/2P2N2/PP2BPPP/R1BQ1RK1 w - -,c1e3
3r2k1/4np2/3P1qp1/1p5p/1Pr1QP2/2P5/7P/4RR1K w - -,e4e7
