3k4/8/3Bn3/b3Pp2/P1K5/8/6B1/8 b - -,e6f4
r5k1/p5pp/1bN1b3/3p4/4p3/PP2P3/1B3PPP/R5K1 b - -,g8f7
8/5p1p/2Np1kpb/2pP4/1nP5/1PKB3P/5PP1/8 b - -,b4a2
3r4/p4pk1/4p1pp/1p1r4/2p5/2P2PN1/PPB1RP1q/4RK2 b - -,h6h5
8/5p2/p2k2p1/1p1n3p/2P5/1K1N2P1/P7/8 b - -,b5c4
N1b2rk1/1p4bp/3p2p1/p2Pp3/2P1n1P1/4B1qP/PPQ3N1/R2K3R b - -,e4f2
8/6k1/8/pp4pP/2pK2P1/P1P2P2/1P1R4/r7 w - -,d4c5
1k6/1pq2pp1/pN3n2/P1P1p1pP/1Q6/5P2/KP6/8 w - -,c5c6
1r2r1k1/pb2qpbp/1p3np1/2n1N3/4p3/QP4P1/PB1NPPBP/2R2RK1 w - -,d2c4
r1b1k2r/pp2bppp/1np2n2/5p2/2BP1B2/P1N1PN2/1P3PPP/R3K2R w KQkq -,c4a2
5r2/3r2b1/7k/4pbp1/7p/2P1B2P/PP2Q1P1/3B2K1 b - -,g7f6
2n2k2/pp1n1pp1/4p2p/3p4/3P4/2N1PN1P/PP3PP1/5K2 w - -,f1e2
3rbrk1/1p2qppp/pN2p3/2Ppn3/PP6/8/2P1BPPP/R2QR1K1 b - -,e5d7
rnb2rk1/pp2bppp/1qpp4/4p3/2B1PP2/2NP1R2/PPP1NnPP/R1BQ3K w - -,f3f2
r4rk1/pb1n1ppp/4pq2/1P1pn3/1P3N1P/PQ3PP1/1B4K1/4RB1R w - -,b2d4
rq3rk1/4bppp/p3p3/4P3/2R5/1nB2Q2/1P2BPPP/3R2K1 w - -,d1d7
r2q2k1/1pp2pp1/p1n1rn1p/3pp3/4P3/1QPPRNN1/PP3PPP/R5K1 b - -,a8b8
r4rk1/1pqb1pbp/n2p1np1/p2Pp3/P5P1/2N1B2P/1PPQNPB1/2R2RK1 w - -,c3b5
5rk1/1p1bqpbp/p2p1np1/P3pP2/4P1PQ/1Nr1B3/2P1B2P/R4R1K w - -,e2d3
8/6k1/5p2/3N1P1p/3K3P/6P1/5n2/8 w - -,d5f4
r1br1b1k/p3Np1n/2p2P2/q3p1Pp/1p2P2P/2NB4/PPPQ4/1K1R3R w - -,c3e2
r2q1rk1/pb1pbppp/np2p3/2p5/2P1n3/1P2PNP1/PB1PNPBP/R2Q1RK1 b - -,e7f6
6k1/8/p7/1ppN1pPp/2P4P/PP6/6K1/4r3 w - -,d5f6
8/5N2/4k1K1/5PPP/8/2b5/8/8 b - -,e6d5
r2qr1k1/2pb1ppp/p1p5/4P3/1b1NN3/1P3Q2/PBP2PPP/R5K1 b - -,d8h4
r2q1rk1/3b2pp/1p1p3b/p1pNp3/2PnPP2/PP1Q2P1/1B3RBP/5RK1 b - -,d7e6
rn1q1r1k/pbppb1pp/1p3n2/3p1P2/2P5/P1NB3N/1P3PPP/R1BQ1K1R w - -,c4d5
r4rk1/pR5p/3p2p1/2nP4/4PpPq/5B1P/P4PQ1/R5K1 w - -,b7b2
5r1k/5rq1/7p/3PR1pP/PQP5/1P2Rb2/8/2K5 w - -,b4c3
r1bqk1nr/pp2ppbp/2np2p1/8/4P3/2PB1N1P/PP3PP1/RNBQR1K1 b kq -,g8f6
r3k2r/1bqpnpp1/p3p3/4P2p/R1PN3P/6B1/2P2PP1/3QR1K1 w kq -,d1d2
2rq1rk1/pb2nppp/1p1b1n2/2ppN3/3P1P2/2N1PQ2/PPBB2PP/R4R1K b - -,c5d4
3rr1k1/p1q3b1/bpn3pp/2pnpp2/P7/N1PP2P1/1PQN1PBP/1RB1R1K1 b - -,g8h7
6k1/4q1p1/5p2/p2pN1PQ/3P4/2P5/1r4P1/5RK1 b - -,f6g5
4r3/ppp3k1/3p4/P2Pn1p1/4P3/2P1R1P1/1P2B3/6K1 b - -,b7b6
rnb1k2r/pp2nppp/4p3/q1ppP3/P2P4/2P5/2PQ1PPP/R1B1KBNR b KQkq -,b8c6
1N1K4/8/3k4/8/8/8/8/7r w - -,d8c8
rnbq1rk1/ppp2pbp/3p1np1/4p3/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b - -,e5e4:f6h5:f6e8
r4rk1/pbq1bppp/4pn2/2p1n3/2N5/2PB4/PP2QPPP/R1B2RK1 w - -,c4e5
r2q1rk1/pb3ppp/1p3n2/3p4/3Q3N/1P4P1/P3PPBP/R2R2K1 w - -,h4f5
1r1qk2r/ppp1bppp/3p1n2/3Pp2b/1PP1N3/2Q1PN1P/P4PP1/R1B1KB1R b KQk -,f6e4
1r6/3bq1k1/2n1p1pn/ppp1PrNp/3p4/2PP2P1/PP1Q1PBN/R5KR w - -,h2f3
8/6k1/8/6KP/4P2R/8/8/6r1 w - -,g5f5
8/3Q1pbk/1p4pp/p3q3/8/P3B2P/1P3PP1/6K1 w - a6,e3b6
6k1/3b2pp/p5n1/r2P1p1R/1p1R4/6PP/1P2NPK1/8 b - -,a5b5
r2q1rk1/pp1nbp1p/1n2p1P1/8/2P2PP1/3BpN2/PPQ3K1/1R5R b - -,d7c5
8/8/R4k2/2r1pBp1/5nP1/7P/5K2/8 b - -,f6e7
r4rk1/1p5p/1q1p2p1/p1nPpb2/8/1P3N1P/P1B1QPP1/R1R3K1 w - -,f3d2
8/8/2p5/1bN1B3/5Pk1/7r/2K5/8 b - -,h3h1
3b1rk1/pp4p1/2np4/2p3n1/2P2NN1/1P1P2P1/PB4K1/5R2 w - -,f1e1
8/1p1k4/1K2p1p1/P2pPp2/5P1B/2n5/6Bp/8 b - -,d7c8
r7/1p2N1P1/p2r3n/2N1p2k/P3P3/3Pp1p1/1P2K3/5R2 w - -,f1h1
1r4k1/5p2/7p/2B5/1n6/5BPP/5PK1/8 w - -,c5d6
r7/2R3pp/4p1n1/3p2k1/1B1P2P1/P3P2P/8/6K1 b - -,g5f6
6rk/5R1p/p2p4/1p1r4/2p5/P5RP/1P4PK/8 w - -,f7a7
4rb1k/pp1n1r2/2p2Ppp/8/2PBPp1P/1P1N4/P7/2KR3R w - -,e4e5
2r3k1/1b1nbppp/p2pp3/qp4PP/2rBPP2/P1N5/1PP1Q1B1/2KR3R w - -,g5g6
8/3N4/2k1K3/p2p4/P2P4/2P5/2b5/8 b - -,c2a4
8/2r4p/P3k3/6p1/1P3b2/1KP4R/7P/8 w - -,b4b5
r1b1k1nr/pp3ppp/2n5/3qp3/1b1P4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1e3:c1d2
r2q1rk1/p1pp1p2/1pn1pn2/4Bbp1/1bPP4/2N2Q2/PP1N1PP1/R3KB1R b KQ -,f6h7
r3r1k1/1bq2pbp/p1p1pnp1/p1P1N3/3P4/1P4P1/1BQ2PBP/R3R1K1 b - -,f6d5
rn2kb1r/pp3pp1/2pqpn1p/5b2/2BP4/2N2N1P/PPP2PP1/R1BQ1RK1 w kq -,f1e1
7k/1bn3p1/5p1p/8/P2Np3/1P2P2P/1B3PP1/6K1 w - -,b3b4
4n1k1/1p3p1p/6p1/1P1p4/r2q4/3B1P2/P1Q2RKP/8 b - -,a4a8
rn1qk2r/pbp2ppp/1p1p1n2/3P4/2P5/4QN2/PP3PPP/RN2KB1R b KQkq -,d8e7
8/6p1/1pnkb2p/p2p4/P2N3P/1PPBK3/6P1/8 w - -,d4c6
5rk1/1b3ppp/p2p4/8/3NPB2/3P3Q/qp4PP/2KR3R w - -,c1d2
3q1rk1/p1r1bp1p/1p1ppnp1/8/2PN1P2/P3P3/1P1N1PbP/1QRR2K1 w - -,g1g2
7r/4b1pp/rnR2pk1/p3p3/4p1P1/4B2P/PP3P2/3R2K1 w - -,c6b6
r4rk1/Rbqnb1pp/2p1p3/2Pp4/1p1Pp3/1P4P1/1BQ1PPBP/R3N1K1 b - -,e7g5
rn2r1k1/5ppp/1pp1qn2/p2p4/1P5N/P1B1P1P1/5P1P/R2Q1RK1 b - -,b8d7
r4r2/ppp2Bk1/3p4/8/1P2P1b1/1QPP2P1/P4b1q/2K1R2R b - -,h2g3
r2r2k1/1bpnqpbp/1p3np1/p3p3/P7/2P1PN1P/1PQNBPPB/R2R2K1 w - -,e2c4
8/7B/4kp2/p2p4/2bP4/K1P2P1p/PR6/5r2 b - -,f1f3
5rk1/7p/p3p1p1/1p4P1/2pNbP1Q/q7/2P4P/1R4K1 w - -,b1e1
6k1/2rbq1p1/p3p1Qp/1p1pP3/3Nnr1P/P1PB2RK/1P6/2R5 b - -,e7h4
r1bqk2r/pppnppbp/3p1np1/6B1/3PP3/2P5/PP1N1PPP/R2QKBNR w KQkq -,g1f3
8/3p1k1p/3Q4/5p2/2p4K/2q5/8/8 b - -,c3f6
r1b1k2r/pp2qp2/2pp3p/2bnp1p1/B3P3/3P1Q2/PPP2PPP/R1B2R1K w kq -,e4d5
8/2p2k2/1p2n3/p1pN2p1/P3P3/2P1KP2/6P1/8 b - -,c5c4
r4rk1/pp1npp1p/3p2p1/3P3q/2P5/3Q1N1P/Pb1B1PP1/1R1R2K1 b - -,b2f6
8/1r4p1/7p/3n4/1k4R1/4P3/1p1K4/1B6 b - -,b4a3
4r1k1/3q3p/pp3pp1/1b1pp3/1Q1P2PP/2P2PB1/P4RK1/8 b - -,d7e6
