2bn4/4k3/1P6/2NBP1pp/1K6/6P1/8/8 w - g6,b4c3
6k1/p1pq1ppp/1p1pr3/3P3r/2P1P2n/1P3PP1/PB1Q2K1/3RR3 w - -,g3h4
r2q1rk1/pb2ppbp/1p4pB/2p1P3/3pNQ2/3P4/PPP2PPP/R3R1K1 w - -,f4h4
4rrk1/Rbqn2p1/2p1p3/2Pp2b1/1p1Pp2P/1P2P2B/1BQ2PNP/R5K1 b - -,g5h6
r2q1rk1/1p2bppp/p3pn2/3p3b/P1BPP3/7P/1PQN1PP1/R1B2RK1 w - -,e4d5
8/3Nk3/3n2p1/pP1P4/P4K2/8/8/8 w - -,d7e5
3kb2R/3r2p1/p1p2pP1/2p1pP2/2P1P3/1P6/P1B5/4K3 w - -,h8g8
r2q1rk1/1ppb1pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQR1K1 b - -,b7b5
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3,b7b5:b8a6:d7d6:d7d5:g7g6:e7e6
4bk2/5p2/p2n2p1/2R1p1P1/4P1P1/P4PN1/8/4K3 w - -,e1d2
7Q/p7/1p4p1/3P2k1/1P3p2/P6P/3q2PK/8 w - -,h8e5
r2qr1k1/pp1n1ppp/2p2n2/P1b1p2b/4P3/5NPP/1PPNQPB1/R1B2RK1 b - -,b7b5
r2q1rk1/2pp2bp/b1p2pp1/Q7/4P3/8/PPP2PPP/RNB1R1K1 b - -,f6f5
8/2p3pk/3r3p/2RnN3/6P1/7P/5PK1/8 b - -,d5f4
8/8/2kP4/4P3/P3K3/2b5/4B3/8 b - -,c3a5
1r3k1r/p4p2/5n1p/1p2R1p1/3p1P2/3P3P/PP4P1/3B1RK1 b - f3,g5f4
6k1/7p/3B2p1/1r2pP2/5b1P/8/1P6/1K1R4 b - -,g6f5
6k1/5p1p/3R2p1/q7/3Q4/1r3P2/1Pr3PP/3R1K2 b - -,b3b8
rnb1kb1r/pp3ppp/2pp4/8/1qBNn3/2P1B3/PP2NPPP/R2QK2R b KQkq -,b4c4
1r5r/p2kn1b1/2pp3p/4p1pP/4N3/4P3/PP1BKPP1/R6R w - -,b2b4
rnbqk2r/ppp1ppbp/6p1/3nP3/2BP4/5N2/PPP3PP/RNBQK2R b KQkq -,h7h6
5bk1/Qbq4p/n2p1pp1/1p1Pp3/2p1P1P1/2P1B1P1/1PBN1P2/6K1 w - -,d2b1
r3r3/1kp5/4p1p1/pp2b2p/2n1PN1P/P5P1/1PP5/2KBRR2 w - -,b2b3
r1bqk2r/pp2ppbp/2np1np1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 b kq -,e8g8:c8d7
1n4k1/1P3ppp/p1rq4/3pr3/8/5PPB/PQ5P/2RR2K1 b - -,e5e8
rq2k1r1/p2p1p2/1pnp1Qp1/4P3/2b1B3/8/PPP3PP/R4RK1 w q -,e5e6
2r4r/ppbbk3/4pp1q/1P1p4/R4P2/2PB2QP/6P1/1N3RK1 b - -,c8g8
6rr/5p2/1p1pbk2/p5pp/2P4P/PP1B1PK1/3R2P1/4R3 b - -,g5h4
r1bqk2r/pp1n1ppp/3bp3/2p5/2PPQ3/5N2/PP1B1PPP/R3KB1R b KQkq -,d7f6
5rk1/5ppp/p1p5/R2r4/2b2B2/2P4P/5PP1/R5K1 b - -,f8e8
3r1B1k/1p4pp/p4p2/4pb2/5n2/1B6/PPP2PPP/R3K2R w KQ -,f8c5
6k1/p4pb1/1qp3p1/1p1rP2p/4QPn1/1PR5/P3N3/1KB5 w - -,e4c2
2q1rrk1/pp1nbppp/1P3n2/P1p1p2b/2Pp4/3P2PP/3NPPB1/1RBQNRK1 b - -,a7a6
rn1q1rk1/ppp2ppp/3pbn2/4p3/2P1P3/2PP2P1/P3NPBP/R1BQK2R b KQ -,d8c8
6k1/1p3p1p/pB4p1/P6q/1bP4P/1P1Q1PP1/4r1K1/8 w - -,d3e2
2kr3r/2qbbp2/1p1ppn1p/1P2n3/1Q1NPBP1/1P5P/2P3B1/R2R2K1 b - -,h8e8
r4r1k/p5pp/1p1p1b2/2nQ4/2P5/6P1/PP1RqPNP/R1B3K1 b - -,e2g4
r1bqk2r/1p2bppp/p1nppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 w kq -,c1e3:d4c6
r2q1rk1/3nbppp/p1n1p3/1pp1P3/2Pp1B2/3P1N1P/PP3PP1/R2QRBK1 b - -,a8b8
2r1q3/6pk/5p2/2P4p/b3p3/4B1QP/6P1/R6K b - -,c8d8
4R1k1/1ppq1bp1/3p3p/p2P4/3Q1NPP/1P6/P1P5/1K6 b - -,d7e8
4q1rk/r7/2p1pp2/1pPp2bp/p2P4/P1B1PQ1P/1P3PRK/6R1 b - -,a7g7
r1bq1rk1/pp1n1pp1/2p1p2p/b7/2PPN3/1Q1B1N2/PP3PPP/2R2RK1 b - -,a5c7
r4rk1/pp4pp/1np2q2/4n3/2R3Q1/P1N3PP/4RPB1/6K1 w - -,e2e5
5b2/1p5p/4kpp1/Np1p4/1P1B4/2K1P3/b4PPP/8 w - -,a5b7
1r3rk1/p5bp/2p2qp1/2Pp1p2/3PpN2/1P4QP/P4PP1/3RR1K1 w - -,h3h4
r4qk1/2pbr1p1/1p4Bp/p1nPppQ1/2P4N/P5R1/1P3PPP/4R1K1 w - -,g5h5
2r3k1/4R3/p1q3p1/2npQp1p/r2P4/2P5/6PP/5R1K b - -,c5e6
5k2/3qpp2/3p3p/1p1P2p1/RPr5/4Q1P1/5PP1/4R1K1 b - -,b5a4
rnb2rk1/pp3ppp/5n2/q1Pp4/8/2P1PN2/P3BPPP/R1BQ1RK1 b - -,a5c5
r4rk1/pb1nppbp/1pn3p1/P1p5/2N1P3/2P1BP1N/1P4PP/R2K1B1R w - -,d1c2
r3kb1r/ppq2ppp/2n1pn2/3pN3/Q2P2b1/2PB4/PP1N1PPP/R1B1K2R b KQkq -,f8d6
1r6/2p1k1p1/2rbp2p/p3p3/Ppn1P1PP/3N1P2/K1P1N2R/2BR4 b - -,c6a6
1n3rk1/pq3ppp/1p2pn2/3b4/1P1Q4/P2BPN2/1B3PPP/2R3K1 w - -,f3g5
8/8/8/7P/8/2Q5/1p1q4/4k2K w - -,c3b3
q5k1/3b4/3p3p/3Pb1p1/4P3/2p1B2P/2B3P1/3Q2K1 b - -,a8f8
4q1k1/6p1/R3br1p/1p1p1p2/1PnN4/3QP2P/2B2PP1/6K1 b - -,e6f7
1rbq1rk1/3n2bp/2npp1p1/2p2PP1/1p3P1P/3P1N2/1PP1N1B1/R1BQ1RK1 b - -,e6f5
1n4k1/5pp1/1q1bpnp1/p2p4/Pp1P4/1P2PPP1/3BBNKP/2Q5 b - -,b6c6
8/8/5k2/pR2r3/P7/8/1K6/8 w - -,b2c3
6k1/pp2brpp/2p1q3/4Bp1P/3P1Q2/6R1/2P3P1/7K w - -,g3b3
2r3k1/2r2p1p/p4bp1/2q5/4p3/1R6/PP1Q1PPP/KN3R2 b - -,c5f5
8/p1n5/1p3k2/2p2P1p/7N/1P1r2PP/P3RK2/8 w - -,f2g2
4k3/pp5p/2p2pp1/3p1n2/3P1B2/2P2P2/PP4PP/6K1 w - -,g1f2
2r4k/rp4pp/1Rb5/p1Pp1q2/P2Pp3/7P/3Q1PP1/RN4K1 w - -,b1c3
2r1r1k1/1b1n1p1p/p2q1np1/2pp4/8/1PNBPN2/PQ3PPP/2RR2K1 w - -,d3e2
8/4k3/3p1bpp/1PpP1p2/2P1pP1P/5rP1/r5NK/2R1R3 w - -,e1f1
1r1q1rk1/pbp2pp1/1pnb3p/3p1B2/3P1B2/2Q1P3/PP2NPPP/2R2RK1 w - -,f5b1
4rr1k/1ppnq2p/3p2b1/1P6/2BP1B1P/Q3PN2/P4P2/2K3R1 b - -,e7e4
r1bq1rk1/pp3ppp/2n2n2/2pp4/1b1P4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,d4c5:f3e5
8/2k5/2p2Rp1/pp3pK1/P2r1P2/8/8/8 w - -,a4b5
2r3k1/4rppp/p2p4/1p6/P2QP3/1NN5/1PP4q/3KR3 w - b6,a4b5
1r3rk1/ppn2pbp/2p1p1p1/4P3/3PNRBq/1Q2P3/PP4PP/R5K1 b - -,c7d5
rn1qkb1r/pp2pppp/2p2n2/3P4/Q2P4/5N2/PP2PPPP/1RB1KB1R b Kkq -,d8d5
r1b1k2r/pp4pp/2p1p3/q4p2/1bpP1B2/2N1PN1P/PP3PP1/1QR1K2R b Kkq -,e8g8
8/7k/8/p4rp1/P2B3p/1PP4P/1r3PP1/4R1K1 w - -,e1e7
r2q2k1/1ppbrpbp/3p1np1/2nP4/p1P5/P1N2N1P/1PBQ1PPB/2R1R1K1 w - -,f3d4
rnbqkb1r/pp2pppp/5n2/2pp4/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq -,e7e6
2R5/pp3kpp/8/1b6/1P5P/P2r4/6P1/6K1 w - -,c8c7
8/3k1p2/p3pn2/1p1r1p1p/8/1P3NP1/P3KPP1/7R w - -,f3g5
r1r1q1k1/p2n2bp/Pp2bn2/1P1p1p2/3PpPp1/BQN1P1P1/4N1BP/1RR3K1 b - -,h7h5
