8/8/1K6/Pp3kp1/1P1N4/8/5p2/8 b - -,f5f6
8/p3r1k1/3n2p1/2r1p2p/R7/1PP1N1P1/PK3R1P/8 w - -,f2d2
r1q2bk1/6pp/4pn2/1Q1pN3/2pP4/P3P3/3B1PPP/1R4K1 b - -,f8a3
5k2/1p2p3/p2p1b2/P2P1Pp1/4r3/2PBB3/1P5K/1R6 b - -,e4e3
r4rk1/1bqpbppp/ppn2n2/3P4/3N4/1P4P1/PB2PPBP/2RQ1RK1 b - -,e7c5
6k1/5p2/5Qp1/4P3/7P/6P1/3q1K2/8 w - -,f2f3
1r4k1/7p/p1Np4/2bPpp2/8/2P3P1/P5KP/8 w - -,c6b8
4r1rk/p6p/1q2p3/1b2Pp2/1p1p1P1b/1P1P1B2/1NP1Q1RP/R6K b - -,g8g2
r1b1k2r/1p1p1ppp/p1n1p3/Q7/2PN4/2P3P1/P3PPBP/R3K2R b KQkq -,c6a5
r1b2rk1/1pq1bppp/p1nppn2/8/3NPP2/2NQBB2/PPP3PP/R4RK1 b - -,c8d7
5b1r/4pBpp/1pk5/r7/3Bb3/2P1P3/PP3PpP/R3K1R1 b Q -,e7e5
r1b2rk1/p1q2p2/1p2pp1p/2b5/2P5/1P1B1N2/P1Q2PPP/3RR1K1 w - -,c2c3
2Q5/5pk1/p3rp2/1p6/1P3K2/P7/8/8 b - -,e6d6
r2r2k1/pp1qbppp/4pn2/4B2b/4P1P1/1QN4P/PP3PB1/2R2RK1 b - -,h5g6
r2q1rk1/p4nbp/1pp1b1p1/4p3/1PN1Pp2/3PBP1P/2PN2P1/R2Q1RK1 w - -,e3f2
1k2n2r/1n1qb1p1/p4p2/1pp4p/2P1NP2/3P1QPP/P4BK1/1R3R2 b - -,b5b4
2k5/pp1q1pp1/1npPp2p/B1P4P/3Q1P2/6P1/PP6/1K6 w - -,c5b6
4q1k1/2p3pp/1p1p1n2/p5B1/4n2Q/P4NPB/5P1P/1b4K1 w - -,g5f6
q3k2r/2pb1pp1/2np1n1p/1pb1p3/4P3/1BNP1N1P/1PP2PP1/2BQ1RK1 b k -,c6e7
r4rk1/ppqbppbp/5np1/P2p4/4P3/2PB3P/3PNPP1/R1BQR1K1 w - -,e4d5
6k1/1b1nbpp1/pp2p2p/3p4/3Pn3/PP4P1/1BN1PPBP/2N3K1 b - -,g8f8
r1b1k2r/1p1nbppp/4p3/2Pq4/1P6/5N2/PB1N1PPP/R2QK2R b KQkq -,a8a2
6k1/5p1n/6pp/p1rNp3/q6P/5P2/6P1/3RQ1K1 w - -,h4h5
6k1/p2q3p/1p3pp1/4p3/8/1P2B1P1/P3PP1P/2R3K1 b - -,h7h5
r7/7K/8/1R4P1/4k3/8/8/8 b - -,a8a1
6k1/2p1r1p1/4P1Bp/3p3P/1qbP4/1p2QRP1/r7/4R1K1 b - -,b4d2
r1n2rk1/1p2q1bp/2n3p1/pNP2p2/4p2N/1P5P/P3QBP1/2RR2K1 w - -,g2g3
r1bqk2b/ppp5/4p3/3n1pp1/3Pp1P1/2P1P1B1/PP1NBP2/R2QK3 w Qq -,g4f5
r4rk1/1p2qppp/1pp1bnn1/3pp3/4P3/P1PP3P/1PB2PPN/R1BQ1RK1 b - -,d5e4
6k1/5p2/2PR2p1/2rbr3/6Pp/3BP2P/p1P5/R5K1 w - -,g1f2
3r1rk1/pp3ppp/2n2n2/8/1bB2B2/2N5/PP3PPP/2R2RK1 b - -,d8d4
3r1rk1/p2Rbpp1/1p4p1/3Q4/4p1q1/1NP3P1/PP3P1P/3R2K1 w - -,a2a4
8/8/1p3krR/2p2b2/P1P2p1P/1P3P2/5KP1/8 w - -,h6h8
4r1k1/6p1/Q3p3/3p1rp1/p2P4/Pq2P2P/1P1R1R1K/8 w - -,a6e2
r1bq1rk1/pp3pbp/2np1np1/2p1p3/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,h2h3
r1bqr1k1/1pp2pbp/3p1np1/pN6/2P1n3/1PN1P2P/P3BPPB/2RQ1RK1 w - -,c3a4
2r2r1k/5p1p/5R1p/1q2pP2/1N6/6Q1/1Pb3PP/R6K w - -,b4c2
8/p3rk1p/3R4/1P3pq1/3Qp2p/2P4P/1P3PPK/8 w - -,d6d8
5rk1/3b1pb1/3pp1p1/qn6/1p2P1P1/3PB2P/2P1N1B1/3Q1RK1 w - -,d1d2
r1b2rk1/p1pqbppp/2N1pn2/8/2pP4/6P1/PP2PP1P/RNBQ1RK1 w - -,c6e7
r5k1/Pp2qPpp/1B6/2p5/1bn1Q3/5PP1/1P4KP/3R4 b - -,g8f7
5b2/p1k5/1p2npp1/2p1p2p/1P2P2P/1KP2P2/P3NB1P/8 b - -,c7c6
8/3k4/r1pp2p1/P1np1p1p/8/R2PP1P1/P1PKNR1P/1r6 b - -,d7e7
8/5pk1/2p1r1p1/p1P4p/3q3P/6P1/P2R1P1K/8 w - -,d2d4
6k1/1Q3pp1/p3n3/7p/1P6/q4PB1/6PK/8 w - -,b7a8
r1br2k1/1p3ppp/2n1p3/p7/2Pp4/qP1Q1NP1/P4PBP/R3R1K1 w - -,f3e5
8/4N2k/p2p1b1p/1pp2p2/5P2/2PP4/PP5P/6K1 w - -,e7f5
1r6/Rb1q1r1k/3p1Ppp/8/1PpN4/4Q2P/1P3RP1/6K1 b - -,b8a8
1r2kb1r/1b3pp1/1q2pn1p/1p6/2pP4/2N2NP1/1PQ1PPBP/R2R2K1 b k -,f8e7
8/p5k1/2R4p/1P4p1/P1N2r2/7K/5bP1/8 w - -,g2g4
r1b1k2r/2ppqpp1/pbn4p/3Bp3/Pp2P3/3PBN2/1PP2PPP/R2Q1RK1 b kq -,c8b7
1rbq1bk1/1p1n1ppp/p2p1n2/2pP4/P4B2/2N2N1P/1PP2PP1/R3QBK1 b - -,d8a5
r3r1k1/1p1n1pp1/2p4p/6q1/1P1Pp3/4P3/2QNbP1P/1R2K1R1 w - -,g1g5
8/p4p2/1p3kpp/8/4Q3/P3P2P/1P3qPK/8 b - -,f2b2
8/5k2/4R3/6b1/r1K3B1/8/4p3/8 w - -,c4d3
8/4k1p1/1n6/4K1p1/7P/1B6/8/8 w - -,h4g5
5r2/1p3ppk/pNr1pnbp/P5q1/2BQP3/1P3P2/6PP/R2R3K w - -,d1d3
r3q1r1/p6k/1p2b1p1/3pPpRp/2pP1P1P/2P5/PPB4Q/6RK b - -,e8f7
r1b1qrk1/ppp1b1pp/3ppn2/3Pnp2/2PN4/1PN3P1/P3PPBP/R1BQ1RK1 b - -,e6d5
4r1k1/3R2bp/1Bp3p1/7n/2P5/1PN3PP/1P3R1K/4r3 w - -,b6d4
2nr2k1/5pb1/5qpp/4pP2/Q1ppP3/B2P2P1/6BP/2R3K1 w - -,a4c4
8/8/1p1K3r/6R1/2k3P1/5P2/8/8 w - -,d6e5
3R4/p3nkpp/1p1Np3/2r2p2/4Bn2/2P5/PP3PPP/6K1 b - -,f7f6
2rr2k1/pp3ppp/1n6/3p4/3P4/1P3B2/P4PPP/R1R3K1 b - -,g8f8
r2q1rk1/ppbbnppp/3B4/3P4/2N5/2P5/PP2B1PP/R2QR1K1 b - -,c7d6
r1r3k1/1p3pbp/2qp2p1/p3p3/Q7/N7/1P3PPP/1RB1R1K1 w - -,b2b3
6k1/4rp2/1p6/4p3/4B2R/b4RPP/4K3/2r5 b - -,a3c5
5rbr/p5p1/1pkNp3/2p1PP2/2Pp1bP1/3P4/P5K1/1R3R2 w - -,f1f4
rnb2kr1/p1p2p2/1p2p3/3p2p1/3P4/P1P2N2/2P1BPPP/R3K2R w KQ -,h2h4
rn3rk1/p3q3/1p1p1b2/2pb2p1/2N1p3/P3B1P1/1P2PPB1/2RQ1RK1 b - -,e7e6
1n1q1rk1/1p3pbp/r2p2p1/P2pp3/1BP1b3/P3P3/3NBPPP/R2Q1RK1 w - -,f2f3
1r4k1/1bpn1rb1/pp6/8/PPP1p1P1/2N1B1P1/3N3P/1R2R1K1 w - -,c3d5
r1b1r1k1/2q2pbp/p2p1np1/nppPp3/4P3/2P2NN1/PPB1QPPP/R1BR2K1 w - -,h2h3
r1bq1rk1/pppp1ppp/5b2/5n2/B2P4/8/PPP2PPP/RNBQR1K1 w - -,c2c3
r1bq1rk1/pp2bpp1/2n1pn1p/8/2BP4/2N1BN2/PP3PPP/R2QK2R w KQ -,e1g1
6rk/p6p/1p2b3/5p2/1N3b2/7P/P5B1/2R4K w - -,c1e1
7r/4kpp1/p2p4/4pPb1/4B3/2qQ4/2P4P/R3R2K b - -,c3c5
rn1qk2r/p1n1bp1p/1p2p1p1/3pP3/2pP1NQP/2P2N2/PP3PP1/R1B1R1K1 b kq h3,h7h5
r1bq1rk1/pp3pp1/5n1p/3p4/1P1n1B2/2NQ2P1/1P2PPBP/R3K2R b KQ -,d4c6
r2q1rk1/4b1p1/3pp2p/2N2p2/1pP5/1P4P1/1BQ1PPKP/R4R2 b - -,d6c5
r3r1k1/2b2p1p/p1p2p2/1p6/3P4/2P1B1Pn/PPbN1PKP/R3R3 w - -,g2h3
1nb3k1/3nqr1p/6p1/2p5/1PB1Np2/2Q1P3/6PP/5RK1 b - -,c8a6
4nrk1/3q2pp/pr1p2b1/2nPpNpN/p1p1P3/2P4P/RPB1QP1K/6R1 w - -,g1g5
r5qk/p3pr2/n3R1p1/2pP1p2/2Pb4/P1NQ2BP/6P1/1R3K2 b - -,f5f4
1r3r1k/1pp4p/3p1qp1/1P1P3n/8/1Q3NP1/5P2/4RRK1 w - -,e1e3
5R2/2k5/2P5/3P4/5P1p/1b1KN3/8/q1r5 w - -,f8f7
