4k2R/6r1/p3p3/5q2/2pQ4/6P1/5P1K/8 b - -,e8f7
1qr3rk/1bb2ppp/pp6/3n4/1P6/1N3P2/P2BB1PP/2RR2QK b - -,d5f4
3r3r/ppp1kpp1/2b5/2p1PnNp/2P5/1PB4P/P4PP1/R2R2K1 b - -,h5h4
3rk3/4np2/Rp1r2p1/1P2p2p/2R4P/4PBP1/5P2/6K1 b - -,d8c8
r5k1/q4pbp/3p2p1/4p3/pPPpP3/3P2PP/3Q1PB1/4R1K1 w - -,e1a1
3k4/3P1pp1/8/pp2bPp1/2pqP3/P6P/1P2Q1B1/1K6 w - -,e2c2
r2qkr2/1Rpb1p2/p3pb2/3p2pB/2P5/4PNPP/P5P1/3Q1RK1 b q -,d7c6
2r1r1k1/pb1n1p2/1p2pbpB/2p5/2PP4/2PBQ3/P4P2/2K3R1 w - c6,e3g3
r4r2/2p2pbk/np4pp/3Pp3/1PP1P1n1/2N2N1q/2BBQ3/1R3RK1 b - -,g7f6
5k2/1pp4p/2np4/p7/P3P3/2P5/1P1NB3/7K w - -,h1g2
2r2rk1/5ppp/p2p4/1p2nP2/7q/8/PPPQB1R1/1K1R4 b - -,h4f6
2k1r3/ppn3b1/2p5/3p1p1p/3P1PpP/PN4P1/KPP3R1/4rBR1 b - -,c7b5
k2q4/pn1r2pp/5p1r/8/4Q1P1/5N2/P4PP1/1RR3K1 w - -,a2a4
3r2k1/p3pp1p/2prq1p1/2p4n/2P1P2P/1P3PP1/P1Q1N1K1/3RR3 b - -,e6d7
r1b1nrk1/1pq3b1/2pp2pp/p1nPpp2/2P1P2B/PPN5/3NBPPP/1R1Q1RK1 w - f6,f2f3
r3k2r/1b2qpp1/p1p2n2/1pb1pPB1/P3P3/1N1B2Pp/1PP1Q2P/R4R1K b kq -,c5b6
1r3k2/p4p2/6r1/2pP3b/2p1P2R/2P5/P4R1P/2K5 w - -,h4h5
2rq1k1r/p4ppp/1p2bn2/3pN1B1/2pP1Q2/P3P3/1P3PPP/2R1K2R b K -,h7h6
4r3/3q1pk1/p1rP1np1/1p4Np/1PpQ3P/5PP1/P1P5/1K1R3R b - -,d7f5
2r2rk1/B1bR1p1p/1p6/6p1/P3R3/7P/1PP2P2/2K5 b - a3,c7f4
r1bqk2r/p1p2pbp/1p2p1p1/3nN3/Q7/6P1/PP1PPPBP/1RB2RK1 b kq -,c8d7
5k2/1p3p1p/p7/R7/8/P3R3/4KP2/2q5 b - -,c1c4
3r4/8/1p2kpp1/p3p3/P2b2Pp/1P5P/3BK3/5R2 w - -,f1c1
8/5r2/pp1p1rkb/2pP1p2/8/3N1R2/PP4PP/5RK1 w - -,f1e1
8/6kp/1p1p2p1/p2Pp3/P3P3/4qP1P/1P2Q1R1/2r4K w - -,h1h2
1r1q2k1/1pnn1p1p/p5p1/2pPp3/P1P4b/2N5/1P1QBPP1/2R2RK1 w - -,c3e4
r7/3k4/1pp3p1/3pBn1p/p2P3P/P1P2PP1/1P3K2/3R4 w - -,d1h1
8/8/6Np/7r/5k2/5P1P/4K3/8 b - -,f4g3
r7/4P1R1/8/8/8/4K3/6p1/6k1 b - -,a8a3
rnbq1rk1/p1p2pp1/1p1bpn1p/3p4/2PP4/2N2NP1/PPQBPPBP/R4RK1 b - -,c8b7
r3k2r/1p1nqppp/p3p3/8/1bP5/1PN2N2/P3QPPP/3R1RK1 w kq -,c3e4
2r5/1kr2p1p/p2p1p2/q2P1P2/n5P1/1P3R2/2PQ3P/R1K5 b - -,c7c2
3k4/5p2/1p2qp2/pB1p4/3n4/PPN2bP1/2P4Q/2K5 w - -,h2h8
3r1rk1/p4ppp/1p2p3/2b1N3/2P5/1P4P1/PBb2PP1/2R2RK1 b - -,c2e4
6k1/pp3p1p/3Qp3/2p1b1p1/2B1P3/2P3PP/PP3P2/7K b - -,e5d6
2rn4/p3R1rk/6p1/1N3p1p/8/8/PP3P1P/4R1K1 w - -,e7e8
r1bqkb1r/3pnppp/p1n1p3/1p6/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQkq b6,a2a3
r1bq1rk1/p5pp/2pb4/n2Npp2/8/3B1N2/PPPP1PPP/R1BQ1RK1 b - -,c6d5
3r4/p3kp2/1p1pb3/2p1n3/2P4R/1KP1N3/P2RBr2/8 w - -,h4h1
8/8/3p1p1k/1BpP2pP/1p2PnP1/1P2RK2/7R/r6r w - -,h2h1
2r2k2/2q1bpp1/7r/1p2pP2/p2pN2p/P2Bn2P/KPPN1Q2/3R4 w - -,d1g1
r2qr1k1/pp1n1ppp/2pbpn2/3p3b/2P5/1P1P1NPP/PB1NPPB1/2RQ1RK1 b - -,a7a5
1k2q3/8/1p1n1pb1/2p1p2p/P2bP3/1PB2BP1/2Q2PK1/7R w - -,a4a5
7b/3r1k1p/2pP2pP/2p1pP2/2P1P3/3RN3/nrN1KP2/3R4 b - -,g6f5
3k4/1P4p1/3PBpP1/K4P1p/7P/pP2p3/P7/8 b - -,e3e2
4r2k/7p/5R1q/1PpB1p2/2P5/3P4/4n2P/3Q1R1K b - -,h6f6
8/1k6/p2p2p1/1n1Pp3/8/4r3/R6p/2R4K b - -,e3c3
rn2k2r/ppqbnpp1/4p2p/2ppP2P/3P4/P1PB4/2P2PP1/1RBQK1NR b Kkq -,d7a4
1rb1r1k1/2q2pbp/pp1p2p1/2nPn3/PQ2P3/2N2PN1/3BB1PP/1R1R2K1 w - -,d2f4
3r2k1/p3n2r/1p1p4/6PQ/P2B3R/7P/1Pq5/7K w - -,h5g4
r1bq1rk1/ppb2ppp/5n2/2pp4/8/2PBP2P/PP1NQPP1/R1BR2K1 b - -,f8e8
7k/1p4p1/6np/8/8/8/5qPP/3Q1B1K w - -,f1c4
5rk1/1p1nq1pp/2P5/2Pp4/3Pp1b1/2N1P3/3N2PP/Q4RK1 b - -,b7c6
r3rnk1/1p2qp1p/p1pp2pQ/5b2/2P1n3/P3P2P/1PBBN1P1/2KR1R2 w - -,d2e1
8/6p1/3kpb2/PK1p1p2/5N2/1R5P/r7/8 w - -,a5a6
6rk/pp4r1/2pPq2p/8/5R2/1P5P/PQR3P1/6K1 b - -,e6d6
r1bqkb1r/pppnp2p/3p1np1/5pB1/2PP4/2N5/PPQ1PPPP/R3KBNR w KQkq -,g1f3:h2h4:e2e4:e2e3
2krr3/2pp1p2/1n5p/p1p1P1p1/2P1b3/1PN2P2/P1K1R1PP/4R3 w - -,e2e4
3r4/p7/2p2kpp/1p3p2/1P1n1P1P/P5P1/B4K2/4R3 b - -,d8d7
r3kb1r/pp1n2p1/1qp1pP2/3n1bBp/2BP3P/2N5/PP1QNPP1/R4RK1 b kq -,g7f6
8/8/2p1k3/2b2p1p/1PP2P2/p4KP1/P7/8 w - -,b4c5
5R2/8/8/p1kb3B/Pp3p1P/1P2r3/3K4/8 b - -,e3b3
2k2r1r/pp2nppp/2nbp3/1B4N1/8/2P1B3/P4PPP/1R3RK1 b - -,a7a6
r7/r1p1nkpp/1pp1bp2/P7/1P3B2/2P5/4BPPP/R3R1K1 w - -,e2f1
rn2k2r/pb1qbpp1/1p2p3/2pn3p/6Q1/2NP1NP1/PP2PPBP/R1B2RK1 w kq h6,g4h3
2k5/1pp3r1/p1p2p2/7p/4Pp2/2P2P1P/PP2KP2/3R4 w - -,h3h4
3r4/5pkp/R3p1p1/P7/1p3Q2/6PK/1P5P/3q4 b - -,d1h5
7k/8/7B/1R1bP3/1Pn3Bp/8/1r6/6K1 b - -,c4e5
4r1k1/1p3pn1/2pr4/p3n1B1/Pb2P3/1B4N1/1P3PK1/R4R2 w - -,a1d1
3rb2k/5p1p/4p1p1/8/p3P3/3NKP2/BPP3PP/8 b - -,h8g7
r1br2k1/1p2bpp1/p3p2p/q3P3/2B4P/P1R2N2/1P2QPP1/5RK1 w - -,e2e4
2r2rk1/3nbpp1/1q2pnbp/pp1p4/3B2P1/PP1P1N1P/3NPPB1/1QR2RK1 b - -,b6d6
4n3/p5p1/8/1p6/6k1/1PP1K3/P6P/2B5 b - -,g4f5
r1b2rk1/ppp1qpp1/2n1pn1p/3p4/2PP4/2NBPN2/PP3PPP/2RQ1RK1 b - -,d5c4
2r5/3rkpp1/1R2p2p/2P5/7P/6P1/5P2/2R3K1 b - -,c8c7
r1bqr1k1/1p4bp/5pp1/2p5/pn1pP3/PP1P1N2/1BPQ1PP1/2K1RB1R b - -,b4a2
5r1k/6b1/2Qp3p/4n1p1/2P1Np2/3P1P2/3BP1K1/5R2 b - -,e5c6
3r2k1/5p1p/p1p3p1/2P1n3/1Pp1P3/6P1/P2rP1BP/R3R1K1 w - -,a2a3
r1bq1rk1/p1p1ppbp/2pn2p1/8/3P4/1B6/PPP1NPPP/R1BQ1RK1 b - -,c8a6
r3qrk1/1p2p1bp/n2pPnp1/p1p2p2/N1P5/1P4P1/P3PPBP/1RBQ1RK1 b - -,a8b8
6Qk/6q1/1pBP1r2/7p/1PP5/5p2/5P1K/4R3 b - -,g7g8
2r2rk1/1b2pp2/3p1qpp/8/4PP2/2N5/PP1R3P/4KQR1 w - -,f4f5
5rk1/4pp1p/p2p2p1/2rP4/2P2P2/2b4P/4B1P1/1R3R1K w - -,f1f3
r4rk1/pp1bbppp/1qn1pn2/3p4/3P4/PP1B1N2/1BPNQPPP/R4RK1 b - -,f8c8
2r2rk1/pb2npb1/1q2p1p1/1p5p/3pPP2/P4RN1/BPP1Q1PP/R1B4K w - h6,f3b3
rnbq1rk1/pp3ppp/4pn2/b1Pp4/3P4/P1N5/1P2NPPP/R1BQKB1R w KQ -,c1g5
r2q1rk1/4p1b1/p2p2pp/1bpP1p1n/1pB2P1P/3QP1P1/PPP2N2/2KNR2R b - -,d8d7
