4R3/8/5p2/5k2/r7/7P/5KP1/8 b - -,f5g5
rnbq1rk1/ppp2pb1/3p1npp/4p3/2PPP2B/2NB4/PP2NPPP/R2QK2R b KQ -,c7c6
1r2r1k1/1pp1qpp1/3p1n1p/p1b5/2P3b1/1PN1P1P1/PBQ2PBP/2R2RK1 b - -,g4d7
r1bq1rk1/1pp2pp1/p2p1n1p/4pP2/2P1P3/P1N1bN2/1PP1Q1PP/R3K2R w KQ -,e2e3
8/2kr4/p3p3/Pp2Ppp1/1PpP2p1/2P1K1Pr/6RP/5R2 b - -,c7c6
r3bk2/1p6/2p1pq2/p2pN2p/3P4/4P2Q/PPP2PR1/1K6 w - -,h3g3
1r6/4qpk1/2p1p2p/2PpP1p1/3P4/4P2P/6P1/R4QK1 w - -,a1a6
2brr1k1/ppq2p1p/2n5/3p2p1/3P2n1/PQ1BP1N1/3B1PPP/1RR3K1 b - -,h7h5
8/k1p5/r7/4b3/2R5/8/4K3/8 w - -,e2d3
1R2n3/2rb4/2p3pk/p1Pp4/P2PpP2/4P2p/7K/4B3 b - -,h6g7
r7/1pk1p3/4B3/2p4p/5P2/3K2P1/Pb5P/3R4 w - -,h2h3
8/8/4p1p1/1nk4p/p4P2/3PK1P1/2N4P/8 w - -,e3e4
8/pp1R4/2p2k2/5pp1/2np1K2/8/P2R4/8 w - -,f4g3
2r5/1p3pk1/p2q2pn/3NRp1p/P1P2P2/1P4PP/3Q4/6K1 b - -,h5h4
r4rk1/1p3pp1/p1n1b2p/2Pp1p2/1P1P3q/P4B2/4NPPP/R2Q1RK1 w - -,g2g3
r2r2k1/1bq1bppp/ppn1pn2/3P4/P4P2/1NN1BB2/1PPQ2PP/R4RK1 b - -,c6b4
RR6/4kn1r/2pp2p1/4p3/3pP3/3P2P1/1rP3BP/6K1 b - -,b2c2
r1bnk2r/1p2np1p/pq1p1bp1/2p1p1N1/4P3/P1PP2N1/BP3PPP/R1BQ1RK1 w kq -,d1f3
6kr/p5b1/5ppp/8/1p3BP1/1Pqb1Q2/P1R3BP/1K2R3 w - -,e1e2
5k2/3R1p2/6pp/8/6PP/5B2/5K2/4r3 b - -,e1e7
r3r1k1/bp3ppp/p4q2/3p4/1PnN2n1/P1N1P3/5PPP/R1BQ1RK1 b - -,a7d4
6r1/3kbp2/1pp1pp2/1p1r3p/3P4/P1P2NP1/1PK1RP2/3R4 b - -,e7d6
4r1k1/2q2p2/5bp1/1p2p3/1pNpP1B1/3P2Q1/1P4PP/R5K1 w - b6,c4d2
r3k2r/pp1qpbb1/2p4p/Pn1n2p1/1P2Np2/3P1NP1/3BPPBP/1RQ1R1K1 b kq -,e7e5
r3rbk1/1pqn1pp1/2p1bn1p/p3pN2/2P1PP2/1P4PP/PBQN2B1/R3R1K1 b - f3,f8c5
rnb1r1k1/1pq1ppbp/p5p1/8/3N4/BQP3P1/P3PPBP/R4RK1 w - -,f1d1
r4bk1/5p1p/1n2p1p1/pq1pP3/1p1P1PP1/1P1N4/P2QN2P/2r2RK1 w - -,f1c1
r1b1k2r/p3nppp/1qn1p3/3pP3/3P4/P4N2/5PPP/R1BQKB1R w KQkq -,f1d3
3r4/8/p1k5/5n1R/8/1P3P2/P4K2/8 b - -,d8d2
2rq1rk1/pp1nb1pp/2p1p3/2Pp1pP1/1P1Pn2P/3BPN2/P1Q2P2/R1B1K1R1 b Q -,d8e8
1rb1r3/p1nq1pbk/3p1npp/2pP4/2B2B2/2N2N1P/PP1Q1PP1/1R2R1K1 w - -,f4h2
k4r1r/pp2bp1P/4p3/3pP1p1/q1nP2N1/P1PQ2B1/5P1P/R3R1K1 w - -,g4f6
1k3r1r/1pp4p/p2q1pn1/4n1pQ/3pP1N1/3P2PP/PPP2RK1/3B1R2 b - -,e5g4
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq h3,h7h6
r4rk1/1pqn1ppp/4p3/3p4/p2P2Q1/P3R2P/BPP2PP1/1K1R4 w - -,h3h4
8/1p2Bpk1/p2p2p1/3N1P2/2P5/1P1p3n/1Pr5/R4K2 b - -,c2f2
5rk1/6p1/p3q2p/3b3Q/1pp5/5P2/PPB1r1PP/2R2R1K w - -,h5h4
1qr2rk1/3b1pp1/p1n1p2p/1p2P3/1bnPBB1P/2N2NP1/PP2QP2/2R1R1K1 w - -,e4b1
1bq2rk1/5p2/6P1/np1Q3p/4R1P1/2P4K/BP6/3R4 b - -,c8c7
7r/4bppp/rnR1k3/p3p3/4p3/4B3/PP3PPP/3R2K1 b - -,e6f5
r4n1k/4R3/2p3p1/pp1b2N1/4B1P1/5P2/PPP5/2K5 b - -,a8d8
r2q1rk1/1ppnbppp/1n1p4/p7/P3PBb1/1BNQ1N2/1PP2PPP/R4RK1 w - -,f4e3
rnbq1rk1/ppp1ppb1/3p1npp/8/3PP2B/2P2N2/PP1N1PPP/R2QKB1R b KQ -,c7c5:g6g5:f6h5:d8e8
8/8/5p2/1pk1p2p/p6p/P1K2PP1/4b3/4N3 w - -,g3h4
2r1bk2/3n1ppp/R1N1p3/8/2PB1P2/4P3/6PP/6K1 b - -,f7f6
1r4k1/4qrb1/1Q1p4/p1p1p1p1/P1P1P1b1/3P1pP1/3N1P2/1R4KB w - -,b6b8
r1b1kbr1/8/p1q3pp/3n1p2/p1p1pPP1/N1P1B3/PP3NP1/R2QR1K1 w q -,a3c2
1k1r3r/pp4pp/3bpp2/8/1Pn5/P1P1BBPP/5P2/R3R1K1 w - -,g1g2
rn1qk1nr/1b1pbppp/p3p3/1p6/4P3/1NNBB3/PPP2PPP/R2Q1RK1 b kq -,d7d6
4rr2/1b2q1k1/pQ4p1/1p1pPp1p/2pP4/4P1PP/PP3RB1/5RK1 b - -,f8f7
3r4/3b2k1/1p1p1pp1/p1n1p3/PnP1P1P1/1PN1P1K1/3N4/1B5R w - -,h1h2
r4rk1/N2b1ppp/P2p4/3qp1b1/5n2/4BP2/PP1Q3P/1KR2B1R w - -,d2d5
1Q6/2r3k1/3q1p1p/3P3P/4bP2/4p1P1/P3B2K/4R3 w - -,e1d1
r2q1rk1/1p2bpp1/2npb2p/2nNp3/p1P1P3/3BBP2/PP1Q2PP/R1N2RK1 b - -,e7g5
8/6p1/3k2B1/3p1pp1/5P2/4K1P1/7n/8 b - -,d6e6
2r2rk1/p3qpp1/1p2p2p/n1pp4/3PnP2/2P1PR1N/1P1NQ1PP/R5K1 w - -,d2e4
8/7R/2k5/Pp6/3B4/4K3/r7/8 b - -,a2a5
8/2b5/3npkpp/1p1p4/1P1P1PP1/2BN1K1P/8/8 w - -,d3c5
rn1qk2r/pp1b1p2/4p1pp/2ppP3/3P2QP/2PB1N2/P1PK1PP1/R6R b kq h3,d8e7:d7c6
r1bqkb1r/1p3ppp/p3pn2/2p1N3/3P4/2N2Q2/PPP2PPP/R1B1K2R w KQkq -,d4c5
6k1/1b1pQ2p/8/2pP2p1/R5n1/8/3KPrB1/1R4q1 b - -,g1b1
3rr1k1/1p3ppp/2p1b3/8/3n1Nq1/2QB2P1/3PPPK1/4RR2 b - -,e6d5
r1br2k1/pp3pbp/1qnpp1p1/2p5/4P3/3PB1P1/PPP1QPBP/1R1N1R1K w - -,f2f4
5k2/p4rp1/1pp2p2/4pP2/4Pn2/3q1BQ1/P2r1N1P/6RK b - -,d3c3
rq3rk1/pp2bppb/2p1pn1p/7P/N1PP4/PB2Q1N1/1P3PP1/3RR1K1 b - c3,e7d6
r1b2rk1/p3bppp/2n1p3/q1P1P3/1p1P4/1P3N2/P3NPPP/R2QKB1R b KQ -,f8d8
8/8/pp2kp1p/8/P4P1N/3K2nP/8/8 b - -,b6b5
8/2p2pk1/5r2/2p3p1/6P1/4P3/5P2/2R2K2 b - -,f6c6
5r2/1p4pk/p1b1pbqp/4p3/4N3/1PP2N2/1PQ3PP/4R1K1 w - -,h2h3
7k/2Nq4/1p1pN3/3Pp3/2r1PnpQ/8/6PP/5R1K b - -,d7h7
4r1k1/3R4/4pPK1/8/4N3/8/8/b7 b - -,g8f8
2r3k1/p1r2pp1/3qpb1p/1p2N3/3PQ3/4P1P1/PP3PP1/2R2RK1 w - -,e5d3
8/p3r1k1/1p3bpp/1Pp2p2/2P1r2P/P1PR2P1/3B1R2/5K2 w - -,f2f4
4rr1k/ppbq1pp1/5n1p/2p2P2/1nPpP2Q/1P1P1N2/PB4NP/R4RK1 w - -,f3e1
r7/p1p2pkp/1rN3p1/8/1P3P2/2R2P1b/1PP4P/3R2K1 b - -,a7a5
8/5pkp/2p5/1p2n1N1/8/RP5P/4r1P1/7K w - -,h1g1
r2q1rk1/4bppp/p1p1pn2/2p5/3pPP2/1P1P1R1Q/PBPN2PP/R5K1 b - -,f6d7
8/1R3p1p/5kp1/8/P7/r7/5P2/5K2 w - -,b7b4
3r2k1/1pr3b1/1p1p3p/p2Pp1p1/2P5/B3N2P/P3nPPK/1R3R2 b - -,e2c3
1rb5/2kqQp1p/p2p1P1b/3P1R2/1pP5/1P6/P6P/4R1K1 w - -,f5h5
3q4/pp1n1pbk/3pr1pp/2B1P3/r7/3Q2NP/P4PP1/3RR1K1 w - -,c5d6
1r2nbk1/3b3p/1r1q1pp1/2pPp3/p1P1P3/Q3B3/1R2BPPP/1R2N1K1 w - -,b2b6
r1br2k1/1pp1qppp/8/p1b1p3/3B4/P2P1NP1/1PQ1PPBP/R4RK1 b - -,e5d4
2rq1rk1/1b2bppp/p3pn2/1p2N1B1/2nP4/P1N5/1PQ2PPP/1BR1R1K1 b - -,g7g6
r1bqkb1r/pp1n2pp/2p1pp2/1B1pP3/1n1P4/5N2/PPPN1PPP/R1BQK2R w KQkq -,b5e2
