r7/2Rb1p1p/3Pk1p1/P7/8/8/3R3P/6K1 w - -,c7b7
2brr1k1/6pp/nq2P3/pp2Pp1P/2p2N2/P5P1/1PQ2PB1/3RR1K1 b - -,c8e6
1k3r2/1p6/pB4p1/P7/2pRp1PP/2P1p2K/2P1Bq2/8 w - -,e2d1
1k5b/1bq2p2/p2p2p1/Pp6/2p1PP2/2P1QNP1/1P3KB1/8 w - -,e4e5
2r5/4pk1p/p1r2pp1/R3p3/4P2P/1P3P2/P2R1KP1/8 b - -,c6b6
4rbk1/8/pR6/6N1/PPP2ppK/4n3/7P/B7 b - -,f8d6
1r3k2/1r3pp1/2n1p2p/1NPp4/P7/8/5PPP/1RR3K1 w - -,g1f1
8/8/2r2k2/6R1/4K2p/7P/6P1/8 w - -,g5g4
6k1/5pp1/P2p2np/1p1P4/7q/6b1/3Q3P/3R3K b - -,g3f2
r1b2rk1/pp1n1qp1/2pbp2p/3p4/2PP1n2/PP3NN1/1BQ1BPPP/R4RK1 w - -,e2d1
rn1q1r2/pb3pkp/1p2p1p1/2p5/2BPP3/2P2P2/P2Q2PP/R3K1NR w KQ c6,g1e2
2r3k1/pp2b1p1/4p2p/1P1b3n/P2B2qP/2PQ1Pp1/2BN4/3R2K1 b - -,g4h3
rnb2rk1/1pqp1ppp/p3pn2/2b5/2P1PB2/2NB4/PP2NPPP/R2Q1RK1 b - -,d7d6
3r1rk1/Bp2qppp/4n3/2p5/Pb2P3/5PP1/1PQ1B1KP/3R3R w - -,a7b6
r4rk1/5pbp/1nnqp1p1/1p1p4/p2P4/P2NPNP1/1P1B1P1P/2RQRK2 w - -,c1c5
rqn2rk1/pp2ppbp/5np1/3P4/P7/1QN2B1P/1P3PP1/R1BR2K1 w - -,a4a5
r6r/1p2bpk1/2p1n1p1/3pPq2/p2P1p2/P4QP1/7P/R1BR1NK1 w - -,g3f4
r3k2r/1p1bqp2/p2p2n1/2pPp1pp/2P1P3/2N3P1/PP1QBP1P/2KR3R w kq -,d1f1
r1bq1rk1/pppnppb1/5n1p/5P2/3Pp3/1BN5/PPP1NB1P/R2QK2R b KQ -,d7b6
4rk1b/1b1q3p/p2p2pn/2pP1p2/PpP1nPP1/1P1B3P/4RB1Q/3NR1K1 w - -,h2g2
8/1pk1pp1p/1p1r4/6P1/1R5p/1PK1P3/5P2/8 b - -,h7h6
b5k1/2n2p1p/p2p1Ppb/2pP1q2/P7/1rN2N1P/1P1QRPP1/6K1 w - -,d2h6
6k1/3Q1p2/1p2r2p/3Np1q1/3nPp2/P4P2/1P4PP/5R1K b - -,g8g7
r1bqrbk1/pp1n1pp1/2pp1n1p/3Pp3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 w - -,h2h3
r1k3r1/p1p1b1Bp/1p1q1p2/3pnP1N/7Q/2P5/PP4PP/4RR1K b - -,d6c6
r2r2k1/2q1bppp/b2pp3/pB2n3/P3P3/2P1BPNP/3Q1P2/1RR3K1 w - -,d2e2
r2k3r/1p4pp/2pn1p2/p1n1p2b/2P1P3/PPN2N1P/4BPP1/1R1R2K1 b - -,d8e7
3Rr1k1/2q1rppp/2p5/1pP1P3/3QPP2/6P1/7P/3R2K1 b - -,h7h6
rn2k2r/ppq2ppp/2pbp3/4Nb2/3P1P2/2N3P1/PPPQ3P/R3KB1R b KQkq -,b8d7
4r1k1/8/3p4/3P3p/1RP1P2P/1P3Rp1/r5P1/6K1 b - -,a2a1
8/5pk1/r1p1p3/NpP1KnPr/1P1P1R1P/P6R/8/8 b - -,h5h8
rnb1kb1r/ppp2ppp/8/3pP3/4n2q/2NP2P1/PPP4P/R1BQKBNR b KQkq -,e4g3
r2qk2r/3bbpp1/p1nppn2/1p5p/3NP3/2N1BP2/PPPQ2PP/1K1R1B1R w kq b6,d4c6
2b2rk1/prpn1p1p/2p3pQ/4P3/2p1PP2/2N1q1PP/P5B1/R2R3K w - -,a1c1
5rk1/pp3pp1/2p2q2/3n4/8/2P3QP/P4PP1/R2R2K1 w - -,d1d4
1B6/7P/8/P1p2nk1/5p2/2b2B2/2P3K1/8 b - -,f5h4
2r3k1/p7/1p2p1pp/3pP3/1RrB1P2/P1P3P1/4RKP1/3b4 w - -,e2d2
1rr3k1/3qppbp/p2pbnp1/1p6/2PQ4/1P2N1P1/PB2PPBP/1R2R1K1 w - b6,c4b5
2r1n3/1b2kp2/3p1p2/p3p1P1/1q1BP3/8/1PP2QB1/1K2R3 w - -,g5f6
n4rk1/5ppp/8/R1bpp3/4P3/1P3NP1/2P2P1P/5BK1 b - -,f8c8
1R6/5k2/1P4p1/6K1/1r6/8/6b1/8 b - -,g2c6
r2q1rk1/1p2bppp/n2pbn2/p3p3/P3P1P1/1NN1BQ1P/1PP2P2/2KR1B1R b - -,a8c8
2N1r3/1p3p2/1p4pk/8/P1RPP2b/8/1P4K1/8 w - -,c8d6
1Rn5/5ppk/7p/8/P7/6P1/1B2rPKP/8 b - a3,c8d6
r2q1rk1/pp2ppbp/2np1np1/8/2BPP1b1/5N2/PP1NQPPP/R1B2RK1 w - -,e2d3
r1b1r1k1/ppnp1pbp/3N2p1/2B1P3/2B5/5N2/PPn2PPP/R3R1K1 b - -,c2e1
8/R2n4/4k3/3r2p1/8/5N1P/6PK/8 b - -,e6f6
r1b2rk1/1pq1ppbp/n1pp2p1/p5Bn/P2PP3/2N2N1P/1PPQBPP1/R4RK1 b - -,a6b4
r1q2rkn/p5pn/1p1p1p1p/2pPpP2/2P1P1b1/2P1B1P1/P1BQ2KP/R3R1N1 w - -,c2d1
5k2/1pR3p1/5p2/5r1P/3Pp3/4P3/5PKP/8 b - -,f5g5
rn1qkb1r/pp2ppp1/2p2n1p/5b2/2QP4/5NP1/PP2PP1P/RNB1KB1R w KQkq -,f1g2
rrb4k/p1nnq2p/1p1p1p2/2pPpPp1/P1P1P3/1PN3P1/R4N1P/R2Q1BK1 w - -,a4a5
3b2k1/p4p2/5p2/1pn1p3/6PP/2P1B3/PPB5/1K6 b - -,d8b6
7k/3R2p1/3p1p1p/3P3P/p3P1P1/P1r5/5K2/8 b - -,c3a3
2N1k3/1R1n1p1p/r1pBp3/b7/2r5/6P1/P3PPBP/5RK1 w - -,f1d1
rnbq1rk1/ppp3b1/3p1n1p/4ppp1/1PP5/2NP2P1/P2NPPBP/1RBQ1RK1 b - -,f5f4
r1r2k2/pp1q1p1p/4pnp1/3p4/3P4/1P1QPBP1/P1R2P1P/2R3K1 b - -,h7h5
8/p5p1/4kn2/2P2p1p/P1NK4/5P2/8/8 w - -,c4e3
r3r1k1/3nbpp1/bqp1pn1p/pp6/3PP3/2NB1NBP/PP3PP1/2RQR1K1 w - -,d1e2
8/p1p2kp1/1p1p1p1p/3P3P/r1PR2K1/4r1P1/P5R1/8 w - -,g2c2
8/8/2p3pp/2P1kp2/1P2p2P/1P4P1/4KP2/8 w - -,e2e3
r1b2rk1/1p3ppp/1p6/3N4/8/P7/1b2NPPP/R4RK1 w - -,a1a2
r1bqk1nr/pp1pppbp/6p1/2p5/2BnP3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e1g1:f3d4
2r3k1/pp1Pn1b1/4Nr1p/4pp2/1p2P1n1/6Pb/P2BB1NP/R4RK1 b - -,c8b8
3qr1k1/1b3p2/pn1p2p1/2pP2Pp/1rBbPP2/1PN3BP/2R3Q1/4R2K w - -,c3e2
r2q1rk1/pb3ppp/1pn1pn2/1B6/3P4/BQP2N2/P4PPP/R4RK1 b - -,f8e8
8/1r3p2/5k2/2Bp2pp/3P4/1p2P3/3K1PPP/R7 w - -,d2c3
r3n3/p3n1kr/1p2q1p1/2p1N2p/1PPpP3/P2P2P1/4Q1NP/R4R1K w - -,e5f3
3B4/1b6/1P2kpp1/7p/6PP/4KP2/8/8 w - -,g4h5
r1b3k1/p3p1b1/n1pr2p1/5pN1/1PP1p2N/3nB3/P1B3PP/R4RK1 w - -,c4c5
7r/2kr4/Q4b1p/2p1p1p1/3qB3/P5B1/5PPP/5RK1 w - -,a6c6
8/7R/8/5r2/2P5/4K1p1/6k1/8 b - -,f5g5
r5k1/pp2brq1/3p1n2/4pb1p/1PP4R/P1N1BBP1/4QPK1/7R w - h6,f3b7
2r5/5p1k/1n3npp/p2P4/Bp1p1B2/7P/PP3PP1/4R1K1 w - -,a4d1
2r1r1k1/1N4bp/Qp2q1p1/5p2/1P2p3/6P1/P4PBP/2BR2K1 b - -,e6c6
4r2k/1p2q2p/6p1/3nr3/P2N1R2/2p3PP/1Q2P1K1/R7 w - -,b2b3
8/Q4nkp/1pp3p1/2p2b2/4N3/1P1P1N1P/P1P3P1/2q4K w - -,h1h2
r1b2k2/1p2Rp1p/p2p2p1/3P4/6P1/1P5P/P4PB1/6K1 w - -,e7c7
7k/pp2Rq1b/7Q/5p2/1P1p1N2/P2P4/2r2KPP/8 w - -,f2f3
2rr2k1/pp2qpp1/2n2b1p/2Np4/3Pb3/2R1BB1P/PP1Q1PP1/3R2K1 w - -,f3g4
rnbq1rk1/pp3ppp/2pbpn2/3p4/2PP4/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,b8d7
2krr3/ppp2ppp/1nn1b3/8/1bP5/1PN2N2/P2BBPPP/R3K2R b KQ -,e6c4
2r3k1/1p3pp1/1q5p/p2pPb1P/3P1P2/Pn1QB3/6P1/5RK1 w - -,d3f5
2r2rk1/1b2bpp1/pqp1p2p/4N3/Pp1PQB2/4P3/1P3PPP/2RR2K1 b - -,f8d8
