8/6RP/8/5kPr/8/6K1/8/8 w - -,g5g6
rn1q1rk1/pb1pppbp/1p3np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,e2e3:d2d4:d2d3:b1c3
5q1k/p5p1/1p6/n1p3pP/4QP2/2P3P1/P5K1/3R4 w - -,f4g5
1b3rk1/pp3p2/7Q/3n4/8/P5PP/1Pq2P2/4R1K1 w - -,h6g5
2r3k1/1p3pp1/2n1p2p/8/1p1PB3/6P1/1n1N1P1P/5RK1 w - -,f1b1
rnbqkbnr/pp3ppp/4p3/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,b8c6
r1b2rk1/pp2b1pp/2nqp3/3n1p2/3N4/5NP1/PPP1QPBP/R1B2RK1 b - -,e7f6
6k1/8/p1b1pPqp/2p3p1/1Ppn2P1/4Q3/P6P/2B3K1 b - b3,g6c2
8/3b4/p4N2/8/7k/1P2K1p1/P7/8 w - -,f6d7
8/5n2/8/4kp1P/7K/6P1/4N3/8 b - -,e5f6
2rb3k/1pr2p1p/p2p2p1/P1nPp3/2N1Pq2/2RB4/1PQ2PPP/5RK1 b - -,c5d3
8/2rbkp2/2n1p3/p2pP1NB/Pp3P2/1P1R4/1KP5/8 b - -,f7f6
rn1qkb1r/pp3ppp/2p1pnb1/3p4/4P3/3P1NP1/PPPNQPBP/R1B1K2R b KQkq -,f8e7
r2qkbnr/ppp2ppp/2np4/4p3/2B1PPb1/5N2/PPPP2PP/RNBQK2R w KQkq -,b1c3
r2q2k1/ppb2pp1/2p1bn1p/2Pp4/3P4/2PB1N1P/P1QB1PP1/4R1K1 w - -,f3e5
5k2/3r4/1P3p1p/N5p1/3pP3/7P/2K2PP1/8 b - -,d7d8
R2B3r/4kp2/4p3/2pr4/1p6/1P1PR2p/1PP2P2/6K1 b - -,d5d8
2r3k1/1b3pp1/p6p/3N4/4PP2/nP6/P1P1R1PP/6K1 b - -,c8c2
1Q4k1/8/2p3q1/2P3p1/p2pb3/8/6PP/5R1K b - -,g8h7
6k1/8/1K1R4/2B5/4qp2/8/8/R7 b - -,e4c4
r2qkb1r/3b1ppp/p1Nppn2/1p4B1/4P3/2NQ4/PPP1BPPP/2KR3R b kq -,d7c6
8/8/p1pr4/P1R2k2/1P3P2/4K3/8/8 b - -,f5f6
6k1/1p2npp1/p6p/3p4/3N1Pb1/1P1RK3/P3BQ1P/2r3q1 w - -,e2g4
2Q2b1r/pR2pp1p/q2k2p1/1n1P4/3n4/8/P2B1PPP/3K3R b - -,a6a4
r3r1k1/pp1n1ppp/2p1qn2/3p1N2/3P4/2NQP3/PP3PPP/R4RK1 w - -,a1e1
1r4k1/1p1n1p2/6p1/1N1Pq2p/4P2P/4Q1P1/6B1/6K1 b - -,d7f6
r4rk1/1p2bppp/1q2pn2/p1p1N3/P1BP4/2R1P3/1P2QPPP/3R2K1 w - -,c4b5
3Q4/p1r2kp1/2P2p1p/4q3/4R3/6P1/P4PPK/8 b - -,e5e4
rn1q1rk1/pb1pbppp/1p2pn2/8/2PN4/2N1PB2/PP3PPP/R1BQ1RK1 b - -,d8c8
2k4r/4r2p/p1p1pR2/2bp2pB/4P3/8/P1P3PP/1R5K w - -,h5e2
8/7p/6p1/2n2p2/1Nn1p2k/4P2P/P4KP1/4N3 b - -,c4b2
r1bq1rk1/4npbp/p1pnp1p1/1pN5/3PPB2/5NP1/PPQ2PBP/R2R2K1 w - -,a2a4
r2rb1k1/1p2q1bp/2pp1pp1/p1n5/2P1PN2/1PN1BP2/P2Q2PP/3RR1K1 b - -,e8f7
rn3rk1/p3q1pp/1p6/2p1Pp2/5P2/4B1P1/PPQ4P/R2R2K1 b - -,b8c6
3r4/5rk1/pQ5p/3pP1p1/P2P2P1/5PK1/7P/8 b - -,d8f8
r5k1/1p3p1p/1qpQn1p1/8/3p3P/P2P1BP1/4PPK1/4R3 b - -,a8a5
1r4k1/2Rn1pp1/3q1nbp/1B1p4/r2N4/4PN1P/5PP1/2Q2RK1 b - -,a4a8
2r5/pp4p1/b2p4/3P4/4P2k/2B1R3/PP6/4Kn2 w - -,e3f3
1r3rk1/p4ppp/b3pn2/2q5/8/P1N1PBP1/1PQ2P1P/2KR3R b - -,a6c4
1r1qr1k1/3nppbp/2Bp2p1/p2N2B1/Q1P1P1b1/P5P1/1P3P1P/1R2R1K1 w - -,g5d2
rq2kb1r/3n1ppp/2p1p3/p1PpP3/1P1Qb3/5N2/P1P1BPPP/R1B1K2R w KQkq a6,c2c3
8/pp1r1ppk/6bp/4B3/2n5/5B1P/PP2RPP1/6K1 w - -,e5c3
r2q1rk1/ppp2ppp/2npbn2/2bNp3/2P1P3/3P2PP/PP2NPB1/R1BQ1RK1 b - -,h7h6
8/pp4pp/2p1kb2/3r4/PP1P4/3RB3/2K2P1P/8 b - b3,a7a6
3rr3/1ppb1pk1/p2p1qnp/3Pp3/1PP1Pp2/3R1NPP/P1B1QP1K/4R3 b - -,e8h8
2q3k1/1n1b2p1/3p3p/3Ppp2/pP2P3/N3B2P/3Q1PP1/6K1 w - f6,e4f5
rnbqkb1r/pppp3p/4pnp1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,f8g7
8/1p3b2/1P1Bp1kp/p2pP3/n1rP1PB1/7K/8/R7 w - -,a1g1
8/6p1/2p2k1p/3p1p2/2nPpP2/pKP3PP/8/2B5 b - -,e4e3
r1bqk2r/1p2bppp/p1n2n2/2Pp4/P7/2NBPN2/1P3PPP/R1BQ1RK1 b kq -,e8g8
r1bq1rk1/1p2p1bp/n1pp1np1/p4p2/2PP4/2N2NP1/PPQ1PPBP/1RB2RK1 w - -,a2a3
2r4r/4k3/1p1pP1p1/p4p1p/2P1pPnq/2R4P/PP1QB1P1/5RK1 w - -,h3g4
r4rk1/1p3ppp/2p1bn2/8/4PB2/b3N1PP/3R1PB1/1R4K1 b - -,a8a7
1r1q1r2/1P3pbk/p3b1pp/2p5/5R2/2PBB2P/P2Q2P1/1R4K1 w - -,e3c5
1rbqrbk1/pp1n1p2/3p1npp/PPp1p3/Q1P1N3/3PN1PP/3BPPB1/1R3RK1 w - -,f1d1
5r1k/R5p1/1p1n4/1Pb2P1P/3p1BK1/3B4/P7/8 w - -,h5h6
8/3kP3/5Rp1/r5P1/4KP2/8/8/8 b - -,a5a4
5rk1/3pp2p/pp3rp1/2q1n3/2P1P3/1P2Q2P/P1N3P1/R4RK1 b - -,f6f4
4r1k1/6pp/2p5/2P2p2/1PPrp3/8/5PPP/1R2R1K1 w - -,e1c1
r2q1rk1/pp2ppbp/2n1bnp1/8/2NP4/B4NP1/P3PPBP/R2Q1RK1 w - -,a1c1
8/3kp3/R7/3PPK2/5P2/6r1/P7/8 b - -,g3d3
3q3k/6p1/2p1Q2p/2p5/2P5/3P2P1/2r3PP/5RK1 w - -,e6f5
r2q1rk1/1p2bppp/n2pbn2/p3p3/4P3/1NN1BQ1P/PPP2PP1/1K1R1B1R w - -,g2g4
r4rk1/pp3pbp/n4np1/q1pP1b2/2Q5/2N2N2/PP2BPPP/R1BR2K1 w - -,c1e3
2r5/pp1k1pp1/4p2p/3pP3/2r1b1PP/P1P2B2/1P1RKP2/3R4 b - -,e4f3
8/p5k1/1p5p/1P4p1/P1p3P1/2NnKP2/6P1/8 w - -,g2g3
1r2r1k1/2pnqpbp/p2p2p1/1p1P4/4PB2/1P4PP/P2Q1PB1/2RR2K1 b - -,d7c5
2rr2k1/1p3ppp/p7/q2pPP2/6P1/PP2Q3/2P3BP/1K1R4 b - -,a5c7
rnb1kb1r/ppq1pppp/2pp1n2/8/P2PP3/2N3P1/1PP2P1P/R1BQKBNR b KQkq -,e7e5
1rb2rk1/2n1q1bp/pN1p4/P1pPnpp1/8/2N1P2P/1P2BPPB/R2QR1K1 w - -,f2f4
rnbqr1k1/pp2bppp/2p2n2/3p2B1/3P4/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f1d3
5k2/1brr3p/4p3/p1ppPp2/2P2K2/PP3B2/3R2PP/1R6 b - -,d5d4
8/p7/4k3/1pppP3/8/1PP4r/P2K1B2/8 b - -,h3h2
r2k4/2R5/4p3/4B3/1PK5/8/8/8 w - -,c7h7
3b3r/1p3pk1/p2p2p1/3P2P1/1P1p1P2/P2Br3/1KP5/5RR1 b - -,h8h3
8/5pkp/4n1p1/p2R2P1/1P2P2P/P4P2/2P5/2K5 b - b3,a5b4
r1bqk2r/pp2bp2/2n1p3/3pPnpp/3P4/2N1BN2/PPB1QPPP/R2R2K1 b kq -,h8g8
6k1/1p2p2p/8/3p4/p4Pp1/1P4B1/1b2K1PP/8 w - -,b3a4
8/5R1K/p3pbp1/1p1k4/1P1P1r2/8/7P/6B1 b - -,g6g5
r2q1rk1/4ppbp/2p2np1/pp1BB3/3P4/5N1P/PPP1QPP1/R3R1K1 b - -,d8d5
rn1qkb1r/1b2pp1p/p2p2p1/1p1pP3/3P4/3BBN1P/PPP2PP1/R2QK2R w KQkq -,e5e6
4rbk1/3r2p1/pBqp1n1p/P3pP2/1Pp5/2P1R1NP/3Q1P2/3R2K1 w - -,f2f4
3r3r/pk5p/1p3p2/2p1p3/2PN4/2K3P1/PP1R1P1P/4R3 b - -,d8d4
1r1qr1k1/p4pp1/3bbn1p/2p5/N1Pp3B/1P1B1Q2/P4PPP/2R1R1K1 b - -,b8c8
2rq1rk1/3bppb1/2np1npp/pp6/3pP3/2P1BNPP/PP1N1PB1/R2QR1K1 w - -,c3d4
