8/5k1p/3p4/2p2PP1/p7/B6P/8/b4K2 b - -,a1c3
4b3/p4p2/5kp1/1PNp2p1/P7/R1P2P1P/2r3PK/8 w - -,a3b3
3rq2k/3r3p/1pp2pp1/p1b1p3/P3P3/3RN2P/1PP1QPP1/3R2K1 b - -,e8e6
8/2K2ppk/3p4/1P2r2p/R1nN4/7P/6P1/8 b - -,e5c5
8/2kp1p1p/p3p1p1/1p2P1P1/2rR1P2/P1NK1b2/1PP4P/8 b - -,c4c5
7k/pp1q1r2/2n4n/2p1p1p1/3pP1Pb/P2P3B/1PPB4/R2Q2KN b - -,c6d8
r1b1r1k1/1p1n1pbp/p5p1/2pPp3/P1q2P2/2N1BQNP/1P4P1/R4RK1 w - -,f4f5
1r1q1rk1/pp2bppp/2n1p1n1/2p5/2P1P3/1QN1BN1P/PP3PP1/3RR1K1 b - -,d8c8
8/6p1/4pk2/2R5/1K5P/5PP1/r7/8 w - -,f3f4
r4n1r/1bk1q1p1/p3p3/1pNpPp1p/P1pP1P2/2P5/1PB2QPP/R4RK1 w - -,a4b5
6k1/pp3pp1/3rp1bp/7r/3P4/1PB5/2PR1PPP/4R1K1 w - -,c3b2
r6k/4Nb1q/2pB1p1b/p4P2/P3P3/7R/1P3RP1/5K2 w - -,g2g4
R7/5pk1/p3r1p1/1p4P1/5P1P/1P3K2/P7/8 w - -,f4f5
2rr2k1/1p1n1pp1/1qp1pnp1/8/1bPP4/pPB2B2/P1Q1NPPP/3R1RK1 w - -,c3a1
rn1qkbnr/pbp1pppp/1p6/3p4/1P6/5NP1/PBPPPP1P/RN1QKB1R b KQkq -,f7f6
r1b1kb1r/pp2pp1p/2np1p2/q7/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq -,d4b3
8/7p/1b1k1p2/1p3P2/1Pp1P3/5N1P/2K5/8 w - -,c2d2
3qr2k/pQ4p1/2p4p/2Pp3P/3P4/1P6/P5P1/5RK1 b - -,d8h4
4Qbk1/5p2/6p1/2n4p/3r3P/3p2P1/5PK1/3N4 b - -,d3d2
r4rk1/pp3pp1/2n1bq1p/3p4/8/P2BP3/1PQ1NPPP/R4RK1 b - -,a8c8
q4rk1/p3ppbp/1p2bnp1/1Qp5/2P5/2N1BPP1/PP2P2P/3R1RK1 b - -,e6h3
r1bq1rk1/bpp2pp1/p2p3p/5n2/2PP4/1PN3PP/P4PB1/R1BQ1RK1 w - -,c3e2
8/p5P1/2k5/P1P5/8/8/1p3PK1/8 w - -,g7g8q
2bqr1k1/6p1/p3Pb1p/1p1B1N2/1P6/P1Q3P1/7P/4RK2 w - -,c3f3
8/7p/1p1k2p1/pP1Pbp2/P1Bp4/5K1P/8/8 w - -,f3e2
r2b2k1/2q2pPp/p2pr3/1pn3P1/3Nb3/P1N5/1PPQ3P/2KR1R2 w - -,d4e6
2q2bk1/1p4p1/p1p1rpb1/2Pp4/1P1P2P1/5PB1/P2Q4/2R2BK1 w - -,a2a4
2rq1rk1/pp2bpp1/2n1bn1p/2p3B1/3p4/P2P1NP1/1P1NPPBP/R2Q1RK1 w - -,g5f6
2r5/1k3p2/p7/3QpP1p/P6q/8/1PP4P/3b1KR1 b - -,c8c6
r1bk4/p6p/Ppr1p3/2NpPp2/3P2p1/2R1K1P1/5P1P/1R6 w - -,c5b7
6k1/5ppp/1p6/2bP2N1/2q2P2/1p4P1/r2B2KP/1Q1R4 b - -,c4d5
4rnk1/pbq1bpp1/2p1pn1p/2PrN3/8/1P5N/PBQ2PPP/1BR1R1K1 w - -,b3b4
4r3/1p4bk/p1pq2pp/8/P2PB3/2P1r1NP/1P4QK/6R1 w - -,e4f3
r4r2/1ppqnppk/p2p1n1p/4p3/4P2N/1QPPN2P/PP3PP1/R3R1K1 w - -,a1d1
2r5/5pkp/1pN3p1/p1bP4/2R4P/1P3BP1/P5K1/6r1 w - -,g2h3
2r1rbk1/1p1nqpp1/p2p3p/P2Pn3/1PPRp3/2B1N2P/4BPP1/R3Q1K1 b - -,e5g6
3rk2r/1bq2pp1/p3p3/2b1P1N1/1p1npPQp/4N2P/PPP3P1/R1B1R1K1 w k -,g1h1
r4rk1/pp1b1pbp/nq1p1npB/2pPp3/4P3/P5PP/1PPQ1PB1/RN2K1NR w KQ -,b2b3
8/p3b3/1p3p2/3kpb2/8/PN1p4/1P1BnPPP/4R2K w - -,d2e3
2kr4/1pn1pp1p/p3b1p1/2P1B3/1PPr2P1/P1NBbP2/2K4P/R6R w - -,e5d4
r1b2rk1/5ppp/P2p4/2qP4/2B5/8/PbN3PP/1R1Q1R1K w - -,d1d3
8/3n1ppp/b7/B2k4/P7/5P1P/1N3KP1/8 w - -,a5c3
8/2P5/5k2/P1N1pb2/2R5/1p4pp/3r4/6K1 w - -,c4c1
6k1/4bp2/3N1np1/8/1B5p/P6P/2r1K1P1/3R4 w - -,d1d2
5rk1/rp1n1R2/2pNq1pQ/P1P1p2p/4P3/7P/6P1/5RK1 b - -,f8f7
6k1/1q6/p2pN3/6Q1/P1r5/6P1/2p4P/2R2K2 b - -,g8h8
6k1/8/1NR5/5P2/P4B1P/1n3K2/r7/8 w - -,f3e4
r4r1k/P5p1/3P4/B1p5/3p4/4q3/6QP/R6K w - -,a5d2
r1bqk2r/pp3p1p/2pb1np1/3p1p2/3P4/4P1P1/PPPNNPBP/R2Q1RK1 w kq -,c2c4
5r1k/1p4pp/p7/8/4qp2/3Q4/PPP3PP/3R2K1 b - -,e4e5
8/8/8/7p/2k3p1/r1n1P1P1/3R2B1/4K3 w - -,d2d4
r7/6p1/1k3b2/1p6/1P1p3P/3B2P1/3K1P2/2R5 w - -,c1c5
2r1r1k1/1p2qppp/p2p1nn1/3P4/3R4/2PB3Q/PP1N2PP/5RK1 w - -,d2e4
3r4/p5bp/2k3p1/2p5/2P5/2N1P1P1/PP1K4/R7 w - -,d2c2
r2q1rk1/pb2bppp/1pn1pn2/2p5/2PP4/3BPN2/PB1N1PPP/2RQ1RK1 b - -,d8c7
6r1/5k2/p1qPp3/1p3p2/1P3Pp1/4Q1P1/P2R3P/6K1 b - -,c6c1
1r3rk1/1p1q4/p1pnR1pp/P4pN1/1Q1P4/R5P1/1P3PKP/8 b - -,h6g5
8/p4p1k/1bBr2p1/1P1P3p/4r2P/5qP1/1P1R1PK1/5R2 w - -,g2f3
8/5p1p/1p1k2p1/6P1/3P1P2/2RKP3/1r5P/8 w - -,h2h4
rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -,e7e5
2r4k/p5b1/6p1/5p2/1R5p/PQ1B2q1/1PP5/1K6 w - -,b3a4
5nb1/4p1k1/6p1/3pPpN1/p1pP1P2/PpP5/1P1K2P1/1B6 w - -,d2e3
8/pp3pk1/3pq2p/3n2p1/4p3/4P1PP/PP2Q1PK/2r2R2 w - -,f1c1
r1b1r1k1/pp4p1/2qp1p2/8/2p1PP1B/2Nn2R1/P1Q3PP/5RK1 b - -,g8f7
r2q1rk1/pp3p2/2n1bn1p/6p1/3p3B/P2B1P2/1PP1N1PP/R2Q1RK1 w - g6,h4f2
3r1r1k/2p1b2p/p1B3p1/3Pp3/8/4P3/PP2R1PP/2KR4 b - -,f8f6
r3r1k1/p1p1ppbp/1pq3p1/n5B1/P2PP3/2PR1N2/4QPPP/R5K1 w - -,h2h4
2bqnrk1/3nbppp/r2p4/p1pPp3/1pP1P3/P2BBN1P/1P3PP1/RN1Q1RK1 w - -,b1d2
5k2/p4p2/1p4p1/1P1p3p/2qNn2P/2rbPBP1/PQ3P2/4R1K1 w - -,e1d1
rq4k1/1pbbr1p1/2n1p2p/p2pPp1P/5B2/2PB2QN/PP3PP1/R3R1K1 b - -,d7e8
r4rk1/3p1pp1/pp1Npq1p/8/bPP5/1n3NP1/1P2PPBP/RQ3RK1 b - -,b3a1
r7/5k2/3p1np1/p1pPp1q1/1pP1Pb2/4NQNb/PP3P2/4K2R w - -,h1h3
7q/3k1pn1/4p2p/p2pP3/Pb1P1P2/8/1KN2B2/6Q1 b - -,h8b8
1r2nrk1/R2b1pbn/3p1qp1/2pP3p/1pP1PB2/3B1NNP/1P1Q2P1/5RK1 b - -,d7c8
4r2k/2R1N3/p4r1K/1p3pp1/3PR3/6B1/PP5P/3q4 w - -,e7g6
1k1r3r/pp2qpnp/2p1bnp1/3pN3/3P1PP1/2N1P3/PPQ1B2P/K2R3R b - -,h7h5
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PBQ2PPP/R3K2R w KQ -,e1g1
r4rk1/1pp2pnp/p2p2pb/3Pp1q1/2P1P3/2N2BPb/PPRNQP1P/3R3K w - -,f3g2
8/7p/4P3/1k6/p4K2/7P/8/8 b - -,b5c6
rnbq1rk1/pp2ppbp/5np1/3p4/P1BP4/2N2N2/1PP1QPPP/R1B1K2R w KQ -,c4d3
r1bqk2r/3nbppp/2p1pn2/pp4B1/3PP3/2NB1N2/PP3PPP/2RQ1RK1 b kq -,h7h6
8/1p1Rk1p1/2p2p2/p1p1p3/2B1P1pP/4P1P1/PP6/6K1 b - -,e7d7
8/2rbk3/R3ppp1/2Np3p/Pp1P1P1P/1P2K1P1/8/8 w - -,a6b6
1Q1nkb1r/1p3p2/3p2q1/1bpPp3/2P1P3/6P1/PP1N2P1/4RRK1 w k -,c4b5
