8/3Rk1p1/4P3/5P1p/p3K1bP/3p4/8/8 b - -,e7e8
R7/2p5/3p4/1P2k2p/3p3P/2r2PK1/2P5/8 w - -,a8c8
2k5/1pb4p/p1p2np1/P4p2/1P1R1N2/7P/4K1P1/8 b - -,c7e5
6q1/1PQ3pk/p6p/2p2rnP/2P2N2/4P3/1P6/2KR4 w - -,b7b8q
8/1p5p/2k1p1p1/3pP1P1/1P1P1K1P/1B6/4b3/8 w - -,b3a4
2kr3r/pp1b1pp1/2pb3p/4qP2/4PN2/P2B3P/1PQ3P1/R4RK1 b - -,g7g5
8/p7/1pp4p/4kPn1/1PP1N1P1/4K2P/P7/8 w - -,e4g5
2r2rk1/pp4pp/3qpn2/3pN3/1n1P4/bP2B1N1/P3bPPP/1B1QR1K1 w - -,d1e2
6k1/5P2/5P1P/3K1P2/7n/8/8/8 b - -,g8f8
4r1k1/ppq1rpp1/2pb3p/3p4/3Pn1b1/2NNP1P1/PP1Q1PBP/R3R1K1 w - -,c3e4
r1bq1rk1/1p2ppbp/pn3np1/3P4/3P4/1B3N1P/PP1N1PP1/R1BQ1RK1 b - -,c8f5
r3rn2/1p3kp1/2pbp3/3p1n1p/p2P3P/2NP1NP1/PP1BRP2/2K1R3 b - -,f8h7
r2r1bk1/5q2/2pp1pp1/p3n2p/3NP1bP/2Q3B1/PPP3P1/1K1NRR2 b - -,c6c5
3rr1k1/2pnn1pp/bp2qp2/p1b1pN2/P3P3/2P1B1PP/1PQ2PBK/3RRN2 w - -,h3h4
8/3q3K/8/8/8/8/kp3Q2/8 w - -,h7h8
r1bq1rk1/1pp2pp1/p1nb1n1p/8/2BP4/P1N4P/1P2NPP1/R1BQ1RK1 w - -,c1e3
r2q1rk1/pbpn1ppp/1p2pn2/3p4/1bPP1B2/3BPN2/PP1N1PPP/2RQ1RK1 b - -,f8e8
r2qr1k1/p3bp1p/bpp1pnp1/4Q1B1/2PP4/5N2/PPB2PPP/3R1RK1 w - -,b2b3
3rk2r/p4ppp/2N3n1/8/5n2/1P2BK2/Rb3P1P/5B1R b k -,d8d6
5nk1/pb2qpp1/1p6/5B1p/1P2p2P/P2QPPB1/5KP1/8 w - -,f5e4
r2r2k1/1pbbq1pB/p3p3/6P1/7P/1NPRB3/2QK4/1R6 b - -,g8h8
bQ6/p4p1k/4qPpp/8/2p3P1/4N2P/PP6/6K1 w - -,b8a7
8/7k/4p3/6p1/8/R6p/6r1/R4K2 b - -,g5g4
6k1/5p2/1pq3p1/pR5p/P1P4P/1P4P1/5P2/6K1 w - -,g1f1
r1bq1rk1/pp2pn1p/3p2n1/8/2Pb2P1/2N1B3/PPQ1BP2/R3K2R w KQ -,e3d4
r1bq2k1/pp2rpb1/2pNnnpp/2P1p3/1P2P3/2N1B3/P3BPPP/R1Q2RK1 b - -,g8h7
5R2/p7/6k1/6n1/4r1p1/3N1p2/PP3P1P/3K4 b - -,g5h3
5n1r/pp2R1b1/5p1k/3P1Kp1/3B3p/6P1/PP5P/8 b - -,f8g6
1rb1r1k1/p4p1p/1p1p4/2pP2p1/Pn2PqP1/R3N2P/1P2QP2/1B2R1K1 w - -,e3g2
r3kb1r/pp1npppp/2p1bn2/q3N3/3P1B2/2N5/PPPQ1PPP/2KR1B1R w kq -,e5d7
rn1q1rk1/p3bppp/bpp1pn2/3PN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,c6d5
q4rk1/Q2B2pp/1p1Bpb2/3p4/3P4/2r2N1P/6P1/1R5K w - -,a7b6
3r2k1/2R3b1/4p1p1/1p4Pp/1P2P3/3p1n2/8/3N1B1K w - -,c7c5
r3r1k1/1bq2pp1/p1p1pn1p/1p2N3/2PP4/2P5/P1B1QPPP/3RR1K1 b - -,a8c8
8/5pk1/P4Rp1/4K1Pp/7P/7r/8/8 b - -,h3h1
8/2p5/KbPpB3/p2P4/1k6/1P3R2/2r5/8 w - -,f3d3
2r1k2r/1pp1nppp/p1nq4/b2p1bB1/3P4/N1PB4/PP1QNPPP/R4RK1 w k -,a3c2
r7/p7/1p2kp2/1R4B1/P2P2n1/3K4/8/8 w - -,g5f4
3r2k1/p5q1/1R4Bp/8/8/2p3QP/P4PP1/6K1 b - -,a7b6
1rk2b2/2q1n1p1/p3pp1r/2p1P1RP/1nPpBP2/PP3Q2/1K1B4/4N2R b - -,f6g5
r2qk2r/1p3ppp/p1nb1n2/8/3pPB2/P2B2N1/1PP2P1P/R2QK2R w KQkq -,f4d6
r1b2rk1/q3npb1/1pp3pp/p1P1p1N1/1P2P3/PN4P1/4QPBP/R2R2K1 w - -,g5f3
r2qk2r/1p3p1p/p1n1bp2/3Pp3/8/1N6/PPP1BPPP/R2QK2R b KQkq -,d8d5
r1b2rk1/pp2b1pp/3p4/n1pPp3/q1P1Q1P1/2P2N1P/P4PB1/R1B2RK1 w - -,f3d2
8/5pBr/4p2P/4Pb2/7R/5k2/2pK4/8 w - -,h4h1
1r2qrk1/pp1b2pp/2pb4/3p4/3Pp3/P3PN1P/1PQ1BPP1/R3K2R w KQ -,f3d2
1Q2rbk1/8/p3qpp1/1p2p2p/2b1P2P/2P3N1/1P3PP1/2BR2K1 w - -,b8c7
8/2R5/8/1r2k1p1/4pp1p/1P5P/P3KPP1/8 b - -,e5d5
r1bqkb1r/pp1ppn1p/5p2/3p3Q/4p3/2N5/PPP2PPP/2KR1BNR w kq -,h5d5:d1d5
r2br1k1/pb4pp/1p2qn2/1Q1p4/P2PpN2/BP2P1PP/5PB1/R1R3K1 b - -,e6f7
4r1k1/r3bp1p/2q2np1/p1p1p3/1pP1P3/3R1PPB/PP1R1B1P/3Q2K1 b - -,c6a6
2r3k1/6p1/4p2n/4P3/1P4QP/1q4B1/5P2/3R2K1 w - -,g4d4
1rb2rk1/ppp2ppp/2n1pn2/8/2pP4/B1P2NP1/P3PPBP/1R3RK1 b - -,f8d8
5k2/5p2/1R2p3/P7/1K4p1/8/2P5/3r4 w - -,a5a6
4r1k1/3r1p2/pp1p1pnQ/7B/1PPRb3/7P/P5P1/6K1 b - -,e4f5
8/5k2/1p3r1p/3R1Nb1/6P1/5K2/8/8 b - -,f7e6
r2q1rk1/1b1nbpp1/p1p1pn1p/1p6/P1pPPP2/2N3PN/1P4BP/R1BQ1RK1 w - -,e4e5
3r1rk1/2qn2pn/1p1p1p1p/pBpPpP2/P3P2P/4R3/1PPN1QP1/5RK1 b - -,d7b8
6k1/pb2p1bp/1p3ppn/3R4/5PP1/1P2P2P/PB3N2/R5K1 b - -,b7d5
2rq1rk1/pp2bpp1/2p1pn1p/8/2QP4/P1N1PN2/1P3PPP/R3K2R w KQ -,b2b4
4qrk1/1b1nb1pp/1r1p1n2/2p1pp2/8/3P1NP1/1BPNPPBP/R2QR1K1 w - -,b2c3
q4b2/P5pk/3p2p1/3Np3/4P3/3P1PPp/R4K1P/8 w - -,d5c7
2rq1rk1/3bbppp/4pn2/pp1pN3/2nP1B2/P1NBP3/1PQ2PPP/R1R3K1 w - a6,c2e2
r1bqkb1r/p4pp1/2p4p/nB1np3/4N3/5Q2/PPPP1PPP/RNB1K2R w KQkq -,b5a4
8/8/1p3pp1/p1k5/P1N1n3/2K5/6P1/8 w - -,c3d3
1r1qk2r/1p1n1ppp/2p1pn2/p7/8/Q1N2BP1/P2PPP1P/1R3RK1 b k -,d7e5
2rr1k2/pp3pp1/7p/3p1b2/3P4/8/PP2BPPP/R1R2K2 w - -,f1e1
1b1rr1k1/pp1nqpp1/2p2n2/2P4p/1P2p2P/P1N3P1/1BQ1PPB1/R4RK1 b - -,e4e3
2b2rk1/2q1r2p/3Rp1p1/1pP2pQ1/pP1P4/P5P1/1B3P1P/4R1K1 w - -,d4d5
1rr3k1/3b1ppp/2nqpn2/pp1p4/3P4/P1P2B2/1PNQNPPP/3R1RK1 w - -,b2b4
5r1k/ppR2B1p/6p1/8/1r1b3P/8/P4PP1/2R3K1 w - -,c7c8
r1b2r1k/bpp2ppp/p4N2/2P2q2/6PR/3P3P/PB2QP2/5RK1 b - g3,f5g6
8/4k3/2p2p1p/1p5P/4PP2/3K1B2/b4b2/3N4 b - -,a2c4
1rb1r1k1/2qn1pbp/3p2p1/1ppP4/4PP2/4B1P1/1PQ2NBP/3RR1K1 b - -,c8b7
r3k1nr/1bqnppb1/pp1p2pp/2pP4/P1B1PB2/2N2N2/1PP1QPPP/R4RK1 w kq -,f4g3
2b5/P4k1p/5pp1/1r6/3B4/4KP2/1p4PP/1R6 b - -,c8b7
r1bq1rk1/pp2ppbp/2np1np1/8/2P1P3/2NB1N1P/PP2QPP1/R1B2RK1 b - -,c8d7
rnbqkbnr/ppp3pp/3p4/4pp2/2P5/2NP1N2/PP2PPPP/R1BQKB1R b KQkq -,g8f6
8/8/2b5/1pb3p1/2p2kP1/2P1N2P/1P2K3/4N3 w - -,e3f5
r1q2rk1/pp1nbpp1/2p1b2p/2Pp4/3P1B2/1Q2PN2/P3BPPP/2R2RK1 w - -,c1c2
r2q1rk1/1p1nbpp1/2p1p2p/p2pPb2/2P5/1P4P1/PB1NPPBP/R2QR1K1 w - -,c4d5
8/r4pk1/4p2p/8/1R3PP1/4PK2/8/8 b - -,a7c7
r2q1rk1/1pp1npp1/1b1p1n1p/p3p3/PPB1P3/2PP1N2/5PPP/R1BQ1RK1 w - a6,b4b5
8/4qnk1/1N3p2/2P1p1p1/1n2P3/4B1P1/3Q1PK1/8 b - -,b4c6
