8/7p/4K1p1/1k5r/4R2P/8/8/8 b - -,b5c5
6k1/p4pp1/1p2p2p/7P/2P3P1/P3nP2/1P1N4/1K6 b - -,f7f5
r1bq1rk1/ppn5/3p1bpp/2pPpp2/2P1P3/2N3P1/PPQ1NPBP/R4RK1 w - -,a1b1
r2qk2r/pp1n1pbp/3pb1p1/1Q6/8/2N2N2/PPP2PPP/R3KB1R w KQkq -,c3e4
6k1/2p3pp/3p2r1/3Pp3/1P2P2n/2P1P2q/3NQ2P/6RK b - b3,h3c8
r2q1rk1/pp1n1ppp/2p1pnb1/8/3P1B2/1BP3N1/PP3PPP/R2QK2R w KQ -,h2h4
2kr3r/ppb5/2p5/4pqn1/2PPP1R1/P1K5/1P4B1/R1BQ4 b - -,g5e4
3r1rk1/pp1Rbpp1/6p1/4p3/2q5/1NP3P1/PPQ2P1P/3R2K1 b - -,c4g4
5rk1/pp1b1pp1/4p2p/q3P3/n1BP2P1/b4N2/P1Q2P1P/1KR4R b - -,f8c8
2r5/5rpR/p1k1p3/1p1bPpP1/1P1PpR1P/P1P5/1B6/6K1 w - -,h4h5
r5qk/p1n1b2p/1p1pp3/3n1rBQ/3PNp2/5N2/PP3PPP/2R2RK1 b - -,g8g7
6k1/1q2pp2/r2p2p1/2pP3p/4P2P/rP4P1/PQ2RPK1/R7 w - -,b2c3
5r2/1p2p1kp/pr1pbpp1/2n5/PqP1PP2/1PN5/2Q1B1PP/1R1R3K w - -,e2f3
3r2k1/p6p/3rp3/1R3ppP/P1Pb4/1P2N3/4PP1P/3R2K1 w - -,g1g2
2nr1r2/pp2ppk1/5np1/1q1PN2p/8/1P4P1/2Q2PBP/R3R1K1 w - -,g2h3
r7/8/8/6kP/8/p2K1P2/R7/8 b - -,g5h5
8/1p4k1/2n2n2/p2b4/P2PpP2/2P2p1P/1PB2P1K/4R3 w - -,e1g1
r5k1/pb1r1p1p/3p2p1/n1p5/2P5/3R4/P1PN1PPP/2K2B1R w - -,d2b3
3r1rk1/1p1nbppb/p1p2n1p/q7/4P3/P1N1BNPP/1PQ2PB1/R2R2K1 w - -,b2b4
2r3Q1/p2qk3/1n5p/bP4pR/8/p5P1/5PP1/1K5R w - -,g8g7
r1b1k2r/3pnppp/pq6/2p5/4Q3/8/PP2PPPP/R3KBNR w KQkq -,e4a8
r3r1k1/1bq2pbp/pp2p1p1/2nnp3/2N2P2/2P1BN1P/PP2Q1P1/1B2RRK1 w - -,f4e5
8/1b2rpk1/p3pb1p/Pp1p2p1/2r2PP1/2PNN1P1/1P6/3RRK2 b - -,c4e4
r5rk/p1q2p1p/2p1pb2/3p1p2/3P4/2PN4/PP3PPP/R2QR1K1 b - -,g8g4
r1bq1rk1/pp3pbp/2np1np1/2p1p3/2P5/P1NP2P1/1P1NPPBP/R1BQ1RK1 b - -,c8e6
r1b2rk1/2qnbppp/pp1ppn2/8/2PNP3/1PNB4/PB2QPPP/R4RK1 w - -,a1d1
4kbr1/pq6/2n1p3/1P2P3/7Q/3R2P1/1PP2P1P/6K1 b - -,b7b5
2kr3r/p1q2pp1/1pPb1n1p/2p1N3/Q4p1P/2Pb2P1/PP3PB1/R3RNK1 w - -,e5d3
r2q1rk1/pp1b2n1/3p4/2pP1p1p/2P2Pn1/P1N3NB/1P1Q3P/4RR1K w - h6,h3g4
rnbq1rk1/ppp2pbp/3p1pp1/8/3P4/4P1P1/PPP1NPBP/RN1QK2R b KQ -,f6f5
r2q1rk1/pb1nb1pp/2p1p3/1p2Pp2/3P1B2/nPNB1N2/P4PPP/2RQ1RK1 w - f6,e5f6
1rbb1rk1/5ppp/1pQ1p3/5n2/PPP2P2/8/6PP/R4RK1 w - -,f1d1
7k/5p2/3rpP1p/1p1p4/1Pp2RP1/2P1P2P/5K2/8 w - -,h3h4
r3r2k/3bppbP/3p1n2/q5P1/1p1NP3/1P2Bn2/PP1Q4/1KNR3R w - -,d4f3
8/1k2q3/pnR3p1/1p3p2/4p3/PP6/2P4Q/1K1R4 b - -,b7c6
8/8/5k1p/p7/P1p2K2/6P1/8/1b1B4 w - -,f4e3
4b1k1/1r3ppp/2pqpn2/p7/Pp1P4/3R3P/1PB1QPP1/5RK1 b - -,f6d5
8/5k2/5pp1/7p/1r2PKPP/8/3N4/8 b - -,h5g4
8/6p1/p3k2p/1p3R2/1P1pP2P/P4KP1/2r5/8 b - -,c2c3
8/6k1/p1p1r1p1/1pP4p/4Br2/1PP2P2/8/1K4R1 b - -,h5h4
5rk1/2p2ppp/p1pb4/1p2BP2/2P5/1P1r3q/P1Q2P1N/R3R2K b - -,h3f5
3qb1k1/2r2ppp/1p2p3/p3P3/nPP5/PQ3NP1/2R3BP/6K1 w - -,c2d2
8/pp5p/2r1k1p1/3bpp2/4P3/b1B2P1P/1P1N2P1/4R1K1 b - -,a3c5
8/6k1/3p1n2/2pPp1p1/2PqPpP1/5P2/1r1N2K1/3Q1R2 w - -,f1f2
8/p4kpp/2p2p2/1pr2P2/3p2P1/P2P4/1PP1R1KP/8 b - -,a7a5
r1nq1rk1/pp1nbppp/2p1p3/3pPb2/3P2B1/1N6/PPP2PPP/R1BQNRK1 b - -,f5g6
r4rk1/pnp1bppp/1p4q1/3Pp3/4b3/P2Q2N1/BPP2PPP/3R1RK1 w - -,g3e4
8/7p/R7/1p1r2k1/1P6/P3bpN1/7P/3K4 w - -,d1e1
2krn2r/pp1nb1p1/2p1pp2/q1Pp2P1/3P1P2/1P2P2B/PB2Q3/RN3K1R w - -,g5f6
5rk1/pp1q4/7p/2p1Qnpn/P1N5/1P1P4/3N3P/5RK1 w - -,d2e4
8/7P/5K2/4N3/1B1k1n2/8/8/8 w - -,h7h8q
4b1k1/5nbp/3p2p1/1npP4/1p3P2/4QB1P/1P1NN1P1/4q1BK b - -,g8f8
6nk/r1p3bp/p2p1qp1/3P2N1/1p1r1p1P/4N3/PP2Q3/1K3R1R b - -,h7h6
5r1k/pq5p/1p6/4p1p1/2P5/1PB1RNP1/P5K1/8 w - -,c3e5
2r2rk1/1b1p2p1/pq2p2p/2b1P3/1pPNN2Q/8/2P2PPP/3RR1K1 w - -,d1d3
r3k2r/2pnqpp1/pp1b2np/3Pp3/P3P3/1Q2BP2/1P1NN1PP/R3K2R w KQkq -,e2g3
8/R7/5k2/1P4p1/P7/1r5p/4K3/8 b - -,g5g4
7r/8/4k3/6P1/6K1/8/8/5R2 w - -,g5g6
r1nqr1k1/1p2bppp/4p1n1/1b1pP3/p2P1N2/P3B3/1PBN1PPP/2RQR1K1 b - -,c8b6
2r2rk1/N2p3p/1p2p1p1/3n4/1P3P2/2P5/P5PP/R2R2K1 b - -,c8c3
8/7p/1r6/4k3/P1B2p2/7P/8/5K2 w - -,a4a5
r1bqk1nr/pp2ppb1/2np2p1/2p4p/4P3/2NPB3/PPPQNPPP/R3KB1R w KQkq h6,e2f4
1nkr3r/1bpnqppp/1p1bp3/p2pN3/P2P1P2/1P1BP3/1BPNQ1PP/R4RK1 w - -,e3e4
r1bqk2r/1ppn1ppp/5n2/p3p3/1bP5/2N2NP1/PP1BPPBP/R2Q1RK1 b kq -,c7c6
r2r2k1/1p2ppbp/pq4p1/3nN1P1/3P1P2/PP1QRB2/1B5P/R5K1 b - -,d5e3
r4rk1/p2q1pb1/1p2b1p1/2p1p2n/4P2Q/2NPBN2/PP4PP/3R1R1K w - -,b2b3
rn3rk1/1bq1bppp/p2ppn2/1p6/3NP3/P1N1BP2/1PP1B1PP/R3QRK1 w - -,e1f2
6k1/2q2pp1/4pn1p/1Bp1b3/2P5/1PBQ1PP1/6KP/8 w - -,c3d2
4r2k/3r2pp/Q1p2p2/8/1P2p1n1/4B3/P3K2P/8 b - -,g4e5
r3k2r/1ppn1ppp/p2bb3/2pN4/4P3/1N6/PPP2PPP/R1BR2K1 w kq -,d5f4
r1bqk1nr/pppn1pbp/3pp1p1/8/2PPPP2/2N2N2/PP4PP/R1BQKB1R b KQkq -,g8e7
r2q1rk1/pp1b1pb1/n2p1npp/3Pp1B1/4P1P1/2N2P2/PP1QB2P/R3K1NR w KQ -,g5e3
2r5/2p2R2/1p1p1P2/p2P4/2P2k2/Pr6/3PK3/6R1 b - -,c8e8
rnbq1rk1/pp2ppbp/6p1/2ppP3/3Pn2B/2P2N2/PP1N1PPP/R2QKB1R b KQ -,b8c6
1n1qkb1r/rp2pppp/p1p2n2/3p4/2PP2bN/1QN1P3/PP3PPP/R1B1KB1R w KQk -,h2h3
r2q1rk1/pb1nppbp/1p3np1/2pp4/5P2/2PP1NP1/PPN1P1BP/R1BQ1RK1 w - c6,f3h4
3r1r1k/pp2q1pp/5n2/2p5/2P1pPb1/2P1Q1P1/P1N1P1BP/4RRK1 b - f3,g4e6
r1br2k1/pp3pp1/3q3p/2ppb3/8/1NP1P1P1/PP3PBP/R2QR1K1 w - -,d1d2
3r2k1/1p3ppp/1Pnq1n2/P1pN4/2P5/6PP/4PQB1/2R3K1 b - -,c6a5
R7/P5k1/3p4/3P3p/3n4/r2B2P1/5K2/8 w - -,d3c4
r2qk1nr/5ppp/1n2p1b1/pp1pP3/2pP3b/2P3NP/PP2BPPN/R1BQR1K1 w kq -,g3h5
8/8/1p2b3/p3Pp2/8/2kpKP2/8/2B5 w - -,c1d2
8/1pkb1B1p/p2p4/2pP1p2/PqPb1P2/1QN1r1PP/1PK5/R7 w - -,b3b4
rnb1r1k1/1p3ppp/2pb1nq1/p7/4p3/1PN1N1PP/P1QPPPB1/R1B2RK1 b - -,b8a6
4r3/1pp1k1B1/p2p4/P1PP3p/1P4p1/3KP1P1/7P/8 b - -,e7d7
r1r3k1/p2nbpp1/4pn1p/N5B1/Pp6/6P1/1P1NPPKP/R1R5 w - -,g5e3
3rr1k1/pp1bbppp/1q6/2pP4/5B2/6P1/PP1Q1PBP/3RR1K1 b - -,d7g4
3rrbk1/pb3ppp/p7/2qPp3/2p3P1/2N1NPQ1/PPP4P/3RR2K b - -,c5b4
8/p3k3/2p2p2/R7/1P2PK2/P7/8/6r1 w - -,a5a7
2r3k1/8/p7/Pp6/3pN3/3KbR2/6rP/5R2 w - -,f3g3
