1n1r4/5k1Q/8/p5R1/1p1q4/8/PPP5/1K6 b - -,f7e6
r1bqkb1r/ppp1pppp/3p1n2/3Pn3/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,f3e5
8/p2q2pk/7p/1pp2p2/3pQPbP/1P1P2P1/P1PB4/4K3 w - f6,e4g2
r4rk1/p3q2p/1p2Rp2/4nQp1/1P6/3B2P1/P4P1P/R5K1 b - -,e7g7
5r2/p5bk/p5pp/3Q1p2/3pr3/5N1P/PP2pPP1/4R1K1 w - f6,f3d2
8/1pr5/5p2/PR2b1p1/3B1k1p/2PK1P1P/5P2/8 w - -,c3c4
2rr2k1/p4pbp/1q4p1/1PN5/PP1p4/5Q2/5PPP/1R1R2K1 w - -,f3d3
r2qk2r/1bpnnpb1/pp1p2pp/3Pp3/P1B1P2N/2N1B3/1PPQ1PPP/3R1RK1 b kq -,g6g5
r7/5k2/2RP1b2/p7/2p2r2/R7/1P3P2/6K1 w - -,d6d7
r3r1k1/ppqbbppp/2p2nn1/3p2B1/Q2P1P2/2NBP2P/PP2N1P1/3R1RK1 w - -,a4c2
r4r1k/6bp/1p1R1pp1/pPp1p3/4b3/2P1BN2/1P3PPP/R5K1 w - -,f3d2
1r4bk/6p1/2p4p/2R1PP2/p2q4/P7/2Q3B1/6K1 w - -,c2f2
k7/1p3p2/p1p5/P5q1/4bP2/8/1P1Q2B1/6K1 b - -,g5g2
r1b1k2r/1pq2ppp/p1n1p3/2npP3/1b1N1P2/2NBB3/PPPQ2PP/R4RK1 w kq -,a2a3
r6r/1p1b1kp1/p6p/3p1Pp1/3BP3/2PP3P/P6K/R5R1 w - -,a1b1
2r5/5pk1/4p1p1/3pK1P1/1r1P4/8/PR3P2/8 w - -,b2b4
6k1/1Bn2pp1/pp2pn1p/4q3/2P5/1PNQ2P1/P4PKP/8 w - -,b7c6
r2r2k1/p4pbp/1pn1nqp1/2p1p3/Q1b1P3/2P2NPP/PP3PBK/R1B1R3 w - -,a4c4
2r3Q1/1qk5/3P4/1b6/1p2B3/6P1/1P5P/n6K b - -,c7b8
r4rk1/1p2bppp/pq1N1n2/8/1PP1pB2/P5Pb/4BP1P/R2QR1K1 b - -,a8d8
r5k1/1p3pp1/1np1pn1p/2R1N3/rP1P4/pR4P1/P1N1PPKP/8 b - -,f6e4
8/1p6/p4kp1/1bpp4/5bP1/P1P1nP2/1P3RK1/1R6 w - -,g2g1
3rrk2/p4p1p/b1pp1pp1/8/2P1P3/1B3P2/PP1R2PP/4R1K1 b - -,e8e5
r2q1rk1/2pb1pbp/p1np1np1/1P2p3/3PP3/1BP2N2/1P3PPP/RNBQR1K1 b - -,a6b5
1qbrrbk1/5ppp/p1np1n2/1p2p3/3PP3/1P3N1P/PB1Q1PP1/1B1RRNK1 w - -,a2a3
8/2Q3p1/1p5p/2p2P2/8/2q4k/P3KP1P/8 b - -,c3c2:c3b2
4r1k1/4r1pp/1p2b3/1Pb1B2P/p2p1PP1/P2B2K1/8/2R1R3 b - -,e6d5
8/3r1k2/4p3/pPQ1Pp1P/2b5/5P2/2r1B1P1/6K1 b - -,c4d3
rnb1k2r/pp3ppp/4pn2/2bq4/8/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,e8g8
6k1/p1p2rb1/1p1p3p/6p1/1NP5/1P3nB1/P3r2P/2RR3K b - -,a7a5
r1bqr1k1/pp2ppbp/2np1np1/2p5/3P4/1N2PN1P/PPP1BPPB/R2QK2R b KQ -,b7b6
3r2k1/5ppb/p2rnq2/Qp2p2p/4P1P1/2PPBP1P/1P1R1KN1/3R4 b - -,d6d3
2kr3r/pp1n1pp1/2pbbp2/q2p3p/3P4/2PBPQ1P/PP1NNPP1/R3K2R w KQ -,g2g3
r1nq1rk1/2pb1pbp/1P4p1/2pPp3/2P1P3/1QN1B3/4BPPP/R4RK1 b - -,a8a1
8/8/5P1k/p7/1p1p1P1P/1P1BbK2/P7/8 w - -,h4h5
r1bqk2r/1pppnppp/5n2/p2Pp3/1bP5/2NBP3/PP2NPPP/R1BQ1RK1 b kq -,d7d6
r1bqk2r/pp3pbp/2np1np1/2p1p3/4P3/1P1P1N2/PBPNBPPP/R2QK2R w KQkq -,c2c3
8/5r2/1R2bk2/1p1r1p2/p4K2/P4P2/1P4R1/8 w - -,g2h2
1r1qr1k1/p2nppb1/3p2p1/PbpP2Pp/p1N1PB1P/2PB1P2/1P1Q4/3N1RK1 w - -,d1e3
8/8/4k1p1/1p4r1/p6K/P1Bb3P/1P3RP1/8 b - -,g5h5
3R4/p1r2bk1/1p5p/6pP/6B1/P4PK1/1P4P1/8 w - -,d8d2
5bk1/6p1/3p2rp/3Pp3/2NpPp2/1P3Pq1/2PK2PR/6Q1 b - -,g3f3
6k1/3bqp2/6Q1/1P6/2B3p1/6P1/5P1P/6K1 b - -,g8f8
q1r3k1/4bppp/pp2pn2/4B3/P4P2/4P3/1P2BP1P/1Q1R2K1 b - a3,a6a5
5rk1/1Q3pp1/3qp2p/p2p1b2/3P4/4P3/PP2BPPP/2R3K1 w - -,c1c8
4r1k1/2n2qp1/7p/5P2/2pBp2N/2Pn2PP/P3R2K/1Q6 b - -,f7h5
6n1/5pk1/Bp4p1/3pP2p/P3p3/4P2P/r4PP1/1R4K1 w - -,b1b6
r5k1/3q2pp/p2p4/1pbPr3/4p3/PQ1P3P/3N2P1/1R3R1K w - -,d2e4
3n1rnr/p1qb2k1/1p1p1pp1/2pPp1N1/4P2P/1PP1N1PB/P3QR2/3R2K1 b - -,d7h3
rr2n1k1/3b1p1p/3qp1p1/1P1p4/3Q4/2N1P2P/4BPP1/1R3RK1 b - -,d6b6
8/pp1n4/2p1k1p1/4P2p/8/1P1N1KP1/P6P/8 w - -,f3e4
6k1/r2Rpp1p/6pB/2p5/P5P1/6QP/1P2nP2/7K b - -,e2g3
5rk1/pr3ppp/2N1pb2/P6q/1P2b3/6P1/2R4P/1Q1RBBK1 w - -,b1c1
8/5p1k/1p2pPp1/p3Q1Rp/2r1qP1P/2P5/P1K5/8 w - -,e5e4
r2r3q/pp2nk1p/2p4B/2p5/1P2P3/2N3R1/P4PPP/4R1K1 b - -,c5b4
r1bq1r1k/pp2n1b1/6pp/n1pPppN1/P7/N1PP2P1/QP3PBP/R1B2RK1 b - -,h6g5
r1b3k1/pp2pp1p/5bp1/3q4/8/2PB4/1P1Q2PP/2KR3R w - -,c1c2
8/8/8/1Rk3Np/2B5/P5PK/1r5P/8 b - -,b2b5
1b1qk2r/1b3ppp/p3pn2/1p6/2r1P3/P1BN1P1R/1P2K1P1/R3QB2 w k -,d3f2
2r1r1k1/1bq3pp/p2b4/3p1p2/1Pp1n3/PnN1PN2/1BR1BPPP/1Q1R2K1 b - -,c7f7
r3kb1r/pppb1ppp/2nq1n2/1B6/3p4/5N1P/PPP2PP1/RNBQR1K1 b kq -,f8e7
6k1/p3n1p1/P1N1q2p/1P5P/4pP2/8/5QP1/6K1 w - -,f4f5
r3r1k1/pbq2pp1/1p3b1p/3p2P1/3P3P/2NQ1N2/PP3P2/2K3RR b - -,c7f4
r3r2k/1q2bp1p/p2p1npB/1p2p2n/4P3/1PN2Q2/1PPN1PPP/2RR2K1 w - -,d2f1
6k1/R7/P7/1K3r1P/8/8/8/8 w - -,b5c4
2RQ4/1kn5/1p2p1bp/p3q3/P6P/6P1/1P3P1K/8 b - -,e5c5
3r1r1k/p4pbp/1pbpnqp1/8/1P1pP3/P2Q1NP1/1B3PBP/1R2R1K1 w - -,b1d1
3rrb1k/1bp2pp1/p1n4p/1p1n1q2/3PN3/P2Q1N2/1PB2PPP/R1B1R1K1 w - -,f3h4
7r/3P4/R7/5pp1/1k1K4/p7/4B3/8 w - -,a6b6
rn3rk1/1p2ppb1/2pp1npp/7q/p2PP3/2P2N1P/PPBNQP2/R1B1R1K1 b - -,h5h3
rnbq1rk1/p4ppp/4pn2/3p4/Pp1P4/5NP1/1P2PPBP/RN1Q1RK1 w - -,d1b3
8/1R4pk/p6p/8/2p5/2P2K2/1P2r1PP/8 b - -,e2c2
8/6k1/4q1p1/4p1Qp/7K/6P1/3N4/8 b - -,e6d5
r3kn1r/1p4p1/p2np1p1/3p1p2/3P4/P2BqPBP/1P4P1/R2Q1R1K w kq -,g3d6
3q3r/1rpb1kb1/3p2p1/2pPp1Pp/p1BnN3/P1P1B3/1P1Q1P1P/2KR2R1 b - -,d4b3
8/5pk1/1p1n1q1p/2bB2p1/2p3b1/P4NP1/1P1QRPKP/8 w - -,h2h3
rnbqk2r/2p2ppp/4pn2/pp6/1bpP4/5NP1/PPQBPPBP/RN2K2R w KQkq b6,a2a4
4rk2/R4ppp/6b1/p7/5R2/P5P1/7P/6K1 b - -,e8e5
r2q1rk1/pp1bp1bp/1nnp2p1/1B6/3PQ3/2N2N2/PP3PPP/R1B1K2R w KQ -,e1g1
1Q6/6kp/4rp2/4B1b1/p3P3/Pb6/1P2K2P/8 w - -,b8b7
8/6pp/p3k3/1p1p1pP1/1PnP4/P3KP2/7P/2B5 w - -,e3f4
8/5k2/p2r3p/1p1p1P2/P1pP4/2P2KP1/4R2P/8 w - -,a4b5
r1bq2k1/pp3rbN/2n1ppB1/4P3/2pP4/4B3/PP3PPP/2RQ1RK1 b - -,f7c7
r3kb1r/p2q1ppp/2ppB1n1/4p3/4P3/1P3Q2/PBPN1PPP/R3K2R b KQkq -,d7e6
8/1k6/2r2pp1/7p/4P2P/1P1RNP2/2P2KP1/1r6 b - -,b7c7
4nk2/1rpR4/N4p2/1P6/1KP1P1p1/6P1/7P/8 w - -,c4c5
8/p3k3/b1p2p2/2P2P1p/P4Kp1/4P1Nr/6RP/8 b - a3,a6c4
