8/pk6/4q2K/1PQ5/8/7P/7P/8 w - -,h6g5
6k1/5pb1/4p3/5p1p/P7/2r5/1NP2PPP/1K1R4 w - -,d1d3
4r2k/4q2p/3QpRp1/2p1P1P1/1p5P/1P4PK/P7/8 b - -,e7b7
2rr4/p5pk/1pb1pq1p/5n1P/2p2P2/2P2N1Q/P1P3P1/2BR1RK1 w - -,f3e5
8/7p/2k1BR2/p1r1p3/1pN1b3/P7/1K3P1P/8 b - -,b4a3
8/6R1/1k6/1p4p1/3P4/8/PP1r1PPK/8 b - -,d2f2
8/2k5/5n1p/2n3p1/8/4KB2/5P2/6R1 w - -,g1h1
r2b1rqk/3b3p/2p1pn2/1pPpN3/1P1P1PP1/3B3P/1BQ1R3/5RK1 b - -,d8c7
8/8/r4p2/1k6/3PPKP1/p7/8/7R b - -,b5c4
2rqkb1r/3n1ppp/pn1pb3/1p2p1P1/4P3/1NN1BP2/PPP2Q1P/2KR1B1R b k -,c8c3
1r4k1/p4pp1/7p/2P1p3/4N2P/1r2bPPK/R1R5/8 b - -,b8b7
rn3rk1/1p1bbppp/p3p3/8/P1B1N3/1P2P3/5PPP/R1BR2K1 b - a3,d7c6
r3rnk1/pp3pbp/1qp1b1p1/3p4/3P1N2/1P2PP2/PBQ3PP/3RRBK1 w - -,b2a3
8/8/2n5/2kn4/8/PP6/1K6/6R1 b - -,c5b6
7r/1p1k2bp/p2p2p1/2pP2B1/8/N1PbKP2/PP4PP/R7 b - -,c5c4
3r3r/1p1Pb1k1/pq3pp1/3Qp3/4R2p/1N5P/PPP3P1/1K1R4 w - -,b3d4
8/8/6Pk/4pK2/4Bb2/5P2/3r4/R7 b - -,h6g7
k7/1R6/2p5/2Np4/P7/3KP3/r7/8 w - -,b7b6
r2q1rk1/pbpn2pp/1p1p4/3Ppp2/2P5/4P3/PP1nBPPP/2RQBRK1 w - -,d1d2
r1q1r1k1/1ppb1pbp/1n2P1p1/p7/4PP2/P1N3P1/1PQ3BP/R1BR2K1 b - -,d7e6
8/5pkp/3r2p1/8/1R1p1b2/3P3P/1P4B1/6K1 b - -,f4e3
8/4B1k1/6P1/p1p1Nb2/P1P1n2K/8/8/8 w - -,h4h5
r2qr1k1/pp1nbppp/2n5/4pb2/2Pp4/1P1P2P1/PBNNQPBP/R4RK1 b - -,a7a5
2b5/7p/p6k/3PB1b1/R1p1PN2/7P/5KP1/2r5 w - -,a4b4
r1bqkb1r/p4pp1/2p2n1p/n7/4p3/5N2/PPPPBPPP/RNBQK2R w KQkq -,f3e5
2r5/5pk1/p3b1pp/npp5/8/PP2PN2/2B2PPP/1R4K1 w - -,g1f1
1r1q1r2/1pnnppkp/p2p2p1/2pP4/P3P3/2N5/1PPQBPPP/R4RK1 w - -,a4a5
r3n1k1/1pr1b1p1/p2pppp1/6P1/P1P4P/1PNRB3/4PPK1/3R4 b - -,g8f7
6r1/3kr2p/2pN2p1/2Pb1pRP/5P2/P1B5/5KP1/8 w - -,c3e5
1Q3bk1/4rppp/p7/3p4/1PnNq3/2R1B1PP/5P2/6K1 b - -,e7e8
3r1rk1/1bq1bpp1/ppp1pn1p/8/2PP4/1PN3P1/PBQR1PBP/R5K1 b - -,c6c5
rnbq1rk1/pp2ppbp/5np1/3pN3/3p1B2/2N1P3/PPP1BPPP/R2QK2R w KQ -,e3d4
5k2/3q3p/Q4np1/3P4/4p3/7P/PP4B1/7K b - -,f6d5
1r1r2k1/5pb1/pq2n2p/1p1pPB1P/P1pP1Q1B/R7/1P4P1/4R1K1 w - -,f5e6
4nk2/3b4/2p1p3/1pPp1p1P/1P1P1B2/2K1PP2/r1B2P2/6R1 b - -,d7c8
8/1p3k1p/1Bp2pp1/1p6/1P3nPP/Pb1rN3/5K2/1R6 b - -,b3e6
8/p1r2ppp/2pk4/8/R7/3K4/PP3PPP/8 b - -,d6c5
r2q1rk1/pp3pb1/1n2p1pp/3pP3/2P1b3/1PN1B2P/P3BPP1/2RQ1RK1 b - -,g7e5
rn1q1r1k/pp4bp/2ppbnp1/4pp2/1PP5/1QN2NP1/PB1PPPBP/R2R2K1 w - -,a2a4
r2q1rk1/5ppp/p2b4/1ppbp3/2PnP3/1P1Q1N2/PB1P2PP/R4RK1 w - -,e4d5
r1bq1rk1/pp1pnpbp/4p1p1/2p5/3nP3/2NPBNP1/PPPQ1PBP/R4RK1 b - -,e7c6
8/2b5/p2k4/1p1p4/6p1/1P1K2P1/P7/4B3 b - -,d6e5
5rk1/1p2q1p1/p1p1b1Bp/P3Bp2/1bP1nQ2/1P1rRNPP/R4P2/6K1 b - -,e7d7
r3r1k1/3b2pp/q7/3P4/1Bp1pp2/P1Q5/1PP3PP/1K1RR3 w - -,d5d6
3q2k1/3r1p1p/pp1r2p1/2p5/2PpQ3/2PR4/6PP/3R2K1 w - -,e4f4
6r1/5p1k/p3pB2/4P2P/1bp4R/8/PP6/1K6 w - -,h4c4
3r1r1k/4Npbp/p5p1/1pP5/8/1R4P1/P5KP/1R6 b - -,g7f6
6k1/2q2pb1/2b3p1/p1r1p2p/R7/3QNP2/6PP/5R1K w - -,a4c4
2r1rbk1/1p3p2/p1n1b1pp/q2pB3/3P4/5N1P/PP1Q1PP1/1B1R1RK1 w - -,d2f4
r2q3k/r2n2Rp/2p2b2/ppp1pP2/P3P3/1PBPN2P/2P3Q1/6RK b - -,d7b6
2rqrbk1/pb3ppp/np3n2/2ppN3/3P4/1P4P1/PBQNPPBP/3R1RK1 w - -,c2b1
8/1r2kp2/6p1/3P3p/3K3P/R4PP1/8/8 w - h6,d4c5
8/1p3k2/p1b1p3/P3Pp1p/1P5P/6P1/2N2K2/8 w - -,c2d4
3r2k1/p1r1qbbp/2p2np1/N1Pppp2/1P6/P3P1P1/4QPBP/B2R1RK1 w - -,f1e1
3Nr1k1/pbp3p1/1p1b1n1p/n3N3/P7/1PP4P/2B2P1P/R1B1R1K1 b - -,e8d8
r2q3k/pb2bpn1/1p2p1pB/6N1/8/2P4Q/PPB2PPP/4R1K1 b - -,d8e8
8/R7/4pr1p/8/5k2/8/6KP/8 w - -,a7a4
8/4R3/3Kpkp1/5p2/4nP1P/6P1/8/8 w - -,d6d7
r2q1rk1/p1pnb1p1/1p1pp2p/5p2/2PPb3/4PNBP/PP2BPP1/R2Q1RK1 w - f6,f3d2
2krnb1r/ppq2ppp/2p1p3/3pn1P1/7P/1P2P2B/PBPPQP2/RN2K2R w KQ -,d2d4
6k1/2p1rqp1/1p1p1pR1/5P1n/PBr1p3/4P3/7P/1R1Q3K b - -,h5f4
8/8/2p3K1/1p5P/1P1k4/P7/8/8 b - -,d4c3
1r4k1/3n1ppn/2q1p3/r2p2PQ/1bpP1P2/2N5/1P1B2KP/1BR1R3 b - -,d7f8
r2q1rk1/pbpnbppp/1p2pn2/3P4/3P1N2/P1N1P3/1P2BPPP/R1BQ1RK1 b - -,e6d5
r2q1rk1/pp1n1ppp/3pbb2/2p5/3PP3/1B1P1N1P/PP3PP1/R1BQR1K1 b - -,c5d4
r2q1rk1/pp1nbppp/2p1b3/3n4/3P4/2NB1N1P/PP3PP1/R1BQ1RK1 w - -,f1e1
3q1rk1/pr2npb1/2n1p1pp/1ppp4/4PB1P/1PPP1NP1/P3QPB1/2RR2K1 b - -,g8h7
r5k1/4p1bp/b4pp1/3p4/1Q1P4/q1r1P2P/3N1PPB/1R3RK1 w - -,b4a3
1q3n2/6pk/2p1P1p1/2N5/1K2Q3/7P/P5P1/8 w - -,b4c3
8/1p6/p3n1p1/P2k3p/1P3P1P/3KB3/8/8 b - -,e6f8:e6c7:e6g7
2r1r1k1/6pp/1p2bp2/p2p4/R4BPP/2P2P2/PP6/4R1K1 b - g3,e6d7
r2q1rk1/ppp1npb1/6pp/3pp3/3nP1b1/3P1NPP/PPPBQPB1/RN3RK1 w - -,e2d1
rn1qk2r/1b3ppp/4pn2/p7/1pPP4/3BPN2/3B1PPP/R2QK2R b KQkq -,e8g8
r2qr1k1/5p1p/bpPp2p1/pNn5/P7/8/1PQR1PPP/R5K1 b - -,a6b5
r4rk1/1pnbq1b1/p2p2B1/P2Pp1P1/1P3p1B/2NQ1P2/4N3/1R2K3 b - -,d7e8
r3r1k1/2pb2bp/2p2pp1/pqPp4/3QPN2/2B2P2/PP4PP/3R1RK1 b - -,g8h8
2r5/3q2pk/p1Q1bp1p/N3p3/3p4/1P1P2P1/P3PP1P/2R3K1 w - -,c6c8
2rr1nk1/pb2qppp/1p1n4/4p3/1P1N4/P2BPPB1/4Q1PP/2RR2K1 w - -,c1c8
rnb1qrk1/pp2p1bp/2pp1np1/2P2p2/1P6/3P1NP1/PB2PPBP/RN1Q1RK1 b - -,h7h6
4r1k1/2p2pb1/6pp/2Bq4/1PpP4/6P1/2Q2P2/2R3K1 w - -,c2c3
2kr1b1r/1pn2pp1/1Bp3p1/5nP1/2PN4/7P/PP3P2/2KR1B1R b - -,f5d4
4rr2/ppp3kp/3p2nq/3P4/2P1p2P/2N5/PP1Q1P2/2KR3R w - -,h4h5
5rk1/5p2/3b2pp/p2Pr3/P5PP/3B3R/2P5/R6K w - -,c2c4
r2q1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N1BB2/PP3PPP/R2QK2R w KQ -,e1g1:g2g4
r1b1k2r/pp2qp2/2pp1n1p/2b1p1p1/B3P3/2NP1Q2/PPP2PPP/R1B2R1K w kq -,c3d5
3r4/3r4/pR2np2/2p2k1p/P2P1P2/4BK2/2P2P1P/3R4 b - -,e6d4
