5k2/8/2K5/3Q4/q1P5/8/8/8 w - -,c6d6
r2q1rk1/pp2ppb1/2p2npp/6N1/2PP2b1/6P1/1BQ1PPBP/R4RK1 w - -,g5f3
3r2k1/ppR2p1p/5p2/3r1bp1/3P4/2K3N1/PP3PPP/7R b - -,d8d7
k1b3rr/2p1q1p1/p2p2Pp/4pP2/1pPnP1Q1/P6R/6BP/4BRK1 w - -,a3b4
r4rk1/pbpnbppp/1p2p3/3q4/3P4/P1B2NP1/1PQ1PPBP/3RK2R b K -,d7f6
3rr1k1/1p3pbp/2pP2p1/P4p2/2B1bB2/q2n1P1P/P1NQ2P1/2R1R1K1 b - -,a3c5
r3r1k1/4ppnp/3p2pQ/2pP1b2/P7/2N2PPP/1q3PB1/2R1R1K1 b - a3,f5d3
8/1p1rk3/p3pp1p/2RnBP2/1P5P/P3P3/4K1B1/8 b - -,b7b6
8/5r2/5pk1/8/5KP1/3Q4/8/8 b - -,g6g7
r4nk1/pp1q2pp/1bp1prp1/8/2PPR3/1P4P1/PB2QPBP/R5K1 w - -,a1d1
6k1/1pB3p1/r6p/1N6/5r2/8/p5PP/R5K1 b - -,f4b4
1r4k1/rq1nppbp/pp1p2p1/2pP4/P1B1PP2/2P3BP/1P2Q1P1/R4R1K b - -,d7f6
8/p4r2/1pn2kpp/2p5/2P4P/PPK1RN2/8/8 w - -,e3d3
r5k1/5pp1/3p3p/p1bPpP2/Rr2P1NP/1Pp3P1/2P3K1/R7 b - -,a8b8
r4rk1/pppqn1pp/1bn2p2/3p4/3P4/P2NB3/1PP1NPPP/R2QR1K1 b - -,e7f5
r1b2rk1/1pp1qpb1/n2p2p1/p2Pp2p/2P1P3/2N1B1PP/PP2BP2/R2QK2R w KQ -,d1d2
4n1k1/2q1pp1p/3p2p1/2pPn2P/rrB1P3/2R5/1P2QPP1/2B2RK1 w - -,b2b3
4r1k1/1Q3ppp/3p4/2pPp3/2P1P1bq/2N1b1N1/P5KP/1R6 w - -,b1f1
r1b1r1k1/pp2qppp/2ppn3/2b5/2P1N3/5NP1/PPQ1PPBP/3R1RK1 w - -,e4c5
2B5/2n2pp1/1ppk4/6p1/1PP5/4KPP1/7P/8 b - -,c7e8
8/5k1p/2R2n2/p3p3/2P1P3/r3BK1P/7P/8 w - -,c6c7
5rk1/6p1/p6p/6p1/2qp4/P5R1/1P1RNPK1/8 b - -,c4c6
8/6k1/4R2p/5K2/r5PP/8/8/8 b - -,a4a5
r3k2r/ppqn1pp1/2p1pb1p/7P/3P4/3Q1N2/PPPB1PP1/2KR3R w kq -,c1b1
2r5/5k1p/1RN3p1/2P1Bp2/2r5/7P/5PP1/6K1 w - -,e5d6
r2r2k1/pp2bppp/2p2n2/7q/4P1P1/2N1B3/PPQ2PB1/R2R2K1 b - -,f6g4
r1b2rk1/p2n1pp1/1pp1pq1p/8/2PP4/5N2/PPB2PPP/R2Q1RK1 b - -,c8b7
2qr1kr1/pp2pp2/2n4p/2pPR1P1/2P5/N5Q1/PP1B1P2/R5K1 w - -,e5e4
r3k2r/pp1bbppp/1q6/3B4/1n3P2/1N2B3/PPP1Q1PP/R3K2R b KQkq -,b4c2
r1b1kb1r/p4ppp/2p2n2/4p1B1/1p2P3/PBN5/1PP2PPP/R3K2R w KQ -,a3b4
8/1r1nkp2/1pR4R/5p1p/1P5P/6P1/6K1/8 b - -,b7a7
r2qkb1r/1ppbn1pp/n2p4/p2Ppp2/4P3/2N1B1P1/PPPNBP1P/R2QK2R b KQkq -,g7g6
rn1qkb1r/1bpp2pp/pp2pn2/5p2/8/1P2PN2/PBPPBPPP/RN1Q1RK1 b kq -,g7g6
r1bqr3/pp2ppkp/2n3p1/2pn4/8/1P1PPN2/P3BPPP/RN1Q1RK1 w - -,d1c2
r2qk2r/1bp1bpp1/p6p/1p1nR3/8/1PN2N2/1PPP1PPP/R1BQ2K1 b kq -,e8g8
6k1/1b6/pB1p3p/1p4p1/1P6/2P4P/1P3QPK/1q6 b - -,b1e4
r4r2/1p1n1ppk/p2p3p/q3pQ2/4P3/1PPBB2P/5PP1/3R2K1 b - -,h7g8
r3r1k1/1p3pbq/2p2n2/p1Pp2p1/P2Pp3/1P2P1PN/4QPBK/R6R b - -,g5g4
r1b2r1k/ppq1p1bp/2pp2p1/2P2p2/3PnP1P/1QN2NP1/PP2BP2/3RR1K1 b - h3,d6d5
1r3rk1/p1p3pp/2pb2b1/3p2Bn/3P4/2N2P2/PPP3PP/2KR1B1R b - -,h5f4
1q5k/3Qp1r1/3p2rp/P1pPp1bR/2N1P3/1P3RP1/5P2/5K2 b - -,b8a8
r4rk1/pbpn2pp/1p6/4p1q1/2PP4/P4PB1/1PQ3BP/3RR1K1 b - -,b7f3
3R4/3P4/3K2p1/5pk1/8/2r5/8/8 b - -,c3d3
b7/8/P1pBk1Bb/3pP1p1/3P3p/5P2/5KP1/8 w - -,g6h5
r2q2k1/1b1n1pbR/p2p4/4ppP1/1p2PP2/3P2NQ/PP5P/1KB5 b - -,e5f4
r1r3k1/1p1q1pb1/2np2p1/pn4Pp/3PPNbP/1P2B3/P2Q1NBK/2R2R2 w - -,c1c4
q1r3k1/1p1b2bp/3p2p1/3Ppp2/4P3/r1N1BPP1/PQ4BP/R5K1 w - -,a1c1
8/1rkn3p/R1pb1pp1/1p2p3/p3PP2/P1PNBKP1/1P5P/8 b - -,b7b8
r2qkb1r/p1pn1ppp/1p6/1B1Pp3/4P3/1QP2P2/P4P1P/R1B1K2R w KQkq -,b5c6
r1b2rk1/1pqpbppp/p1n1pn2/8/4P1P1/PNN5/1PPBQP1P/2KR1B1R w - -,g4g5
1rbqrbk1/5p1p/pn1p1np1/N1pP4/4P3/2N3PP/1P3PB1/R1BQR1K1 b - -,c8d7
2rr4/2q1kp2/3p1pP1/1p6/p3P3/3R4/P1PQ3P/1KNR4 b - -,f7g6
r1b2rk1/4nppp/p1pQ4/1pq1p3/4P3/2N5/PPP1BPPP/R2R2K1 b - -,c5d6
4q2k/6b1/pp5p/3Qp1pP/P5P1/8/1P3P2/5NK1 b - -,e8a4
r2q1rk1/1p1nnppp/p3p3/2NpPb2/8/2P2N2/PP2BPPP/R1BQ1RK1 b - -,d7c5
6k1/ppr1pp1p/6p1/3Pq3/8/2PR2P1/5P1P/1Q4K1 w - -,b1c1
r3k2r/1bqnbppp/p2ppn2/1p6/3NP3/P1NBB3/1PP1QPPP/R4R1K b kq -,e8g8
r3qrk1/1bp3p1/1p1p1n1p/p3p3/P1PPPn1B/2P2N2/2B3PP/3QRRK1 w - -,f3d2
2r2n1k/2p2rN1/1pq1p1Rp/2P1P2P/1P6/6Q1/5PP1/4R1K1 w - -,g6h6
r3k2r/pp1qpp2/1bn1b2p/1N1p2pB/8/6B1/PPP1QPPP/R4RK1 w kq -,c2c4
4r1k1/p4p1p/1p1q2p1/2pBrn2/2Pp1Q2/P2P2P1/1R2PP1P/4R1K1 b - -,d6e7
2r1k2r/1p1bbppp/pq2p3/3pNn2/1P1P4/P2Q4/1B1NBPPP/R4RK1 b k -,d7b5
rnbq1rk1/ppp1npbp/6p1/4p3/1PPp4/3P1NP1/PB2PPBP/RN1Q1RK1 b - -,c7c5:h7h6
7r/8/4rnk1/2p1p3/2P1P1p1/R5N1/2P2RK1/8 b - -,h8h3
2rr1k2/4ppbp/3P1np1/p1p2q2/PpQ5/5BB1/1PP2PPP/3RR1K1 b - -,e7d6
r3k2r/pp1bqp2/1n1p1np1/2pPp3/2P1P2p/1PNN1P2/P2QB1PP/R3K2R w KQq -,a2a4
8/1p2q2k/6b1/3Q4/P2P3p/5P2/6PK/8 w - -,h2h3
4r1k1/pp1r2q1/2p3p1/2P1P3/8/2Bp2P1/P6P/3QR1KB w - -,d1d2
rnbq1rk1/pppp1ppp/4p3/7n/2PP4/P1P2P1N/4P1PP/R1BQKB1R b KQ -,f7f5
3rrbk1/1pq2pp1/2p1pnp1/p7/P1BP4/1Q2PPP1/1P4KP/2RRB3 b - -,f6d5
2r2rk1/p3ppbp/1Nnp2p1/6P1/4PP2/1N1P3b/PP3R1P/R1B4K b - -,a7b6
r1bqkb1r/pppn1ppp/2n5/1B1pP3/3p4/5N2/PPP2PPP/RNBQK2R w KQkq -,e1g1
rn1q1rk1/ppp1bppp/1n1p4/8/2PP4/2NB2P1/PP2Q2P/R1B2RK1 w - -,e2e4
rn2kb1r/1bq2ppp/p2p1n2/2p1p3/Pp2P3/N1PP1NP1/1P3PBP/R1BQR1K1 w kq -,a3c4
8/pr5p/2pB2P1/2P3R1/3k2P1/1p6/2bK1P2/8 b - -,h7g6
8/1pBr1k2/p2P2p1/P2R3p/4rPb1/6P1/3R1K2/8 b - -,e4c4
r1br1qk1/1p3p1p/3P2p1/p1nRp1N1/2P5/8/P1Q1BPPP/R5K1 b - -,c8f5
6k1/p1q2b1p/1p2p1pb/3p1p2/P2P1PP1/1P2P3/3BB2P/3Q2K1 b - -,h6f8
r1b3rk/4bq1p/3p1p2/p3p2B/1pP1P3/4B1R1/PP4PP/R2Q2K1 b - -,f7e6
R7/7k/P7/r7/4K3/6P1/8/8 b - -,a5g5
r2qk2r/1p1n1pp1/p2n1b2/2pPp1p1/P3P1P1/2N2P1P/1P1Q1B2/R3KB1R b KQkq -,b7b6
4r1k1/1b1n1pb1/pq1p2pp/1p5n/1P2P2B/1Q1B1N2/P2N1PPP/2R3K1 w - -,a2a4
8/5p2/2k5/8/pR6/3K1P2/q2N4/8 w - -,b4c4
8/8/3r4/p7/1pP5/1P3k2/P3p3/1R3K2 w - -,f1e1
r1b2rk1/ppq2ppp/2nbpn2/3p4/3P4/1PPB1N2/P3QPPP/RNB1R1K1 w - -,b1d2
r2qr1k1/pp2ppbp/2p2np1/3pBb2/2P5/1P4P1/P1QPPPBP/RN3RK1 w - -,d2d3
