8/7p/4k3/R5p1/1p2K3/5P2/P5rP/8 b - -,g2e2
r1bq1r2/2p3k1/p2p2n1/1p2pPpn/7p/1BPP1P2/PP3RPP/R2QNN1K b - -,c8f5
5k2/3n3p/2p3p1/3pPp2/8/1P1B1KPP/P1P5/8 w - -,f3f4
8/8/4k3/6p1/4p1Pq/4B3/4BK2/8 w - -,f2f1
8/nk3p2/1p2p1pp/3pP3/3P2P1/2r1P3/PR2BK1P/8 w - -,e2d1
2rq1rk1/3b1p1n/p1np4/4pPpN/3PP1P1/4Q3/P3N1B1/R4RK1 w - -,a1d1
3r3k/4b2p/4ppqP/p7/1pp3P1/P3QB2/1PPrN3/1K5R w - -,f3e4
2br2k1/4r1pp/1q1p1b2/p1pP1p2/2P1pP2/1P2B1P1/P2QR2P/3R1BK1 w - a6,d1b1
6k1/8/4N1p1/2b4p/1n6/6PP/5P2/6K1 w - -,e6c5
3q1r2/3nr1bk/3p2pp/1ppP4/6P1/4B1NP/1PQ2P2/4RRK1 w - -,g4g5
1q1rr1k1/1b3p1p/pNn3pb/1PPp3n/3B4/1NR2P2/P4QPP/3R1BK1 b - -,a6b5
r2q1rk1/2pp2bp/1pn1pnp1/p7/3P1P2/5NP1/PPPNQ2P/R1B2RK1 w - a6,d2c4
rn2kb1r/pp3ppp/1qp1pn2/3p3b/2PP2PN/1QN1P2P/PP3P2/R1B1KB1R b KQkq g3,h5g6
1rb2rk1/4qpbp/p2p2p1/1ppB4/3pP3/3P1N2/PPPQ1PPP/R4RK1 w - -,a2a4
3r2k1/p1rq1ppp/4bb2/2P5/pR3Q2/6P1/1P3PBP/2R1B1K1 b - -,d7e7
2r3k1/1b4q1/4n1pp/P2p1p2/2p1nP2/8/PQ3PPP/BBR1R1K1 w - -,b2b6
7R/8/8/8/8/3K4/pk6/8 w - -,h8h2
2rq2rk/pp2bp1p/4p3/1Q3p1N/3Pp2P/2P3P1/PP3P2/R3K2R b KQ -,d8c7
r4rk1/3qp1bp/1p1p2p1/p1nP4/4p3/1P1B1P2/P1RQ1BPP/3R2K1 w - -,d3e4
r2q1rk1/pppb1ppp/2n1pn2/3p4/2PP4/5NP1/PP1NPPBP/R2Q1RK1 w - -,f1e1
r1bq1rk1/pp2nppp/2nb4/3p4/8/1N3N2/PPP1BPPP/R1BQ1RK1 w - -,c2c3
2rbk2r/1bqp1ppp/p1n1p3/1p6/4PP2/2P1B3/PPBN1QPP/R4R1K b k -,e8g8
6k1/6bp/3P4/R4p2/2r5/2N1B3/3K1nP1/3N4 b - -,f2d1
5R2/8/8/6r1/8/1K4p1/8/6k1 w - -,b3c2
2rq1rk1/pb2bpp1/1pn1p2p/3n4/3P4/P2B1NB1/1P2NPPP/2RQR1K1 b - -,e7d6
r4rk1/1pq2pp1/p3bn1p/2p1p3/4PP2/2N3P1/PPPQ2BP/3R1RK1 w - -,d2d6
r1b1qrk1/ppp3bp/n2p1pp1/3N2B1/2PpP1n1/5N1P/PP2BPP1/R2Q1RK1 w - -,g5f4
3qr1k1/1br2p2/pp2n1p1/3pP2p/3Q1P2/2N2B1P/PP4P1/3R1RK1 w - -,d4d2
2r2rk1/1q1nb1p1/pB2b2p/P3p3/5p2/2P2N1P/4NPP1/R2Q1RK1 b - -,e5e4
4r3/pp1R4/5k1p/2p1p3/2P2p1n/8/Pq3P1P/4R1KB w - -,e1d1
r2q1rk1/1pp2ppp/p1npbn2/4p3/P1P1P3/1PP3P1/2Q2PBP/R1B1K1NR b KQ a3,d8d7
8/8/3R4/p1p5/2r1k1p1/2P3K1/8/8 w - -,d6a6
1rb2rk1/p3pp2/1q1p1bp1/6Np/3PP2P/1PB2P2/1Q4P1/1K1R3R w - -,b1a2
3r2k1/5pp1/2p3bp/pp6/4P3/P4PPP/1PN1NK2/5B2 b - -,d8d2
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N5P1/PPP2P1P/R2QKB1R b KQkq -,f6g5
2r3k1/5pp1/pp1nb2p/4R3/2q5/2B3Q1/1P3PP1/4R1K1 b - -,c4g4
r5k1/2q2p1p/B2b4/2Bp1p2/1P6/Q1P3P1/P4P1P/6K1 w - -,c5d4
r1b1kb1r/ppp2ppp/8/4n3/5B2/2N5/PPP2PPP/R3KB1R b KQkq -,f8d6
rrq3k1/2pb1pbp/1p1p1np1/2nPp3/p1P1P1P1/2N1BP1P/PPBNQR2/1R4K1 b - -,h7h5
r1bq1rk1/pppnppbp/6p1/5n2/3P4/1BN1BN2/PPP2PPP/R2Q1RK1 w - -,e3f4
6k1/4p3/2p4p/p1PpP1p1/P1n1b3/2B2qP1/5P2/Q3R1K1 w - -,e1e4
4k2r/4bppp/p3bn2/1p1pp3/4P1P1/2P1BP2/1KP4P/R4B1R b k -,d5e4
5kr1/3Qbp1p/p7/2pRP3/1p4p1/6q1/PP6/5R1K b - -,g8g6
8/8/7Q/K7/4q3/5kp1/8/8 w - -,h6f6
2b2rk1/p3qp1p/1p4pP/n1p1P3/4P3/2PrB1Q1/P3N1P1/2R2RK1 w - -,e3g5
rnbqk1nr/p2pppbp/1p4p1/2p5/1P2P3/P1P5/3P1PPP/RNBQKBNR w KQkq -,d2d4
6k1/6p1/1nP2p1p/2r1p3/4P3/4NP2/6PP/1R4K1 b - -,c5c6
2r2rk1/1pqnppbp/p1p3p1/7n/PPP5/4BNPP/2Q1PPB1/2R2RK1 b - b3,e7e5
r4rk1/pppqnpb1/3pbnpp/1P2p3/2P5/2NP1NP1/PB2PPBP/1R1Q1RK1 w - -,c4c5
6k1/1ppnr2p/2n3pB/p7/2R1p3/2P3P1/1P5P/4R2K b - -,d7f6
r4rk1/pp2n1p1/4Pp1p/8/P5N1/2PR4/5PPP/R5K1 b - -,f8e8
1b1rr2k/1p5p/2q1ppnP/p3n1pQ/P1pBP3/2P3PB/1P3P1N/R3R1K1 b - -,b8c7
r1bqr1k1/1p1nppbp/p2p1np1/6B1/2PN4/2N3P1/PP1QPPBP/2R2RK1 b - -,d8a5
r1b1kb1r/1pqn1ppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R b kq -,b7b5:f8e7
7r/5p2/p1kbpn2/P1p5/1pP2p2/5P1p/1P3B1P/R2R1K2 b - -,d6e5
r1b1nq1k/1p4bp/6p1/p1nBpp2/P1P5/1P4P1/2Q1PP1P/R1BR2K1 w - -,c1a3
2rr2k1/1p4np/p1pp3q/P3P1p1/1PP2p2/2P1QPP1/3R2KN/3R4 w - -,e3e4
3b3r/p4pk1/1pN1p1q1/4P1pp/P2P4/2R2Q1P/1P4P1/6K1 w - -,f3d3
1k1r1r2/1bppq3/1p5p/5N2/1P4p1/P1NQ1P2/3K1P2/R6R b - -,e7g5
r1bqk2r/pp2npb1/3p2p1/2pPp2p/4P2P/3PB1PB/PP3P2/R2QK1NR b KQkq -,c8d7
8/5k1p/p1rpppp1/8/P4PP1/1P5P/R7/7K b - -,c6c3
5k2/6pp/8/5p2/p5r1/2K5/P1R4P/8 w - f6,c2d2
3r4/1k6/5R2/1p4R1/2b5/8/2P3KP/8 w - -,g5g7
q5k1/5p1p/3Q2p1/3P4/4PP2/1P6/1b3nPP/5RK1 b - -,b2d4
r2k3r/ppqn4/2pbp1Qp/8/3P4/2P4P/PP3PP1/R1B2RK1 w - -,c1h6
r2q1rk1/p2pppbp/bpn2np1/8/2P5/1NN1PB2/PP3PPP/R1BQ1RK1 w - -,b3d2
rnb3k1/pp1q2bp/2p3p1/4p3/2P2r2/2NP1N2/PP1QPPBP/2KR3R b - -,b7b5
8/1p6/p7/3b2Np/1P4kP/2P2p2/1P3K2/8 w - -,g5h7
r7/1p1qb1nk/r2p1p1n/1NpPp1pP/P1P1P1P1/R3N1K1/1R1B4/3Q4 b - -,e7d8
6k1/1p5p/3npp2/p5p1/P2Pp1P1/1Pr5/4PPBP/5RK1 w - -,f1b1
2k5/1p6/1K6/P3Bn2/8/6p1/1P6/8 b - -,g3g2
1rn1qB2/2n4k/pp2p1p1/2p1p3/2P3B1/2PQ3P/6P1/5RK1 w - -,d3e3
r2r2k1/p1p1qpbp/bn4p1/2p5/5N2/2N1P3/PPQB1PPP/2R1R1K1 b - -,a8b8
r2qk2r/1p2bppp/p1nppn2/2p4b/P3P3/3P1NPP/1PPN1PB1/R1BQ1RK1 w kq -,f1e1
5rk1/6r1/3p4/RP1Npppp/8/8/P1P4P/2K2B2 b - -,f5f4
2kr3r/pp2qpp1/2n1p2p/3pP3/b1pP1P2/P1P5/2PNB1PP/R2Q1RK1 b - f3,g7g6
8/8/7R/1p3k2/p1p2P2/P1K5/1P4rp/8 w - -,h6h4
3r2k1/1pn2p1p/6p1/2n2P2/1pPN4/1P6/r1B3PP/3R1RK1 w - -,f1f2
8/1N2k1bp/p2p2p1/2pP4/6P1/1P6/P6P/6K1 b - -,g7c3
8/8/1q6/4n2B/1p1k4/1P2pp2/2P5/6QK w - -,g1d1
6k1/3npp2/1p1p2p1/qNnP3p/2P1P3/Q3BPbP/5K2/3B4 w - -,f2g3
r2q1rk1/pp4pp/3b4/2p1n3/2PpP3/1P3pP1/P4P1P/RQB2RKB w - -,c1f4
5b2/3r3r/1p1pkp2/3RpN2/P1P1P2P/1P6/6K1/5R2 w - -,g2h3
r7/p1p2k1p/1p1b1p2/1P3bp1/2P5/2B2N2/1P3PPP/R5K1 w - g6,f3d4
2rb1nk1/1p1r1ppb/p1p1p2p/N1Pp4/NP1PB1P1/6BP/1P2PP2/R1R3K1 b - -,h7e4
8/1R6/2P1p1k1/8/3Pp1K1/4r3/8/8 w - -,b7b5
