8/8/5qpk/4p3/6Qb/3B4/4K3/8 w - -,d3g6
rnb2rk1/1pqpppbp/6p1/p1n5/2P5/PP2PN2/R2NBPPP/2BQ1RK1 b - -,b8c6
rn1qk2r/pb2bppp/1pp1pn2/3p4/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b kq -,b8d7
r1b1r1k1/ppq2pbp/2pp1np1/4n3/N1PNPB2/6PP/PPQ2PB1/R2R2K1 b - -,b7b6
7r/5p2/4pk2/Rp1r4/1P3p1P/2P4R/5KP1/8 b - -,f6f5
8/8/8/8/2kn4/K1b5/8/8 b - -,d4b3
6k1/1K4p1/1PN1p2p/3pP1b1/q2P2N1/P7/8/1Q4n1 b - -,g1e2
rnb1k2r/pp2b1pp/2pq1p1n/4p3/3P4/2N2NP1/PPP1QPBP/R1B2RK1 b kq d3,h6f7
r1bq1rk1/ppp2p1p/2nb1pp1/7Q/2BP4/2N1P3/PP3PPP/R3K1NR w KQ -,h5f3
2Q5/p4ppk/2p4p/8/3q4/6PP/PP3P1K/8 w - -,c8f5
5r2/pp2kp2/r5pp/4p3/4P1P1/P1P2R2/2P4P/2K2R2 w - -,c1b2
1k1nr2r/pp4q1/2np4/2pNpp1p/B4P1P/2PPQ1P1/PP6/1K2RR2 w - -,e3f3
rn2k2r/3nqpbp/1p2p1p1/3pP1NP/p1pP1P2/2P2N2/PPQ3P1/R1B1K2R w KQkq -,g2g4
r1bq2k1/pp1n2pp/2pbpr2/3pN3/2PPpP2/4P3/PPQ1B1PP/R1B2RK1 w - -,c1d2
r2qbrk1/1pp1b1pp/2n1p3/p2p1p2/2PPn3/PPN2NP1/1BQ1PPBP/R4RK1 w - -,f1d1
5k2/3R3K/3p3P/8/8/8/8/6r1 b - -,g1g2
r2qr1k1/pp1n1pbp/3p2p1/2pP4/Pn2PP2/2N1BB1P/1P2Q1P1/R4RK1 b - -,a7a6
r1bq2kr/p5pp/2pb4/n2n4/8/3B4/PPPPQPPP/RNB1K2R b KQ -,d5f4
1kr5/p7/2p2B2/2P1Pqpp/3Q4/PPK5/3R4/8 w - -,d4d3
3r4/R2n1kp1/1p1r1p1p/8/6Q1/3qP1B1/5PPP/5RK1 b - -,d6d5
r1b5/p5p1/1p2k1n1/3p4/1R2p3/P1q1BQ2/2P2PP1/3R2K1 w - -,b4e4
q1r1b3/2r3nk/pb1p1ppp/1p1Pp3/1P2P1PP/3B4/P2Q1P1R/1N3RNK b - -,a8a7
r1bq1rk1/2p2ppp/1pnb1n2/p3p3/4P3/1NP2NP1/PP2QPBP/R1B2RK1 w - a6,f1d1
3r1k2/1p1rbp1p/4p1p1/p1p5/P1BP1P2/2PR1K2/1P2RP1P/8 w - -,e2d2
5rn1/4qpbk/rp4bp/4p1p1/2Pp4/PR1P1NP1/1Q2NPBP/1R4K1 w - -,b1e1
r1bq1rk1/pp2b1pp/4p3/3pNp2/3Pn3/2PB1P2/PP1N2PP/R2QR1K1 b - -,e4g5
6k1/1b3pp1/8/1P3P2/3RPQq1/6P1/r5KP/8 w - -,g2g1
8/3r3p/8/8/2k1R3/1p3P2/pK4PP/8 b - -,c4d3
3r2k1/1p3pb1/4p1p1/p6p/4NP1P/P5P1/1PR4K/8 w - -,b2b3
2R1nbk1/pb2qppp/1p2p3/4N2P/3PpP2/1P4P1/PB2Q2K/4R3 b - -,b7c8
8/r6p/4n3/6k1/2N5/1P3R1P/1K4P1/8 w - -,c4d6
r1bqk2r/pp2npb1/2np2p1/2p1p1P1/2P5/1PNPPN2/PB3P2/R2QKBR1 b Qkq -,c8e6
2Q3k1/1p3pp1/1qb4b/p3r3/P2p4/6P1/1P3PP1/R1RN2K1 b - -,g8h7
r2qr1k1/3nbppp/4bn2/pppp2B1/8/2PP1NNP/PP1QBPP1/R3K2R w KQ a6,e1g1
7K/1p6/8/p2p4/P4kp1/1P1R4/8/8 b - -,f4e4
1r6/4k2p/2n1p3/PBP3p1/KP4P1/4bp1P/8/3R4 b - -,c6d4
1r1q1rk1/3b1p1p/p1pp2p1/n3p3/Pp2P3/3PPQ1P/BPPN2P1/R4RK1 b - -,g8g7
1rbqr1k1/1p3pbp/2pp2p1/p1n1n3/P1PNP3/2N1B1PP/1P2QPB1/1R3RK1 w - -,f1d1
r1bqk2r/1p1nbppp/p1npp3/6P1/3NP2P/2N1B3/PPPQ1P2/R3KB1R b KQkq h3,d8c7
r3k2r/1np3p1/2pb4/4p2p/p1p1P1QP/P1P1B1P1/1P6/1K1RN2R b kq -,h5g4
r1r5/1Rp3nk/p1P1p1p1/P2pPp2/7P/3P1B2/5P1P/1R3K2 w - -,f1e2
8/4b3/2R5/p1N2k2/7r/8/3K4/8 w - -,c6c7
8/pb3k2/2p2p2/2Pp2pp/8/3B3P/P1P1KPP1/8 w - -,d3f5
r4rk1/p1q1bpp1/2ppp1bp/2pnP3/8/2PP1NNP/PP3PP1/R1BQ1RK1 w - -,f1e1
3q1rk1/p4pbp/1p2rnp1/6B1/3pN3/P5P1/1P2PP1P/2RQ1RK1 w - -,g5f6
5rk1/1p4q1/p1bbp1p1/2pp2Bp/7Q/2P2B2/PP4PP/3R1NK1 b - -,b7b5
r3k1r1/ppb1n3/2p3pB/4pp2/7P/6P1/PP2PPB1/R2R2K1 b q -,e5e4
3Rr1k1/p4bq1/1p5p/4r1pP/6B1/P1Q2P2/1P4P1/3R2K1 b - -,e5e7
2r1rqk1/pb3pb1/3p1np1/2nPp1Bp/p1p1P3/2P2NNP/1PBQ1PP1/R3R1K1 w - -,c2a4
r1B2bk1/pp2q1pp/n1p5/3pN3/3Pb1Q1/8/PPP3PP/R1B3K1 w - -,c1g5
2r1r1k1/p1q1p2p/2pnP1pb/1pBb1pN1/3P4/2P4B/P4PPP/2QRR1K1 w - -,f2f4
rn1q1rk1/4ppbp/2p2np1/1p6/3P4/1QN2N2/PP3PPP/R1B1R1K1 b - -,e7e6
1r4k1/6p1/3R2q1/4pb2/1p1n3p/1P3P1P/3Q2P1/R2B1N1K b - -,g6d6
r2q1rk1/2p1b1pp/p7/np1p1p1b/P1NP4/2P2N1P/1PB1QPP1/R1B2RK1 b - -,b5c4
2r3k1/p4p1p/1p2p1p1/2q5/P1P2P2/3rP3/1Q2RKPP/2R5 w - -,b2b5
3r4/q4k2/1n5Q/1Pb1r1p1/2p4P/2P3P1/1P4BK/2B5 w - -,h6h7
r5k1/1p1q1pb1/2p3p1/3n3p/P2P3P/1B3QP1/1B3P2/4R1K1 b - -,a8d8
2r3k1/4Rpp1/pp2p2p/4p3/P7/2N1N1P1/1r3P1P/6K1 w - -,c3e4
r3k2r/ppbq1ppp/2p1n1b1/2p1pN2/4P3/3PB2P/PPPQNPP1/R4RK1 b kq -,e8c8
2r4k/p1r1qpp1/np2p2p/8/5Q2/2R1PN1P/PP3PP1/2R3K1 w - -,c3c7
3r1rk1/R2R1p2/4p1p1/1p2PnNp/5P2/8/PPP1N1b1/1K6 w - -,d7c7
2r3k1/p4pbp/6p1/8/8/2n2B2/6PP/K1B1N2R b - -,c8b8
r1bqkb1r/pp3ppp/2n2n2/2p1p3/2Pp4/4PNP1/PP1P1PBP/RNBQ1RK1 w kq e6,e3d4
3r2k1/4pp1p/p5pb/1p1nP1N1/2p1QP2/2P1q1N1/PP4PP/5R1K w - -,e5e6
r2q1rk1/1b3pbp/p1n1p1p1/3n4/3P4/Q1N1BN1P/PP2BPP1/3RK2R w K -,c3d5
5k2/3b2pp/2pNp3/3p1p2/3P1P2/1R2P3/1P3KPP/r7 b - -,a1a8
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/2PP4/1Q3NP1/PP2PPBP/RNB2RK1 b kq -,d8b6
1r4k1/4p2p/6p1/2Q2p2/8/1b1q3P/6P1/rR2R2K w - -,b1a1
6k1/1p3pp1/1p1qb1np/2p1p1n1/P3P3/1PP1B2P/2BQ1PPN/6K1 b - -,d6e7
2r3k1/pp1q1ppp/3n4/6B1/3p3Q/6P1/PP3PBP/6K1 w - -,g2h3
8/p7/3k3p/2p2p2/2K1pP1P/P2pP3/8/3N4 w - -,d1c3
r2qk2r/pp2npbp/2npb1p1/2p1p1N1/1P6/P1NP2P1/4PPBP/R1BQ1RK1 w kq -,g5e6
r4rk1/pppq2p1/2nppn1p/2b1p3/4P2B/2PP1N1P/PP3PPK/RN1Q1R2 b - -,d6d5
8/6k1/5r1p/1Pq1n1p1/8/r4BPN/4P3/2R2K2 w - -,c1c5
rn1qk2r/pb2bppp/1p1ppn2/1B4B1/3P4/5N2/PPPNQPPP/R3K2R b KQkq -,b8d7
2kr1r2/pp4p1/q1p1pp1p/3n3P/2nP4/P2N2N1/1PP1QPP1/2KR3R b - -,f8e8
r3k1nr/pp1b1ppp/2n1p3/3pP3/q1pP3P/P1P3P1/2PBNP2/RQ2KB1R b KQkq -,e8c8
3q3k/1p2b1pp/2p5/p1p1P3/P1P5/1P2RNNn/2Q3PK/3r4 w - -,g2h3
r2qr1k1/1p5p/p1b2pp1/P3p3/2Pp2Q1/3P3P/2PBRPP1/R5K1 b - -,d8c7
br1r2k1/N4pp1/pp2p3/6p1/3PBn2/P7/1P3PPP/2R1R1K1 w - -,e4a8
r2q1rk1/pppbnpbp/3p2p1/3Pp3/2P1P3/2NB4/PP3PPP/R1BQ1RK1 w - -,f2f4
r1b2rk1/pp2q2p/8/2p1p3/2Pn1p2/P1R2PN1/1P3QPP/1B3RK1 w - -,g3e4
r1b2rk1/pp2qppn/2p1pb1p/2P5/3P4/4BNP1/PP1QRPBP/R5K1 w - -,a1d1
8/8/5k2/3K4/r3Rp2/8/8/8 b - -,a4a5
r4rk1/p1pnq3/3p1p1p/2p3pb/P3P3/2PB1P2/2PQ1BPP/4RRK1 w - -,f2g3
