8/2K5/4r3/P6p/7k/1R5P/8/8 w - -,b3a3
6k1/4ppbp/3p1np1/Pp1P4/1P4P1/4P1P1/1BQ2PB1/4q1K1 w - -,g2f1
2kr3r/1p1nQp1p/p1p1pp2/q7/3P2b1/2P2NP1/PP3PP1/2KR1B1R w - -,c1b1
r2qk2r/ppp3bp/2n1p1p1/3pP3/3P2b1/2N1QN2/PPP3PP/2KR1B1R w kq -,f1e2
r4k2/1Qp2P1p/1n1p2p1/4p2P/r7/4q3/6R1/1N3RK1 w - -,f1f2
8/6k1/R5p1/8/p4P2/7K/7P/r7 b - -,a4a3
8/5k2/p7/5P2/r2b4/8/P5RP/5K2 b - -,f7f6
1rb4r/p4pk1/5np1/4Q2p/4P3/6P1/PPq2PBP/3RK2R w K -,e1g1
r3k2r/1pq1bpp1/p2ppnb1/6B1/P2QP1P1/2N5/1PP1BP2/3RR1K1 b kq -,d6d5
r1r3k1/1p2qpbp/n1bp2p1/p1n1p3/2P1P1P1/P1N1B2P/1PQN1P2/2KR1BR1 w - -,c1b1
2r1n1k1/p4pN1/1p1npP1Q/2q5/2P4P/6P1/P4P2/R2R2K1 w - -,d1d6
5r1r/p3nppp/1kn1p3/1pp3N1/7P/2PPP3/PP2B3/2KR1R2 b - -,c6d8
2b2r2/2P2pk1/1p3qp1/3B3p/1Q2R2P/6P1/5PK1/8 b - -,c8f5
8/7P/5Pn1/3p2p1/2pN4/2P3P1/1k1K1P2/8 b - -,g6h8
3r4/pp3p2/4qP2/3pk3/8/7Q/PP2P3/2R2K2 w - -,h3g3
2r3k1/1prqppbp/p2p1np1/P2P4/8/2P4P/1P1n1PP1/R1BQRBK1 w - -,d1d2
5rk1/7b/p3pp1Q/1p6/8/8/PPr3PP/3K1R2 w - -,f1f6
2r3k1/pp2bppp/4p3/3nP3/qP1PQ1P1/P7/5P1P/2B1NRK1 w - -,e1d3
r4rk1/2q1bpp1/2p1pn2/7p/pp1PP3/2BB1PP1/PPQ5/1K1R3R w - -,e4e5
2r1r1k1/5pb1/1ppq2p1/p2p3p/Pn1P4/1PR1B2P/3QBPP1/4R1K1 w - -,e3f4
r1b1q1k1/1p5p/2pP2p1/3p4/P2b4/BQ4P1/P5BP/5R1K b - -,c8f5
1n1r4/1bk1n3/3p3r/p3p1p1/PpB1Pp1p/1N1R1P1P/1PP1KBP1/3R4 b - -,e7c6
r3r1k1/pb2bppp/1pp3n1/3qN3/3PBB2/6P1/PPQ2P1P/3RR1K1 b - -,d5a2
6k1/5p2/pp2p2p/6n1/2P3PP/3r2N1/P5PK/5R2 b - -,g5h7
3r1r2/p1Q1n2k/1p2b1pp/3P4/8/P1N3P1/1P3PP1/6K1 w - -,c7e7
r4rk1/pp2p1bp/2p3p1/5p1q/2P3n1/1PN5/P1QBPPB1/R2R2K1 b - -,a8d8
8/p2b3q/2p1p3/1p2N3/k2PP3/6P1/PP1Q4/6K1 b - -,b5b4
8/8/4r1p1/6Rp/5k1P/8/5P2/5K2 b - -,e6a6
r4rk1/pp2bppp/1q2bn2/3p4/3P1B2/1QNB4/PP3PPP/R4RK1 w - -,b3b6
3r2k1/pr2pp2/q2p2pb/P1pPP2n/2N2P2/2P2QP1/3N4/2R1R1K1 w - -,e1f1
r1bqkbnr/pp1n2pp/4p3/3p1p2/3P4/3BPN2/PP3PPP/RNBQK2R w KQkq -,b1c3
r1bk4/ppp5/2p3n1/7P/1b2Pp2/2NP4/P1PK1qP1/Q6R w - -,d2d1
r1b1r1k1/pp3pb1/n4np1/q2p3p/4P3/2N1BN1P/PPQ2PP1/R3RBK1 w - -,f1b5
8/4kpp1/1p1r2n1/6p1/8/P1Rp2P1/1P3K1P/3B4 w - -,f2e3
8/8/2p1k2p/3p1bp1/Pb1P3P/4K3/4B3/5R2 w - -,f1a1
2R1Bbnr/pp2p1p1/4k2p/5p2/3PN2B/8/P4PqP/4K1NR w K -,e4c5
3rk2r/1bqpbppp/p1n1p3/8/Pp2PP2/1N1QB3/1PP1B1PP/R4RK1 b k -,c6a5
r4r1k/1p1q1pbb/3p4/p2Bp1pP/P1PnP3/1PB3N1/R4P1P/2RQ2K1 b - -,g5g4
r1bqk2r/2p2pp1/p1np1n1p/1pb1p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,a2a4:c1e3:f1e1:h2h3:d3d4:b1d2
r2r4/1pq2pk1/3p1bpp/pB1Q4/P4PP1/2P1B3/1P5P/3R2K1 w - -,h2h4
r1b1r1k1/pppn1p1p/n5p1/3Nq3/3Q4/1P2P1P1/PKP1P1BP/3RN2R w - -,g2h3
2rr4/p4kp1/2R2pp1/1p1P4/8/2P2N2/Pn3PPP/4R1K1 b - -,c8c6
2kr1b1r/pp1b1p1p/2p2q2/5p2/Q7/2P3P1/PP1N1PBP/R3R1K1 b - -,c8b8
r1br2k1/1p2bpp1/p1n1pn1p/7q/3P4/P1N1BN2/BP2QPPP/2RR2K1 b - -,e7f8
1r5k/2n1b1pp/p2p2q1/2pPp1r1/2N1Pp2/R1NK1P2/1PP3P1/5Q1R w - -,h1h2
7r/8/8/4p3/8/4k1K1/P5R1/8 b - -,e5e4
r2q1rk1/1p3ppp/p1npbn2/4p3/2B1P3/1NN1Q3/PPP2PPP/R4R1K w - -,c4e6
Q1r3k1/5p1p/6p1/8/2p5/2rp3P/5PP1/R5K1 b - -,c8a8
2r5/pp4bk/5np1/6p1/2PR4/5P1P/PP3P2/3R2K1 w - -,b2b3
6k1/1p3pn1/r1q3p1/2p1P1Np/2Pp1P2/2pP2P1/2Q5/4R1K1 w - -,g5e4
r3rbk1/1p2q2p/2ppbpp1/p1n1n3/2P1PB2/1PN2P2/P1NQ2PP/3RRBK1 w - -,c2d4
r1bqkb1r/1p1n1ppp/p3pn2/3p4/3NP3/2PBB3/PP1N1PPP/R2QK2R w KQkq -,d1a4
r1b2rk1/pp3ppp/2n1p3/q3P3/2p2P2/P1P1BN2/2PQ2PP/1R3RK1 w - -,f3g5
8/5p1k/5Pbp/p3Q3/8/6KP/q5B1/8 w - -,e5c5
8/8/2B5/6p1/P2knp2/4p3/8/4K3 b - -,f4f3
5rk1/p3prbp/4Q3/2R1B1p1/3P4/2R1q1PP/P3b1BK/8 b - -,e2d3
r1b2rk1/p4ppp/1ppq1n2/4p3/2BP4/P1P2P2/2PQN1PP/R4RK1 w - -,f1d1
4r3/1p5r/pNpn2p1/3p1kp1/PP1P4/4PP1P/6K1/2R1R3 b - -,h7e7
r2q1rk1/pp2bppp/1n2bn2/2pp4/3P1N2/P1NBPQ1P/1P3PP1/R1B2RK1 w - -,f1d1
r6r/p1q1nkp1/2nbppp1/3p4/QP1P2PP/2PBB3/4NPK1/R6R w - -,f2f3
rn1q1rk1/4ppbp/p2p2p1/np6/Q2PP3/N1P1BP2/5P1P/1R2RBK1 w - -,a3b5
r2q1k1r/p4p2/1p1b1npp/2PP4/3n4/2NB3Q/P2B1PPP/2R1R1K1 b - -,b6c5
1rB2k2/pP2R2p/6p1/2p5/3b1p2/6P1/P3Q1KP/2q5 b - -,f4g3
8/4Rpp1/7p/2Pkp3/5r2/5PK1/6PP/8 b - -,f4f5
8/R4pkp/6p1/1p4P1/5PK1/pr5P/8/8 w - -,h3h4
2r2rk1/p2qbppp/bpn1pn2/2pp4/2P5/1PN1PNP1/PB1PQPBP/2R2RK1 w - -,c3b5
7k/p3Qp1p/8/5r2/5p2/8/P2q2RP/5K2 b - -,d2d1
8/5p2/4b1k1/4Q1p1/3r4/1P3PK1/P2r2P1/1R6 b - -,d2d3
5q2/2r4k/p1rb3p/2p2pp1/P1R5/3QB1P1/5P1P/2R3K1 w - -,d3d5
4r1k1/pp1Q1ppp/8/3p4/8/5NP1/q4PBP/6K1 b - -,a2b1
r2q1rk1/ppp2ppp/2n2b2/8/1PN5/1QPb4/P4PPP/RNB1R1K1 w - -,c1f4
8/p2kn1rp/4p3/N2p1p2/2r5/4P1P1/PP3PKP/5R2 w - -,a5c4
6r1/2q2pkn/1b5p/1p2p1p1/2p1P3/2P3QP/1PB2PP1/R1Br2K1 w - -,c2d1
r4rk1/pp2ppbp/3p1np1/qP6/3BP3/2N2P2/PP4PP/R2Q1RK1 w - -,d1d3
2br3r/1pk1n2p/p4pp1/2P1p3/1P2Pb2/1BP2N1P/P1KN2P1/3R3R w - -,d2c4
rq3rk1/4b1p1/2ppbpn1/p1p4N/2P1P2P/1PN1BP2/P2Q2P1/R3K2R b KQ -,d6d5
3r4/p4pn1/2p2k2/1p5p/5K2/2P2P2/PP5R/5B2 b - -,g7e6
2r3k1/5p1p/2q3n1/1p4Q1/p7/P5P1/KPBR3P/8 b - -,c6c4
r2q1rk1/pp3ppp/2n2n2/6B1/3p4/P2B4/1PP1bPPP/R2Q1RK1 w - -,d1e2
r4rk1/p4ppp/Qp3n2/2b5/3N1B2/1BN2P2/PP4PP/2KRq3 b - -,e1f2
2r5/4k3/1r1n1p2/p2Pp1p1/bPp1P1Pp/2P2K1P/1PNR4/3R1B2 w - -,d1a1
r4rk1/1pp3np/p2p1n2/3Pp2q/2P1Np2/3Q1NP1/PP3P1P/R4RK1 w - -,a1e1
5nr1/pp1krpb1/2p3p1/3p2P1/3P1N2/4PR2/PP1K1P2/5B1R b - -,d7d6
