8/8/k3K2r/1R6/PP6/8/8/8 w - -,e6f7
6r1/pp6/5R1p/3p4/1P6/2PBk1pP/PK6/8 w - -,d3f1
1r1q1rk1/ppp1bppp/2n3b1/3p1B2/3P1B2/2PQ1N1P/P1P2PP1/1R3RK1 b - -,e7d6
r1br2k1/2n1qp2/2pNp1pp/1p2P3/p2P4/2PQK1P1/P1B2P1P/3R3R b - -,c8a6
r1b1rnk1/1pq1bppp/8/pPp1p3/2P1P3/4B1P1/P2NQPBP/3R1RK1 w - -,d2b1
3r2k1/4bp1p/1q2pp2/1p1r4/4N3/4P1P1/1PQ2P1P/R1R3K1 w - -,c1d1
r7/6kp/3pB3/ppnP4/5r2/4R1K1/P4P1P/4R3 b - -,a8f8
1rbq1rk1/2p2ppp/p7/n2pP3/P2Pn3/bB3N1P/3N1PP1/R2QR1K1 w - -,a1a3
r2r2k1/p4pbp/2p3p1/8/b1p1PN1P/5PP1/Pn3R1K/2Q2B2 b - -,c4c3
1rq1r1k1/ppp1ppbp/2np1np1/5b2/2PP4/1PN2NP1/PB2PPBP/R2QR1K1 w - -,d1d2
r1q1k2r/1p2bppp/p1N1pn2/3p3b/3P1B2/1QPB4/PP1N1PPP/R3R1K1 b kq -,c8c6
r6r/1p6/pkn2p2/2NRp3/4Bbp1/7P/PPP5/1K3R2 w - -,h3g4
2r2rk1/3q1ppp/b1n1pb2/1p6/p2PQ3/P3BNP1/1P3PBP/3RR1K1 b - -,a6b7
r1b1q1rk/ppp3p1/3pP2p/3PpN2/2Bn1PQ1/P7/1P4PP/2R2RK1 w - -,f4e5
rn1q1r1k/5pp1/1n1Np2p/2P1P3/p2P4/1p3N2/1Q3PPP/R4RK1 b - -,b6d5
2R5/1p1rbk1p/1r4p1/p3pp2/7P/P2P2P1/1PR1PPB1/6K1 b - -,h7h5
1r1r2k1/pb1q1ppp/2nppn2/2p5/Q1P5/P2P1NP1/3NPPBP/1R2R1K1 w - -,b1b2
8/kP3R2/8/Pp2ppp1/r7/1K6/8/8 w - -,b7b8q
r1b2r2/ppqn1pkp/2p2np1/4p3/4P3/2N2N1P/PPP1BPP1/R1Q2RK1 w - -,c1e3
5rk1/1p2qpp1/2pb1n1p/r3p3/2B1P3/2P1BPPP/P5K1/R3QR2 b - -,d6c5
8/6pk/ppb1p2p/4qp2/2P5/1PNQ1PP1/P4PK1/8 w - -,d3e3
2b2r2/p3Qpbk/1rn1p1pp/8/3pN3/3P2P1/P1P1NPBP/1R3RK1 b - -,c6e7
4rrk1/ppqb1pbp/4pnp1/4N1B1/2PP4/1B6/P2Q1PPP/R3R1K1 b - -,d7c6
8/pp3pk1/3R3p/P5p1/3n4/5PB1/1r5P/5K2 b - -,d4f3
rnbqkb1r/ppp2ppp/5n2/3B4/4Pp2/2N5/PPPP2PP/R1BQK1NR b KQkq -,f6d5:f8b4
4k3/p5R1/2P5/3pK3/1P1N1n1r/P3p3/8/8 b - -,e8d8
8/p1n1rk2/1p2p3/5p2/P1Bq4/8/4QP1P/4R2K b - -,d4h4
r1b1k2r/ppq3bp/2n1p1p1/1B1p4/8/5Q2/PP1N1PPP/R1B2RK1 w kq -,f1e1
r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/P3P3/1P3PPP/RNBQKBNR b KQkq -,f7f6:g8e7:c8f5
5r1k/6b1/2R3p1/p1N4p/3pQq2/1P3P1P/P5P1/6K1 b - -,f4e4
4k2r/p1prbpp1/1p2b3/2p1P2p/6P1/P1N2PBP/1PP3K1/3RR3 b - -,e8d8
5r2/pp4pk/1nb3Qp/2p1N3/2P5/P1P5/6PP/6K1 b - -,h7g8
2r2rk1/pp2bppp/1q2pn2/1b2B3/3N4/2P3PP/PP1R1PB1/1Q2R1K1 b - -,f6d7
r2qr1k1/pp1n1ppp/1b3n2/3p4/8/1N1Q1N2/PPP2PPP/R1B2RK1 w - -,c1g5
1R6/1P3pk1/6p1/1r6/5PKP/6P1/8/8 b - -,b5b3
r1b1k2r/2qn2b1/p2p1ppn/3Pp2p/P1p1P2P/1pP1BPNN/1P1Q2P1/R2B1RK1 b kq -,a6a5
r4rk1/p4ppp/2p2q2/1p2P3/5b2/1NNB1b2/PP1R1PQn/3R2K1 b - -,f4e5
r1bqk1nr/pppn2bp/3p1pp1/4p3/2PP4/2N2NP1/PP1BPP1P/R2QKB1R b KQkq -,g8e7
8/4R1p1/2Brppkp/3p4/1NbP1P2/4PK2/7P/8 b - -,g6h7
r4rk1/1b2b1pp/1pn1p3/4B3/3RN3/6P1/PP3PBP/R5K1 w - -,d4d7
1rr3k1/3n1pbp/p2pp1p1/qppB4/2PP4/1P2P2P/P3QPP1/B1RR2K1 w - -,d5f3
r4r1k/3Bn3/ppp1P1p1/3b4/P5p1/4R2P/1P1N4/5RK1 w - -,h3g4
8/6nk/8/5pr1/8/3K2p1/6Q1/8 b - -,g7h5
r4rk1/1p1nbpp1/2p1pn1p/1q5P/p1NP1P2/P5N1/1PPBQ1P1/2KR3R w - -,f4f5
8/3Qbk2/2P3pp/4pq2/8/PKN5/8/8 w - -,d7f5
1r3rk1/p2q1ppp/1nb1p3/4P1P1/2pP4/P1Nn1B2/3B2PP/1R1Q1R1K w - -,d2e3
8/7p/4p1p1/1pk1Pp2/4pPP1/2PbP3/7P/3BK3 b - -,c5c4
5k2/5p1p/6p1/3P3P/1p6/r5P1/P2K1P2/1B6 b - -,f8e7
6R1/8/5pp1/5k1p/4p2P/5rP1/4KP2/8 b - -,f3b3
r4rk1/pb1Q2b1/5qp1/2p5/4p2P/2PB4/PP3P2/2KR2R1 b - -,e4d3
1k1r3r/ppb5/2n3qp/3p2p1/1P1P1p2/2P2NPb/P2B1Q1P/2RB2KR w - -,b4b5
3r1k2/r4P2/p2p2n1/2p4Q/P1PqP3/1p1B2RP/1P4PK/R7 b - -,a7f7
3r4/1B5p/4bkp1/p3pp2/8/1P3PP1/P1R1K2P/8 w - -,c2c5
r1b2rk1/p2pBppp/1b6/2p1P3/2BnN1p1/3P4/1PP3PP/R4RK1 b - -,c8b7
r3r1k1/pbq2ppp/1pnppn2/2p5/2PP4/B1PBPP2/P2N2PP/1R1QR1K1 b - -,a8c8
r1bq1rk1/p3npbp/1p1p2p1/2p1p3/P1NnP3/2NP2P1/1PP2PBP/R1BQ1RK1 w - -,f2f4
2q5/r3k3/5pp1/1QP1p2p/1P2P2P/4B1P1/5P1K/8 b - -,a7a6
4nrk1/5ppp/1pp2q2/p1npRP2/P2Q2P1/2N2P1P/BPP3K1/8 w - -,d4e3
r2q1rk1/pp2p2p/3p2pQ/2n2b2/2Pn4/2N1N3/PP2BPPP/R4RK1 b - -,d4e2
r3r2k/5qpP/3p1p2/1b1P1P2/p1pBp2P/3nQ3/PPR3B1/5RK1 b - h3,d3b4
5rk1/6pp/6n1/5rP1/p7/R1R2N1P/2P2P1K/8 w - -,h3h4
3r2k1/q4pp1/6p1/pQ2P1P1/4P1B1/bPr3P1/R5K1/5R2 w - -,e5e6
r1bqr1k1/pp1n1pbp/2pp2p1/5p2/2PP4/2N1P1P1/PP2NPBP/R2Q1RK1 w - -,b2b4
2k4r/ppp5/2n2p1p/3Nb1q1/4QN2/P5P1/1PP2PP1/2KR4 b - -,f6f5
r1b1k2r/p2pqp1p/2p3pQ/4p3/4Pn2/2NB4/PPP3PP/4RRK1 b kq -,e7f8
1r3r1k/7p/p2NQ1p1/1p3p2/5q2/1PP3P1/P6P/4R2K b - -,f4f3
r1b3k1/p3q1p1/4p1Bp/3pB3/2p5/4R3/PQP2rPP/3K4 w - -,e3g3
3r1bk1/n1r2p1p/3p2p1/1p1Rp1q1/4P3/1QP1N3/1P2BPPP/3R2K1 b - -,c7b7
r1b3k1/pp2rpp1/2p1pn1p/7q/1PPP4/P2BQN2/5RPP/2R3K1 w - -,h2h3
2r1k2r/pbq1bppp/1pn1p3/2ppP3/3Pn3/PPPB1N2/1B3PPP/RN1QR1K1 b k -,c6a5
2b3k1/p4p1p/1p1qp1p1/3p4/8/P3PN1P/1Q2BPP1/6K1 w - -,b2c3
1q5k/2bPr1pp/8/2p2B2/2N5/1b3QP1/1B3P1P/6K1 w - -,f3h5
2r4k/2bR3p/6p1/p2B1p2/5R1P/6K1/5PP1/1r6 w - -,g3f3
r2qkb1r/1p2pp1p/p1p2np1/2P4n/3P2b1/2N2N2/PP1B1PPP/R2QKB1R w KQkq -,h2h3
3r3k/6pp/1NP1rp2/8/1p6/2p3P1/5P1P/2R3K1 w - -,c6c7
2r3k1/3b1p1p/pn2p1p1/1p1pP3/1P3P2/PNrB3R/2P2KPP/R7 b - -,b6a4
5r1k/p2p2p1/1b1P1pqp/4P3/P1B2Q2/5RP1/5PKP/8 w - -,c4d3
r2qk2r/pp2bppp/2n1bn2/3p2B1/8/1QN2NP1/PP2PPBP/R4RK1 b kq -,d8b6
8/p4pk1/1pq4p/5Q1p/P1Bb3P/1P4P1/5PK1/8 w - -,f5d5
3r1rk1/1p3p1p/p1npp2q/4b1p1/P1P1P3/1PB2P1P/2QRN1P1/5RK1 b - -,f7f6
