8/p2r2p1/2k4p/1R6/8/7P/5PP1/6K1 w - -,b5b8
1k1r1b1r/pp2npp1/1q2p3/3pP2p/b1pP2B1/PnP1NNP1/1P2QP1P/1RB2RK1 w - -,g4h3
r6k/ppqb2p1/2nbprBp/3p4/3P4/5NB1/PPQ2PPP/3RR1K1 b - -,d6g3
r1r3k1/p4ppp/b4q2/1p1Pp3/2N2P2/1PQn2P1/P5BP/R2R2K1 w - -,c3d3
rn1qk2r/pbnpbppp/1p2p3/2P1P3/2P5/P2B1N2/1P2QPPP/RNB2RK1 b kq -,b6c5
b5k1/6p1/2p1p2b/2Pp1q2/3Pn1NP/1P2P3/1B3PQP/6K1 b - -,g8h7
1q2r2k/6b1/p1Rp1B1p/2nQ4/Pp2P2P/1P6/5RP1/7K b - -,g7f6
rn1qk2r/pb1p1ppp/1p2pn2/8/1bP5/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,c1d2
r1bqr1k1/1ppn1ppp/1n1p1b2/p2N4/P2NP3/7P/1PP1BPP1/R1BQ1RK1 w - -,d4b5
r1b2rk1/pp3ppp/2p2n2/2q1b3/8/1PN1P2P/P1Q1BPP1/R1BR2K1 w - -,c1b2
r2qkbnr/1p2pppp/p1bp4/8/3NP3/8/PPP2PPP/RNBQR1K1 b kq -,g8f6:e7e6
r1b2rk1/pp2qppp/4p1B1/3pP2Q/2pP4/P1P4N/2P2PPP/R4RK1 b - -,f7g6
3k1b1r/5p2/4pP1p/1b6/8/P7/NPP3PP/2K4R b - -,h8g8
1r5k/1p4bp/p1p1r3/8/PP6/1N2n1P1/2RB3P/1R5K w - -,b1e1
r1b2rk1/ppp2ppp/1b1p1q2/1B1Pp2Q/5P2/2PP4/PP4PP/R1B2R1K b - f3,a7a6
2r3k1/3q1pp1/2r2b1p/p7/1Pp4P/1P3QP1/P1RB1P2/2R3K1 b - -,c4c3
r4rk1/pp1b2pp/1q1bp3/3pP2n/8/2BB3P/PP2NPP1/2RQ1RK1 b - -,d6c5
rn2k2r/pp3p2/2p4p/8/B3p2p/5pP1/PPPP2bK/RNB5 w kq -,g3h4
2rqr1k1/pp3ppp/2b2n2/3p4/2pP2P1/PnP1PP2/R3Q1BP/1R1NB1K1 b - -,f6d7
rnbq1rk1/3nppbp/p1p3p1/1pPpN3/3P4/2NBP3/PP3PPP/R1BQ1RK1 w - -,f2f4
8/5p2/b1p1kPp1/P2p2P1/5K2/2P1B3/1P6/8 b - -,a6e2
1n2q3/p1b1Q1pk/2P1p2p/3rpb2/4N3/BP2PPP1/P2P1R1P/2R2K2 b - -,e8c8
8/p4pk1/1p1bp1p1/1P1p4/P2P4/1B2P1P1/4KP1q/3Q4 w - -,e2f1
4knQ1/p3b2r/P4p2/6q1/1p1R3p/3P3P/1P3PP1/4R1K1 w - -,g8g5
8/6p1/3kPpK1/r7/2R3pP/6P1/8/8 b - -,d6e6
r5k1/pp2pp1p/5bp1/3r4/1B1Pn1b1/5NPP/PP2PPB1/R2R2K1 b - -,g4f5
8/4kp2/p6P/4p2P/2p5/2P2K2/P7/8 b - -,e7f8
6k1/p7/1r2p1p1/2p4p/4P3/1PB5/P1NP4/5K2 b - -,b6a6
1rb1k3/p1p4q/2p1pp1r/2P3p1/2BPp3/4P1Q1/PP4P1/2K2RR1 w - -,b2b3
8/1p1r2k1/2rn2p1/pQ2p1q1/N3P2p/1P5P/P2R2P1/3R2K1 w - -,b5e2
6k1/4pp2/qr1p2p1/3P3p/2p1P2P/rP4P1/P3RP1K/R1Q5 w - -,b3c4
rn1qk2r/pp2p1bp/2p2ppn/3pP3/3P1Pb1/2NB1N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
2brr3/1pq2p1k/n1pp2pp/p1n1b3/P1PNPB2/1P4PP/N1QR1PB1/3R2K1 w - -,d4e2
2r5/1r1k2pp/1p1Bpp2/pRP5/2NP4/2PK2P1/5P1P/8 b - -,d7c6
rn1q1rk1/ppp1ppb1/5npp/3p1b2/1P1P3B/2P1PN2/P2N1PPP/R2QKB1R b KQ -,b8d7
r2qrnk1/pp2n1pp/2pb1p2/2Pp4/3P2N1/1P1Q1N2/P4PPP/R1B2RK1 b - -,d6c7
r1b2rk1/2b1q1pp/8/2pp1p2/4n3/2B1PNP1/PQ3PBP/R1R3K1 b - -,c8a6
6k1/2p1r1qp/1p1p2p1/p2P4/8/6P1/PP1Q1P1P/2R3K1 w - -,h2h4
1q1rr1k1/1b1n1p1p/p1pb1np1/1p6/P3P3/1NNBBP1P/1P4P1/2RRQ2K b - -,f6h5
r2q1rk1/pp3pbp/nn4p1/3P1b2/2p2B2/N1N3P1/PP3PBP/R2Q1RK1 w - -,a3b5
r2qr1k1/1ppb1ppp/2n2b2/p2np3/B3N3/2PP1N2/PP3PPP/R1BQR1K1 b - -,d5b6
7b/7P/3K2k1/8/5n2/8/8/8 b - -,g6h7
rnbqk1nr/p1ppbppp/1p2p3/8/4P3/1P3N2/P1PP1PPP/RNBQKB1R w KQkq -,c1b2
5rk1/r4pp1/p2qp2p/1p1p4/3Pb3/PQR1P3/1P2BPPP/2R3K1 b - -,d6e7
r1b2r2/1p2qp1k/pB1p2np/3Pp2Q/P3Pp2/2N4P/1P3P1K/R3RB2 b - -,f8g8
8/p6k/Pp1p2pb/1P1N3p/2P1P2P/2R4K/2r5/8 b - -,c2d2
2N3k1/1p4pp/8/2p1n3/2P1N3/6Pq/1P3PnP/1Q3K1R w - -,e4g5
r2r2k1/pp3ppp/8/1N1pq3/6n1/1P2P3/P1Q2PPP/R1R3K1 w - -,c2c7
4rrk1/pb1qppnp/1p4p1/2pPp3/2P5/1PQB4/P2N1PPP/4RRK1 w - -,c3e5
8/5pk1/2rq1np1/1p4Np/1pp3PP/P1Q2P2/2P5/1K2R3 w - -,a3b4
8/2k1Q3/1pp5/p7/P4Pq1/7p/7K/8 b - -,g4d7
1k6/1p6/p7/2p5/5n2/P2RK3/1P6/8 b - -,f4d3
r4rk1/pbp2ppp/1p2p3/1B2P1q1/8/8/PPPbNPPP/R2Q1RK1 w - -,e2g3
r3q1k1/2p4p/1p4p1/1PpPp1b1/2P1n3/1Q1N2P1/R6P/5B1K w - -,a2a8
5k2/3R4/r6p/2P3p1/4Pp2/5P2/3K4/8 w - -,d2d3
5r2/1p2k3/p1b1p2p/4P1pP/3R2B1/8/PP2K3/8 w - -,a2a4
2r3k1/1b3pp1/1b4rp/pB1p4/P2P4/1Q3P1P/3RNP1q/1R3K2 w - -,e2g3
2r2rk1/1pq2pp1/p1b1p2p/3pP3/2nP4/2PN2P1/Q4PBP/1RR3K1 w - -,d3f4
2kr3r/pp2pp1p/2p2p2/4n2P/3PN3/Q4N2/P1PK2P1/5q1R w - -,f3e5
3r1k2/pp3p1r/4p2p/3qQ1p1/3P4/4R2P/PP3PP1/3R2K1 w - -,e5f6
8/5p2/1p2k1p1/1N5p/1P2KP2/6P1/8/5n2 w - -,b5d4
r2qr1k1/pb3ppp/2pb1n2/1p2n3/4P2N/2N5/PPQ1BPPP/R1B2RK1 w - -,h4f5
5b2/1Bn2k1p/PN2p1p1/1p2Pp2/5P2/1b2B1P1/5K1P/8 b - -,b5b4
8/7p/4k1p1/1pPbp3/5P2/P2NK1P1/7P/8 b - -,e5f4
1Q6/1K6/5k2/1r5p/8/8/7R/8 w - -,b7c8
4Q3/6qk/1p3pNp/4nP2/3p4/6P1/4P2P/6K1 w - -,g6f8
8/2r1rk2/p5pp/5p2/P3b3/2p4P/2P3PN/1RR4K w - -,h2f3
5r2/7p/p2pk3/1p1Rp1P1/4P2P/P1PKp3/1P6/8 w - -,d3e3
3r1nkb/7p/1pq1p1pP/p1p1P1P1/P1Pr1P2/1P1p1QN1/3B1R2/4R1K1 b - -,c6d7
8/3Q3k/5p1p/2K4P/p1p3P1/Pq6/1P6/8 b - -,h7g8
2q1nr2/p2bpk2/1r4p1/2pPppP1/8/1P1NP3/P2Q1PB1/2R1K2R w K -,d3e5
r4rk1/p2nqppp/1p2p3/3P4/1P2bQ2/5NP1/P3PP1P/R1R2BK1 b - -,e4d5
2rr2k1/2qnbpp1/1p2p2p/p1p1P3/3PN3/4n1P1/PP1NQP1P/2RR2K1 w - -,f2e3
r1b1r1k1/3n1pbp/pq1p2p1/1p1P3n/1Pp1P3/P1NB1N1P/3B1PP1/R2QR1K1 w - -,d3c2
1rbq1rk1/1p2npbp/2n3p1/pNppp3/2P5/P2P1NP1/1P1BPPBP/1R1Q1RK1 w - -,c4d5
r3k1nr/p3bp2/2p1p1p1/q2nP1Bp/Pp1PN2P/1B6/1P3PP1/R2Q1K1R w kq -,d1c2
2r2r2/p2q1p1k/1p1P1Bpp/2n5/6Q1/7P/P4PP1/3RR1K1 w - -,g4f3
2r4k/Qp3pp1/7p/3p4/1P2b3/P3P1P1/2N2qBP/4R2K w - -,g2e4
r1b1kbnr/1pp3pp/p1p2p2/8/3NP3/8/PPP2PPP/RNB2RK1 w kq -,c1e3
8/5k2/7p/p1N5/8/1bp5/1P3PP1/6K1 w - -,b2c3
2r3k1/3r1p1p/3pp1p1/p1q5/2P1P3/1PQR1P2/P5PP/3R1K2 w - -,c3d2
8/4rk2/R5p1/4npPp/5N1P/8/4K3/8 w - -,e2f2
r2qk2r/ppp2pbp/2npbnp1/8/4P3/2NBB2P/PPP1NPP1/R2QK2R w KQkq -,f2f4
r4b1r/pp4p1/2nk1N1p/2p1p3/4P3/1B1PB1P1/PPP4P/R4RK1 b - -,g7f6
rq3rnk/1p1b1pbp/n2p2p1/pNpPp3/2P1P1P1/1P2B2P/P2NBP2/R2Q1RK1 b - g3,f7f5
8/5ppp/1pp5/2p1k3/4P3/2P1K3/rP2R1PP/8 b - -,a2a4
r1bqk2r/pp3p1p/2n2bp1/5P2/2Ppp3/1N4P1/PP2P1BP/RN1Q1RK1 w kq -,g2e4
3r1rk1/pbp1q3/1p1p1n2/2PPp1p1/1P2PpP1/5P2/P1Q1B3/2R1BRK1 b - -,f8f7
rnb1k1nr/pp3pbp/2pp2p1/4p3/3PP3/2PB1PPq/PP2N2P/RNBQK2R w KQkq -,c1e3
