8/2k3Kp/2P2p2/8/7P/3b1B2/8/8 b - -,d3b5
r4rk1/2q1ppbp/n1p3p1/ppP2b2/3P4/PBP2N1P/5PP1/R1BQR1K1 w - -,c1g5
r1b2k2/pp5p/1np1p2p/4Pq2/5p1P/1BN2Q2/PPP2P2/4R2K b - -,b6d7
r1b1k2r/1pq2pp1/n1p1p2p/p1PnP3/1b1PNB2/3B1N2/PP4PP/R2Q1RK1 w kq -,e4d6
2k5/1pq1b3/p1b1p2p/2B1n1pN/4p1Pn/PP1P3P/2P1NQ2/6KB w - -,d3e4
6k1/1b1pQ2p/8/2pP2p1/R5n1/8/3KPrB1/1q6 w - -,a4g4
8/1pk5/3pq1Q1/7p/3Pp1bP/P3B1P1/5P2/6K1 w - -,g6e6
2r2k2/4bp2/R2p2pp/1r2p3/4P3/1P1R3P/3N1PP1/6K1 b - -,c8c1
2r4k/5qp1/3p4/6Qp/3bB3/5PP1/7P/1R5K w - -,b1b7
r2qrnk1/1p3ppp/1pb5/1Npp1P2/P3P3/2PBQ3/1P4PP/R4RK1 b - a3,c5c4
8/1p6/p7/5N1R/P3nkp1/1P6/3r2K1/8 w - -,g2g1
r1bqkb1r/pppp1ppp/2n5/2n1P3/2P5/P4N2/1PQ1PPPP/RNB1KB1R b KQkq -,a7a5
8/5pk1/4r1pp/p2p4/2bP1Q1P/P1N1r3/6PK/2R5 w - -,f4c7
8/7r/1P6/3k3p/8/6NK/8/8 b - -,h5h4
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP1B2/2N1PN2/PP2BPPP/R2QK2R b KQ -,b7b6:f6h5
2kr1b1r/pppq1ppp/2n1p3/3n4/2QP4/4P1P1/PP3PBP/RNB2RK1 b - -,f7f5:h7h5
r2q1rk1/4bppp/bpn1pn2/p2p4/2P5/PP1P1NP1/1B1NQPBP/1R1R2K1 b - -,b6b5
8/8/6k1/P1p3pp/1nN5/5P2/6P1/4K3 w - -,c4d6
4r1k1/1p3p1p/1Bp1p1nb/4P3/1qP2P2/1P2Q2P/6B1/3R2K1 w - -,d1d7
r4r2/q2n1pk1/2p3N1/1pb1p1Np/p3P1n1/P7/BPP1QP2/R1B2RK1 w - -,g6f8
8/8/3n4/p2kp3/P6R/2K5/5P2/8 w - -,f2f3
8/2p3k1/p2pqpp1/P1p5/2P2RPP/1r2r3/2R2Q1K/8 w - -,h2g2
r1bqk2r/pp2bppp/2p2n2/4p3/2P5/6P1/PP1BPPBP/RN1Q1RK1 w kq -,d2c3
2bq1r1k/1p1nb1pp/2r5/p3p3/2Pp1p2/PP1P2P1/1BQN1PNP/1R2R1K1 w - -,g3f4
7r/pp1k4/3p1rBp/1P1P3P/3Q4/4Bq2/PP3P2/2K5 w - -,g6e4
8/8/4K3/4R3/6P1/6kP/8/3r4 b - -,g3h3
1rbq1rk1/2p2ppp/p1np1n2/1pb1p3/P3P3/1B1PBN2/1PP2PPP/RN1QR1K1 b - -,h7h6
8/3k1p2/p3p3/2n1P3/5P2/8/1B6/1B4K1 w - -,g1f2
8/1p4kp/3prqp1/2p3N1/PpP2Pn1/1P1Q2P1/3R1K1P/8 w - -,f2g2
rn1qkb1r/1b2ppp1/pp1p1n1p/2p5/P3P3/2PP1NP1/1P3PBP/RNBQ1RK1 b kq -,e7e6
r1b2rk1/pp5p/2pnpn2/3pN1pq/1PPPPp2/1QN3P1/P4PBP/3RR1K1 b - e3,d5c4
1r4k1/5pbp/2n3p1/1N2p3/P7/2Br2P1/1R3P1P/5RK1 w - -,f1c1
6k1/1p3p2/4r1p1/1q6/3QR1Pp/1P6/P3PP2/6K1 b - -,b5e8
2rr2k1/4bppp/p3pq2/1p2n3/4B3/P2R1PB1/1P1Q1P1P/1R4K1 w - -,d3d8
8/p2rkp2/R3p3/5p1p/5P1P/6P1/P3K3/8 b - -,e7d8
8/5p2/8/4p3/1b3p1p/1kp2P1P/6P1/3KN3 w - -,e1c2
5R2/6rk/2p3pr/1p1pP3/3P1P2/4n1RP/3Q3K/8 b - -,e3f1
8/8/2n2R2/p1k1p3/P3K3/5P2/8/8 w - -,f6c6
rn1qk2r/pp3ppp/4p3/2b2b2/2P1p3/1P2P3/P2N1PPP/R1BQKB1R w KQkq -,c1b2
8/8/7p/5p1P/2k2P2/2p2P2/8/2K5 b - -,c4d3
2r2r2/1p2p1bk/p1q1bnp1/P3p2p/4P3/1NN3Q1/1PP1B1PP/R4R1K w - -,b3d2
6k1/pb3p1p/1q4p1/8/8/4r3/PP1p1QPP/2R1NBK1 w - -,c1c7
r1bq3r/p3p1kp/2p2bp1/1B2n3/8/2N5/PPP1Q1PP/R1B2RK1 w - -,b5a4
8/8/3pkr1p/p1p1n1p1/P2rP3/1P4RP/2B1R1K1/8 b - -,e5g6
1r4k1/5pp1/p2n1n1p/1p1p4/1N3Pb1/3PPN2/P4PBP/2r1R1K1 w - -,e1c1
7k/7p/1p1pP3/5pPR/p5q1/P7/1PQ5/1K6 b - -,g4h5
r2qbbk1/1pr5/1n1p2p1/1P1Ppp1p/pB6/3PP1P1/1Q2NPBP/R1R3K1 b - -,c7h7
r2r2k1/1b2bpp1/p1qp1n1p/1pp1pP2/2P1P1PP/N1P2Q2/PP3N2/R1B2RK1 w - -,f1e1
r1bqkb1r/pp1n1ppp/2pp1n2/8/P2QPP2/2N2N2/1PP3PP/R1B1KB1R b KQkq a3,d6d5
r7/7p/1p2RQpk/2p5/1rq5/7P/1P3PP1/3R2K1 w - -,e6e7
r1b1r1k1/1p1n1pnp/2pp1qp1/p7/2P1P3/PPQ2N2/3N1PPP/R3RBK1 w - -,c3f6
2r3r1/1p2q2k/p2p1npP/4p3/4P2P/2N5/PPP3Q1/2K2RR1 w - -,g2g5
r3r1k1/pppbqpb1/5np1/3p3p/3N4/1P2P2P/PBP1BPP1/R2Q1RK1 w - -,c2c3
r5k1/1p1qnppp/4bn2/p2p4/P2Pp3/BP2NPP1/3QP1BP/2R3K1 b - -,e7c6
rnbqk1nr/1pp2ppp/4p3/p2p4/1bPP4/6P1/PP1BPPBP/RN1QK1NR b KQkq -,d5c4
r1b1r1k1/2q1bppp/p2p2n1/2pPp3/2N1Pn2/2P2N1P/1PQ2PP1/R1BR1BK1 b - -,c8d7
rrb2bk1/2qn1pp1/2pp2np/p2Pp3/P1P1P3/R4NNP/3B1PP1/3QRBK1 w - -,g3f5
r2q1rk1/1b2bpp1/p3pn1p/1p6/1P2n2B/P1N1PN2/4BPPP/2RQ1RK1 w - -,d1d8
r3rnk1/pp3pbp/3qb1p1/1B2p3/8/2P1BN1P/PP3PP1/R2R2K1 w - -,d1d6
8/8/8/8/8/5K1p/6rk/R7 w - -,a1a8
8/pp3N2/1k4p1/2n1p3/4P2r/P1KP4/6R1/8 b - -,h4h3
8/p6p/4P3/PpN1r1k1/1Pp5/7P/8/5K2 w - -,f1f2
r7/2P1bk2/4b2Q/4Bp2/7p/5P1P/7K/8 b - -,a8a2
3r2k1/1b1qr1pp/p7/2p1np2/3p1N1P/1p4R1/P1PQNPP1/3R2K1 w - -,a2b3
2rb1rk1/3b1ppp/p3n3/3NP3/1P5P/6P1/4N1BK/1R3R2 w - -,f1c1
r2q1rk1/pp2ppbp/2n1bnp1/2Pp4/8/1NN1B1P1/PP2PPBP/R2Q1RK1 b - -,d8c8
r7/3k1p2/2pp1Pp1/1p1n3r/3PN2P/2P4R/1PK2P2/7R w - -,e4g5
3r1rk1/1bpnq1pp/1p1ppb2/p4p2/2PP4/BP3NP1/P2QPPBP/2RR2K1 w - -,f3e1
2q3k1/5pbp/1n2p1p1/2QnP3/p2P1P2/N4N2/P2B2PP/6K1 b - -,c8a6
4k3/5p2/1KP3p1/8/2r4P/8/3R4/8 b - -,c4c1
4r1k1/1pq2pp1/2pp1n1p/p3r3/P3PP2/1P1B3Q/2P3PP/R3R1K1 b - f3,e5e6
r3rbk1/1p3p2/p2p1pp1/2pn4/P5P1/7P/1PPBBP2/R3R1K1 w - -,e2f3
5rk1/5ppp/p1p3q1/7r/1P4bP/P3P3/3QB2K/2R1R3 w - -,e1g1
r1b2kn1/pp3p1r/2n1pQ1p/2PpP1B1/4q3/P1P2N2/4BPPP/2R1R1K1 w - -,f6f4
r1bqr1k1/pp1n1ppp/2pbpn2/3p4/2PP4/1PNBPN2/P1Q2PPP/R1B1K2R w KQ -,e1g1
8/8/p1p1k3/6p1/3r1p2/7R/PPP1KPPP/8 w - -,h3c3
r3nrRk/4bp1P/p2p3B/8/4P3/qP5Q/1pP2P1P/1K6 b - -,f8g8
1rb1k2r/1p1p2pp/pNqbp3/8/4p3/4B1P1/PPP2P1P/R2Q1RK1 w k -,d1h5
rn2kb1r/pp2pppp/8/3p1b2/3P4/8/PPP2PPP/R1B1KBNR w KQkq -,c2c3
6Q1/1p6/3p3P/2pP4/2P5/1kP2K2/p3r3/5R2 b - -,e2c2
4qk2/1p6/3P3p/3P4/6Q1/6PK/5P2/8 w - -,g4f5
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/2N3N1/PP3PPP/R1BQKB1R w KQ -,f1e2
