8/1k5r/2p2K2/ppBbP3/3P3P/5p2/8/5R2 w - -,f6g5
3r1rk1/pppq1pbp/1n4p1/4N3/8/1PN1P3/PBQ2PPP/R4RK1 b - -,g7e5
6k1/3p1p1p/r2r2p1/2pP1P2/P2b2P1/NP6/2R1K2P/3R4 w - -,a3b5
2n1b1k1/2qn1ppp/1p2p3/pP1p4/3P4/P1QBPN1P/4NPP1/6K1 b - -,c7c3
r5k1/1p2rppp/p1p2n2/3p3b/N2P4/3BPP2/PP3KPP/4RR2 b - -,f6e8
4r1k1/2B2p2/1Qn2Ppp/p3p2q/b3P3/8/3R2BP/5RK1 w - -,f1a1
3k2r1/p3n3/1p2Q3/1qp2P2/4BBn1/2P3P1/P5K1/3R4 b - -,d8e8
6k1/3qbpp1/1nn1p2p/1bppPP1P/6P1/1pPP1NBB/rP1Q1N1K/4R3 w - -,e1b1
1rnR4/1p2n1pk/6rp/PPp1qp2/2P1p3/2N1P1P1/4QPBP/3R2K1 w - -,c3d5
8/4k3/6p1/2N2p1p/8/4KP1P/4B3/r7 b - -,a1h1
8/4k3/R5p1/5p1p/5P1P/p5P1/7K/r7 w - -,a6g6
r4rk1/1pq1nppp/2pb4/p2pP3/4n1b1/2P2NP1/PPQN1PBP/R1B1R1K1 b - -,d6c5
r4rk1/1p3ppp/4bn2/p7/8/P1P2B2/5PPP/1RB2RK1 b - -,a8c8
r6r/pp1bbkpp/4p3/2Pn1p2/3Pp2P/2N1B1P1/PP1K1P2/R6R b - h3,b7b6
8/3Q1pk1/p1pp1qp1/4b3/P1P1Pp1r/1P1R3P/5P2/5KN1 b - -,f4f3
5b2/1R3k1p/4pBp1/2p1P1P1/3r1P1P/2N5/2n5/6K1 b - -,f7g8
8/8/4k3/R7/2r1PK2/8/8/8 w - -,a5e5
3Rr2k/1p3q1p/2b2b2/p1B1pPQ1/2P1p3/1P6/P5NP/6K1 w - -,d8e8
rn1qr1k1/ppp3pp/2bpp3/5p2/2PPnN2/P5P1/1PQ1PPBP/R1B1K2R w KQ -,d4d5
3b3k/1bp2p2/pp3p1r/2p2Rrp/P3PN2/1P1PN1P1/2P3KP/5R2 w - -,h2h4
r1b2rk1/pp1nqppp/2pb1n2/4P1N1/2P1p3/2N5/PPQ1BPPP/R1B2RK1 b - -,d6e5
rn2k2r/pp2bppp/2pqpn2/8/3P2P1/2N1BQ1P/PPP2P2/2KR1B1R b kq g3,b8d7
1rq2b1k/5bpp/5p2/1pp1n3/4QN2/2PP2P1/1R1BP2P/R5K1 b - -,g7g5
4r1k1/5pp1/7p/3q2n1/5Q2/1P6/P5R1/5R1K b - -,e8e2
1r3b2/2nr1q2/k3p2p/pp1pPp1P/n1pP1Pp1/P1P3P1/1PNBNK2/RR5Q b - -,c7e8
8/8/3n4/4k3/8/3K4/8/7R w - -,h1h5:h1a1
r2q1rk1/5ppp/p1npb3/4p3/p3P3/2P1N3/1P3PPP/R2QKB1R w KQ -,a1a4
2bqr1k1/4Bpbp/p2p2p1/2pn4/Pp2P3/3B1P1P/1P1Q2P1/R2NR1K1 b - -,d8e7
2r1r1k1/2q2ppp/2nbb1P1/7P/P2B4/2P5/4BRQ1/R2N2K1 b - -,f7g6
1R6/1p3ppk/p2p2np/8/1P5b/3B1Q1P/P2q4/5K2 b - -,d2e1
1r2r1k1/bppn1ppp/p1np4/4p1B1/4P3/1PPP1NNP/1P3PP1/3RR1K1 w - -,d3d4
r4rk1/1pp1qppp/p1pbb3/4p2n/4P3/1P1P1P2/PBPNN1PP/R2Q1R1K b - -,e7g5
r5k1/pppqrpb1/2n1b1pp/3p4/3pP3/3P1NPP/PPPN1PBK/R2QR3 b - -,a8e8
3rr1k1/ppb2ppp/1npq4/3n1p2/8/1P1PP1P1/PBN1BP1P/2R1QRK1 b - -,d6g6
1r4k1/4np2/b2pq1pQ/2p1p3/p3P1NP/2P1NP2/P2R2P1/6K1 w - -,f3f4
1k6/8/p3P3/1p1Q2pp/8/5P1P/5rPK/r7 b - -,a1a2
5k2/r3b1p1/1q2P1p1/p7/4QP2/2p2KPP/1r6/R3R3 w - -,e4g6
6k1/5pb1/pp4p1/6q1/P5rp/5N1P/1P2QP2/R5K1 w - -,g1h1
r5k1/5pb1/pB6/1p4r1/7R/2P5/PP6/1K5R b - -,a8e8
8/6k1/4B3/p7/P7/2K5/2P3r1/8 b - -,g7f6
5r1k/1pN2qBp/3p2p1/2P2p2/1n2n3/3BP3/r1Q2PPP/1R3RK1 b - -,h8g7
8/7r/8/1k6/2R5/3K4/7P/8 w - -,h2h4
rnr4k/1q3pbp/3P1Np1/pbppP1B1/1p6/5N1P/1PQ2PP1/R4RK1 w - -,f1d1
r3k2r/pp2bp2/4p2p/1B1p4/3P2P1/6P1/PPP3P1/2KR1R2 b kq -,e8f8
r2qkb1r/1b3ppp/p1nppn2/1pp5/4PP2/2NP2PN/PPP3BP/R1BQ1RK1 w kq -,f4f5
3r1rk1/6p1/6Bp/1q6/2pP4/ppP2P2/4Q1PP/4R1K1 b - -,f8f6
8/7b/5K2/1p4pk/8/2P5/6p1/6R1 b - -,h7e4
1kr4r/pp2qp1p/2p1b1p1/3p3n/Q2P4/3BPN1P/PP3PP1/K2R3R w - -,d1c1
5bk1/5pp1/4p2p/Q2BN3/3PqB2/7b/1P3P2/R5K1 b - -,e6d5
8/1pN2k2/5b1R/3Kp3/3p1r2/3P4/6P1/8 b - -,e5e4
2rbr1k1/p2q1ppp/3p1n2/2pPp3/2Pn4/1P2NPP1/P3NR1P/R1BQ2K1 b - -,e5e4
rnb4r/pp2kppp/4p3/3pP3/3N1P2/3B4/PPPK2PP/R6R b - -,c8d7
8/6B1/8/3k1p1p/b2p1P2/2p3P1/2P1K3/8 w - -,e2d1
2rrb1k1/5pp1/1Q1Pp2p/4N3/2P1B3/1p4P1/1P2RK1P/3q4 w - -,e4d3
r3qrk1/2pb4/3p3p/p1pPp1b1/2P1N3/5P2/PPQ1B1PR/1K5R b - -,d7f5
3q4/2k3p1/2p1p1P1/NpPpPp2/1P3Q1p/3K3P/8/8 b - -,d8e7
4r1k1/3b1p1p/6p1/3P2P1/q4Q2/7P/6BK/5R2 b - -,a4f4
6rk/1np3b1/3p1q1p/2pPp1p1/1P4B1/r4P2/2Q2BPP/4RRK1 w - -,b4c5
r5k1/pp2rp1p/4q1p1/2n1n3/4N3/2P3Q1/PPB2PPP/3RR1K1 b - -,e5c4
r4rk1/pppq3p/1n2p1p1/4P3/P3P2P/4B3/1PQ3P1/R3K2R b KQ a3,d7c6
4rk2/p2b2r1/2p2n1q/1p3p2/1P1PpP1p/P3P3/4Q1BP/2R1B1RK w - -,g2h3
5rk1/p3ppbp/6p1/3QP3/3P4/2R2P2/5PKP/3qB3 w - -,d5e4
rnbqk2r/pp3ppp/2p1pn2/3p4/1bPP4/1P2PN2/P2N1PPP/R1BQKB1R b KQkq -,b8d7:e8g8:f6e4:c6c5
2r5/5pk1/1R1pn2p/4p1p1/p1q1P3/P4P2/2PQ1BPP/6K1 w - -,d2d6
8/3r3p/3Pk1p1/1RB2p2/4p3/P7/6KP/8 b - -,f5f4
3r4/1kp3p1/1pb2p2/p2N1n1p/2P5/R6P/5PP1/4R1K1 w - -,d5f4
2Qn1k2/4p1rR/1p1q1p2/p1pP2p1/P1P3P1/2P5/8/4R2K w - -,h7h8
r1bqk2r/ppp2pb1/2np1npp/8/3NPB2/2N2P2/PPPQ2PP/R3KB1R b KQkq -,c6d4
r4rk1/ppq1bppp/4pn2/8/2PB4/3Q3P/PP2BPP1/R2R2K1 w - -,d3e3
r1b2rk1/pp2bppp/1q1p1n2/1N1P4/2P2B2/3B4/PP3RPP/R2Q2K1 w - -,h2h3
2r2bk1/3R1pp1/3r3p/8/3B4/4P2P/5PP1/1R4K1 w - -,b1b7
1nbr1k2/1p5p/1r1p1pp1/p1PP4/P2p1B2/3B4/3K1PPP/1R6 w - -,b1b6
r1bq1rk1/pp1p1pbp/2n2np1/2p1p3/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b - -,d7d6
5k2/5p2/8/4q3/4P2Q/5PK1/8/8 w - -,h4f4
2R5/8/8/5p2/5P2/prp2kP1/2K5/8 b - -,a3a2
3r2r1/Qp2kp2/3q1p1p/3p4/7P/1P3P2/P5P1/3R1RK1 b - -,e7f8
r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq -,f8e7
1r3bk1/3p2n1/4pQ1P/4P3/4P3/6R1/1p1K4/8 b - -,b2b1n
8/6p1/2p5/4kp1p/2b5/7P/5KP1/2B5 w - -,c1b2
6k1/p1q2p1p/1pn1p1p1/8/3Q4/2P1P1P1/P3BP1P/6K1 w - -,d4a4
1k6/p6p/1q1rpp2/n7/4Q3/6PK/2R1P2P/8 b - -,b6b7
1k6/7p/3K2p1/P7/2Nn4/8/6PP/8 w - -,d6e5
8/6r1/4pkp1/6Rp/7P/3BK1P1/8/8 w - -,e3d4
2r3k1/p4pp1/4p2p/q2pPP2/1prNn1P1/4Q3/PPP4P/1K1R3R w - -,f5f6
1k1b4/1p1q1p2/3P4/nPQ5/7p/7P/5PP1/3R2K1 b - -,b7b6
