8/8/5b2/4pk1p/5p2/7P/3B2K1/8 b - -,f5e4
r2q1rk1/1b1n1pp1/1pp2b1p/1P1p4/N2P4/1Q2PN2/P3BPPP/R4RK1 b - -,c6c5
2r1rn1k/p2q3p/1p1P1bp1/8/1N6/1Q2B1P1/PP3PB1/3R2K1 w - -,g1h2
r1bq1rk1/1p2bppp/p4n2/n2p4/3N1B2/1QN3P1/PP2PPBP/R4RK1 w - -,b3c2
r3k2r/2pnq1b1/p4p2/1p1N2Bp/3Pb2P/P7/1PPQ2P1/2KRR3 b kq -,e4d5
5rk1/3n2pp/1q2pn2/1pb5/5B2/1BN1PP2/5P1P/Q4RK1 b - -,f6h5
8/p7/1p5p/1P2nk2/P3p1p1/2K1N2P/5PP1/8 b - -,f5f4
r3r1k1/5R1p/4p1p1/ppQb2N1/2p3p1/6RP/Pq5K/8 w - -,h2g1
8/p6p/1k1p4/2p1rpp1/6P1/PPR5/3K1P1P/8 w - f6,g4f5
3q1rk1/1br2ppp/p4b2/Ppnp4/1B1Nn3/1P3NPB/4PP1P/1RQR2K1 w - -,c1f4
1r3r1k/3q2bp/2npb3/pp1Npp2/8/2P1N1P1/PP2QPBP/R2R2K1 w - -,f2f4
r1bqk2r/pp1nBppp/2p5/3p3n/3P4/2NBP3/PPQ2PPP/R3K1NR b KQkq -,d8e7
1r6/3rppk1/3p2p1/p2P4/Pp4P1/1P3P2/2PR4/1K5R w - -,f3f4
6k1/q4p1p/2PN2p1/8/P1Q2P1b/7P/5nPK/2R5 w - -,c6c7
r1k4r/1p1n1p2/2p1bp1p/p3p3/4P2N/P2Bb3/1PP2PPP/2KR1R2 w - -,f2e3
r1b2rk1/pp2qpb1/4p1pp/2P5/n1p1NP2/4P1P1/PP1NQ1BP/R4RK1 w - -,d2c4
1r2k3/R7/p1p2n1p/4bPP1/2p1p3/2N5/PP6/2K4R b - -,e5f4
1r5k/2n1b1pp/p2p4/2pPp1rq/2N1Pp2/R1NK1P2/1PP3PP/5Q1R w - -,a3a2
r5k1/1bq2pbp/6p1/2p1p3/p1P1P1NP/PQ4P1/3R1PB1/6K1 w - -,b3c2
r5k1/5ppp/2p1rb2/1p1q4/3P4/2PQ4/3B1PPP/1R2R1K1 w - -,d2e3
1R2b1k1/r5p1/1Qp1q1n1/2p1p2N/2P1P1P1/P4P2/6B1/7K b - -,a7e7
r1b2rk1/ppqn1ppp/2pbpn2/3p4/2PP4/2N1PN2/PPQBBPPP/R4RK1 w - -,a1c1
r1b1kb1r/pp1npppp/3p1n2/qBp1P3/3P4/5N2/PPP2PPP/RNBQK2R w KQkq -,b1c3
r2q1rk1/1b2pp1p/1n1p2pb/p2nP3/1p1p1P2/P4NBP/1PPQB1P1/R1N1K2R w KQ -,d2d4
r1b1nrk1/1pqn1p2/2pp2p1/p6p/P2NPP2/2N3PP/1PPQ2B1/3R1RK1 b - -,c7b6
6r1/8/p7/1P4P1/7P/7K/2k5/R7 b - -,a6b5
8/6k1/p1PN2p1/4K2p/6b1/8/P4R2/4r3 w - -,e5d5
r1bqk1nr/ppp2pbp/2np2p1/4p3/2P2P2/2NP2P1/PP2P1BP/R1BQK1NR b KQkq f3,e5f4
r1b1k1nr/1p1nq2p/2pQ1pp1/p3p3/P3P3/4BN2/1PP1NKPP/R2R4 w kq -,d6d2
r3k2r/1b1n1p2/p3pn1p/1p2q3/4P1pN/2NB2P1/PP2QPP1/2R1R1K1 b kq -,e8g8
8/8/8/3K2Q1/8/8/6pk/8 w - -,g5h4
8/1R3Npk/1p5p/4K2P/4P3/6r1/5r2/8 b - -,g3h3
1k2r3/1p6/4K1Pp/NP1PP1b1/4np2/8/5B2/6R1 w - -,e6f7
2r2k1r/8/p3p2p/1p1pPPn1/3P4/2PB3P/8/2R2RK1 b - -,g5h3
5r2/pppb3k/3p3q/3P1p1B/7P/8/PPP3Q1/1K4R1 w - -,h5g6
r1bqk2r/ppppnpbp/2n3p1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R b KQkq -,e8g8:d7d6:h7h5
8/1Q1q1p1k/p2p3p/3B1p2/3b1P2/P6P/1P1B2K1/8 b - -,d7b7
8/6k1/8/pK4pP/2p3P1/P1P2P2/1P1R4/5r2 b - -,f1f3
R7/4ppkp/2Bp1np1/8/5PP1/2P3KP/1r6/8 w - -,c6f3
1k6/pp2K3/3P4/7p/8/1P4P1/P1R4P/3r4 b - -,d1e1
rnbqr1k1/pp3pbp/5np1/3p4/2PN4/2N1BP2/PP1QB1PP/R3K2R w KQ -,e1g1
3r1rk1/p2qbppp/1p2b3/8/3pN2P/3Q2P1/PPP1RPB1/3R2K1 b - h3,h7h6
2n1k3/pp3pb1/6p1/3P4/1B1p4/5N2/PP3KPP/8 b - -,e8d7
r3r1k1/5pb1/pp4p1/3p3p/P3nqbQ/1N1B1N2/1PP3PP/1R3R1K w - -,d3e4
5rk1/6bp/p3N1p1/1p6/4Pp2/8/P5PP/2R3K1 b - -,f8e8
8/5p2/5k2/3r2pp/8/4PPPP/1R2K3/8 b - -,f6g6
3r1r1k/1p4np/6p1/pPpB4/8/1Pq3P1/3R1P1P/3QR1K1 b - -,g7f5
rnbqk2r/pp3ppp/4pn2/2bp4/4P3/3B4/PPPNQPPP/R1B1K1NR w KQkq -,g1f3
1rr3k1/p3ppb1/3pbnp1/qp6/1P1BP1P1/P1N2P2/2P4Q/R3KB1R b KQ b3,a5d8
2kr3r/pp1b1p1p/3p1qpQ/2pPp3/7P/3P1B2/PPP2PP1/2KR3R w - -,d1e1
r4k2/5pp1/8/1r6/R7/6P1/1P3P2/R5K1 b - -,a8a4
8/5B2/3N4/P4p1p/5k1P/6p1/2r3P1/5K2 b - -,c2c5
8/pR6/3r4/2p2k2/2P2p2/2KP2p1/P5P1/8 w - -,b7g7
3rb1rk/1p2bq1n/2p1p2p/p2nP1p1/3P4/P2BB1NP/1P2QPPN/R2R2K1 b - -,d5f4
8/p2r2bk/1pRn3r/1P1p2pp/1B1Pp3/4PpP1/PN3P1P/5R1K w - -,a2a4
2r5/p2Q1rbk/p1NP3n/5pp1/7p/7P/PP3PPB/3RR1K1 b - -,f7d7
3k4/5pQ1/2pr4/p2n4/3P1N2/P7/1r3qPP/R3R2K w - -,g7f8
4rrk1/p4qp1/1b2b3/2N3R1/3QP3/3p4/PPP3PP/R6K w - -,c2d3
4b3/p3b3/1p6/5p2/2k1pPP1/P2p3P/1Pn3K1/2NR2B1 b - -,e8a4
r2qkb1r/pp1n1ppp/2p1bn2/3p4/3P3N/6P1/PP2PPBP/RNBQ1RK1 w kq -,f2f4
r1br2k1/pp2qpbp/1np3p1/2p1p3/1PN1P3/P2P1N1P/2P2PP1/R1B1QRK1 w - -,c4a5
r1bqk2r/pp2bppp/2nppn2/8/3NP1P1/2N1B3/PPP1BP1P/R2QK2R b KQkq g3,e8g8:d6d5
q1r3k1/5pp1/4bn2/1p6/2BR1Q1p/PP3P2/1B4PP/2KR4 b - -,b5c4
q2r3r/1b1nkp2/p3p3/1pb2p1p/7N/2N1P1P1/PP2QPBP/3R1RK1 b - -,b7g2
r1bq1rk1/ppn1b1p1/3p3p/3Ppn2/1P2N3/1B3N1P/P2B1PP1/2RQ1RK1 b - -,g8h8
r4nk1/8/4p1pP/1p3p2/3q4/5P2/5RK1/6Q1 b - -,d4f6
2r3k1/4R3/8/2P3B1/3K4/7b/8/8 w - -,d4d5
r2r2k1/1p1b1pp1/6n1/2pPp3/2P1P3/6PP/PB4B1/R4RK1 w - -,f1b1
2Q5/8/8/6p1/8/6kq/3K4/8 w - -,c8c7
6k1/1ppqnrbp/p2p2p1/3P4/2PBQ3/2N5/PP4PP/4R1K1 b - -,e7f5
6k1/1p1b4/p2p1n2/P2P1p1n/3N1P1p/3BrR1N/1P4PP/7K b - -,f6d5
r4rk1/p4ppp/1p2pn2/3q4/3p1P2/Q1P1P3/P3KP1P/1B1R3R w - -,c3d4
1k1r3r/p4ppp/b7/8/2P2P2/2P1n3/P5PP/R5K1 w - -,a1b1
1qr3k1/2br1ppb/1pp4p/p3p3/2P1P1n1/PP3QPP/1BR2P2/4RBK1 w - -,f3g4
1rbq1rk1/p2n2bp/3ppppB/2p2P2/1p1nP3/3P1NPP/PPPQ2B1/R2N1RK1 b - -,d4f3
7Q/6K1/8/4pk2/5p1r/8/5R2/8 b - -,h4h8
2rq1rk1/pp4bp/2n3p1/1Q1n4/3P1P2/N1P2N2/PP5P/R1BR2K1 b - -,d5f4
8/5p2/4ppkp/8/4P2P/1r3KP1/3R1P2/8 w - -,f3g2
r1bq1rk1/pppp1ppp/5n2/2b1pPB1/2BnP3/2NP4/PPP3PP/R2QK1NR b KQ -,c7c6
r1b5/1p4kR/p1p1pN1p/P3n3/1b6/8/1P4PP/5R1K b - -,g7g6
