6k1/R7/1P2p3/P3K2p/1r3pP1/8/6P1/8 b - -,h5g4
3r2k1/pbr3n1/1pp1pq1p/2P1Npp1/1P1P4/4Q3/P1B2PPP/3RR1K1 w - -,c2b3
1r4k1/2r1q1pp/4bp2/p3p3/PnP2P2/1N4Q1/1N4PP/2R1R1K1 b - f3,b4c6
r2qrnk1/1p1b1ppp/p1p2b2/3p4/PP1P4/2NBPN2/2Q2PPP/R4RK1 w - -,b4b5
8/3nB1k1/5p1p/2nPp1p1/4P3/4K1PP/8/3B4 b - -,g7f7
5k2/5P2/p6R/1p6/1P6/P1p4p/1r6/2K5 b - -,h3h2
r2qk2r/1p1bbp1n/2pp3p/p2Pp1pP/P1P1P3/1PN1BP2/2QN2P1/R3K2R w KQkq -,g2g4
3r1rk1/pp3p1p/2b1pq2/2p5/7P/1P2QN2/P1PPBP2/1K1R4 b - -,c6f3
r1b2rk1/1pq1bppp/pnn1p3/4N3/3P4/PBN1B3/1P3PPP/2RQ1RK1 b - -,c7b8
r1bqkb1r/ppp4p/2np1np1/4pp2/2PP4/2N1P1P1/PP2NPBP/R1BQK2R b KQkq -,f8g7
r3kb1r/p3nppp/bqp1p3/3pP3/1P6/3BBN2/P1P2PPP/R2Q1RK1 b kq -,b6b7
1rr3k1/p2n1ppp/3Qpn2/2P5/2q1p3/2N5/PP3PPP/R1BR2K1 w - -,c1e3
1k1b1nr1/1r1q2pn/p2p1p2/1ppPpP1P/P1P1P1Q1/1P4RN/2KB4/6NR w - -,a4b5
6k1/5ppp/1b3n2/1pr1p3/4P3/p1Pr1BPP/P2P4/BKR2R2 w - -,b1c2
r1b1k2r/2qp1ppp/p1p2n2/4p3/Nb2P3/3BB3/PPP2PPP/R2Q1RK1 b kq -,d7d5
7k/6p1/7p/P1b5/5N2/3QPKP1/8/2q5 b - -,c1h1
r1b4R/4kp2/p1r5/1p6/5NPp/2P4P/P7/5RK1 w - b6,f1e1
r1q3k1/4rp2/p3b2p/1p1P2pP/2p5/8/PbB1QPP1/1N1R1RK1 b - -,e6f5
6rk/1p2qp1p/2pp1p1Q/p7/P3r3/6RP/RPP2PP1/6K1 w - -,g3g8
3r1rk1/1b3ppp/p3p3/3nB1q1/8/6P1/P1P1QPBP/3RR1K1 w - -,c2c4
8/5p2/4pk1p/2P5/5PP1/2RbPK2/2B5/2r5 w - -,c3d3
8/5p2/3k2p1/7p/2R4P/3qN1P1/5PK1/8 w - -,g2g1
2kr4/ppp5/5p2/4n2p/1P6/P5P1/2PrRPK1/4R3 b - -,d8d6
rnbq1rk1/2p2pb1/1p1p3p/p2P2n1/2P1PB2/2NQ4/PPN3BP/R4RK1 b - -,b8d7
2r3k1/2N2p1p/r4p2/pp6/4p3/P5P1/4P1BP/2R3K1 w - -,g2h3
1r6/2q2pk1/4pn1p/p1p1p1p1/2P5/Pr1RP1P1/1P2RPBP/1Q4K1 b - -,b3b6
8/5kp1/5p1p/pK2bP2/6P1/2P4P/P7/8 b - -,e5c3
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/1PN2NP1/P2BPP1P/R2QKB1R w KQkq -,f1g2
3r2k1/p3qp1p/1pb3p1/1B2p3/3bP3/8/P3QPPP/1R3RK1 b - -,c6b7
2r1rbk1/1q1n1p1p/2p1p1p1/pp6/1P1PP3/P6P/3BBPP1/1QRR2K1 b - -,a5b4
2n5/1p4pp/p3kp2/4p3/8/P3P3/1P1N1PPP/5K2 w - -,f1e2
r1q1r1k1/1p3p1p/2p3p1/p1Nnb3/Pn5B/1Q2PB1P/1P3PP1/2RR2K1 b - -,h7h6
5rk1/q6p/P5r1/2p1n3/1pP1Pp2/3PNP1Q/6P1/R4RK1 b - -,f4e3
8/8/p3p3/3p2B1/3P4/1P2K3/7b/4k3 w - -,e3d3
8/2p5/2rkp1pp/1R2p3/1P2P2P/K4P2/P5P1/8 b - -,c6c2
r1b1r1k1/1p1n1pbp/p2p2p1/2pP4/P1q1PP2/2N1BQNP/1P4P1/R4RK1 w - -,e4e5
r1bqk2r/pppp1ppp/2n5/4P3/1bP2Bn1/2N5/PP2PPPP/R2QKBNR w KQkq -,g1f3
r2qr3/pp1n2kp/2pb1p1N/P2p1P2/3P3N/2P1n3/1P4P1/R1BQ1RK1 w - -,d1h5
r1b2rk1/pp1nqppp/2pb4/3p4/3Pn3/1PN2NP1/PBQ1PPBP/R4RK1 b - -,d7f6
r4r2/pp1qn2k/3p3p/P2P1pp1/1pP5/3P1PN1/5BPP/Q3R1K1 b - -,a8e8
r2qk2r/1b2npbp/p1npp1p1/1p6/4PP2/2NP1NP1/PPP2BBP/R2Q1RK1 b kq -,b5b4
8/8/7p/1b6/1kp2K2/6P1/2B5/8 b - -,b4c3
8/3k2p1/6p1/3KP2p/1PPB4/7P/6r1/8 w - -,b4b5
2r1r3/P5kp/Rp6/2p3pP/2P2p2/3pPKP1/8/4R3 b - -,d3d2
6k1/p1p1qppp/2p1b3/8/5P2/2N1P1P1/PP4BP/2K4R w - -,h1d1
1qr1r1k1/1p1bppbp/p1np1np1/8/2P1PP2/1PN2B2/P1NB2PP/2RQ1R1K b - -,c6d8
r4rk1/1p2p1bp/1qnn2p1/p2p1b2/P2P4/1N3N2/1P1BBPPP/2RQR1K1 b - -,c6b4
1r6/4nk1p/p1bpp3/b1p2p2/5Pp1/BBN3P1/P4K1P/2R5 w - -,c3d1
4k3/p4ppp/4p3/2p5/6P1/5P2/1r2PK1P/5B1R w - -,f1g2
r3r1k1/1bpnqp1p/pp1b1np1/3p4/3P4/1P1BPNN1/PB3PPP/2RQ1RK1 w - -,d1c2
3r1b1k/Q6p/3p2p1/3RN1q1/4P3/8/1P2BPPP/3q2K1 w - -,e2d1
6k1/1b2b1pp/p5rr/Pp3p2/1PpPpPq1/2P1B1PP/2Q3BK/R3R3 w - -,c2f2
5rk1/6pp/2pq4/8/1r6/3Pb1P1/PPQ1BPK1/1R3R2 b - -,d6d5
r4rk1/2q1bppp/Bpn1p3/p1n1P3/5B2/P3QN2/1P1N1PPP/2R2RK1 b - -,a8a6
8/3n1pk1/1pp3pp/8/2Pr2P1/4NP2/5PKP/1R6 b - -,g7f6
8/8/8/8/p2K2k1/q7/8/5Q2 w - -,f1e2
5k2/1p6/7p/8/PR5K/6PP/r7/8 b - -,a2a3
2rqr1k1/p2nbppp/bp2pn2/2p5/2pPPB2/1PN3P1/P1QN1PBP/R2R2K1 w - -,d4d5
1rbr3k/bpR3p1/p6p/2N5/2P1p1p1/8/P1P2PBP/1R4K1 w - -,g2e4
8/1pB5/p3k3/7p/4K2P/P4P2/1P4b1/8 w - -,c7d8
rn1k3r/ppp3p1/3b1pbp/3P4/2B5/6N1/PPP3PP/2KR2NR w - -,g1f3
5k2/5p2/5Rp1/7p/4PP1P/1r2K1P1/8/8 w - -,e3f2
8/1p5k/p1p5/6R1/6PP/P2p4/1Pr2BK1/3r4 w - -,g2g3
8/2P5/p7/P2K4/4p2r/4Pk2/8/8 b - -,h4h8
rq1r2k1/5p1p/p1b1p1p1/P1b1B3/2P5/1p1B3P/1P1Q1PP1/R3R1K1 b - -,b8a7
r2r1bk1/ppq2pp1/2n1bn1p/2p1p3/4P2N/2P1N1P1/PPQ2P1P/R1B1RBK1 b - -,c6a5
2n1r2k/4r1b1/1p5p/pPpqpp2/P1N5/2BP2P1/1P3QKP/3RR3 w - -,g2g1
8/p4Qbk/1p4p1/1q2PP1p/7P/P2r2P1/3R3K/8 w - -,f7g6
8/3k4/R1p2bp1/5p1p/2P2P2/4P1P1/1r2NKP1/8 b - -,b2c2
r5k1/4bp1p/1q3np1/1p2N3/4r2P/pPP4B/P2Q2P1/1K1RR3 b - -,a8d8
r3r1k1/pppq1ppp/3b1n2/n2Pp1N1/8/2NP4/PPP1QPPP/R1B2RK1 b - -,d6b4
3R4/5p2/2k1b2n/B3P2p/4PN2/1r6/5bP1/4N2K b - -,h6g4
8/R1n5/6pp/4k3/1bp2p2/1N5P/P4K2/8 w - -,a7c7
3R4/1p6/2pb1k2/B7/3P2q1/P7/5P2/7K w - -,d8d6
r2qk2r/1p3ppp/p2pb3/4p1b1/2NnP3/2NB4/PPP2PPP/R2QK2R w KQkq -,c3d5
1r2kq1r/p1pp1n1p/1pn1p1pP/4P3/1PQ5/3B1R2/P1PB1PP1/R3K3 w Qk -,e1c1
6k1/1q6/1r4Qp/p1pp2p1/8/P3P1P1/5PP1/1R4K1 b - -,b6g6
rnbq1rk1/pp2ppbp/3p2p1/2pP4/2P1P1n1/2N2N2/PP2BPPP/R1BQK2R w KQ -,c1d2
1r1q1rk1/3bppbp/p1np2p1/2pn4/1pP1P3/1P1PB1PP/P3NPB1/2RQ1RK1 w - -,e4d5
r2q1rk1/2p1b2p/1p1p2p1/p2Ppb2/2P1N3/1PR1QPP1/P5BP/3R2K1 b - -,d8d7
5r1k/1p4pp/p4P2/3p2P1/2q1p3/7P/PPP2Q2/2K2R2 b - -,g7g6
r2q1r2/1b1pnpbk/1pn1p1pp/p1p5/2P5/P1NP1NP1/1P1BPPBP/1RQ2RK1 w - -,c3b5
r1b1qrk1/ppp2pbp/n2p1np1/3Pp1B1/2P1P3/2NB3P/PP3PP1/R2QK1NR w KQ -,g2g4
