8/8/P6R/5p2/4pk2/8/r3KP2/8 w - -,e2f1
2rr2k1/pp2npp1/1q2p1p1/8/7P/PN6/1PP1QPP1/R3R1K1 w - -,a1d1
r1b1kb1r/1p1npppp/pq1p1n2/8/4P3/1NN5/PPPBQPPP/R3KB1R b KQkq -,b6c7
2r2r2/pb3pk1/5qpp/1B1p4/2p5/1P4QP/P1P1RPP1/5RK1 b - -,c8c5
4q1k1/1p3pp1/1p2b2p/1P2Pp2/P5r1/3QP3/3N2PP/R5K1 b - -,e8c8
8/8/1pb5/p7/P1B1ppk1/1PP5/4KP2/8 b - -,g4h3
r4r2/4q2p/1nknPp2/3p1P1N/1PpP2P1/p1P1R2P/R2B1Q2/6K1 w - -,f2f3
2r1R1k1/5pp1/3b4/1ppP2Bp/6r1/6P1/PP4KP/4R3 b - -,c8e8
2r5/3r2p1/p1kn1p2/2p1p2p/Pp3P1P/1P1P2P1/1BP1RK2/4R3 b - -,e5f4
1r3r2/5p1k/p2p3p/PppB2b1/1P1NP3/6R1/6K1/5R2 w - c6,d4f5
3rr1k1/pb1n1ppp/1pp1p3/6q1/1bPPQ3/1P6/PB1NBPPP/3RR1K1 w - -,b2c1
4r1k1/3nppb1/qp4p1/2nP3p/2P5/p3BNPP/P1Q2PB1/1R4K1 b - -,a6a4
r5k1/2p1Rppp/2b5/2B5/5b2/2P5/1PB3PP/6K1 w - -,g2g3
rnbq1rk1/p1p1bppp/1p2pn2/3p4/2PP1B2/2NBP3/PP3PPP/R2QK1NR w KQ -,g1e2
8/7p/k5b1/3N1p2/4pP2/4K3/7P/8 w - -,e3d4
r1bq1rk1/pppn2np/3p2p1/2PPpp2/4P3/2NNQPP1/PP2B2P/2R2RK1 b - -,a7a6
6k1/p4pp1/5n2/2p1q2p/2Q5/5P2/P1P2K2/4R3 b - -,e5h2
r1bqk2r/1pp1bppp/2n2n2/p7/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 w kq -,b1a3
8/8/1p6/2b1kpp1/2P1pn1p/2K4P/3R2P1/5B2 w - -,d2d8
r3kb1r/pppq2pp/2n1bp2/3np3/8/1PN2NP1/PB1PPPBP/R2QK2R w KQkq -,e1g1
2qrr2k/pp3pb1/1np2npp/3P4/1PP2B2/1N3P2/P1Q3PP/3RRBK1 b - -,c6d5
r1b2rk1/pp2bppp/4pn2/1N4B1/PqN5/1n4P1/1P2PPBP/R2Q1RK1 w - -,a1a3
r4rk1/ppqnbpp1/2p1pn1p/3p1b2/2P5/1PNP1NP1/PB2PPBP/2RQR1K1 b - -,d5c4
6k1/1p4rp/2p5/5r1Q/1P1Pq3/P5P1/4PP2/3RR1K1 w - -,h5h3
rnbqkb1r/pp2pp1p/5p2/2p5/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq -,d4c5
r1b2rk1/2p2ppp/p2b4/1p1p4/3P4/1PP3Pq/1P3P1P/RNBQR1K1 w - -,d1f3
8/p2r1kp1/1pR1p3/2n4p/3B4/2P4P/P1P3P1/7K b - -,c5e4
4r3/1kp5/1p1n4/p1pP1P2/P1P2p2/1P1Bq1p1/6P1/1K1Q1R2 b - -,e8f8
8/8/p1k2p2/1pp1pP1r/8/1PP2R1P/PK6/8 w - -,c3c4
8/6p1/6k1/3p4/p1r4p/R7/P1P2PK1/8 b - -,g6f5
5bk1/5qpp/1N1p4/1pp2r2/1Pn1pQ2/6PP/1B2P2K/1R2R3 w - -,f4f5
6k1/1p4bp/r2R4/PN2p2b/4P3/4pP2/1q5P/3QB1K1 b - -,b2b5
2k5/1p5r/1Pp5/2Pp2p1/3P1PP1/P5Q1/4RK2/7q w - -,f4g5
8/1pk1rp1p/p4Rp1/2p1P1P1/P2p1K2/1P1P3P/2P5/8 b - -,c7d7
8/5pk1/6p1/3Rp3/1N2P3/4b1PK/5r2/8 b - -,f7f6
r3kb1r/1p3ppp/p2pb3/2q5/3Q4/8/PPPB1PPP/2KR1B1R w kq -,d4c5
1n1q1rk1/2bn1ppb/r1p1p2p/p2pN3/PpPP1PP1/1P2P1N1/1B4BP/R2Q1RK1 b - -,d7e5
r7/8/8/2Np4/3P1k2/2K5/8/8 b - -,f4e3
5k1r/1b2b1pp/p3p3/3q1p2/2n5/2P2PN1/1PB1Q1PP/R1B3K1 b - -,h7h5
7Q/2pkqp2/1r2p3/1P1p4/3P4/1pP3P1/5P2/R3K3 w Q -,a1a8
r1bqr1k1/3n1pb1/p2p1np1/1p1P2B1/2p1P3/2N2N2/PPB3PP/R3QR1K b - -,b5b4
3rk1nr/pp1qbppp/2n5/3p4/3N2b1/1QP3P1/PP3PBP/RNB2RK1 w k -,f1e1
r2b4/pb1P1kp1/1p1Nnp1p/8/1N6/5P2/5BPP/2R3K1 b - -,f7e7
5r2/p1R5/2p2kpp/5bN1/2P3P1/7P/PP3P2/6K1 b - -,f6g5
3r2k1/5p2/3n1q1p/R3p1pQ/1p6/5NP1/PP3P1P/6K1 b - -,d6c4
2r2rk1/pp1nbppp/1q2p3/1N2B3/8/2P3PP/PP1R1PB1/1Q2R1K1 b - -,b6b5
r4rk1/1q1bbppp/p2pp3/4n3/3NP3/1BR1BPQ1/PP4PP/3R2K1 b - -,f8c8
r1bq1rk1/ppp2ppp/8/2np4/1PP1pQ2/P3P3/3P1PPP/R1B1KB1R b KQ b3,c5b3
5k2/8/7p/5Pp1/Bp2N3/2pK1P1P/7r/8 w - -,f5f6
3rr1k1/1b2bppp/1q3nn1/pp3B2/2pPPN2/P1N5/1PQ2BPP/3R1R1K w - -,f5g6
r2q1rk1/pb3ppp/1pn1pn2/3p4/3P4/2NBPNP1/PP3PP1/2RQ1RK1 b - -,a8c8
4k2r/1b4pp/p1nBp1q1/2P1Pp2/1p3Q2/1P1r4/P4PPP/2R1R1K1 w k -,f2f3
r1b1r1k1/ppq2ppp/2nb1n2/3pP3/8/PP1B1N2/1BPNQPPP/R4RK1 b - -,c6e5
r1b2rk1/pp3ppp/1npbpn2/q7/P2P4/5NP1/NPQ1PPBP/R1B2RK1 b - -,a5a4
r4rk1/pbppqppp/1p6/4n3/1bP2B2/PN2P3/1P2BPPP/R2Q1RK1 b - -,b4d6
8/p4pkp/3r2p1/1p6/8/4R1P1/P4P1P/6K1 w - b6,g1f1
2q3k1/1pr1b1pp/p3pp2/P1P5/1P3P2/2B4P/4Q1P1/4R2K b - -,c7c6
2r1qrk1/pb2b1pp/npp1p3/3pNp2/2PPn3/1P4P1/PB1NPPBP/1QRR2K1 b - -,e8h5
r1bqk2r/pp3pp1/2nbp2p/2pn2N1/5P2/3P2P1/PPP4P/RNBQKB1R w KQkq -,g5e4
r2q1r2/pb2npbk/1pn1p1pp/8/1Pp5/2NP1NP1/3BPPBP/1RQ2RK1 w - -,d3c4
2r3k1/R6p/1p1rp1p1/3n4/3R3P/3B2P1/4PPK1/8 w - -,h4h5
2r3k1/1pr1qppp/pn2bn2/3p4/3N4/bP2PB2/PB1QNPPP/R2R2K1 b - -,a3b4
r1bqr1k1/1p3pbp/2pp2p1/p1n5/2PNPPn1/BPN2B2/P2Q2PP/R3R2K b - -,d8h4
5R2/8/8/8/5b2/5k2/3r4/3K4 w - -,d1e1
r4rk1/pp4pp/1p2qp1n/1N2n2P/1P2P3/P5Q1/2P1B1P1/2KR3R w - -,b5c7
2r2bk1/2q2p1p/2n1p1p1/1R1pP3/1pnP4/1Q3NP1/1B3P1P/2R3K1 w - -,c1c4
8/5ppk/8/3N1K1p/R7/P1r3Pn/7r/5R2 b - -,c3g3
r3k2r/1pq1bpp1/p3pnp1/8/3P1PP1/P1P2Q2/6BP/R1B2RK1 b kq -,f6d5
r1b2rk1/2qnbppp/2n1p3/2ppP3/pp3B2/P2PNNP1/1PP1QPBP/R3R1K1 b - -,c8a6
2rr1bk1/5p2/1pNn3p/p2P2pR/4q1P1/1P2PQ2/1B3PK1/R7 b - -,d8e8
4kb1r/1p1q1ppp/p3p3/3pPn2/N2P4/PnQ2P2/1P1BBP1P/4K2R b Kk -,b3d2
2r2rk1/3bqppp/pp1pp3/8/nPPNP3/P3Q1P1/2R2PBP/3R2K1 w - -,d1c1
r2r4/4qpkp/2p2np1/4p3/1pbPP3/P3QPP1/3R2BP/RN4K1 w - -,g1f2
2r1r1k1/2qn1p1p/p3p1p1/1p1p4/1PnP4/P1PB3P/2QN1PP1/2R1R1K1 w - -,d3c4
r1b1kbnr/ppp1pppp/2n5/3q4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,c8g4:e7e5
1rq2rk1/2pb1p2/1p4nb/p2Pp2p/P3P1p1/1P1QNRPP/2P2N2/2BR2K1 w - -,h3g4
8/8/R2n4/4k3/1p1r3P/3K4/8/8 w - -,d3c2
r1bq1rk1/1pp2pp1/p1np1n1p/4p3/4P3/2NPPNPP/PPP3B1/R2Q1RK1 b - -,c8e6
r6k/4qpnp/2p3p1/2PpPP2/1P1N4/8/r4Q1P/4RR1K w - -,f2f4
1R6/3rqkpp/p7/2pP4/2P1p3/2B1QrP1/P4P1P/6K1 w - -,e3e2
r3b3/p7/1p1p3p/3P1Pk1/2P2pP1/P2B1K2/8/4R3 b - -,h6h5
6k1/8/5p2/2B3p1/1p2B3/n1bK1P1P/P5P1/8 w - -,e4f5
1r1q1rk1/pp1bppbp/3p1np1/2pP4/PnP1P2N/2N3PP/1P3PB1/R1BQ1RK1 b - -,a7a6
