8/6p1/5k1p/8/4P3/2P3P1/1P1rRK2/8 b - -,d2d3
2r5/pp1bkp1p/3ppp2/5P2/4P3/P1N1b1P1/1PP4P/1K1R1B2 b - -,c8c5
r3k2r/pp1nbppp/2p1pn2/2Pp1b2/1P1P1B2/2N2N2/1P2PPPP/R3KB1R w KQkq -,b4b5
r1bq1rk1/1p2b1pp/n1n2p2/p3p3/2Pp2P1/PP1P4/2NN1PBP/1RBQR1K1 b - -,g8h8
1rbq1r2/8/3k1p2/2pBpP1N/1nP4P/1p1P4/1P3RQ1/5RK1 b - -,d6c7
1r3rk1/1b3p2/pq2pP1p/1p3np1/8/2B2B2/PPP3PP/R3QR1K w - -,a1d1
8/8/5p2/2kp4/1pB2pPp/6rP/P2n4/R6K w - -,c4a6
r2qkb1r/ppp2ppp/3p2b1/1B1Pn3/3Nn1P1/2N1B2P/PPP2P2/R2QK2R b KQkq -,e5d7
r3k2r/pp2npbp/1np3p1/q2P1p2/3P4/1BN1BP2/PPPQ3P/2KR2R1 w kq -,e3g5
rnb2rk1/ppp1bpp1/3p1n1p/8/8/2NPBN2/PPP1BPPP/R4RK1 b - -,c7c6
r1b2rk1/p1b2ppp/1np5/8/3Pp1Pq/1PN1P3/P1Q4P/R1BB1RK1 w - -,c2g2
r3qrnk/1b2b1p1/p7/2p1PB1p/1p6/4B2Q/PPP2PPP/3RR1K1 b - -,e8f7
8/5pk1/6p1/3q4/P2b3P/2p3P1/2Q2P2/2B3K1 w - -,c1f4
r1b1k2r/ppq2pbp/2p2np1/2n1p1B1/4P3/2PB1N2/PP3PPP/R2QKN1R w KQkq -,g5f6
r1b3kb/pppn1p1p/3p2pB/8/2P1r2P/5N2/PQ2BPP1/2KR3R b - -,h8b2
1R6/8/8/2p2p2/P1k4p/8/1P3K2/7r w - -,b2b3
5rk1/pNr1qppp/1p2p3/4n3/2P5/P5P1/1PQ1BPP1/2RR3K b - -,c7b7
3rr1k1/ppqnbpp1/2p1p2p/3nN3/3P1P2/2P1B1N1/PP2Q1PP/3R1R1K w - -,e3g1
7R/1p2r3/2pb1p2/p7/P2P1kp1/1PP1p3/4K1R1/8 w - -,g2g1
4k3/2p5/5pN1/3P4/5Q2/1Pq4P/r7/5BK1 w - -,f1g2
4r1k1/5ppp/p1pB2n1/4b3/4P1B1/7P/P1P3P1/1R5K w - -,d6c5
3r2k1/bpn2pp1/p1p2q1p/P3p2Q/1PB1P2P/2P3P1/4RPK1/4B3 b - -,c7b5
r4rk1/1pqbbppp/p1nppn2/8/4P3/2NN2P1/PPP2PBP/R1BQ1R1K b - -,b7b5
2r1r1k1/1p3pbp/p1bpp1p1/2n5/P1N1PP2/3BB2P/RPP3P1/5RK1 b - -,g7f8
2q1r1k1/1p2rppp/p1n5/2Q2b2/1P1P4/2P3P1/1B3KBP/R3R3 b - -,e7e1
r4rk1/pp1nbpp1/3q3p/2pNpR2/P3P3/3P2QP/RPP3P1/2B3K1 b - -,a8e8
2rq1rk1/p2nbppp/5n2/2p2BB1/3P4/2N2b2/PPQ2PPP/R2R2K1 w - -,g2f3
8/3r1ppk/7p/7Q/2pn3P/4R1P1/2q2P1K/4B3 b - -,c2f5
1q2b3/6k1/p3pN1p/1p1pn1p1/3Q2P1/P3P3/1P3RKP/1Br5 w - -,f6e8
r1q1r1k1/4pp1p/1B1p2p1/3R4/PpP1P3/1Pb2P2/5QPP/3R2K1 b - -,c8c6
3r2k1/p1qrbppp/1p2b3/2p5/2Pn1P2/PPNP1RnP/4B1P1/R1BQN1K1 b - -,g3e2
rnbqkb1r/1p3ppp/2p1pn2/p2p4/2P5/1PN2NP1/P2PPPBP/R1BQK2R b KQkq -,f8b4
8/1bb5/2p2pk1/p1B3pp/8/1P1rNKPP/P1R2P2/8 w - -,f3e4
2r2rk1/4qpb1/4p1pp/1pp3P1/1P2P2P/2PP2Q1/4N3/2KR3R w - c6,b4c5
6rk/1bq2p1p/p3p1pQ/1p1pP3/1Pr1nP2/1N1B1R2/1PP3PP/3R3K w - -,d3c4
8/7k/1p1p2pp/3Pb3/1P2N3/1R1K1P2/6rP/8 w - -,h2h4
5rk1/3bq3/7p/Qp1Pb3/8/3p1Np1/PP1R1PP1/3B2K1 b - -,g3f2
4k3/1p1r1p2/2b1p1p1/8/5QP1/7P/P4P1K/8 w - -,f4e3
3r2k1/p3q2p/1p2pbp1/2p5/4RB2/1QP4P/PP3PP1/6K1 b - -,g8f7
8/6pp/2k2p2/1Nb1p3/2P5/5P2/P3K1PP/8 b - -,f6f5
r1b1k2r/1pq2pp1/p3pn2/n1p4p/4P3/1P4PP/PBP1NPB1/R2Q1R1K b kq -,a5c6
3q1rk1/r3nppp/4pb2/1PRp4/p2P4/1P2B3/3QBPPP/2R3K1 w - -,c1a1
3r2k1/p4pbp/2p2qp1/8/2P2N1n/1N4P1/P1Q2P1P/4R1K1 w - -,e1d1
r2q1rk1/1p2bppp/1np1b3/p1B1p3/P3P3/2PB2N1/1P2QPPP/R4RK1 w - -,c5e3
3B4/7p/6pP/6P1/P1nk1K2/8/8/8 w - -,a4a5
8/8/5k1p/2bn1pp1/1p2p2P/pP4P1/P2BNP2/5K2 b - h3,e4e3
5k2/3npp2/r7/3PpN2/2r3P1/p1P1R3/6P1/5R1K w - -,e3h3
r2qkb1r/pppb1pp1/1n2pn1p/4N3/8/1B1P4/PPP2PPP/R1BQK1NR b KQkq -,f8d6
r3kb1r/pp1n1ppp/2p1pn2/q4P2/3PN3/3B1Q1P/PPP3P1/R1B2RK1 b kq -,e6e5
r1b2rk1/4p1b1/p1p2p1p/1p1p1qn1/3P4/2NNP1B1/PPP1BPPQ/2K4R w - -,g3f4
rn1qk1nr/ppp1p1bp/4b1p1/3p1pB1/3P3P/2N1PN2/PPP2PP1/R2QKB1R b KQkq -,b8d7:a7a6
r6r/1p1bkppp/pb1pp3/4n3/2P1P3/2N5/PPN1BPPP/3R1R1K b - -,g7g5
3rr1k1/1p3pp1/p6p/2Pq4/Q2p4/7P/PP1R2P1/2R4K w - -,c5c6
r1bqk1nr/pppp1ppp/2n5/8/1bBpP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,d4c3
6k1/6bp/2r1p1p1/pr3p2/2Np1P2/1P1P4/1P3RPP/4R2K w - -,e1a1
r1b2rk1/pp2p1b1/5q1p/2pPp1p1/2B5/6B1/P1PQ1PP1/1R3RK1 w - -,f1e1
r1bq1rk1/pp4pp/2pb4/3p1p2/3Pn1n1/1QNBPNP1/PP1B1P1P/R3K2R w KQ -,e1g1
2b3k1/4ppbp/pq4p1/8/1P1rn3/1Q3N1P/P3BPP1/2R1B1K1 b - -,d4d8
1rbq1rk1/p3bPpp/1pQ5/2n5/3N4/6P1/PP1N1PBP/R4R1K b - -,f8f7
r3kb1r/ppR2ppp/q3p3/n2pP3/P7/4BN2/1PQ2PPP/5RK1 b kq -,f8e7
r4rk1/p2ppp1p/1p4p1/2q3B1/2P5/5QP1/Pb2PP1P/3R1RK1 w - -,d1d5
8/2R1brk1/3p1q2/3Pp2p/4P1p1/6P1/4QB1P/6K1 w - -,f2b6
r2q2k1/pp3ppp/n1p1rn2/8/3P4/PQP1BN1P/5PP1/R4RK1 b - -,b7b6
2Q5/p2r2kp/2bq2p1/5p2/8/KN6/P7/4R3 w - -,a3b2
1rq1brk1/2p3p1/p1n4p/1p1nPp2/1b3N2/4B1P1/PP2QPBP/R2R2K1 w - -,f4d5
r5k1/p3rp1p/4bbp1/2p5/8/P2BB3/5PPP/1R3RK1 w - -,e3c5
8/5R2/4pbp1/4k2p/7P/5PK1/8/8 b - -,e5f5
r1q2b2/pp1n1ppk/3prn1p/2p2N2/1PP1Pp2/PQNP2P1/3B2KP/4RR2 w - -,g3f4
8/8/5k1p/3P4/R5p1/P5P1/3r3n/6K1 b - -,h2f3
5q2/8/3r1ppk/1B1pQn2/3P1P1p/2R1P2P/6PK/8 w - -,e5e8
2r5/5pkp/p3r1p1/1pP2b2/1P1p3P/5PP1/3RP1B1/R4K2 w - -,g3g4
8/4bpkp/4p1p1/8/1r4P1/2R2N1P/5K2/8 b - -,h7h6
2r1k3/2P2R2/1p3p2/pPP1pP2/P3P1pp/8/6PP/6K1 b - -,e8f7
r3kr2/pp1b1pp1/2n5/3pPpNP/q1pP4/P1P5/2PB1P2/R2QKB2 w Qq -,h5h6
8/1p3k2/1pp3b1/6P1/8/P1P2pK1/8/8 w - -,g3f3
r2q1rk1/bp3pp1/p3b2p/3pN2Q/3P4/1B3p1P/PP4P1/3R1RK1 w - -,e5f3
rrn2b2/3q1k1p/b2p1p2/1p1PpPp1/1Q2P1P1/1PN1B2P/P1R5/2R2BK1 w - -,c3b5
r2r2k1/1b3pp1/pp2p1p1/8/PbBPn3/1P3P2/1B2N1PP/2RR2K1 b - -,e4d6
5k2/5p1p/8/5np1/R7/3rp1P1/5P1P/2R3K1 w - -,f2e3
3q1rk1/1br4p/1p1bpn2/p2p1pP1/P2Pn3/1P1BRQNP/1BP3P1/3R1NK1 b - -,e4g5
rqb1r1k1/3n1pb1/p2p1npp/PppPp3/4P3/N4NBP/BPP2PP1/R2QR1K1 w - b6,a5b6
rnb2rk1/1pb1qppp/2p2n2/2Ppp3/p7/1P1PPN2/PBN1BPPP/R2Q1RK1 w - -,b3b4
2kr3r/1pp1n1p1/p1nqbp2/2p1p3/Q3PP2/2PPB1P1/PP4B1/R1N2RK1 b - -,e5f4
5r2/2p5/p3p1k1/1rPbR1p1/2p2p2/2B2P2/P3K1P1/6R1 b - -,f8f5
r3k2r/1ppqbp2/p1n1pn1p/3p1bp1/1PPP4/P1N1PN1P/4BPPB/R2QK2R b KQkq -,g5g4
3r4/3P3p/3K4/2N2p2/6k1/1P6/P6P/8 w - f6,d6e7
