8/8/3Q4/2pPp3/2P1q3/8/7k/4K3 w - -,e1d2
rnq1k2r/pb1pb1pp/1p2pn2/2p2p2/P2P4/2P2NP1/1P1NPPBP/R1BQR1K1 b kq a3,b8a6
r1b2rk1/4bppp/pQ1p1n2/q3p3/1p2P1PP/4BP2/PPP1N3/1K1R1B1R b - -,a5b6
2kRr3/pp3pp1/4pn1p/2q5/2P4P/5NP1/PPQ2P2/1K2R3 b - -,e8d8
1q3rk1/3nbp1p/p5p1/3P4/1p2n3/PN5P/Q3BPP1/2B1R1K1 b - -,e7h4
8/6k1/8/n3p1p1/4P1P1/2NK4/8/8 b - -,g7f6
4r1k1/pp3rbp/1q4p1/n2pPp2/3P2PQ/1P2B3/P6P/3BRRK1 b - -,f5f4
8/p4p1p/1b3k2/2p5/2R5/8/P4KP1/8 b - -,f6f5
1r6/1P2Rpk1/4b1p1/pP5p/8/3p4/1P1N1KPP/8 b - -,g7f6
rnb4r/pp1ppkbp/6p1/q3P3/6n1/2N2N2/PP3PPP/R1BQ1RK1 w - -,f3g5
1q4k1/2pb1r1p/2rppbp1/8/1NN5/1P4P1/P2QPP1P/2R2RK1 b - -,c6c4
r1b2nk1/1p3rb1/p5Q1/q1p1P2p/5P1P/2N1B3/PPP3P1/2KR3R w - -,g6h5
6k1/p1p2rp1/3p1n1p/1r1PpR2/4P2P/P1B2P2/1P1K1P2/6R1 b - -,b5b8
r3k1nr/1pPb1ppp/4p3/1B6/P7/B1P5/2P2PPP/R2K3R w - -,d1e2
r1bqk2r/1pppbppp/p1n5/4p2P/2BPPn2/2N2N2/PPP2PP1/R1BQK2R b KQkq d3,f4g2
2r2q1k/1ppb2b1/r2PP1p1/p4pp1/7P/PB6/1P3QP1/2R1R1K1 w - -,e6d7
rnbq1rk1/pp2ppbp/6p1/3p4/3P4/2Q2NP1/PP2PPBP/R1B2RK1 b - -,b7b6
8/R3bk1n/6pP/8/6K1/p7/P7/8 b - -,f7f6:h7f6:h7f8
8/N4p2/1p2k1p1/2n3P1/8/1P6/PBK1nP2/8 w - -,b2f6
7k/p2r1pq1/bpr1pbp1/1PP4p/P2P1Q1P/4B1P1/3R1P1K/3R4 b - -,a6b5
1r3bk1/5ppp/4n3/p7/2p5/P1N5/1P3PPP/2BR1K2 w - -,c3a4
r5k1/pR3ppp/4n3/8/8/4P1P1/P2r1PBP/5RK1 w - -,b7e7
r2b1rk1/5ppp/p4n2/2pP2B1/2Bq2b1/N3Q3/P4PPP/R3R1K1 b - -,d8a5
2rr2k1/1b4p1/pp3q1p/2p1np2/2P1p3/4P1N1/PP2QPPP/1BRR2K1 w - -,e2h5
8/5B2/p7/1pK2p2/1P2k3/8/8/8 w - -,f7d5
rr6/1p1n1pkp/4p1p1/2n5/1RB3P1/4PN1P/P4P2/1R4K1 b - -,d7f6
5k2/3n1ppp/p2p4/3p4/1r6/1P3P2/2P2KPP/RN6 b - -,d5d4
8/4bk2/2p3n1/3pPp2/pr1P1P1p/5N1R/1PK3P1/2B5 w - -,h3h1
8/1P1k3p/2n4b/2R5/3pP2P/2p2K2/5P2/8 b - -,c6b8
r4rk1/1pq2pp1/p1np1n1p/2b1p3/1PP3b1/P1N2NP1/2Q1PPBP/2BR1RK1 b - b3,c5b6
r6r/pp1nk1pp/1q1Np3/3pp3/3P1PP1/3Q3P/PP6/R1B1N2K w - -,f4e5
r1r3k1/3pq2p/4npp1/p7/R7/3Q1N2/P1B2PPP/4R1K1 w - -,c2b3
1r1bnk2/2q1npp1/2p1p2p/1rPpN3/3P1PP1/2B1P2P/2QN4/R5RK b - -,f7f6
2r5/3n1kb1/1r1Bp1pp/p3P3/1PpPBP2/6P1/P6P/1R3RK1 b - -,a5b4
5n2/1R6/1p1r3p/p1pBkp2/P1P2p2/2P4P/4KP2/8 w - -,b7e7
r3r1k1/3q1pb1/2N3pp/p1nP4/PpB1bP2/5N2/1P1Q2PP/R4RK1 b - -,a8c8
r1bq1rk1/2p5/1p4pp/3Pp3/P7/1Q4P1/5PBP/R4RK1 b - -,d8d6
4r1k1/1pp1qpbp/1r1p2p1/pQ1P4/P7/5PNP/1PP2P2/R4K1R w - -,b5a5
8/3r1pk1/p1R3p1/1p4P1/2b1B2P/P3K3/1P6/8 b - -,d7e7
8/1p6/p1k5/P1p1K3/1r6/8/R7/8 w - -,a2a3
r2q1rk1/p1pp2pp/2n1p1n1/2p5/1b1PQ3/P4N2/1P2NPPP/R1B2RK1 b - -,b4a5
8/5pk1/p3p1n1/2p5/2N2bP1/PNR2K2/1P2R3/3r3r b - -,h1g1
4qr2/p4rbk/1p1pb1np/nPpNpp2/2P5/P1BPPNP1/2Q3BP/4RRK1 b - -,e8d8
8/3n1p1p/2R1bkp1/p2N4/2pKP3/3n1PP1/P6P/8 b - -,f6g7
2k5/8/2p1K3/7r/3PP1R1/8/8/8 b - -,h5h6
r1bqk2r/pp3pp1/2n1pn1p/2bp4/4P3/3B1N2/PPPNQPPP/R1B1K2R w KQkq -,e1g1
r4rk1/3nqpb1/2p3pp/3Pp3/Qp2P3/3B1N2/1P3PPP/R3R1K1 w - -,a4c6
bq1r1rk1/5p1p/p1n2p2/R1Pp4/1P6/2N2P2/4B1PP/1R2Q1K1 w - -,a5a6
r1bq1rk1/1p2bppp/p2p4/4p1PQ/3BP3/1PN5/1PP2P1P/R3K1R1 w Q -,d4e3
5r2/6pk/R7/4p1BP/P2b4/2r5/4R1K1/8 w - -,h5h6
r2q1rk1/p4pbp/1p2b1p1/n1p1P3/4PP2/2PBB1N1/P5PP/R2Q1RK1 b - -,e6c4
8/N7/1p6/1b4p1/3K2k1/6P1/8/8 b - -,b5d7
3Q4/6pk/1P5p/4P1n1/5K2/5P2/6qP/8 w - -,d8d3
5rk1/p5r1/1p2qn2/4P1p1/2pP1p2/2P5/P1QB1RP1/5RK1 b - -,f6d5
3Q4/7k/p4K2/P4P2/1P6/8/1q6/8 w - -,f6f7
rq3rk1/1b1n1ppp/p2bpn2/1p4B1/3P4/2NB1N2/PP3PPP/2RQR1K1 w - -,h2h3
4r3/2R1P1kp/p2r1p2/1p6/5p2/P7/1P2RKPP/8 b - -,d6d3
5r1k/6b1/p5pp/3P4/7q/P7/1r4BP/2R2QBK w - -,f1e1
6k1/4b1p1/4p1R1/1p1pB3/1P1P4/4KP2/r3N3/8 b - -,e7b4
8/p6p/1p6/2p2k1p/2P1b3/5NK1/PP3P2/8 b - -,e4f3
6k1/3r1ppp/4b3/1p1p4/1B6/2P5/rP3PPP/3RR1K1 w - -,b4a3
2r2rk1/6pp/p7/1pp1p1q1/4Q2b/P1PPP2P/1P4B1/R2R2K1 b - -,h4f2
r3kb1r/1p1qpppp/p1n2n2/3p4/3P1B2/1QPB1N2/PP3PPP/R3K2R b KQkq -,e7e6
rn1qkb1r/p3n2p/1pp2Qp1/1B1pP3/3P4/8/PPP2PPP/R1B1K2R b KQkq -,h8g8
3qr1k1/1p3nb1/p2p2p1/2pP1n2/4NB1p/1QN2P2/1P4PP/R6K b - -,e8e7
4r1k1/pp3pp1/2p3r1/3p1q2/PPnB1P2/4P3/4Q1P1/3R1KR1 w - -,e2d3
8/p1rnk2p/1p2p1p1/P3Pp2/2pP4/2P5/2P2KPP/3RR3 b - -,c7b7
r1b1rnk1/pp2qpp1/2pb1n1p/3p1P2/3P4/1PNQ1BN1/P1PB2PP/R4RK1 w - -,a1e1
1R6/8/k1r5/3N2P1/2r2P2/1p4K1/8/8 b - -,c6d6
2r2rk1/p1p2p1p/2p1b1p1/2q1b3/Q1P5/5BB1/P1R2PPP/3R2K1 w - -,g3e5
8/5rk1/1p4pp/2n2p2/r1Pq1P2/1R1P2P1/4Q2P/5R1K w - -,b3b6
r1b1r3/1p3p1k/p2p2p1/2qPP3/P1N2PPp/2N4P/1Q5K/R4B2 b - -,c5d4
3rr1k1/p1q2pbp/2n3P1/2p5/5N2/2P1B2P/P4QP1/2R2RK1 b - -,h7g6
r1bq1rk1/ppp2ppp/2nppn2/8/2PP4/2PBPN2/P4PPP/R1BQ1RK1 b - -,b7b6:e6e5
5q1k/7p/5p2/2p1pN2/p1PnQ3/P7/1P4PP/7K w - -,g2g4
3r2k1/p4p1p/1npqrbp1/3b4/1P6/P1pBBN1P/2P2PP1/R2QR1K1 b - -,d6c7
rn3rk1/pp3pb1/4p1pp/2pPPb1n/1qQ4B/2N2N1P/PP3PP1/2KR1B1R b - -,g6g5
r4rk1/1p1bn1pp/p2p2q1/4pp2/2PnP3/BPNB1P2/P2Q2PP/R3K2R w KQ -,e1c1
r5k1/3p2p1/b1pb3p/Q3pBq1/2p5/2P1R3/P5P1/3R2K1 w - -,e3e2
r4rk1/1b1n1ppp/p2qpn2/1p6/2pP4/1P2PN2/P1QBBPPP/R2R2K1 b - -,f8c8
r4rk1/1p3ppp/p4n2/q3p3/Pb2P1b1/1BN5/1PP2BPP/R3QR1K w - -,e1e3
r2qkb1r/pp3p1p/2n1pnp1/3p4/3P4/2N1PQP1/PP3PBP/R1B1K2R w KQkq -,e1g1
5rk1/pp3pbp/4p1p1/8/1P1qP3/PR1p2PP/2rP1P2/2BQ1RK1 w - -,d1f3
