8/8/5k2/2R3p1/Pp3pP1/5K2/2P2P2/r7 w - -,a4a5
7k/2q1p2r/5R2/r2P1Q1P/5P2/2PR4/6PK/8 b - -,e7f6
8/3q2kp/p2b2r1/1pp5/3p1P2/3P4/PPPB2Qn/R6K w - -,g2h2
1q3rk1/2R2ppp/p2QpP2/3bP3/6P1/6K1/4p2P/5R2 w - -,f1e1
rnb3nr/pppp1k1p/5q2/2b5/5B2/5Q2/PPP3PP/RN3RK1 w - -,g1h1
r5k1/1p3p2/2p2Pp1/p1n4N/2P5/1P3P2/P4r2/1K1R3R w - -,h5f4
3rr3/1p4bk/4qppp/p2p4/3Pn2B/2PQ1B1P/PP2R1P1/4R1K1 b - -,g6g5
8/8/p4pk1/1p5p/1P2K3/P7/1PR3PP/3r4 w - -,c2c6
r1bqk2r/pppnppb1/3p1npp/8/3PPB2/3B1P2/PPPQN1PP/RN2K2R w KQkq -,c2c4
2Q5/4pp2/8/5k2/2P1q3/1Pn3p1/P6r/K7 b - -,e7e6
1r1qk2r/1p2n1bp/p2p1p2/1b2pPp1/3PP1P1/1Q2B2P/PP2N1B1/R4RK1 w k -,f1e1
r2qr1k1/p4p1p/Bpb2bp1/3p4/3P4/2N5/PP1Q1PPP/3R1RK1 b - -,d8d6
5r2/4n1bk/R2p1qpp/pp3p2/3PrN1P/5N2/PP1Q1PP1/2R3K1 b - -,a5a4
3r1r2/2k2p2/4bQpp/PpN1P3/1Ppq1PP1/7P/5R2/5RK1 w - -,f6e7
r1q2rk1/pb2bppp/1p2pn2/P1p1B3/2BP4/1QP1PN2/5PPP/R2R2K1 b - -,b7a6
8/1b1q2k1/p5p1/1p1p2n1/1PnN4/P2R1BP1/2P3K1/6B1 w - -,g3g4
2R5/2p2pk1/1p1p4/1P5p/2P1P3/1q3K2/4QP2/6r1 w - -,e2e3
6R1/6p1/3k4/4p2p/2K1Pp1P/5P2/6r1/8 b - h3,g2g3
r1bq1rk1/pp3ppp/2n2n2/3Pp3/1b6/2NB1N2/PPPB1PPP/R2QK2R b KQ -,f6d5
4nk2/r1pb1p1p/1p4p1/pP1P2P1/2P5/P2n2N1/2BK3P/7R w - -,d2d3
r2r4/pb2pk1p/1p2p1p1/4p3/Q3Nbn1/5N2/PPP2PPP/1K3R2 b - -,g4h2
8/4bp1p/4p3/1k2N1P1/pp1PP2P/8/2K5/8 b - -,b4b3
8/6p1/4p3/4k3/1R2ppr1/2P5/PP2KP2/8 w - -,a2a4
1r4k1/5p2/4p1p1/4P1Pp/q7/1N6/PKQ4P/8 b - -,a4d4
2r1qrk1/pb3ppp/1p2pn2/3P4/1b1N4/1P4P1/PB1RPPBP/1Q3RK1 w - -,d2d1
rn1q1rk1/pb1pppbp/1p3np1/8/2Pp4/1P3NP1/PB1NPPBP/R2Q1RK1 b - -,d7d6
rnbqrnk1/p3bp1p/1p2p1p1/1P1pP1NQ/2pP3P/2P5/P1B2PP1/RNB1K2R w KQ -,h5h6
4B3/8/1p6/8/P2k4/3np3/4K3/8 b - -,d3f4
8/2p3K1/7p/6p1/1p1k2P1/2p3P1/P4R2/8 b - -,c7c5
3q1rk1/5ppp/2b1p3/1p2Q3/3P4/1BP5/5PPP/R5K1 b - -,d8c8
1r5r/pqpb1pk1/3b3p/2p5/2P2B2/2QB3P/PP2R1P1/4R1K1 b - -,g7g8
r3kb1r/pp1n1ppp/1qp2n2/4p3/4PP2/5B2/PPP3PP/RNB1QR1K b kq -,h7h5
2r3k1/pq3pp1/5n1p/4P3/2b3P1/2p3BP/P3QP1K/2R1N3 w - -,e2f3
1q2r1k1/1p1rb1np/pB1pp1p1/5p2/2P5/1P1R2P1/P2QPPBP/2R3K1 b - -,e7d8
r1bqkb1r/ppp2ppp/8/3P1n2/2Pn4/P1N2N2/4B1PP/R1BQK2R w KQkq -,e1g1
r7/8/PR4p1/2p1k2p/8/8/4K1P1/8 w - -,b6g6
r4rk1/pp3ppp/3b1n2/3pq3/3N2b1/1P1QP1P1/PB3PBP/R4RK1 b - -,f8d8
2r2rk1/1p1bnp1p/1q2p1pb/pP1pP3/3P3P/P2BP3/3NQ1PN/R4RK1 b - -,e7f5
2k3nr/pp2pp1p/6pb/2P5/1Q6/2P2q2/PPK2P1P/R1B4R b - -,f3h1
r7/7k/q2pQbr1/2p1n2p/4P2P/2N2PN1/PP4K1/1R5R b - -,a8g8
2kr1bnr/ppp2ppp/2B3q1/4P3/Q1Pp4/6PP/PP1NPP2/R1B1K2R b KQ -,g6c6
3r4/3rkp2/p5pp/2p1p3/P3P1Pb/1P1B4/3RK2P/3R4 b - -,d7d4
4r1k1/1p3p2/8/p2P1R2/1b2B1rp/3R2P1/PP4K1/8 w - -,f5f4
2r1n1k1/p1r2p1p/bpn1p1p1/3p2P1/1q1P3Q/2N1PN2/PP1R1PPK/1BR5 w - -,c1h1
8/4ppk1/4b3/8/P6R/1P6/5P2/1r1BK3 b - -,e6b3
6k1/5p1p/3pb1p1/2q1p3/rpP1P3/3P2P1/1Q3PKP/1R3B2 w - -,b2d2
2r5/R3p1bp/6p1/5p2/2k5/2PpP1B1/1P1K1PPP/8 b - -,g7f6
2rq1rk1/pp1bppbp/2p3p1/n2P4/2P1P2N/6P1/PB3PBP/1R1Q1RK1 b - -,g7b2
3n4/p2qpk2/2p2ppp/2p5/2P3PP/1PN1P3/P3QPK1/8 w - -,c3e4
2krr3/2qn4/p1bbpp1p/1p4p1/1P1N1P2/2B4P/1PPN2P1/1K1RRQ2 b - -,c6d5
r1bqkb1r/pp3p1p/2n1p2p/3pP3/3P4/5N2/PP3PPP/RN1QKB1R w KQkq -,f1e2
7k/4q1b1/Q6p/4p3/1p2B1b1/8/1P4PP/5R1K b - -,e7e8
2r1rnk1/p3q2p/1pp1pb2/8/2BP1p2/1Q3N2/PP3PPP/R3R1K1 w - -,a2a4
r2qkbnr/pb1p1ppp/1pn1p3/2p5/4P3/1P1B1N2/P1PP1PPP/RNBQ1RK1 w kq -,f1e1
6k1/1B5p/p5p1/P5n1/3n4/1PN4P/8/4K3 w - -,b7a6
2rr2k1/pp3pb1/6pp/n1p1pb2/4N3/2PP2P1/P3PPBP/1RB2RK1 w - -,c3c4
3q1nk1/1pr3p1/3Np1p1/3pPp2/3P3P/1p2Q1P1/1P3P2/R5K1 b - -,d8e7
rnb1kbnr/pp3pp1/2p4p/4P3/4P3/8/PPP3PP/R1BNKBNR b KQkq -,c8e6
8/5pk1/3r2p1/3BK2p/8/1R4PP/8/8 b - -,d6a6
3r4/5kPP/8/1p4K1/pP3B2/P2p4/8/8 w - -,g7g8q
8/8/3k2p1/8/pKR5/8/P5r1/8 w - -,a2a3
8/8/3k4/1p1Ppp1P/pK1nP3/P7/1P1N4/8 b - -,f5e4
8/5pk1/7R/6P1/2r2p2/5K1p/8/8 w - -,f3g4
2kr3r/Bp5p/2p1bqp1/4pp2/4P3/3PQ1PP/PPP1N1B1/R5K1 b - -,f5e4
6k1/5ppp/3Np3/2nqP3/1n3PP1/3r4/1P2Q1NP/4R2K w - -,d6e4
r3k2r/pp1n1p1p/2pb1pb1/3p4/3P4/2N1P1P1/PP2NP1P/R3KB1R w KQkq -,e2f4
r4rk1/pb3pp1/1p2pn1p/2q1R3/2P5/3B1N1P/PPQ2PP1/R5K1 b - -,c5c7
8/6k1/2R1Bpp1/p6p/r7/8/8/6K1 w - -,c6a6
8/5r1k/p1R4p/5p2/P1p2b2/5P1P/6RK/8 w - -,h2g1
rn2kbnr/ppp2ppp/8/5b2/8/2N5/PPPPB1PP/R1B1K1NR w KQkq -,c3b5
5rk1/p1p3pp/1p4q1/2bP1p2/4rP2/2PQ2P1/P1KBR2P/1R6 b - -,f8e8
7r/8/3p1rB1/4kP2/p1p1P1Rp/2P1K2P/1Pp5/8 w - -,e3d2
4r1k1/1p1Q1pb1/p2p4/P2P4/1P2n3/5K1P/6P1/8 b - -,e4d2
3r1rk1/pp4p1/4p2p/2PbRp2/3P3q/4QP2/PP1B2PP/R5K1 w - -,d2e1
8/8/1bb5/1p2kpp1/3p2P1/3B1P1P/1P1NK3/8 b - -,f5g4
r5k1/pp2q2p/2n1p1pb/3pP3/3P1rP1/P1NR1N1P/1P2Q1K1/1R6 b - -,a8f8
b2r2k1/2qr1pp1/2p1p2p/ppP5/3P1P2/PPQ2BP1/7P/R2R2K1 b - -,a8b7
7k/ppq3bp/2p1Bnp1/2P1p3/1P3r2/P7/1BQ2PPP/3R2K1 b - -,f6g4
1r4k1/1p2r1pp/pnpb4/N3pp1P/1P4n1/PN1PP3/2R1KPP1/B6R b - -,b6a4
1rr3k1/2qbppbp/2np1np1/1p6/1P2P3/2NP1NPP/3B1PB1/1R1Q1RK1 w - -,d1e2
rn2kb1r/pp3ppp/2p2B2/q2p4/3Pb3/2N1PQ2/PP3PPP/R3KBNR w KQkq -,f3g4
8/6p1/2N1k2b/2R1P2P/8/4r2P/6K1/8 b - -,e3e2
