8/7R/5k1p/5p1P/5P2/4PK2/8/1r6 b - -,b1h1
8/5k2/7R/5ppN/1K1P4/4rbPP/8/8 w - -,h6h7
8/6r1/8/k4R2/4p3/6P1/5K2/8 b - -,a5b6
8/8/1p6/1R3p2/P5p1/6Pk/2r5/5K2 b - -,f5f4
4kr2/2p2r2/1p1p2Qp/pPbP1p2/P3pPp1/4P1Pq/1BR4P/6RK b - -,e8e7
r1qb1rk1/2p2p2/1pPp2np/1N1Pp1pn/1pQ1P3/5PP1/P2N1B1P/RR4K1 w - -,b1b4
7R/8/8/8/3K4/1p4r1/2k5/8 w - -,h8c8
r4rk1/5pbp/p5p1/1p1p2Bn/3NRP2/8/PPP3PP/2KR4 w - -,e4e7
5r2/pp4k1/2p2np1/3q3p/2P2P2/4R2P/PP4N1/2Q4K b - c3,d5d4
8/1pp5/p2p2p1/P2Pp1k1/4PpP1/1PPK1P2/4r2r/4R1R1 b - -,e2e1
2n4r/2Q5/1p1pp1k1/1P2p3/4Pqp1/2PPN3/2K3P1/5R2 b - -,f4e3
r4r2/p2nk1p1/2b1p3/1p6/2pP3R/2P2P2/PP3NP1/2KR1B2 b - -,f8h8
3k4/2p5/1p3p2/p1b1pPp1/8/2P3P1/PP3PK1/2B5 b - -,d8e7
r1b5/ppp1qrk1/3p2pp/3P1p2/8/1P3BP1/P2QPP1P/2R2RK1 b - -,b7b6
r1b2rk1/pp2ppbp/2n3p1/2Pq2B1/3P4/5N2/P3BPPP/R2Q1RK1 w - -,g5e3
r4r1k/1p1q1pbb/3p4/p2Bp1pP/P1PnP3/1PB3N1/5P1P/R1RQ2K1 w - -,a1a2
5R2/6p1/1r4k1/1r3p1p/5R1P/4P3/5PP1/6K1 w - -,f4f3
r1r5/pp1b1kb1/4ppp1/3p1n1p/1P3P1P/3B1N2/PBP2KP1/R2R4 b - -,d7a4
5k2/1p3p2/6p1/4P2p/1b1N1P2/pP5b/P1P1B2r/3K2R1 w - h6,d4f3
1q2r1k1/1b1n1ppp/pp3n2/8/1P1Q4/P1N2P2/6PP/2NR1BK1 b - -,h7h6
7k/1pp1q2p/3p4/2nP4/p1P1p2P/P4Q2/KPB2P2/8 w - -,f3f5
8/1R4p1/8/2N5/1P4k1/r5Pn/4K3/8 b - -,g7g5
8/6k1/4pq1p/1p1p2p1/2pN4/2Pp3P/rP3PP1/2Q1R1K1 b - -,e6e5
8/1b5p/P7/1r6/5pk1/8/5B2/R4K2 w - -,a6b7
r1bq1rk1/1p3pbp/2p2np1/p3p3/Pn2P3/2N1B2P/1PPNBPP1/R1Q2RK1 b - -,c8e6
2r5/2P5/3k2p1/p4p2/P2P4/5P2/5P1P/2R4K w - -,h1g1
5rk1/2Rnpp1p/3q2pb/P7/3P4/2Q1N1P1/5B1P/6K1 b - -,h6g7
r1b1k2r/1p2bppp/pq1ppn2/2n2PB1/3NP3/1BN5/PPP3PP/R2QK2R w KQkq -,g5e3
r3r1k1/1b1nqp1p/1ppb1np1/p2p4/P2P4/1PN1PN2/1QR1BPPP/R3B1K1 w - -,g2g3
2rr2k1/pbq2ppp/1pn1pb2/2pp4/2P3n1/PP1P1NP1/1QNBPPBP/1R3RK1 w - -,b2a2
4r3/p3k1pp/4pn2/2p5/3r4/1P3P2/P5PP/2NRR1K1 w - -,c1e2
r1b2rk1/pp1p2bp/n2n2p1/q1pPpp2/2P1P3/P2B1N2/1PQN1PPP/1RB1R1K1 b - -,f5f4
3k4/pp3p2/1n3np1/1P1pP3/1B1P3P/5P1B/P4K2/8 b - -,f6h5
2r5/4k2p/p2p1pp1/1b1B4/3KP3/5P1P/1P1R2P1/8 b - -,c8c1
5r1k/2R1Npp1/5n2/p2p3p/Pq6/4P2P/2Q2PPK/8 w - -,c2c5
rnbq1rk1/p3ppbp/2pp1np1/1p6/3PP2P/2N1BP2/PPPQ2P1/2KR1BNR b - -,b5b4
r4rk1/2qnb1pp/pp1p4/3Ppp2/P1P2P2/4B3/1P1NQ1PP/R4RK1 b - f3,a8c8
q1r5/5ppk/p2Rp1bp/B2p4/2PQn3/1P6/5PPP/2R3K1 w - -,d6b6
8/Q7/3K4/kP3q2/7P/8/8/8 b - -,a5b4
3q1rk1/pp2ppbp/6p1/3p4/3NnP2/4Q3/PPP3PP/2KR3R w - -,h1e1
5rr1/3b1k2/2p1q1pQ/p1PpPpR1/1p1P4/4P3/PP6/2KB2R1 b - -,g8h8
3r1r2/3qn2k/bp4pp/p1pn1p2/P4b2/1QPP2P1/1P1B1NBP/3RR1K1 w - -,g3f4
r3kb1r/pp1npp1p/2p3p1/3n1b2/3P4/1N2PNB1/PP3PPP/R3KB1R b KQkq -,d5b4
rnbqkb1r/pppn1ppp/4p3/3pP3/8/3P4/PPP1QPPP/RNB1KBNR w KQkq -,d3d4
1r4k1/3b3p/3p1qp1/1PpP4/pb2P2P/3B1PB1/4Q1K1/7R w - -,e4e5
3q1rk1/3b2n1/4p3/pp1pR1Pp/3P4/P2B2P1/NP1Q1P2/6K1 w - -,a2c3
8/8/8/R4bk1/4r1p1/8/5K2/8 b - -,g5f4
r3kbnr/ppqb3p/2n2p2/3pp3/2pP4/P1P2NPB/1P2QP1P/RNB1K2R w KQkq -,h3d7
rn1q1rk1/1bp1b1pp/p3pp2/1p6/P1pPP1N1/2P3P1/5PBP/R1BQ1RK1 w - -,a1b1
r1b1k1r1/pp2n2p/2n1p1p1/2PpPp1P/4q3/P1P2NQ1/3BBPP1/R3K2R w KQq -,h5g6
8/5p2/1k2p3/p3bp1p/1P5P/PK3PP1/4N3/8 b - h3,a5b4
rn1qk2r/pp3ppp/2pbp3/3pNb2/3P1B2/P3PP2/1PP3PP/R2QKB1R w KQkq -,g2g4
3r2k1/pb2r2p/P1p2bp1/1p3p2/1P1Pn3/1N2P1P1/2R2PBP/2R1B1K1 b - -,b7a8
8/p3b3/2pk2p1/P3np2/2P1p3/1N2P3/3K1PPr/3N2R1 w - -,d1b2
rn1qkb1r/1b2nppp/p3p3/2ppP3/1p5P/3P1NP1/PPP2PB1/RNBQK2R b KQkq h3,h7h5
1k1r4/1r3p1p/p4q2/8/1p1p4/2b1P2P/Q3KPR1/1N1R4 w - -,b1c3
8/5k2/R7/5pp1/4r2p/6P1/6KP/8 w - -,a6b6
8/2Q1k3/6p1/1P6/q7/2B3K1/8/8 b - -,e7e6
r1bqkb1r/pp1n1ppp/4pN2/2p5/3P4/3B4/PPP1QPPP/R1B1K1NR b KQkq -,d7f6
r1b4r/ppN2pkp/1q3np1/8/8/3B3P/PPQ2PP1/2R2RK1 b - -,a8b8
4R3/7k/1pq1K1p1/2p3Q1/3p4/3P4/2P4P/8 w - -,e6f7
8/8/6p1/Rp6/4n3/P4k2/5r2/5NK1 w - -,f1h2
8/8/5p2/4p1pp/4P3/1B6/5k1P/3K4 b - -,g5g4
6k1/1pB2pp1/p1b3qp/P5r1/8/5P2/6PP/2R2QK1 b - -,g5f5
2r3k1/p3pp2/1p3qp1/P1nb3p/7P/2P1QP2/1P2B1P1/R3K2R b KQ -,c8c6
6k1/4rB2/p1p4p/4q3/5R2/2N3P1/PP4K1/5R2 b - -,g8h8
r4rk1/1p2b1pp/2p2n2/p1np4/Pq6/4B2P/BPP1NPP1/1R1QR1K1 w - -,e2d4
3r2k1/p3q1p1/4pp1p/2p5/2P1pP2/1N1bP3/PP1R2PP/4Q1K1 b - -,e6e5
r1b2rk1/ppq2pp1/5n1p/2pp4/8/2PBPN1P/PP3PP1/R2QK2R b KQ -,f8e8
r3kb1r/p1q1ppp1/2p2n2/2pp3p/4PPb1/3P2P1/PPP1Q1BP/RNB1K2R w KQkq -,g2f3
1r1q1rk1/1p2npbp/2np2p1/p1pNpb2/2P5/P2PP1P1/1P2NPBP/1R1QBRK1 b - -,e7d5
1rbq1rk1/2p1bppp/p1n1pn2/1p1P4/2p1P3/2N2NP1/PP2QPBP/R1BR2K1 b - -,e6d5
4rr2/1p1R2pk/2p2qbp/p7/P2P2P1/1BP3Q1/5P2/2B1R1K1 w - -,e1e5
rnbqk1nr/pp2ppbp/2p3p1/8/3PN3/4BN2/PPP2PPP/R2QKB1R b KQkq -,b8d7:g8h6
r1bq2k1/1p1n2bp/3p1r2/pNnPp1p1/4Pp2/1P3P2/P2QBBPP/R1N2RK1 w - -,c1d3
2r1rb1k/1q3p2/p2p1Npp/1p2n3/4BR1P/6Q1/PPP3P1/1K3R2 b - -,b7e7
8/2k2p2/2p1b1p1/1p2p1n1/1P2P3/4NP2/1KP1B3/8 w - -,b2c3
nr6/3R3p/5kp1/P1p5/8/1P1N1P2/6PP/6K1 b - -,b8b3
8/7k/1r1p4/2pP4/2P3Kp/2B5/p1P2P2/6R1 w - -,g4h4
r2r4/1p6/2p2p1k/p2p1P1q/P1PPp2p/1P2P1pP/4Q1P1/2R2RK1 w - -,e2b2
r1q1rbk1/2pn1pp1/1p2b1np/pP2pN2/4P1P1/2PN1P2/P1Q4P/R1BR1BK1 b - -,c7c6
