8/8/5n2/P3p3/1KB4p/8/1P4k1/8 b - -,h4h3
1rq2rk1/pp2ppb1/3pbnp1/4n2p/2P5/1PN3PP/PBN1PPBK/R2Q1R2 w - h6,c2d4
8/3npk2/3p4/2pP2pp/4P3/2B2K2/1P4P1/8 b - -,d7b6
r2q1rk1/pp1n2pp/2nbbp2/2p1p3/2PpP3/1P1P2PP/PB1N1PBN/R2Q1RK1 w - -,d2f3
k2r4/np1qbpp1/p1p1pn2/7r/PPPP3p/1QN1BP2/3R2PP/R4NK1 w - -,a1d1
8/3b1k2/3p3p/p1pP2q1/1pP1Pp2/1P3P2/P4QBP/1K6 w - -,g2f1
1r6/1r2kpp1/1pRRp2p/pP2P3/P1P1P3/2K3P1/7P/8 b - -,e7e8
r2qk2r/ppp1bpp1/3p1n1p/4p2b/4P3/1P1PBN1P/1PP1NPP1/R2QK2R b KQkq -,b7b6
4rbk1/3r1pp1/2p2P1p/ppp1B3/P3NP2/2P5/1P3PKP/1B2R3 w - -,f6g7
r1b1r3/pp1pq1k1/4ppp1/7p/5Q1P/3BBP2/2R1K1P1/2R5 b - -,e8h8
6k1/1p2pp1p/pnn1b1p1/2p3B1/4P3/P1P2N2/2P1BPPP/5K2 b - -,f7f6
6k1/1p3p1p/6p1/8/n1PB4/6PP/5P2/6K1 b - -,g8f8
r3k2r/pppqbnpp/2n1p3/3pPp2/3PbPP1/P3BN1P/1PPNB3/R2Q1K1R w kq -,h1g1
2r2bk1/3b1p1p/4n1p1/q2pB3/P2N4/1PpBPP1P/4Q1P1/3R3K w - -,d3c2
rn1q2k1/4b1pp/3p4/3bpr2/P1Np4/BQ6/1P1N1PPP/R3R1K1 w - -,b3b6
r3rqk1/3b1p1p/1p1p1bp1/pPpP4/2P1P1P1/P2B1N1P/2R2PK1/2Q1R3 w - -,c2e2
6k1/6p1/3pp3/4b3/1Nb1P3/2P5/N1Kr3P/8 w - -,c2d2
1r3rk1/2pb2pp/p1pp1q1b/8/4PN1P/6P1/PPPQN3/1K3R1R w - -,d2c3
5r2/1k6/2p5/4p1p1/6P1/P3P2p/1P2K2b/2RN4 w - -,d1f2
8/1p3qpk/p1p3bp/3pQ3/5B2/2P5/PP3PPP/6K1 w - -,f4e3
r2q1rk1/pb2bppp/1pnppn2/2p5/4P3/2PP1NP1/PP1NQPBP/R1B1R1K1 b - -,a8c8
r2qr1k1/1p3p2/p2pb1p1/P1p5/8/2PQ4/2P2PPP/R1B2RK1 b - -,d8h4
2rq1k1r/pQ2bpp1/5n2/3p3p/8/2N1p3/PPP1B1PP/3R1RK1 b - -,c8c7
5r2/3P4/2Q2bpk/4pB2/4P3/7K/3r4/8 w - -,c6c1
r1bqkbnr/ppp3pp/2p5/4pp2/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,f3e5
6k1/2p2ppn/1p2q1n1/p1b1p1B1/P1P1P3/2P2QPP/3N2BK/8 w - -,g5e3
3r1k2/1p4p1/pN1bppp1/3p1nP1/3P1P2/1P1BP1nP/1PR5/1KB5 w - -,g5f6
r1bq1rk1/ppp1n1bp/3p1npB/3Ppp2/2P1P3/2N2P2/PP1QN1PP/2KR1B1R w - -,h2h4
r4rk1/p2qbppp/1p6/1N1pBb2/3P4/1Q6/PP3PPP/R3R1K1 w - -,b5c7
4k3/8/5p1p/3R4/1p2rP2/pP6/P1PK2PP/8 w - -,g2g3
r1bq1Bk1/p5bp/5nn1/3Pp3/2P1Ppp1/3N1P2/P3B1PP/2RQ1R1K b - -,g7f8
r2q1rk1/pp2ppbp/2np1np1/8/2Pp4/4P1PP/PP2NPB1/R1BQ1RK1 w - -,e2d4
r5k1/2Q1npp1/3pq2p/1p2p3/4P3/3PnN2/1PP2PPP/5RK1 w - -,f2e3
3r3k/6p1/1p2qp1p/8/Pp4B1/1P2N2P/2Q2PK1/8 b - -,e6e5
rn2kb1r/ppp2ppp/4pn2/q4b2/2B5/2NP1N2/PPPB1PPP/R2QK2R b KQkq -,c7c6
6k1/5p1p/1p4p1/3pPp2/1P1KbP2/r1P5/3RN2P/8 b - -,a3a8
5rk1/p3qpbp/1pb1p1p1/8/5P2/2NR2Q1/PPPB2PP/6K1 b - -,f8d8
2r2bk1/5p1p/Q3b1p1/P2p4/3B4/1Pp1PPqP/2B3P1/R6K w - -,a6e2
3r1rk1/2q2pb1/p3bnp1/1pp1P2p/3p3P/2P1BP2/PP1QBNP1/R4RK1 w - -,c3d4
r1bq1rk1/ppp1bppp/1n1p1n2/4p3/3PP3/1BN2N2/PPP2PPP/R1BQR1K1 b - -,e5d4
5rk1/pp4pp/4P3/b7/3N4/6KP/Pr6/2RR4 b - -,f8e8
r1b2rk1/p1n1pp1p/6p1/4P2q/2pP2Pb/1QP4P/5P1N/R1B2RK1 w - -,b3c4
6rk/1p1B3b/3p2n1/P2Pq3/4p3/4Np2/5Q1P/5R1K b - -,g6f4
r4rk1/2pn2pp/1p2n3/pP3pq1/2P1b3/P3PB2/1BQ3PP/3RNR1K w - -,c2e2
6k1/7p/pB1p4/P2P2b1/2q3p1/8/4p1PP/4Q1K1 w - -,g1f2
8/8/1b1pk2p/p7/1pN2Pp1/1P4P1/P3K3/8 b - -,b6c7
8/1pp2k2/1pp2np1/8/7N/1KP3rP/PP5R/8 w - -,h4g2
6Q1/3k4/5p2/4n3/1B6/3q1P2/2p3PK/8 w - -,g8g7
2k5/pp3p2/2nr1p2/7R/3Pp3/P5P1/1PPKNP2/8 w - -,d2e3
b3r1k1/5ppp/p7/3p4/8/1P4P1/4PPBP/2R3K1 b - -,g7g6
2r2rk1/pp2ppbp/2n3p1/8/1q2P1b1/4BN2/PPQ1BPPP/R4RK1 w - -,a2a3
2r1k2r/1pqnbppp/pn1pb3/4p1P1/4P3/1N2BP2/PPPQ3P/1NKR1B1R w k -,b1c3
1r4k1/r4n1p/4Q1p1/2pPN3/3q4/7P/P2B2P1/R4RK1 w - -,g1h1
1r4k1/5p1p/2B2p2/2b1p3/1r6/3P2P1/RP2PP1P/2R3K1 b - -,c5d4
2r2k2/R7/8/1p2p2p/4Bp1p/PP3P2/1KP5/3R2r1 b - -,g1d1
r4r1k/p1q3pp/1ppbp3/3p1p2/2PP1P2/4P2P/PPRBQ1P1/5RK1 b - -,c7d7
r1r1n1k1/1p2bppp/3p4/QNnPpP2/p3P3/4BP2/PP5P/R3KB1R b KQ -,a8a5
2rr2k1/p1q2pbp/1pN1p1p1/2p5/P1PP1P2/1Q2P3/1B2R1PP/2R3K1 b - -,c7c6
8/5p2/6pp/2k5/8/rpPK2P1/1R3P1P/8 w - -,h2h4
8/2b1k3/2p5/p1N1p3/P1PP1K1p/1P4pP/6P1/8 w - -,d4e5
8/3k1ppp/2R2n2/ppB1p3/1b6/8/P5PP/5K2 w - -,c6d6
1r6/8/Pp2b2k/6p1/2ppPr2/6RP/8/1B2R1K1 b - -,b8a8
1r4k1/5pp1/7p/2R5/1r2P3/5P1P/2R3P1/6K1 w - -,c5c7
8/6pk/7p/1p1n1q2/2pQ4/2P4P/1P1B2K1/8 b - -,d5f6
5r2/1p2R1p1/1rk5/3R3p/P1p4P/2P3P1/1P4K1/8 w - -,e7e6
6k1/5p1p/p1Q3p1/6P1/5q2/P3r1R1/3r2BK/8 w - -,c6c8
1r2brk1/2pqb1pp/2N5/5p2/QpPPp3/4P1P1/1P2B1NP/R4RK1 b - -,d7c6
r7/1R2nkp1/2p1N2p/pp6/1P6/P5P1/5P1P/6K1 w - -,e6g7
q1r3k1/4p2p/rn3pp1/2NPp3/P3P1P1/2R4P/2Q2PK1/3R4 b - -,a6a5
3Rk1r1/2q5/ppb1ppn1/2b1p1pp/1BP1P3/1PQ2NP1/P1B2P1P/5RK1 b - -,c7d8
r4rk1/pb1nqpp1/1p2p2p/2p5/2BPP3/2P2N2/P3QPPP/R3R1K1 b - -,d7f6
r5k1/2Q1rppp/4b3/pp6/8/P1N5/1PP3PP/R4R1K b - -,e7c7
5rk1/Q3R1pp/4p3/2p5/2P1q3/4B2P/Pr2nPP1/R6K w - -,e7g7
8/2b2kp1/2p2p2/p1p5/P1qp3R/5QP1/6K1/8 w - -,f3g4
rnb1kb1r/pp3ppp/4pn2/2p5/2PPq3/5N2/PP2BPPP/RNBQK2R b KQkq -,c5d4
1R6/5pk1/P4b2/6pp/2B5/r5P1/4K2P/8 b - -,h5h4
5rr1/p6p/2q1kp2/3p4/1QpPnBPP/P1P5/2P3R1/R5K1 b - -,h7h5
3Q4/4r1kp/p2p4/P2q2P1/1p6/8/P1P5/5RK1 b - -,d5d4
rnbq1rk1/pp1p1ppp/4p3/2p5/2PP4/2P2NP1/P2QPP1P/R3KB1R w KQ -,f1g2
r1bqkb1r/pp3pp1/2n1pn1p/8/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 w kq -,f1e1:c1f4:b2b3
5r2/6bk/2p3p1/p2Qpq1p/1PP5/1P3NnP/3R1PP1/6K1 w - -,d5d6
r2bk2r/5ppp/p1Rp4/1p1PpP2/4P3/Pn1B1N2/1P3KPP/5R2 b kq -,e8e7
