8/2r2rk1/R3p1p1/3pP3/5P1P/R5K1/8/8 b - -,f7e7
3r2r1/1pkbpp1p/p2p3b/q1pPnp2/2P2N2/1QN1P2P/PP2BPP1/2KR3R w - -,c1c2
2rr2k1/1pq1bppb/4nn1p/p2pN3/8/PP2P1PP/R2N1P2/B2QRBK1 w - -,f1d3
r1bq1rk1/p4ppp/1p1p1b2/1PpP4/2P1PQP1/3B1N1P/P4P2/2R2RK1 b - -,f8e8
1r4k1/q2p2pp/2p1p3/p1Pn1r2/3QB3/1P4P1/P3RP1P/3R2K1 b - -,b8b4
r7/1ppq1pk1/p5p1/3Pb3/1P2N2r/P4Q1P/5PP1/2RR2K1 b - -,a8h8
rnbqkb1r/pp3ppp/3p1n2/3P4/8/5N2/PP2BPPP/RNBQK2R w KQkq -,b1c3
8/5k2/p2r1p2/1p5p/8/P1B2P1P/1P4PK/8 w - -,h2g3
r3k2r/p4ppp/1q2p3/2bp4/8/3Q3P/PPP1NnP1/R1B2RK1 w kq -,d3f3
rnbqk2r/ppp1ppb1/1n4p1/7p/7P/2NP2PN/PP2PPB1/R1BQK2R b KQkq -,b8c6
3r4/p4r1k/1p2Q2p/3pP1p1/3P2P1/P4P2/4K2P/8 b - -,d8d7
rn1qk1nr/pbpp1ppp/1p2p3/8/1bPP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,f7f5
2rq1rk1/5p1p/3p2pb/3Qp3/4P3/P4P2/5BPP/R1q1R1K1 w - -,e1c1
6k1/1p3p2/2pp1qp1/6rp/p1P5/P4B1Q/1P1b2N1/3R1K2 w - -,d1d2
8/7k/p1R1p2p/1p2n3/8/P1P3N1/1P5P/5K2 b - -,e5c6
2r2qk1/3R1p1p/1p3Qp1/3p4/p7/n1P5/5PPP/4R1K1 w - -,e1e7
r1b2rk1/1p3ppn/2pp1qnp/1p2p3/P2PP3/1BP1BN1P/1P3PP1/R2QR1K1 w - -,d1e2
2rr1nk1/1bq1np1p/p2p2p1/1p2b1N1/4PB2/PP4NP/2BR1PP1/1R1Q2K1 w - -,d1f3
r2q2k1/3nbppp/B2p1n2/R2Pp3/8/1r1NB3/5PPP/2R1Q1K1 w - -,c1a1
6k1/8/2p1r1p1/5pR1/3P2pP/4Pp2/5P1K/8 w - f6,h4h5
8/3b1p1p/1b3k2/3p1p2/1p3P2/1N3KP1/3N3P/8 b - -,f6e6
r5k1/1p1b1pbp/3pp1p1/3P4/4P3/pP2BP2/P3B1PP/1K1R4 b - -,g7e5
r5k1/2p1rpbp/2Pp1np1/3P1q2/P1R5/2N1BP2/3Q2PP/3R2K1 w - -,c4f4
r3kb1r/pp1qpp1p/2n2np1/8/Q7/2N1B3/PPP2PPP/R3KB1R b KQkq -,f8g7
r1b2rk1/pp1nqp2/2pn3p/6p1/2PBP3/4NP2/PP2B1PP/R2Q1RK1 w - -,c4c5
r5k1/2pq1rp1/b2p3p/1p2pN1n/4P2B/2P1QP2/P5PP/R2R2K1 w - -,h4g3
2k2r1r/2qbb1p1/pnn1pp2/1p1pP1P1/2pP1PQp/4B2P/PPP1N1BN/R4RK1 b - -,c6b4
8/5p1k/4q1p1/3pn2p/3Q4/4P2P/PPr2PP1/3R1BK1 w - -,d4d5
1r2b3/R4p2/1p3k2/3p2pP/P2N2P1/1P6/4PK2/8 b - -,f6g7
8/3k4/4p1R1/p1b1P1Pp/6rP/5N2/4K3/8 w - -,g6g8
r2qk2r/pp1n4/2p1p1pn/3pPp1p/1b1P1P2/2N1BR1P/PPPQB1P1/R5K1 w kq -,a2a3
r3nr1k/3Q1pp1/7p/2qpP3/7R/1B3P2/2P3PP/3R3K w - -,d7d5
r1bqk2r/pp1nppbp/2n3p1/3pP3/3P1P2/4B3/PP4PP/RN1QKBNR w KQkq -,b1c3
r1b1qr2/pp1n2bk/2pp1npp/4pp2/1PPP4/2N1PN1P/P1Q1BPPB/R3R1K1 w - -,c4c5
r6r/3b1pkp/1p4p1/q2P1p2/2Bb4/1QP5/P4PPP/2R2RK1 w - -,c3d4
rn1qk2r/pp3ppp/2p1pn2/3b4/PbBP4/N3PN2/1P1BQPPP/R3K2R b KQkq -,b4d2
r7/P1p2k2/1bN2p2/6pp/3P4/5PP1/6KP/4R3 b - -,b6d4
1Q6/2r1qppk/1p5p/3n4/3P4/3B2P1/5PP1/1R4K1 b - -,g7g6
r2qr1k1/pp2bpp1/2p2np1/3P4/8/P1N1BQ1P/1P3PP1/R2R2K1 b - -,c6d5
6k1/1p3pp1/8/3P1b1p/4p3/8/3RBKPP/1r6 b - -,g7g6
8/p2r1pk1/1pR1p1p1/3r3p/2R4P/P2P2P1/4PP2/4K3 w - -,e1d2
r1b2r2/1p4kp/p1p2n2/q1P1Q1p1/Pb1P4/6P1/1P1NBPP1/3RK2R w K -,h1h7
2r1k2r/1p1bpp2/pq1p1b1p/3P1P2/7R/1NP2QP1/PP6/1K2RB2 b k -,f6h4
r2q1rk1/ppp2ppp/2np1nb1/1B2p1B1/4P1P1/2PP1N1P/P1P2P2/R2Q1RK1 w - -,b5c6
6k1/2R3p1/4p3/P1p2r1p/r7/6P1/1PR2PK1/8 w - -,c7c5
2r3k1/3n2np/4p1p1/q2p1P2/3P2P1/b2BP2P/2K1N2B/R5R1 w - -,c2d1
3r4/pp2n1p1/4kp2/1PP1p2P/4p3/2B1P2P/P4PK1/2R5 w - -,c3a5
r1bq1r2/ppp2pkn/3pp1p1/3Pn1P1/4PP2/2N5/PPPQB2P/R3K1NR b KQ -,e5d7
8/8/5p1k/r4B1p/8/6PK/4R2P/8 b - -,a5f5
r4rk1/p4p1p/p1B2p2/8/b7/P5P1/4PP1P/R1R3K1 b - -,a4c6
6k1/5pp1/2n1p2p/1p2P3/3P2P1/4B2P/2bN1P1K/b1N5 b - -,c6d4
8/p4p2/1p1kp3/1P1p4/1N1P1P2/3B4/4K1P1/2r5 b - -,f7f5
8/8/1p6/p5Kp/P2k4/5P2/8/8 b - -,d4e3
r4rk1/pp1bppb1/2np1n1p/6pq/4P3/1B2BNNP/PPP2PP1/R2QR1K1 b - -,h5g6
8/8/2p4p/N3k1p1/3pPnP1/7P/P4K2/8 w - -,a5c6
r1bq1rk1/ppp1bppp/2n2n2/3pp3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 w - d6,e4d5
8/8/n7/P1p2k2/4N1pp/4KP2/6P1/8 w - -,f3f4
r2q1rk1/3nb1pp/pP2p3/2p1p3/3pP3/2PP1N1P/1P1BQPP1/R3R1K1 b - -,d8b6
2bqn1k1/4prbp/p4np1/2pPp1B1/1r4P1/1BN2P2/PP5Q/2KR2NR b - -,e8d6
3r4/p4pp1/1p2p1k1/8/3P2pb/P2R4/1PN1KPPP/8 w - -,h2h3
8/R1R3bk/1p1p2p1/1P1Pp3/1B1qP3/5K2/8/8 b - -,d4b4
2k5/pp4R1/8/1N1p4/2n3p1/2P5/1P2r3/2K5 b - -,a7a6
6k1/1b2bp1p/4p1p1/3qP3/1p1p1P2/3B3P/1P2Q1PK/6B1 b - -,g8g7
N4rk1/pp2ppbp/1n4p1/3P3b/4P3/1Q2BP2/PP2BP1q/3RK1R1 b - -,h2g1
8/p1r3p1/4pk1p/RP6/4p1P1/8/4PPKP/8 w - -,h2h4
r1b1k2r/p4ppp/4pq2/3p4/8/3B4/PPPQ1PPP/R3K2R w KQkq -,d3b5
r7/pp2k3/n1pp1n2/5b2/2Pp2p1/3NP3/PP1N1PP1/2KR1B2 b - -,d4e3
8/8/p7/2Q5/2p5/2k5/r4r1P/4K3 b - -,f2e2
3b3k/3b2pp/p1p5/1p2p3/P3P3/1BN5/1P3PPP/6K1 b - a3,d8b6
5Rk1/4p2p/3p2p1/2pPb3/2P1N3/1P1p1P1P/1r4P1/3R2K1 b - -,g8f8
r1b1kbnr/1pqp1pp1/p1n1p3/7p/3NP2P/2N3P1/PPP2PB1/R1BQK2R b KQkq h3,g8f6
4r3/3QP1kp/R5P1/8/8/2bK4/5q2/4R3 w - -,d7e8
r1bqk2r/pp2bppp/2p1nB2/3p4/3P4/2NBPN2/PPQ2PPP/R3K2R b KQkq -,e7f6
r1b1qrk1/ppp1p1bp/3p1np1/3P1p2/P2P4/1Q3NP1/1P2PPBP/R1B2RK1 b - -,h7h6
1r2rk2/2p5/1p1p2R1/p5N1/P1P1nP2/6P1/1P1R2K1/8 w - -,g5e4
rn3k1r/3qpp2/2p5/p2nPP2/PpBP2pp/8/1PQ1N1PP/2R2RK1 w - -,c2e4
r3kb1r/2p1npp1/p1pp4/7p/3PPp2/2P4P/PP3P2/RNB2RK1 w kq -,c1f4
r2q1rk1/2p1bppp/p4n2/np1P4/3P4/5N1P/PPQ2PP1/RNB1R1K1 b - -,f6d5
1rb2rk1/2qnbppp/p1p1p3/3pP3/5P2/1P2B3/P1PNB1PP/R2Q1RK1 w - -,c2c4
r3k2r/6pp/pq2pbn1/1p1p4/P2P4/1B3N2/1P4PP/RQ3RK1 b kq a3,e8g8
8/2p3pp/1p1b1p2/pP1kn3/P4R2/6PP/2K5/8 w - -,f4f1
5rk1/pppqnrbp/2npb1p1/3Npp2/2P1PP2/3PB1PP/PP2N1BK/R2Q1R2 b - -,f5e4
4kn2/1q5r/p3p1pp/1p1bPp2/1P3Q1P/PB1R1N2/5PP1/6K1 w - -,b3d5
6R1/8/5k2/7p/7P/1r3K2/6P1/8 w - -,f3e2
r1bqnrk1/1pp3b1/n2p2p1/p2Ppp2/2P1P3/2N3N1/PP2BPP1/R1BQK2R w KQ -,e4f5
2rq1rk1/p4pbp/1p2p1p1/n7/1RPPb3/P3BN2/4BPPP/3QR1K1 w - -,f3e5
8/1p6/p1p1k3/2P5/1P2Ppp1/P7/5KP1/8 w - -,g2g3
8/2R5/1p4kp/1P3pp1/P1B5/5nP1/3r4/5K2 b - -,g6h5
