4B3/8/4pk2/R4pp1/Pn1K4/6P1/1r6/8 w - -,a5b5
1qr1r1k1/pb1nbppp/1p2pn2/2p5/2PP4/4PNP1/PB1NQPBP/2RR2K1 w - -,f3e1
8/1p6/2bp4/pN2kPp1/P1P1p3/1r6/3R1P2/4K3 w - -,b5d6
1r4k1/1p3p2/6p1/3P3p/3NP1nP/5BP1/8/6K1 b - -,g4e5
r1q2rk1/p1p1bppp/3pbn2/2p1p3/4PP2/1P1P4/PBPNN1PP/R2Q1RK1 b - f3,e5f4
3rqbk1/1bp2pp1/p4n1p/8/N7/1P3N1P/P1P2QPB/R5K1 b - -,f6e4
rn5r/1p2kpbp/p3pnp1/3pN1B1/3P4/2N5/PPP2PPP/R3R1K1 b - -,e7f8
3r1rk1/2p2ppp/1p1n1q2/p3R3/3P1p2/P1PQ1N1P/2P2PP1/1R4K1 w - a6,c3c4
rnbqkb1r/pp1ppp1p/2p2np1/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,d7d5
r2qkb1r/pp2pp1p/1n4p1/3Pp3/P7/1QN1BP2/1P3P1P/R3K2R b KQkq a3,a8c8
r2qk1nr/ppp2ppp/2b1p3/8/1b1PP3/2N5/PP3PPP/R1BQKB1R w KQkq -,f2f3
r4rk1/p2qnpb1/1pn3p1/2p1p3/2P1N3/P2P1NPb/3BPPBP/1R1Q1RK1 b - -,h3g2
rnbqk2r/1ppp2pp/4pn2/p4p2/2PP4/P1Q2N2/1P2PPPP/R1B1KB1R b KQkq -,e8g8
2r5/1p6/p2p4/P1PPn2p/1P1K1kp1/6R1/4B2P/8 w - -,c5d6
4k2r/p2n1p1p/2N1pp1B/1rb5/1p6/6P1/1P2PP1P/R4RK1 b k -,b5b7
3r4/5pkp/1p4P1/p1qBP3/1b1R4/1Q4P1/1P5P/3Rr2K w - -,d1e1
2rqk2r/5pbp/p1npbp2/1p1Np3/4P3/N1PB4/PP3PPP/R2QK2R w KQk -,d1f3
r1bqr1k1/1p3pbp/pN1p1np1/2pP4/P7/2N4P/1PP1BPP1/R1BQ1RK1 b - -,d8b6
4q1k1/Q1p3r1/1nNb4/2pPp3/2P1Ppp1/8/5PP1/1R1B2K1 b - -,e8g6
r2r2k1/ppp1q1bp/4b1p1/1PPnpp2/P7/4P3/1B1NBPPP/R1QR2K1 w - -,d2c4
2b1r1k1/Rp4qp/1PpBnbp1/Q1Pp1p2/3P4/3B3P/4NPP1/6K1 w - -,e2c3
r1bqk2r/p3n1bp/1pp2pp1/2p1p3/P1N1P3/3PBN2/1PP2PPP/R2Q1RK1 b kq a3,a7a5
8/ppnk1p1p/6p1/8/1PP1q3/1Q2N2P/5PP1/6K1 w - -,b3a4
3rr3/pp4pk/6p1/5pPp/3q3P/3QRP2/PP6/1K1R4 w - -,d3d4
8/3r1p2/2k1pP2/R7/1PP2P2/P2p1P2/8/2K5 b - -,d7d4
r1bqkb1r/1p3ppp/p1n1pn2/2pp4/P2P1P2/1P2PN2/1BP3PP/RN1QKB1R b KQkq d3,c5d4
1r4k1/p4qpp/3B1p2/1pPn4/8/P2P1QP1/7P/5RK1 b - -,b8e8
2rq1rk1/p3npb1/1pb4p/2pp2pQ/4P3/P1NP1BP1/1P1B1P1P/1R1R2K1 b - e3,d5d4
6k1/p7/1pp4p/3P2p1/8/4KPn1/PP5q/3RR3 b - -,g3f5
rn1qkbnr/pp3ppp/2p1p3/3p1b2/8/2NP1NP1/PPP1PPBP/R1BQK2R b KQkq -,g8f6
rn1qk1nr/p2p1ppp/1p6/2pb4/8/P7/1PQBPPPP/R3KBNR w KQkq -,e2e4
r1bqr1k1/ppp2pbp/5n2/5P2/4N3/2NP4/PP4PP/R1BQ1R1K b - -,f6e4
1k1r4/pp4p1/2n2p1p/P1pr1P1B/3nR3/2B4P/1PP2RP1/6K1 w - -,h5f7
r3rb1k/1p4pp/2pp2q1/p7/P3P3/BP4QP/2PR2P1/3R2K1 w - -,a3d6
r3kb1r/pp3ppp/2p1pn2/8/3PBB2/2P4P/PP3PP1/R3K2R w KQkq -,e4f3
3R4/pp4k1/1np1rppp/8/5PP1/1P5P/P5B1/6K1 b - -,e6e7
r1bq1rk1/3n1pbp/pp1p1np1/2pP4/P1N1P3/2N1B3/1P2BPPP/R2Q1RK1 b - -,d7e5
r1bk2nr/1p1q1ppp/p1nB4/1N2P3/Q7/2P2N2/P3BPPP/5RK1 w - -,f1d1
8/6pp/K1k2n2/1p6/5P2/P6P/P5P1/8 w - -,g2g4
5b1k/7p/pp3p2/5N1P/2P2Q2/1P2B1P1/P2n2K1/4q3 b - -,e1e2
r2q1rk1/pppn1pb1/4p2p/3p1bp1/3Pn3/2PBPNB1/PP1NQPPP/R4RK1 w - -,f3e1
r2qk2r/p3bppp/2p1pn2/3p4/2P1P3/8/PP1NQPPP/R1B2RK1 b kq -,e8g8
6k1/p2b3p/3p4/P1pPbpqn/2P2p2/3B1P2/1r1NN1PP/2Q2RK1 b - -,a7a6
1r6/p2k1ppp/b2p4/N1pP4/Pp2PP2/1P6/5K1P/R7 b - -,b8e8
2r1k2r/1pq1bpp1/p2pnn1p/4p3/P3P3/2N1BN2/1PP1QPPP/R2R2K1 w k -,a4a5
r1bq1rk1/pp4bp/2pp2p1/3Pp1N1/1PPnB3/6P1/P2B1P1P/R2Q1RK1 w - -,d5c6
r3nrk1/p3Rppp/bpp5/2n5/4P3/1pN2NP1/P4PBP/3R2K1 w - -,a2b3
3r4/1b1rbk2/p3p2p/1p2Pnp1/1P1PNp2/P1N5/5BPP/3RR2K w - -,d4d5
2r3bQ/R1p3Pr/5pk1/4p1p1/8/2P2P2/4PK2/8 w - -,e2e4
1R6/6k1/1P6/6p1/1r4P1/8/4K3/8 w - -,b6b7
r1b2rk1/p3qppp/1pp1pn2/3nN3/3P4/2NBP3/PP3PPP/2RQ1RK1 b - -,e7d6
4r1k1/p3ppb1/3p1npp/2p5/5B2/1NN3Pq/PP2QP1P/4R1K1 w - -,b3d2
5B2/5k2/7K/7P/3P4/8/6r1/8 w - -,f8d6
2q4r/2p3k1/3pbpp1/p4P2/2PQP3/1P2N1P1/P5Br/4R1K1 b - -,g6f5
5r2/4n3/1p2kppR/p1p5/P1p1PP2/2P2P2/2P1KB2/8 w - -,f2h4
5b2/8/2k1p1rp/2p2p2/1pP5/pP4PR/P4KP1/7R w - -,h3h5
rnbq1rk1/pppp1pbp/4pnp1/8/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ -,e1g1
r1r5/6pk/bB6/p6p/1pB5/1Pb2P2/P1R3PP/3R2K1 w - -,c4d5
r1b2rk1/1p1n1pp1/pq2p2p/8/2BQ4/P3PN2/1P3PPP/2RR2K1 b - -,b6a5
2k2bnr/1rq5/Bpb1P3/p1pp1PBp/P7/1P3N1P/4Q3/2R3RK w - -,c1f1
b1r2r1k/2q3pp/p2b4/1p1npP2/3p4/PN1B1P1Q/NPPn2PP/1R1R3K w - -,b3d2
r2qk2r/pp2bpp1/3ppnb1/2p4p/B3P1P1/2PP1QNP/PP3P2/R1B1K2R b KQkq -,e8f8
8/7k/8/2p1b1Qp/5N2/4q1KP/5RP1/7r w - -,f2f3
N1bk3r/1p1p1pp1/4p3/4P2p/1P4n1/3B2qP/P1P3P1/R2Q1R1K w - -,h3g4
4qrk1/5ppp/p2b4/Pp1Rn3/1P2P3/1B4QP/5PP1/6K1 w - -,d5d6
rnbqk2r/pp4pp/2pbpn2/2Pp1p2/3P4/2N1PNP1/PP3P1P/R1BQKB1R b KQkq -,d6c7
1r3k2/2rn1ppp/4p3/p1p5/PpP5/1P3BP1/3RPP1P/3R2K1 b - -,f8e7
6k1/6p1/4p3/5rpQ/P6p/5P1P/4P2q/R4K2 w - -,h5e8
2r2rk1/p2bbppp/1qnppn2/1pp5/1P2P3/P1PP1NP1/3N1PBP/R1BQR1K1 w - -,b4c5
8/2p5/2Pp4/3Pp3/KP2P2R/8/6k1/2r5 b - -,g2f3
3b4/1p3pk1/p2p2p1/3P2P1/1P1p1P2/PK1Br1R1/2P5/5R2 b - -,e3g3
r1b2rk1/1p2npp1/pq5p/3p4/8/2NnPN2/PPQ2PPP/2R2RK1 w - -,c2d3
2k1r3/R7/2P5/3KB3/1P6/8/8/8 b - -,e8d8
1r3rk1/2q1ppbp/p2p1np1/n1pP4/Q1P1P3/2N3P1/P2N1PKP/BR3R2 b - -,f6g4
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c3:d2d3:h2h3
6k1/8/R7/6r1/1P6/8/3K4/8 b - -,g8f7
2k4r/1pr2ppN/4p1n1/p2pP2Q/P7/8/1P1B1PPP/6K1 w - -,g2g3
1rb1r1k1/1p3p1p/6p1/1Pq1p3/4Bn2/2P4P/1BQ2PP1/R3R1K1 w - -,e4d3
2r2k2/r4ppp/2N3n1/3P4/2B5/2K3P1/1P5P/4R3 b - -,a7c7
r2r2k1/p2n1ppp/2p1pn2/8/Nq1P4/1P2PN2/2Q2PPP/R4RK1 w - -,f1c1
r1bq1rk1/4bppp/p1p5/3pQ3/1P2P3/2NB4/P1P2PPP/1R3RK1 b - -,e7f6
r2n1rk1/1p1b2p1/p2bpn1p/3pN2q/3P4/P1NQ3P/1PBB1PP1/R3R1K1 b - -,d7e8
2r3k1/7p/1q2pQp1/p2R4/6P1/P3P2P/1P3P2/6K1 b - -,c8c1
8/8/1nk2pp1/1p2p2p/1Pp1P3/2P1KPBP/6P1/8 b - -,b6a4
8/6k1/7p/P1p3p1/2PbP2P/8/1r1B2P1/5R1K w - -,f1d1
8/2Nn1k2/5pp1/2nPr2p/7R/6PP/5P2/5K2 w - h6,g3g4
2r5/5pkp/6p1/pB2b3/P7/4B1P1/1nr2P1P/1RR3K1 w - -,g1f1
3R4/pr4pk/1p6/1n1PB3/4p1p1/P3P1P1/5P2/6K1 w - -,a3a4
r2r2k1/ppqbppbp/3p1np1/1P6/2PBP3/P1NQ1P2/4B1PP/R4R1K b - -,a8c8
