8/8/8/3q1pk1/P1B2Rp1/6P1/5P1K/8 b - -,d5d6
r1k4r/2pq2p1/p1nb1n2/3p2N1/PpPP4/1B4P1/1P5P/R1BQR1K1 w - -,c4d5
r1bqr1k1/1p1n1pbp/p1pp1np1/P7/1PPPp3/2N1P3/3NBPPP/R1BQ1RK1 w - -,d1b3
8/1p3p2/5b2/5P1p/8/1P1k1K2/8/4B3 w - -,f3f4
3r3k/8/4q3/4bpp1/2R1P3/6P1/2Q3KP/2B5 b - -,f5f4
2qrr1k1/1pp1bppp/p7/4NnB1/3pnPP1/P6P/1PPQ4/R3R1K1 w - -,e1e4
r3k2r/pp2bpp1/1qnp1n1p/2p1p3/4P3/P2P1N1P/NPPB1PP1/R1Q1K2R b KQkq -,a8c8
1rr5/3k1ppp/p2p4/3PpPPP/4P3/P1b1B3/K7/2R4R w - -,c1b1
8/p1r2pk1/1b4p1/1PnR3p/2P3P1/3K3P/4N3/8 w - -,d3c3
r4rk1/1ppq2pp/p1pb1pn1/8/4P1P1/2Q1BN2/PPPN1P2/3R1RK1 w - -,f3h2
8/2N2kp1/4pp1p/3P4/4P3/5P1P/1r3KP1/8 w - -,f2g3
8/ppk3R1/2b1p3/2P1Pp2/2BP4/P3KP1r/8/8 b - -,c7d8
r1b1n3/1pp1r1k1/p1n1p1Bb/3pP3/3P1P1N/2P4P/PP4P1/R4RK1 b - f3,c8d7
r1b2r2/ppkn3p/2pR1p1n/4p1pP/2B1P3/2N5/PPP1NPP1/2KR4 w - -,f2f3
5r1k/1p4b1/p1p3qp/P1nbpr2/1P4p1/3P2P1/1B2RPBP/2Q1R1K1 w - -,c1c5
4R3/1p6/p6p/P5p1/4p1k1/1r6/1P2K2P/8 w - -,e8e4
8/2p2bpk/p2p4/2p1bP1p/2P2N1P/1P2B1P1/P4K2/5Q1q b - -,h1c6
6k1/5p2/2pr3p/4R1p1/P2p4/2r3PP/P2R1PK1/8 w - -,g2f1
6k1/1p3p1p/8/5rp1/R2p4/1P1P2P1/2P1KP1P/8 b - -,f5e5
8/8/6b1/3Pp3/2k1P3/P4K2/8/8 b - -,c4d4
5k2/pb3p1p/1p1q2p1/3Pp3/4P3/2QB1PP1/P4K1P/8 b - -,f8e7
8/ppR5/8/8/P1pk3P/8/1r6/7K b - h3,c4c3
3nq1k1/1p2Qp2/p2P2p1/P6p/7P/5BP1/5PK1/8 b - -,e8f8
5qk1/2r2p2/ppB1ppn1/3P4/2P2Q2/5P2/P4P1P/6RK b - -,f8d8
6r1/3b4/4k1pR/1pp1P3/2N5/4K1P1/8/8 w - -,c4b6
r2q1r1k/pp2b1pp/2ppbn2/2n2p2/2PP1P2/1PN3P1/P3N1BP/R1BQ1R1K b - -,c5e4
2r4k/6p1/7p/p2Kp3/3n4/1P2N1P1/R6P/8 b - -,d4b3
2R5/5pkp/1r4p1/2b5/3rPP2/2N3PP/1P3R2/6K1 b - -,d4c4
1k6/1pp5/p1p1pq2/P1Q3p1/2P5/3rnPPp/1P3R1P/R5K1 w - -,a1e1
3r3k/p5pp/1p2P1n1/2QB4/3R2n1/8/PP2N1PP/6K1 b - -,b6c5
r1bqk1nr/ppp2pbp/2np2p1/4P3/4PP2/2N1B3/PPP3PP/R2QKBNR b KQkq -,d6e5
r1b2rk1/pp2nppp/2n1p3/2b5/4B3/2N2N2/PPP1KPPP/R1BR4 w - -,a2a3
1kn4r/1ppq4/p2b1p2/3PpNp1/P4PQ1/1P2P2r/1B5P/2K3RR b - f3,g5f4
r2qr1k1/1ppb1pb1/3pnn2/6p1/pPP1P1Pp/2N2P1P/P3N1BK/1RBQR3 w - -,c1e3
1rb2rk1/1p2bppp/p1Nq1n2/3p4/8/1PN1P1P1/PB3PBP/2RQ1RK1 b - -,b7c6
8/4kn1p/8/1pB2p1K/1P3P2/7P/8/8 b - -,e7e8
5rk1/4b1p1/1p2p2p/1q1pPp2/3P1P1P/1Prn2P1/3N2R1/R1BQ3K b - -,f8c8
4kb1r/1b2p1pp/p3Nn2/1p2n3/1Pp5/N1Pp4/P2P1PPP/R1B1KB1R w KQk -,e6c5
8/pp6/2p5/1PPp2k1/P2P2b1/2NKP3/4BrR1/8 b - -,f2g2
r4rk1/pppq1pbp/2npbnp1/8/2P1PpP1/2NP3P/PP2N1BK/R1BQ1R2 w - -,e2f4
6k1/p2q1p1p/4b1p1/2p1R3/2B5/QP3PP1/PKP4P/8 b - -,d7d4
2rq1rk1/pp2ppbp/1n4p1/3P2B1/P2P2n1/1QN5/1P2NPPP/R3K2R b KQ a3,h7h6
r1br2k1/1pq1bpp1/p1pp2np/2n5/P2NPP2/BPN5/2PQB1PP/3RR2K b - -,b7b5
1rnr2k1/1bq2ppp/p1p1p3/Ppn1P3/2pPNP2/2P3PB/1Q5P/RR4K1 w - -,e4c5
2r4k/6pp/4bp2/1p6/8/1N1P3P/1qP2QP1/4R1K1 b - -,e6b3
1r4k1/1q4bp/2rpb1p1/2n1p1B1/1pp1P1P1/2P2P2/1PBQ1RP1/R4NK1 w - -,a1e1
8/5b2/3k4/8/1Kp2P1p/8/6B1/8 b - -,d6e7
2r3k1/1q3pp1/3ppb1p/3n4/3P3P/6P1/1P2QPN1/R1B3K1 w - -,e2g4
8/8/6k1/5p1p/R6P/4r3/6K1/8 b - -,e3e4
8/p1R3nk/1p2qb2/3p1rp1/3Pp3/4P1BN/PP2Q2P/7K w - -,e2h5
5rk1/p4pnp/1r1Nb1p1/6P1/3RPP2/qPQ5/P1P4P/1K5R b - -,b6d6
4r1k1/p1q2pb1/2pp1np1/6r1/Q1PNP1p1/2N3P1/P4P1P/3R1RK1 b - -,g5c5
8/7p/2pk2p1/p1Nbpp2/Pr3P2/1PR1P1P1/7P/4K3 w - -,e1d2
r5k1/1b3rb1/p5pp/P1p4n/2Bq1N2/1Q6/1P4PP/R4R1K b - -,a8f8
5k2/7R/3r1Np1/4K3/4P2P/5rP1/8/8 w - -,e5d6
r2qkb1r/3n1ppp/p1p1pn2/1p1p4/2PP2b1/1PN1PN2/PB2BPPP/R2QK2R w KQkq -,h2h3
1r6/p1p5/2p1k2p/2P4P/5RK1/2B5/PP4b1/8 w - -,f4f6
8/6p1/2p2k1p/p4P2/Q5P1/5P1P/4q1K1/8 w - -,g2g3
1Q2q1k1/6pp/p1N2p2/3P4/1PP5/7P/5PP1/6K1 b - -,e8b8
r2qr1k1/1p2bpnp/2p2np1/1P1p1b2/3P3B/2NBPN2/2Q2PPP/1R3RK1 w - -,b5c6
6k1/pp5p/4K3/2p4R/3p4/3P2P1/PPq5/8 b - -,b7b6
3r2k1/1p1r1ppp/p3bn2/3p3q/3R4/P1N2PP1/1P2P1BP/3Q1RK1 w - -,d1d2
2r3rk/p3np2/1p2ppp1/2p5/3P1P2/4P3/PP4PP/R3NRK1 w - -,d4c5
8/1R6/7p/r3k1p1/8/P5P1/4K2P/8 b - -,a5a3
8/8/8/5np1/8/3kp2P/7N/4K3 b - -,f5d4
r6r/2Rbkppp/R3p3/1Bbp4/8/1P2P3/1P2KPPP/8 w - -,c7d7
8/3bk3/1p1p1p2/p1pP4/P1P1PK1B/1P3P2/8/8 b - -,d7e8
2R5/8/1p4k1/8/p2P4/n7/5PPP/6K1 b - -,b6b5
1rr3k1/1b1pbppp/p3p3/4P1Pn/2PN1PR1/4B3/P1P4P/1K1R1B2 w - -,d4b3
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P4/1P3NP1/PBP1PPBP/RN1Q1RK1 b - -,c5d4:b8d7:f6e4
rnbqk2r/ppppnppp/4p3/4P3/3P4/8/PPP2PPP/RN1QKBNR w KQkq -,g2g3
3r1nrk/p3bqp1/1p2p2p/2p1P3/2P2P2/2N1B3/PP4QP/4RR1K w - -,f1g1
R7/1p2rpk1/2p3pp/p1P1p3/P1n1P2P/2P2PPB/6K1/8 w - -,g2f2
R4k2/5pp1/3n4/6p1/2B3P1/5K1P/5P2/4r3 b - -,e1e8
rn2kb1r/pp3ppp/4pn2/1N1p4/1q6/3BBQ1P/PPP2PP1/R4RK1 b kq -,b8a6
8/8/7p/p5p1/6k1/3NPp2/2KR2r1/8 w - -,d3e5
r2q1rk1/1pp2ppp/p1np1n2/2bPp1B1/8/3P2P1/PPP1NPBP/R2Q1RK1 b - -,c6d4
1r3r1k/Q2R2b1/1pBn1q1p/1Pp1ppp1/8/3PB1P1/4PP1P/5RK1 b - -,f5f4
2r1r1k1/3b1pbp/q2p2p1/3P4/2nN1B2/3Q2PP/4PPB1/1RR3K1 b - -,a6a2
8/5R2/p3p1K1/1p2r2P/1P6/2k5/8/8 b - -,e5h5
